 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.5711 -5.5053 -5.7054 -5.6350 -5.4406 -5.1855 -4.9074 -4.7167 -4.5461 -4.3704
 -4.2059 -4.0536 -3.9141 -3.7854 -3.6646 -3.4086 -3.1638 -2.9346 -2.8039
 -5.5655 -5.3404 -5.1598 -5.0388 -4.9706 -4.8699 -4.7050 -4.5229 -4.3531 -4.1926
 -4.0406 -3.8991 -3.7687 -3.6486 -3.5371 -3.2907 -3.0849 -2.9219 -2.8001 -2.7082
 -5.3565 -5.1343 -4.9360 -4.7680 -4.6330 -4.5431 -4.4719 -4.3605 -4.2164 -4.0647
 -3.9230 -3.7910 -3.6691 -3.5570 -3.4540 -3.2308 -3.0493 -2.9056 -2.7967 -2.7134
 -2.6475
 -5.1906 -4.9869 -4.7936 -4.6194 -4.4671 -4.3358 -4.2287 -4.1499 -4.0692 -3.9608
 -3.8354 -3.7121 -3.5979 -3.4925 -3.3956 -3.1879 -3.0234 -2.8956 -2.7973 -2.7215
 -2.6606 -2.6100
 -5.0490 -4.8666 -4.6875 -4.5183 -4.3650 -4.2283 -4.1071 -4.0005 -3.9143 -3.8359
 -3.7501 -3.6496 -3.5453 -3.4461 -3.3546 -3.1581 -3.0046 -2.8879 -2.7993 -2.7307
 -2.6749 -2.6281 -2.5877 -2.5528
 -4.9272 -4.7604 -4.5989 -4.4402 -4.2911 -4.1552 -4.0332 -3.9236 -3.8256 -3.7380
 -3.6591 -3.5816 -3.4979 -3.4102 -3.3243 -3.1373 -2.9910 -2.8814 -2.8000 -2.7385
 -2.6884 -2.6460 -2.6092 -2.5764 -2.5455 -2.5179 -2.4956 -2.4801 -2.4726 -2.4737
 -4.8251 -4.6678 -4.5187 -4.3733 -4.2316 -4.0993 -3.9783 -3.8692 -3.7717 -3.6830
 -3.6008 -3.5236 -3.4494 -3.3749 -3.2991 -3.1221 -2.9806 -2.8742 -2.7979 -2.7425
 -2.6987 -2.6617 -2.6294 -2.6002 -2.5736 -2.5478 -2.5247 -2.5068 -2.4959 -2.4936
 -2.5008
 -4.7429 -4.5901 -4.4471 -4.3111 -4.1795 -4.0526 -3.9341 -3.8259 -3.7289 -3.6416
 -3.5615 -3.4859 -3.4131 -3.3428 -3.2740 -3.1107 -2.9730 -2.8682 -2.7934 -2.7416
 -2.7036 -2.6728 -2.6459 -2.6215 -2.5990 -2.5777 -2.5562 -2.5371 -2.5234 -2.5176
 -2.5211
 -4.6806 -4.5285 -4.3870 -4.2512 -4.1284 -4.0090 -3.8947 -3.7880 -3.6912 -3.6043
 -3.5257 -3.4531 -3.3838 -3.3165 -3.2508 -3.0975 -2.9660 -2.8626 -2.7872 -2.7364
 -2.7020 -2.6768 -2.6563 -2.6380 -2.6207 -2.6039 -2.5878 -2.5726 -2.5603 -2.5512
 -2.5450
 -4.6384 -4.4843 -4.3412 -4.2080 -4.0840 -3.9684 -3.8599 -3.7563 -3.6599 -3.5726
 -3.4941 -3.4230 -3.3569 -3.2930 -3.2310 -3.0862 -2.9600 -2.8586 -2.7828 -2.7306
 -2.6967 -2.6748 -2.6597 -2.6478 -2.6368 -2.6258 -2.6148 -2.6037 -2.5931 -2.5838
 -2.5755
 -4.6121 -4.4535 -4.3071 -4.1720 -4.0471 -3.9316 -3.8248 -3.7254 -3.6314 -3.5441
 -3.4649 -3.3937 -3.3291 -3.2689 -3.2113 -3.0747 -2.9532 -2.8541 -2.7788 -2.7251
 -2.6901 -2.6688 -2.6567 -2.6498 -2.6451 -2.6407 -2.6359 -2.6304 -2.6244 -2.6185
 -2.6135
 -4.5849 -4.4161 -4.2656 -4.1305 -4.0078 -3.8951 -3.7906 -3.6927 -3.6012 -3.5162
 -3.4377 -3.3659 -3.3013 -3.2425 -3.1878 -3.0609 -2.9455 -2.8489 -2.7741
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.9419 -5.8505 -5.7150 -5.4683 -5.1918 -4.9311 -4.7113 -4.5264 -4.3582 -4.1998
 -4.0504 -3.9114 -3.7835 -3.6659 -3.5574 -3.3251 -3.1199 -2.9363 -2.8039
 -5.6158 -5.4051 -5.2857 -5.2108 -5.0375 -4.8047 -4.5821 -4.3936 -4.2288 -4.0756
 -3.9318 -3.7987 -3.6769 -3.5661 -3.4650 -3.2467 -3.0647 -2.9135 -2.7939 -2.7016
 -5.4379 -5.2008 -5.0032 -4.8547 -4.7725 -4.6734 -4.4952 -4.3044 -4.1381 -3.9902
 -3.8518 -3.7237 -3.6065 -3.5001 -3.4036 -3.1981 -3.0314 -2.8960 -2.7889 -2.7052
 -2.6386
