 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.5823 -2.3667 -3.3137 -3.3006 -1.9730 -0.3415 -1.0199 -1.9803 -2.4514 -2.4148
 -2.3450 -2.2469 -2.0512 -1.8749 -1.7932 -1.9313
 -1.5572 -1.8730 -2.3112 -2.3517 -1.8362 -1.0908 -1.3314 -1.7049 -1.9313 -1.9799
 -1.9988 -1.9829 -1.9146 -1.8522 -1.8358 -1.9609 -2.0985 -2.2250 -2.3663
 -1.6205 -1.6760 -1.7997 -1.8451 -1.7730 -1.5720 -1.5859 -1.6374 -1.7013 -1.7633
 -1.8096 -1.8336 -1.8397 -1.8478 -1.8706 -1.9859 -2.1134 -2.2416 -2.3733 -2.5010
 -2.6200
 -1.7722 -1.7757 -1.7792 -1.7808 -1.7836 -1.7850 -1.7834 -1.7777 -1.7616 -1.7647
 -1.7775 -1.7992 -1.8267 -1.8616 -1.8976 -2.0063 -2.1299 -2.2579 -2.3848 -2.5089
 -2.6299 -2.7482 -2.8640
 -1.8524 -1.8425 -1.8360 -1.8328 -1.8334 -1.8357 -1.8381 -1.8392 -1.8388 -1.8389
 -1.8448 -1.8590 -1.8802 -1.9082 -1.9421 -2.0404 -2.1521 -2.2725 -2.3964 -2.5190
 -2.6384 -2.7546 -2.8678 -2.9784 -3.0870
 -1.9470 -1.9253 -1.9090 -1.8984 -1.8933 -1.8924 -1.8942 -1.8973 -1.9010 -1.9048
 -1.9095 -1.9183 -1.9342 -1.9561 -1.9846 -2.0733 -2.1757 -2.2886 -2.4080 -2.5283
 -2.6462 -2.7608 -2.8721 -2.9806 -3.0867 -3.1908
 -2.0559 -2.0241 -1.9982 -1.9776 -1.9633 -1.9551 -1.9517 -1.9520 -1.9548 -1.9593
 -1.9652 -1.9731 -1.9846 -2.0014 -2.0251 -2.1050 -2.2007 -2.3062 -2.4196 -2.5368
 -2.6533 -2.7668 -2.8770 -2.9840 -3.0882 -3.1901 -3.2901 -3.3895 -3.4885 -3.5847
 -2.1791 -2.1389 -2.1036 -2.0727 -2.0473 -2.0287 -2.0163 -2.0098 -2.0079 -2.0096
 -2.0139 -2.0208 -2.0305 -2.0441 -2.0627 -2.1336 -2.2241 -2.3244 -2.4318 -2.5448
 -2.6594 -2.7722 -2.8818 -2.9880 -3.0911 -3.1914 -3.2893 -3.3858 -3.4821 -3.5782
 -3.6721
 -2.3139 -2.2668 -2.2231 -2.1825 -2.1462 -2.1159 -2.0922 -2.0754 -2.0654 -2.0611
 -2.0612 -2.0650 -2.0722 -2.0830 -2.0981 -2.1591 -2.2445 -2.3413 -2.4445 -2.5528
 -2.6644 -2.7764 -2.8858 -2.9919 -3.0944 -3.1939 -3.2909 -3.3855 -3.4789 -3.5719
 -3.6654
 -2.4549 -2.4028 -2.3530 -2.3053 -2.2594 -2.2178 -2.1821 -2.1533 -2.1322 -2.1184
 -2.1112 -2.1096 -2.1128 -2.1202 -2.1324 -2.1843 -2.2630 -2.3568 -2.4576 -2.5625
 -2.6709 -2.7811 -2.8904 -2.9969 -3.0998 -3.1992 -3.2957 -3.3896 -3.4815 -3.5723
 -3.6623
 -2.5971 -2.5423 -2.4878 -2.4336 -2.3800 -2.3293 -2.2830 -2.2426 -2.2096 -2.1845
 -2.1675 -2.1579 -2.1551 -2.1583 -2.1670 -2.2102 -2.2797 -2.3691 -2.4675 -2.5701
 -2.6754 -2.7829 -2.8909 -2.9975 -3.1010 -3.2010 -3.2976 -3.3913 -3.4824 -3.5715
 -3.6606
 -2.7484 -2.6853 -2.6242 -2.5649 -2.5058 -2.4484 -2.3936 -2.3436 -2.2994 -2.2635
 -2.2360 -2.2166 -2.2048 -2.2003 -2.2026 -2.2344 -2.2965 -2.3806 -2.4759 -2.5767
 -2.6800 -2.7850 -2.8909 -2.9966 -3.1004 -3.2012 -3.2986 -3.3928 -3.4839 -3.5726
 -3.6593
 -2.9088 -2.8318 -2.7622 -2.6992 -2.6368 -2.5751 -2.5101 -2.4525 -2.4000 -2.3549
 -2.3173 -2.2866 -2.2622 -2.2462 -2.2392 -2.2569 -2.3134 -2.3913 -2.4828
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.7488 -1.7595 -1.7503 -1.7076 -1.6174 -1.4673 -1.5639 -1.6397 -1.6809 -1.7011
 -1.7376 -1.7720 -1.7773 -1.7795 -1.8032 -1.9330
 -1.7354 -1.7485 -1.7500 -1.7300 -1.6782 -1.5867 -1.6153 -1.6441 -1.6661 -1.6852
 -1.7144 -1.7461 -1.7701 -1.7953 -1.8312 -1.9569 -2.0905 -2.2232 -2.3545
 -1.7359 -1.7489 -1.7569 -1.7531 -1.7303 -1.6836 -1.6725 -1.6710 -1.6782 -1.6931
 -1.7150 -1.7431 -1.7768 -1.8155 -1.8588 -1.9808 -2.1089 -2.2395 -2.3689 -2.4959
 -2.6200
 -1.7503 -1.7607 -1.7710 -1.7769 -1.7737 -1.7580 -1.7355 -1.7205 -1.7172 -1.7249
 -1.7395 -1.7631 -1.7975 -1.8402 -1.8860 -2.0047 -2.1278 -2.2549 -2.3820 -2.5065
 -2.6280 -2.7465 -2.8622
 -1.7786 -1.7839 -1.7923 -1.8014 -1.8084 -1.8099 -1.8043 -1.7926 -1.7831 -1.7805
 -1.7879 -1.8061 -1.8322 -1.8693 -1.9128 -2.0286 -2.1472 -2.2694 -2.3937 -2.5163
 -2.6357 -2.7520 -2.8654 -2.9763 -3.0852
 -1.8208 -1.8185 -1.8208 -1.8266 -1.8344 -1.8416 -1.8458 -1.8460 -1.8439 -1.8423
 -1.8460 -1.8583 -1.8777 -1.9056 -1.9423 -2.0521 -2.1670 -2.2841 -2.4046 -2.5252
 -2.6431 -2.7578 -2.8693 -2.9780 -3.0844 -3.1888
 -1.8779 -1.8673 -1.8615 -1.8606 -1.8642 -1.8708 -1.8781 -1.8841 -1.8885 -1.8928
