 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -3.2648 -3.2128 -3.4111 -3.3444 -3.1611 -2.9282 -2.6788 -2.5076 -2.3564 -2.2016
 -2.0567 -1.9243 -1.8038 -1.6958 -1.5970 -1.3936 -1.2150 -1.0611 -0.9941
 -3.2697 -3.0688 -2.9067 -2.7995 -2.7422 -2.6542 -2.5071 -2.3465 -2.1996 -2.0624
 -1.9332 -1.8137 -1.7044 -1.6048 -1.5139 -1.3210 -1.1744 -1.0720 -1.0050 -0.9609
 -3.0816 -2.8858 -2.7088 -2.5583 -2.4388 -2.3626 -2.3051 -2.2114 -2.0893 -1.9619
 -1.8446 -1.7364 -1.6372 -1.5467 -1.4643 -1.2914 -1.1628 -1.0740 -1.0153 -0.9758
 -0.9488
 -2.9309 -2.7547 -2.5843 -2.4289 -2.2936 -2.1792 -2.0889 -2.0263 -1.9640 -1.8785
 -1.7780 -1.6795 -1.5894 -1.5069 -1.4314 -1.2726 -1.1559 -1.0773 -1.0256 -0.9904
 -0.9654 -0.9480
 -2.7993 -2.6460 -2.4910 -2.3417 -2.2056 -2.0857 -1.9823 -1.8942 -1.8269 -1.7686
 -1.7053 -1.6299 -1.5507 -1.4756 -1.4067 -1.2595 -1.1507 -1.0793 -1.0339 -1.0035
 -0.9813 -0.9654 -0.9544 -0.9481
 -2.6831 -2.5468 -2.4109 -2.2733 -2.1421 -2.0225 -1.9173 -1.8260 -1.7476 -1.6809
 -1.6230 -1.5676 -1.5078 -1.4447 -1.3830 -1.2481 -1.1452 -1.0782 -1.0378 -1.0132
 -0.9953 -0.9820 -0.9726 -0.9666 -0.9634 -0.9639 -0.9694 -0.9807 -0.9984 -1.0229
 -2.5832 -2.4573 -2.3357 -2.2125 -2.0899 -1.9741 -1.8690 -1.7768 -1.6979 -1.6298
 -1.5691 -1.5133 -1.4608 -1.4088 -1.3562 -1.2344 -1.1379 -1.0720 -1.0357 -1.0170
 -1.0050 -0.9960 -0.9897 -0.9857 -0.9837 -0.9820 -0.9831 -0.9900 -1.0051 -1.0290
 -1.0578
 -2.5007 -2.3798 -2.2653 -2.1532 -2.0418 -1.9327 -1.8301 -1.7374 -1.6574 -1.5891
 -1.5298 -1.4759 -1.4245 -1.3756 -1.3282 -1.2184 -1.1284 -1.0643 -1.0286 -1.0137
 -1.0080 -1.0051 -1.0034 -1.0029 -1.0035 -1.0049 -1.0061 -1.0098 -1.0191 -1.0365
 -1.0636
 -2.4365 -2.3165 -2.2037 -2.0934 -1.9919 -1.8915 -1.7941 -1.7031 -1.6218 -1.5520
 -1.4927 -1.4411 -1.3933 -1.3473 -1.3025 -1.2003 -1.1165 -1.0552 -1.0184 -1.0046
 -1.0035 -1.0071 -1.0116 -1.0162 -1.0208 -1.0254 -1.0304 -1.0362 -1.0450 -1.0571
 -1.0721
 -2.3918 -2.2696 -2.1550 -2.0473 -1.9459 -1.8504 -1.7598 -1.6727 -1.5920 -1.5204
 -1.4592 -1.4073 -1.3620 -1.3192 -1.2781 -1.1840 -1.1046 -1.0457 -1.0085 -0.9930
 -0.9931 -1.0011 -1.0119 -1.0228 -1.0330 -1.0422 -1.0510 -1.0594 -1.0680 -1.0780
 -1.0891
 -2.3622 -2.2348 -2.1168 -2.0074 -1.9058 -1.8114 -1.7236 -1.6415 -1.5636 -1.4919
 -1.4287 -1.3748 -1.3293 -1.2896 -1.2530 -1.1673 -1.0924 -1.0358 -0.9993 -0.9818
 -0.9807 -0.9899 -1.0047 -1.0215 -1.0379 -1.0531 -1.0670 -1.0797 -1.0915 -1.1033
 -1.1160
 -2.3276 -2.1873 -2.0652 -1.9575 -1.8607 -1.7717 -1.6882 -1.6085 -1.5334 -1.4639
 -1.4009 -1.3452 -1.2978 -1.2579 -1.2234 -1.1478 -1.0797 -1.0255 -0.9898
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -3.6231 -3.5469 -3.4260 -3.1975 -2.9427 -2.7065 -2.5114 -2.3503 -2.2053 -2.0693
 -1.9408 -1.8211 -1.7110 -1.6104 -1.5190 -1.3306 -1.1786 -1.0568 -0.9841
 -3.3313 -3.1435 -3.0384 -2.9743 -2.8165 -2.6049 -2.4068 -2.2431 -2.1029 -1.9739
 -1.8531 -1.7412 -1.6390 -1.5465 -1.4630 -1.2890 -1.1555 -1.0579 -0.9914 -0.9475
 -3.1731 -2.9628 -2.7849 -2.6513 -2.5808 -2.4957 -2.3384 -2.1720 -2.0309 -1.9083
 -1.7945 -1.6896 -1.5939 -1.5075 -1.4298 -1.2685 -1.1465 -1.0589 -1.0001 -0.9609
 -0.9342
 -3.0626 -2.8596 -2.6716 -2.5022 -2.3632 -2.2660 -2.2024 -2.1108 -1.9815 -1.8606
 -1.7523 -1.6536 -1.5637 -1.4825 -1.4093 -1.2573 -1.1427 -1.0617 -1.0084 -0.9735
 -0.9493 -0.9325
