 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.9027 -4.8349 -5.0349 -4.9646 -4.7697 -4.5129 -4.2313 -4.0387 -3.8658 -3.6875
 -3.5206 -3.3663 -3.2239 -3.0925 -2.9689 -2.7041 -2.4479 -2.2066 -2.0680
 -4.8943 -4.6674 -4.4854 -4.3631 -4.2940 -4.1922 -4.0255 -3.8410 -3.6685 -3.5050
 -3.3501 -3.2056 -3.0723 -2.9491 -2.8346 -2.5796 -2.3638 -2.1902 -2.0587 -1.9585
 -4.6827 -4.4586 -4.2586 -4.0891 -3.9525 -3.8612 -3.7886 -3.6751 -3.5282 -3.3734
 -3.2284 -3.0931 -2.9679 -2.8525 -2.7463 -2.5148 -2.3241 -2.1705 -2.0526 -1.9616
 -1.8891
 -4.5143 -4.3087 -4.1137 -3.9379 -3.7840 -3.6508 -3.5417 -3.4609 -3.3779 -3.2664
 -3.1376 -3.0108 -2.8930 -2.7841 -2.6838 -2.4680 -2.2949 -2.1580 -2.0511 -1.9681
 -1.9012 -1.8453
 -4.3702 -4.1862 -4.0054 -3.8347 -3.6798 -3.5413 -3.4180 -3.3089 -3.2202 -3.1390
 -3.0500 -2.9460 -2.8380 -2.7351 -2.6400 -2.4353 -2.2738 -2.1486 -2.0518 -1.9763
 -1.9148 -1.8630 -1.8182 -1.7790
 -4.2458 -4.0777 -3.9147 -3.7545 -3.6040 -3.4665 -3.3426 -3.2307 -3.1299 -3.0393
 -2.9573 -2.8766 -2.7894 -2.6980 -2.6084 -2.4128 -2.2587 -2.1411 -2.0519 -1.9835
 -1.9279 -1.8808 -1.8398 -1.8031 -1.7683 -1.7369 -1.7108 -1.6916 -1.6806 -1.6784
 -4.1412 -3.9828 -3.8323 -3.6856 -3.5426 -3.4089 -3.2864 -3.1753 -3.0752 -2.9836
 -2.8982 -2.8177 -2.7402 -2.6623 -2.5829 -2.3970 -2.2478 -2.1338 -2.0498 -1.9875
 -1.9381 -1.8965 -1.8601 -1.8273 -1.7972 -1.7682 -1.7419 -1.7207 -1.7064 -1.7005
 -1.7047
 -4.0563 -3.9027 -3.7585 -3.6214 -3.4886 -3.3605 -3.2407 -3.1309 -3.0318 -2.9418
 -2.8586 -2.7798 -2.7036 -2.6300 -2.5578 -2.3860 -2.2404 -2.1282 -2.0459 -1.9871
 -1.9432 -1.9076 -1.8769 -1.8490 -1.8232 -1.7987 -1.7742 -1.7523 -1.7357 -1.7269
 -1.7272
 -3.9913 -3.8386 -3.6962 -3.5596 -3.4357 -3.3152 -3.1997 -3.0917 -2.9932 -2.9041
 -2.8228 -2.7470 -2.6744 -2.6038 -2.5348 -2.3734 -2.2339 -2.1232 -2.0406 -1.9827
 -1.9421 -1.9120 -1.8874 -1.8656 -1.8452 -1.8255 -1.8066 -1.7888 -1.7739 -1.7622
 -1.7534
 -3.9462 -3.7918 -3.6481 -3.5143 -3.3895 -3.2729 -3.1633 -3.0585 -2.9609 -2.8718
 -2.7911 -2.7172 -2.6480 -2.5809 -2.5156 -2.3627 -2.2287 -2.1200 -2.0371 -1.9781
 -1.9379 -1.9106 -1.8912 -1.8756 -1.8615 -1.8477 -1.8342 -1.8207 -1.8077 -1.7961
 -1.7857
 -3.9169 -3.7582 -3.6116 -3.4761 -3.3506 -3.2343 -3.1266 -3.0262 -2.9311 -2.8423
 -2.7614 -2.6880 -2.6206 -2.5574 -2.4966 -2.3518 -2.2227 -2.1163 -2.0340 -1.9737
 -1.9324 -1.9055 -1.8888 -1.8781 -1.8701 -1.8629 -1.8556 -1.8478 -1.8396 -1.8316
 -1.8247
 -3.8868 -3.7180 -3.5674 -3.4319 -3.3088 -3.1957 -3.0905 -2.9918 -2.8995 -2.8133
 -2.7334 -2.6598 -2.5929 -2.5315 -2.4738 -2.3388 -2.2157 -2.1119 -2.0303
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.2711 -5.1787 -5.0422 -4.7942 -4.5161 -4.2533 -4.0312 -3.8439 -3.6731 -3.5121
 -3.3600 -3.2186 -3.0883 -2.9683 -2.8575 -2.6183 -2.4042 -2.2103 -2.0687
 -4.9419 -4.7296 -4.6091 -4.5335 -4.3589 -4.1241 -3.8992 -3.7080 -3.5403 -3.3841
 -3.2372 -3.1012 -2.9767 -2.8633 -2.7596 -2.5343 -2.3441 -2.1835 -2.0544 -1.9536
 -4.7617 -4.5227 -4.3237 -4.1739 -4.0907 -3.9904 -3.8100 -3.6165 -3.4471 -3.2959
 -3.1542 -3.0228 -2.9024 -2.7931 -2.6937 -2.4810 -2.3066 -2.1626 -2.0467 -1.9551
 -1.8817
 -4.6379 -4.4035 -4.1915 -4.0025 -3.8466 -3.7340 -3.6545 -3.5414 -3.3849 -3.2352
 -3.0977 -2.9706 -2.8539 -2.7475 -2.6510 -2.4460 -2.2814 -2.1490 -2.0434 -1.9597
 -1.8920 -1.8355
 -4.5435 -4.3209 -4.1115 -3.9216 -3.7528 -3.6024 -3.4757 -3.3759 -3.2928 -3.1852
