 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -7.6628 -7.4493 -7.6100 -7.5309 -7.3086 -6.9497 -6.4863 -6.2022 -5.9228 -5.6323
 -5.3560 -5.1000 -4.8631 -4.6372 -4.4184 -3.9258 -3.4132 -2.9348 -2.5942
 -7.4914 -7.1297 -6.8452 -6.6513 -6.5308 -6.3748 -6.1319 -5.8463 -5.5604 -5.2795
 -5.0107 -4.7604 -4.5290 -4.3134 -4.1097 -3.6367 -3.2036 -2.8334 -2.5466 -2.3262
 -7.1525 -6.7928 -6.4792 -6.2188 -6.0069 -5.8533 -5.7228 -5.5347 -5.2896 -5.0223
 -4.7614 -4.5156 -4.2897 -4.0825 -3.8912 -3.4649 -3.0884 -2.7623 -2.5050 -2.3064
 -2.1473
 -6.8736 -6.5441 -6.2364 -5.9646 -5.7262 -5.5125 -5.3255 -5.1725 -5.0110 -4.8036
 -4.5692 -4.3357 -4.1160 -3.9145 -3.7309 -3.3362 -3.0025 -2.7155 -2.4808 -2.2995
 -2.1539 -2.0309
 -6.6208 -6.3326 -6.0491 -5.7845 -5.5453 -5.3251 -5.1170 -4.9207 -4.7473 -4.5808
 -4.4012 -4.2005 -3.9963 -3.8019 -3.6232 -3.2474 -2.9426 -2.6832 -2.4694 -2.3016
 -2.1671 -2.0533 -1.9531 -1.8629
 -6.3858 -6.1345 -5.8853 -5.6394 -5.4085 -5.1939 -4.9898 -4.7914 -4.5998 -4.4177
 -4.2487 -4.0830 -3.9090 -3.7311 -3.5592 -3.1926 -2.9048 -2.6645 -2.4662 -2.3088
 -2.1833 -2.0780 -1.9852 -1.9009 -1.8194 -1.7424 -1.6730 -1.6137 -1.5664 -1.5321
 -6.1691 -5.9479 -5.7297 -5.5098 -5.2932 -5.0883 -4.8931 -4.7037 -4.5179 -4.3348
 -4.1587 -3.9930 -3.8353 -3.6792 -3.5232 -3.1660 -2.8848 -2.6572 -2.4683 -2.3178
 -2.1994 -2.1018 -2.0166 -1.9390 -1.8671 -1.7996 -1.7367 -1.6788 -1.6262 -1.5820
 -1.5571
 -5.9710 -5.7743 -5.5801 -5.3854 -5.1892 -4.9954 -4.8095 -4.6310 -4.4564 -4.2827
 -4.1110 -3.9449 -3.7873 -3.6382 -3.4947 -3.1594 -2.8792 -2.6571 -2.4741 -2.3272
 -2.2130 -2.1219 -2.0442 -1.9740 -1.9089 -1.8474 -1.7882 -1.7329 -1.6837 -1.6421
 -1.6091
 -5.7920 -5.6150 -5.4392 -5.2611 -5.0862 -4.9091 -4.7329 -4.5623 -4.3981 -4.2361
 -4.0742 -3.9141 -3.7592 -3.6116 -3.4716 -3.1533 -2.8807 -2.6595 -2.4806 -2.3352
 -2.2226 -2.1356 -2.0647 -2.0025 -1.9451 -1.8906 -1.8389 -1.7898 -1.7449 -1.7042
 -1.6674
 -5.6323 -5.4714 -5.3101 -5.1486 -4.9872 -4.8260 -4.6648 -4.5034 -4.3459 -4.1933
 -4.0430 -3.8930 -3.7444 -3.6008 -3.4636 -3.1515 -2.8868 -2.6678 -2.4902 -2.3458
 -2.2324 -2.1463 -2.0796 -2.0243 -1.9749 -1.9285 -1.8842 -1.8417 -1.8011 -1.7632
 -1.7282
 -5.4888 -5.3376 -5.1869 -5.0368 -4.8876 -4.7392 -4.5917 -4.4447 -4.2969 -4.1509
 -4.0087 -3.8688 -3.7297 -3.5921 -3.4580 -3.1515 -2.8918 -2.6753 -2.4983 -2.3552
 -2.2414 -2.1545 -2.0890 -2.0381 -1.9956 -1.9574 -1.9215 -1.8867 -1.8530 -1.8208
 -1.7907
 -5.3473 -5.1852 -5.0369 -4.8984 -4.7657 -4.6354 -4.5050 -4.3727 -4.2392 -4.1052
 -3.9717 -3.8394 -3.7091 -3.5801 -3.4526 -3.1527 -2.8953 -2.6817 -2.5058
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = BX   
 -7.9621 -7.7896 -7.5796 -7.2454 -6.8593 -6.4704 -6.1274 -5.8342 -5.5621 -5.3020
 -5.0538 -4.8224 -4.6090 -4.4102 -4.2224 -3.7928 -3.3703 -2.9675 -2.6386
 -7.4466 -7.1159 -6.9234 -6.7982 -6.5589 -6.2299 -5.8899 -5.5834 -5.3068 -5.0442
 -4.7944 -4.5627 -4.3510 -4.1574 -3.9780 -3.5718 -3.2014 -2.8622 -2.5745 -2.3461
 -7.1503 -6.7817 -6.4847 -6.2644 -6.1313 -5.9755 -5.7091 -5.4077 -5.1252 -4.8629
 -4.6126 -4.3797 -4.1674 -3.9753 -3.8001 -3.4168 -3.0845 -2.7870 -2.5306 -2.3237
 -2.1576
 -6.9372 -6.5789 -6.2627 -5.9883 -5.7615 -5.5885 -5.4506 -5.2595 -5.0014 -4.7428
 -4.4950 -4.2613 -4.0472 -3.8542 -3.6800 -3.3089 -3.0017 -2.7352 -2.5042 -2.3144
 -2.1613 -2.0335
 -6.7615 -6.4300 -6.1197 -5.8435 -5.6002 -5.3786 -5.1805 -5.0098 -4.8522 -4.6509
 -4.4209 -4.1921 -3.9777 -3.7825 -3.6068 -3.2397 -2.9471 -2.7016 -2.4904 -2.3144
 -2.1717 -2.0529 -1.9499 -1.8568
 -6.6147 -6.3044 -6.0123 -5.7392 -5.4937 -5.2709 -5.0597 -4.8574 -4.6715 -4.5072
 -4.3379 -4.1441 -3.9413 -3.7475 -3.5698 -3.2003 -2.9143 -2.6816 -2.4847 -2.3200
 -2.1859 -2.0751 -1.9794 -1.8937 -1.8147 -1.7418 -1.6752 -1.6150 -1.5626 -1.5251
 -6.4718 -6.1895 -5.9207 -5.6591 -5.4151 -5.1936 -4.9880 -4.7892 -4.5942 -4.4081
 -4.2346 -4.0721 -3.9055 -3.7310 -3.5583 -3.1837 -2.8978 -2.6716 -2.4842 -2.3277
 -2.2007 -2.0970 -2.0086 -1.9296 -1.8572 -1.7882 -1.7239 -1.6666 -1.6180 -1.5791
 -1.5493
 -6.3368 -6.0794 -5.8355 -5.5910 -5.3541 -5.1327 -4.9303 -4.7398 -4.5536 -4.3691
 -4.1888 -4.0170 -3.8573 -3.7047 -3.5515 -3.1862 -2.8939 -2.6691 -2.4869 -2.3360
 -2.2141 -2.1162 -2.0347 -1.9629 -1.8972 -1.8344 -1.7754 -1.7215 -1.6738 -1.6334
 -1.6006
 -6.2148 -5.9747 -5.7491 -5.5241 -5.3002 -5.0830 -4.8803 -4.6928 -4.5155 -4.3412
 -4.1676 -3.9959 -3.8314 -3.6777 -3.5332 -3.1935 -2.8991 -2.6704 -2.4901 -2.3426
 -2.2235 -2.1298 -2.0545 -1.9901 -1.9318 -1.8774 -1.8263 -1.7791 -1.7355 -1.6954
 -1.6585
 -6.1106 -5.8775 -5.6635 -5.4590 -5.2518 -5.0459 -4.8455 -4.6570 -4.4822 -4.3162
 -4.1535 -3.9908 -3.8294 -3.6740 -3.5278 -3.2003 -2.9147 -2.6806 -2.4982 -2.3517
 -2.2335 -2.1410 -2.0695 -2.0114 -1.9608 -1.9141 -1.8703 -1.8285 -1.7890 -1.7523
 -1.7186
 -6.0237 -5.7883 -5.5798 -5.3879 -5.1963 -5.0066 -4.8170 -4.6314 -4.4553 -4.2908
 -4.1348 -3.9825 -3.8306 -3.6798 -3.5339 -3.2062 -2.9278 -2.6944 -2.5081 -2.3607
 -2.2425 -2.1498 -2.0793 -2.0253 -1.9812 -1.9424 -1.9067 -1.8725 -1.8397 -1.8086
 -1.7798
 -5.9481 -5.7069 -5.4979 -5.3084 -5.1302 -4.9557 -4.7810 -4.6070 -4.4357 -4.2709
 -4.1157 -3.9685 -3.8255 -3.6840 -3.5437 -3.2167 -2.9390 -2.7076 -2.5190
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = BX   
 -8.1052 -7.8120 -7.3756 -6.9203 -6.4783 -6.0940 -5.7927 -5.5245 -5.2713 -5.0353
 -4.8117 -4.6023 -4.4090 -4.2313 -4.0665 -3.6910 -3.3382 -2.9971 -2.6862
 -7.4365 -7.2686 -7.0952 -6.7460 -6.3469 -5.9577 -5.6226 -5.3410 -5.0822 -4.8423
 -4.6151 -4.4029 -4.2080 -4.0308 -3.8687 -3.5104 -3.1892 -2.8898 -2.6162 -2.3816
 -7.1480 -6.8019 -6.6019 -6.4886 -6.2312 -5.8811 -5.5332 -5.2287 -4.9631 -4.7200
 -4.4904 -4.2752 -4.0772 -3.8977 -3.7350 -3.3843 -3.0828 -2.8123 -2.5682 -2.3556
 -2.1795
 -6.9991 -6.6155 -6.3054 -6.0792 -5.9413 -5.7784 -5.4911 -5.1804 -4.8995 -4.6510
 -4.4200 -4.2021 -4.0005 -3.8170 -3.6515 -3.3012 -3.0109 -2.7594 -2.5371 -2.3423
 -2.1788 -2.0429
 -6.8976 -6.5188 -6.1851 -5.9011 -5.6686 -5.4838 -5.3408 -5.1445 -4.8804 -4.6219
 -4.3889 -4.1694 -3.9641 -3.7759 -3.6060 -3.2506 -2.9650 -2.7253 -2.5185 -2.3380
 -2.1852 -2.0579 -1.9497 -1.8553
 -6.8200 -6.4569 -6.1194 -5.8201 -5.5593 -5.3318 -5.1326 -4.9601 -4.8044 -4.6078
 -4.3826 -4.1645 -3.9572 -3.7645 -3.5892 -3.2243 -2.9379 -2.7047 -2.5083 -2.3393
 -2.1957 -2.0762 -1.9750 -1.8864 -1.8071 -1.7350 -1.6681 -1.6051 -1.5492 -1.5148
 -6.7566 -6.4125 -6.0826 -5.7783 -5.5079 -5.2707 -5.0557 -4.8539 -4.6678 -4.5028
 -4.3426 -4.1615 -3.9659 -3.7738 -3.5941 -3.2166 -2.9249 -2.6938 -2.5039 -2.3434
 -2.2077 -2.0950 -2.0006 -1.9187 -1.8449 -1.7773 -1.7154 -1.6585 -1.6064 -1.5620
 -1.5374
 -6.6977 -6.3766 -6.0598 -5.7580 -5.4812 -5.2347 -5.0156 -4.8133 -4.6200 -4.4353
 -4.2641 -4.1063 -3.9490 -3.7822 -3.6109 -3.2245 -2.9236 -2.6905 -2.5035 -2.3486
 -2.2192 -2.1125 -2.0243 -1.9491 -1.8818 -1.8202 -1.7622 -1.7088 -1.6612 -1.6206
 -1.5875
 -6.6448 -6.3392 -6.0397 -5.7467 -5.4688 -5.2152 -4.9889 -4.7854 -4.5958 -4.4124
 -4.2348 -4.0658 -3.9066 -3.7563 -3.6083 -3.2416 -2.9300 -2.6911 -2.5043 -2.3527
 -2.2276 -2.1254 -2.0428 -1.9742 -1.9141 -1.8592 -1.8086 -1.7622 -1.7197 -1.6808
 -1.6452
 -6.6017 -6.3074 -6.0218 -5.7437 -5.4722 -5.2156 -4.9815 -4.7714 -4.5814 -4.4032
 -4.2306 -4.0620 -3.8982 -3.7422 -3.5963 -3.2594 -2.9514 -2.7022 -2.5114 -2.3599
 -2.2367 -2.1371 -2.0580 -1.9947 -1.9415 -1.8940 -1.8505 -1.8096 -1.7714 -1.7363
 -1.7049
 -6.5705 -6.2653 -5.9944 -5.7337 -5.4772 -5.2262 -4.9887 -4.7707 -4.5742 -4.3954
 -4.2278 -4.0656 -3.9059 -3.7494 -3.5994 -3.2667 -2.9746 -2.7215 -2.5227 -2.3685
 -2.2453 -2.1463 -2.0688 -2.0090 -1.9614 -1.9212 -1.8852 -1.8517 -1.8201 -1.7906
 -1.7633
 -6.5548 -6.2317 -5.9587 -5.7107 -5.4692 -5.2325 -5.0027 -4.7825 -4.5787 -4.3936
 -4.2246 -4.0665 -3.9138 -3.7634 -3.6153 -3.2767 -2.9909 -2.7436 -2.5388
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = BX   
 -8.1182 -7.7040 -7.2085 -6.7429 -6.3134 -5.9444 -5.6497 -5.3915 -5.1521 -4.9258
 -4.7132 -4.5138 -4.3293 -4.1599 -4.0036 -3.6518 -3.3262 -3.0107 -2.7112
 -7.5108 -7.3814 -7.0593 -6.6357 -6.2198 -5.8319 -5.5106 -5.2383 -4.9914 -4.7613
 -4.5449 -4.3424 -4.1556 -3.9852 -3.8296 -3.4890 -3.1864 -2.9035 -2.6403 -2.4060
 -7.1454 -6.8606 -6.7504 -6.5318 -6.1680 -5.7934 -5.4445 -5.1511 -4.8959 -4.6618
 -4.4426 -4.2369 -4.0466 -3.8730 -3.7155 -3.3776 -3.0883 -2.8274 -2.5899 -2.3775
 -2.1964
 -7.0159 -6.6289 -6.3498 -6.1975 -6.0626 -5.7727 -5.4368 -5.1208 -4.8501 -4.6099
 -4.3884 -4.1799 -3.9858 -3.8079 -3.6464 -3.3053 -3.0225 -2.7755 -2.5564 -2.3614
 -2.1932 -2.0521
 -6.9492 -6.5471 -6.2045 -5.9360 -5.7393 -5.6046 -5.4158 -5.1324 -4.8469 -4.5941
 -4.3689 -4.1581 -3.9603 -3.7776 -3.6112 -3.2621 -2.9803 -2.7418 -2.5353 -2.3540
