 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.1184 -2.0771 -2.2656 -2.2380 -2.1105 -1.9208 -1.7023 -1.5578 -1.4288 -1.2932
 -1.1641 -1.0426 -0.9297 -0.8253 -0.7306 -0.5307 -0.3677 -0.2283 -0.1441
 -2.1108 -1.9727 -1.8581 -1.7846 -1.7515 -1.6896 -1.5717 -1.4360 -1.3073 -1.1835
 -1.0641 -0.9514 -0.8470 -0.7513 -0.6640 -0.4780 -0.3323 -0.2235 -0.1454 -0.0886
 -1.9521 -1.8189 -1.6916 -1.5791 -1.4885 -1.4337 -1.3950 -1.3225 -1.2184 -1.1033
 -0.9928 -0.8878 -0.7900 -0.7004 -0.6190 -0.4481 -0.3172 -0.2204 -0.1507 -0.0994
 -0.0603
 -1.8157 -1.7004 -1.5807 -1.4650 -1.3599 -1.2687 -1.1966 -1.1488 -1.1000 -1.0265
 -0.9340 -0.8383 -0.7475 -0.6635 -0.5869 -0.4269 -0.3065 -0.2198 -0.1574 -0.1112
 -0.0753 -0.0466
 -1.6856 -1.5925 -1.4893 -1.3821 -1.2782 -1.1824 -1.0969 -1.0225 -0.9648 -0.9142
 -0.8581 -0.7880 -0.7107 -0.6341 -0.5625 -0.4114 -0.2983 -0.2190 -0.1635 -0.1227
 -0.0906 -0.0644 -0.0428 -0.0251
 -1.5601 -1.4842 -1.4012 -1.3088 -1.2135 -1.1205 -1.0344 -0.9565 -0.8868 -0.8252
 -0.7713 -0.7197 -0.6630 -0.6014 -0.5391 -0.3988 -0.2911 -0.2166 -0.1666 -0.1319
 -0.1045 -0.0819 -0.0629 -0.0465 -0.0312 -0.0185 -0.0101 -0.0075 -0.0116 -0.0231
 -1.4421 -1.3776 -1.3106 -1.2343 -1.1518 -1.0671 -0.9846 -0.9077 -0.8382 -0.7748
 -0.7164 -0.6624 -0.6118 -0.5615 -0.5098 -0.3854 -0.2834 -0.2108 -0.1652 -0.1363
 -0.1149 -0.0971 -0.0818 -0.0684 -0.0563 -0.0444 -0.0346 -0.0292 -0.0300 -0.0384
 -0.0549
 -1.3347 -1.2766 -1.2184 -1.1551 -1.0862 -1.0132 -0.9384 -0.8652 -0.7973 -0.7355
 -0.6788 -0.6255 -0.5747 -0.5266 -0.4800 -0.3694 -0.2747 -0.2042 -0.1598 -0.1347
 -0.1193 -0.1076 -0.0974 -0.0881 -0.0795 -0.0713 -0.0625 -0.0555 -0.0531 -0.0577
 -0.0706
 -1.2407 -1.1853 -1.1303 -1.0722 -1.0145 -0.9529 -0.8882 -0.8223 -0.7581 -0.6981
 -0.6435 -0.5931 -0.5453 -0.4992 -0.4545 -0.3515 -0.2638 -0.1965 -0.1516 -0.1279
 -0.1168 -0.1111 -0.1072 -0.1036 -0.0997 -0.0954 -0.0911 -0.0871 -0.0855 -0.0867
 -0.0904
 -1.1630 -1.1078 -1.0527 -0.9978 -0.9430 -0.8884 -0.8335 -0.7765 -0.7188 -0.6625
 -0.6099 -0.5618 -0.5172 -0.4742 -0.4327 -0.3362 -0.2531 -0.1884 -0.1437 -0.1191
 -0.1092 -0.1076 -0.1096 -0.1124 -0.1145 -0.1156 -0.1158 -0.1153 -0.1148 -0.1153
 -0.1168
 -1.1016 -1.0419 -0.9844 -0.9290 -0.8755 -0.8237 -0.7737 -0.7247 -0.6748 -0.6245
 -0.5755 -0.5295 -0.4873 -0.4482 -0.4108 -0.3216 -0.2424 -0.1800 -0.1363 -0.1102
