 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.2886 -0.2951 -0.4796 -0.5021 -0.4471 -0.3469 -0.2148 -0.1361 -0.0653  0.0101
  0.0815  0.1482  0.2101  0.2633  0.3088  0.3992  0.4171  0.3829  0.3531
 -0.3089 -0.2600 -0.2227 -0.2113 -0.2271 -0.2204 -0.1706 -0.1035 -0.0372  0.0271
  0.0891  0.1471  0.1997  0.2456  0.2845  0.3504  0.3730  0.3627  0.3355  0.3002
 -0.2086 -0.1660 -0.1225 -0.0854 -0.0603 -0.0589 -0.0686 -0.0542 -0.0131  0.0403
  0.0938  0.1454  0.1927  0.2342  0.2694  0.3294  0.3508  0.3405  0.3130  0.2780
  0.2390
 -0.1132 -0.0864 -0.0506 -0.0133  0.0202  0.0475  0.0633  0.0617  0.0596  0.0749
  0.1078  0.1485  0.1894  0.2266  0.2583  0.3129  0.3333  0.3232  0.2952  0.2600
  0.2214  0.1803
 -0.0114 -0.0046  0.0164  0.0455  0.0761  0.1047  0.1294  0.1489  0.1571  0.1588
  0.1620  0.1754  0.1983  0.2262  0.2535  0.3025  0.3213  0.3109  0.2824  0.2460
  0.2068  0.1656  0.1227  0.0779
  0.0981  0.0872  0.0898  0.1049  0.1270  0.1512  0.1742  0.1952  0.2131  0.2263
  0.2329  0.2355  0.2402  0.2493  0.2622  0.2988  0.3155  0.3048  0.2753  0.2364
  0.1954  0.1532  0.1097  0.0648  0.0186 -0.0292 -0.0790 -0.1312 -0.1859 -0.2433
  0.2131  0.1880  0.1741  0.1732  0.1824  0.1977  0.2155  0.2332  0.2495  0.2642
  0.2765  0.2849  0.2893  0.2917  0.2946  0.3062  0.3162  0.3065  0.2750  0.2325
  0.1881  0.1437  0.0988  0.0532  0.0066 -0.0401 -0.0880 -0.1386 -0.1932 -0.2518
 -0.3119
  0.3316  0.2950  0.2685  0.2533  0.2481  0.2512  0.2600  0.2716  0.2838  0.2956
  0.3064  0.3156  0.3227  0.3268  0.3286  0.3282  0.3251  0.3125  0.2810  0.2357
  0.1867  0.1384  0.0910  0.0438 -0.0038 -0.0518 -0.0998 -0.1491 -0.2012 -0.2572
 -0.3178
  0.4515  0.4057  0.3695  0.3434  0.3250  0.3155  0.3129  0.3155  0.3210  0.3281
  0.3353  0.3419  0.3475  0.3517  0.3542  0.3521  0.3413  0.3228  0.2913  0.2446
  0.1916  0.1384  0.0868  0.0366 -0.0130 -0.0621 -0.1116 -0.1616 -0.2134 -0.2671
 -0.3225
  0.5707  0.5173  0.4734  0.4381  0.4106  0.3902  0.3763  0.3684  0.3649  0.3649
  0.3669  0.3694  0.3718  0.3737  0.3747  0.3717  0.3589  0.3368  0.3042  0.2583
  0.2035  0.1463  0.0901  0.0357 -0.0170 -0.0684 -0.1193 -0.1699 -0.2209 -0.2729
 -0.3273
  0.6873  0.6290  0.5791  0.5369  0.5017  0.4728  0.4497  0.4318  0.4186  0.4098
  0.4044  0.4011  0.3991  0.3973  0.3954  0.3881  0.3745  0.3508  0.3169  0.2724
  0.2183  0.1595  0.0998  0.0411 -0.0155 -0.0702 -0.1236 -0.1759 -0.2277 -0.2797
 -0.3324
  0.8002  0.7456  0.6941  0.6464  0.6032  0.5650  0.5322  0.5049  0.4827  0.4648
  0.4507  0.4399  0.4316  0.4249  0.4191  0.4046  0.3880  0.3639  0.3294
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -0.5582 -0.5787 -0.5651 -0.4789 -0.3693 -0.2630 -0.1749 -0.1032 -0.0382  0.0236
  0.0820  0.1370  0.1885  0.2358  0.2782  0.3620  0.3985  0.3931  0.3672
 -0.4122 -0.3642 -0.3585 -0.3753 -0.3320 -0.2479 -0.1624 -0.0908 -0.0289  0.0285
  0.0825  0.1332  0.1806  0.2238  0.2622  0.3330  0.3672  0.3668  0.3432  0.3090
 -0.3226 -0.2643 -0.2134 -0.1845 -0.1938 -0.1942 -0.1454 -0.0796 -0.0201  0.0332
  0.0830  0.1298  0.1735  0.2133  0.2485  0.3131  0.3445  0.3450  0.3221  0.2881
  0.2493
 -0.2419 -0.1953 -0.1419 -0.0911 -0.0547 -0.0427 -0.0523 -0.0444 -0.0050  0.0415
  0.0864  0.1293  0.1696  0.2063  0.2388  0.2981  0.3270  0.3279  0.3059  0.2718
  0.2329  0.1915
 -0.1549 -0.1280 -0.0860 -0.0393  0.0037  0.0399  0.0639  0.0711  0.0657  0.0741
  0.1003  0.1347  0.1702  0.2037  0.2337  0.2883  0.3148  0.3156  0.2942  0.2595
  0.2199  0.1780  0.1343  0.0883
 -0.0587 -0.0507 -0.0274  0.0084  0.0477  0.0845  0.1168  0.1433  0.1597  0.1625
  0.1609  0.1669  0.1839  0.2082  0.2340  0.2838  0.3079  0.3084  0.2872  0.2514
  0.2100  0.1668  0.1224  0.0766  0.0299 -0.0183 -0.0688 -0.1224 -0.1790 -0.2372
  0.0505  0.0394  0.0431  0.0620  0.0909  0.1226  0.1529  0.1803  0.2042  0.2225
  0.2329  0.2352  0.2355  0.2396  0.2491  0.2847  0.3061  0.3060  0.2851  0.2480
  0.2040  0.1586  0.1126  0.0660  0.0183 -0.0300 -0.0796 -0.1315 -0.1864 -0.2447
 -0.3061
  0.1664  0.1414  0.1277  0.1287  0.1418  0.1635  0.1881  0.2120  0.2340  0.2540
  0.2706  0.2827  0.2890  0.2905  0.2907  0.2970  0.3095  0.3082  0.2877  0.2501
  0.2030  0.1542  0.1058  0.0574  0.0088 -0.0395 -0.0886 -0.1396 -0.1934 -0.2507
 -0.3120
  0.2854  0.2503  0.2242  0.2095  0.2067  0.2140  0.2284  0.2462  0.2640  0.2809
  0.2964  0.3098  0.3204  0.3271  0.3297  0.3263  0.3215  0.3147  0.2940  0.2565
  0.2074  0.1546  0.1023  0.0511  0.0006 -0.0498 -0.1006 -0.1527 -0.2062 -0.2608
 -0.3164
  0.4040  0.3613  0.3264  0.3014  0.2848  0.2778  0.2790  0.2867  0.2976  0.3097
  0.3214  0.3323  0.3419  0.3496  0.3547  0.3542  0.3425  0.3267  0.3038  0.2672
  0.2179  0.1622  0.1058  0.0508 -0.0028 -0.0553 -0.1074 -0.1593 -0.2117 -0.2650
 -0.3206
  0.5178  0.4733  0.4329  0.4000  0.3727  0.3543  0.3431  0.3387  0.3396  0.3444
  0.3507  0.3573  0.3635  0.3690  0.3734  0.3751  0.3634  0.3428  0.3158  0.2795
  0.2313  0.1748  0.1154  0.0564 -0.0009 -0.0566 -0.1111 -0.1646 -0.2176 -0.2708
 -0.3247
  0.6280  0.5863  0.5437  0.5043  0.4696  0.4410  0.4192  0.4038  0.3937  0.3886
  0.3873  0.3879  0.3893  0.3909  0.3923  0.3914  0.3804  0.3590  0.3293
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.7262 -0.6846 -0.5597 -0.4254 -0.2973 -0.1924 -0.1207 -0.0619 -0.0068  0.0455
  0.0940  0.1395  0.1822  0.2224  0.2597  0.3360  0.3823  0.3957  0.3793
 -0.5050 -0.5178 -0.5142 -0.4187 -0.3041 -0.1986 -0.1175 -0.0567 -0.0023  0.0474
  0.0932  0.1357  0.1756  0.2128  0.2473  0.3168  0.3578  0.3690  0.3536  0.3221
 -0.4096 -0.3438 -0.3251 -0.3438 -0.2938 -0.2035 -0.1179 -0.0514  0.0021  0.0499
  0.0932  0.1331  0.1704  0.2052  0.2373  0.3014  0.3384  0.3483  0.3339  0.3029
  0.2644
 -0.3455 -0.2752 -0.2087 -0.1688 -0.1726 -0.1710 -0.1158 -0.0484  0.0076  0.0541
  0.0952  0.1329  0.1678  0.2004  0.2303  0.2899  0.3239  0.3326  0.3188  0.2884
  0.2498  0.2077
 -0.2760 -0.2242 -0.1593 -0.0967 -0.0503 -0.0295 -0.0357 -0.0261  0.0154  0.0610
  0.1003  0.1356  0.1683  0.1987  0.2267  0.2823  0.3137  0.3213  0.3077  0.2777
  0.2385  0.1958  0.1513  0.1055
 -0.1933 -0.1648 -0.1166 -0.0589 -0.0036  0.0418  0.0722  0.0833  0.0793  0.0867
  0.1125  0.1426  0.1723  0.2004  0.2264  0.2783  0.3073  0.3138  0.3003  0.2704
  0.2304  0.1865  0.1410  0.0941  0.0462 -0.0036 -0.0559 -0.1114 -0.1696 -0.2274
 -0.0969 -0.0899 -0.0636 -0.0217  0.0274  0.0746  0.1149  0.1464  0.1667  0.1731
  0.1713  0.1744  0.1874  0.2076  0.2300  0.2777  0.3045  0.3099  0.2963  0.2665
  0.2257  0.1800  0.1330  0.0850  0.0359 -0.0138 -0.0651 -0.1188 -0.1758 -0.2359
 -0.2965
  0.0095  0.0000  0.0058  0.0277  0.0621  0.1024  0.1417  0.1762  0.2046  0.2263
  0.2395  0.2434  0.2423  0.2427  0.2486  0.2809  0.3051  0.3094  0.2958  0.2663
  0.2248  0.1770  0.1277  0.0780  0.0279 -0.0230 -0.0743 -0.1270 -0.1821 -0.2404
 -0.3025
  0.1210  0.1008  0.0908  0.0941  0.1106  0.1373  0.1690  0.2006  0.2290  0.2533
  0.2730  0.2871  0.2950  0.2971  0.2961  0.2970  0.3098  0.3124  0.2985  0.2695
  0.2277  0.1778  0.1255  0.0731  0.0211 -0.0310 -0.0837 -0.1377 -0.1930 -0.2493
 -0.3066
  0.2326  0.2057  0.1865  0.1752  0.1750  0.1853  0.2042  0.2278  0.2520  0.2745
  0.2942  0.3105  0.3231  0.3315  0.3356  0.3315  0.3241  0.3192  0.3046  0.2764
  0.2354  0.1847  0.1295  0.0738  0.0189 -0.0352 -0.0892 -0.1430 -0.1973 -0.2525
 -0.3094
  0.3391  0.3135  0.2878  0.2670  0.2538  0.2495  0.2536  0.2651  0.2809  0.2983
  0.3149  0.3297  0.3421  0.3520  0.3589  0.3618  0.3493  0.3329  0.3138  0.2857
  0.2460  0.1956  0.1387  0.0798  0.0215 -0.0355 -0.0916 -0.1469 -0.2019 -0.2570
 -0.3127
  0.4387  0.4170  0.3901  0.3644  0.3431  0.3275  0.3186  0.3168  0.3210  0.3297
  0.3405  0.3512  0.3610  0.3693  0.3759  0.3823  0.3726  0.3523  0.3269
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  z   
 -0.7721 -0.6709 -0.5229 -0.3873 -0.2635 -0.1621 -0.0922 -0.0381  0.0105  0.0596
  0.1043  0.1459  0.1848  0.2210  0.2550  0.3272  0.3751  0.3941  0.3846
 -0.5728 -0.6004 -0.5211 -0.3925 -0.2733 -0.1686 -0.0922 -0.0349  0.0142  0.0611
  0.1035  0.1426  0.1789  0.2129  0.2447  0.3110  0.3535  0.3692  0.3591  0.3303
 -0.4394 -0.3933 -0.4160 -0.3816 -0.2796 -0.1790 -0.0939 -0.0317  0.0181  0.0634
  0.1038  0.1407  0.1748  0.2067  0.2364  0.2980  0.3367  0.3501  0.3400  0.3120
  0.2741
 -0.3812 -0.3013 -0.2420 -0.2362 -0.2428 -0.1804 -0.0993 -0.0294  0.0228  0.0672
  0.1059  0.1409  0.1731  0.2029  0.2307  0.2884  0.3240  0.3357  0.3256  0.2982
  0.2603  0.2181
 -0.3232 -0.2567 -0.1813 -0.1193 -0.0881 -0.0931 -0.0820 -0.0290  0.0274  0.0724
  0.1103  0.1435  0.1739  0.2019  0.2279  0.2818  0.3150  0.3253  0.3149  0.2879
  0.2499  0.2071  0.1621  0.1156
 -0.2515 -0.2083 -0.1464 -0.0787 -0.0202  0.0204  0.0369  0.0337  0.0449  0.0804
  0.1173  0.1488  0.1774  0.2037  0.2279  0.2782  0.3091  0.3182  0.3074  0.2808
  0.2426  0.1988  0.1528  0.1054  0.0563  0.0052 -0.0482 -0.1040 -0.1619 -0.2208
 -0.1645 -0.1441 -0.1041 -0.0496  0.0089  0.0608  0.1016  0.1282  0.1380  0.1364
  0.1424  0.1614  0.1849  0.2085  0.2308  0.2775  0.3061  0.3140  0.3031  0.2766
  0.2383  0.1933  0.1459  0.0973  0.0475 -0.0037 -0.0565 -0.1113 -0.1687 -0.2292
 -0.2892
 -0.0654 -0.0633 -0.0450 -0.0105  0.0353  0.0843  0.1292  0.1659  0.1933  0.2109
  0.2172  0.2164  0.2176  0.2253  0.2392  0.2797  0.3059  0.3128  0.3017  0.2755
  0.2373  0.1911  0.1418  0.0915  0.0405 -0.0114 -0.0640 -0.1180 -0.1743 -0.2334
 -0.2958
  0.0398  0.0305  0.0316  0.0464  0.0743  0.1111  0.1508  0.1882  0.2197  0.2449
  0.2634  0.2745  0.2782  0.2772  0.2761  0.2878  0.3091  0.3145  0.3031  0.2773
  0.2392  0.1920  0.1403  0.0875  0.0346 -0.0185 -0.0724 -0.1269 -0.1825 -0.2401
 -0.2997
  0.1454  0.1308  0.1205  0.1194  0.1295  0.1500  0.1780  0.2091  0.2390  0.2651
  0.2867  0.3034  0.3151  0.3214  0.3231  0.3176  0.3174  0.3194  0.3078  0.2826
  0.2453  0.1980  0.1444  0.0888  0.0332 -0.0219 -0.0769 -0.1319 -0.1874 -0.2439
 -0.3019
  0.2462  0.2319  0.2162  0.2048  0.2009  0.2058  0.2190  0.2386  0.2614  0.2843
  0.3050  0.3223  0.3361  0.3461  0.3526  0.3530  0.3412  0.3294  0.3152  0.2904
  0.2542  0.2075  0.1530  0.0948  0.0363 -0.0215 -0.0786 -0.1350 -0.1911 -0.2474
 -0.3042
  0.3377  0.3294  0.3133  0.2967  0.2836  0.2764  0.2761  0.2825  0.2942  0.3094
  0.3255  0.3404  0.3532  0.3635  0.3711  0.3778  0.3677  0.3486  0.3266
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  z   
 -0.7788 -0.6312 -0.4786 -0.3486 -0.2369 -0.1401 -0.0706 -0.0160  0.0294  0.0751
  0.1167  0.1552  0.1907  0.2237  0.2545  0.3212  0.3685  0.3906  0.3894
 -0.6603 -0.6279 -0.4959 -0.3578 -0.2425 -0.1445 -0.0710 -0.0150  0.0327  0.0767
  0.1163  0.1524  0.1858  0.2168  0.2458  0.3077  0.3502  0.3693  0.3643  0.3393
 -0.4689 -0.4758 -0.4749 -0.3701 -0.2513 -0.1516 -0.0719 -0.0123  0.0361  0.0792
  0.1170  0.1512  0.1827  0.2118  0.2390  0.2969  0.3360  0.3523  0.3463  0.3217
  0.2852
