 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -1.3242 -1.2487 -1.1642 -1.0717 -0.9760 -0.8829 -0.7967 -0.7195 -0.6524 -0.5965
 -0.5537 -0.5183 -0.4794 -0.4333 -0.3831 -0.2658 -0.1739 -0.1071 -0.0622 -0.0350
 -0.0216 -0.0176 -0.0182 -0.0205 -0.0237 -0.0276 -0.0315 -0.0369 -0.0459 -0.0598
 -0.0797
 -1.2583 -1.1887 -1.1159 -1.0364 -0.9515 -0.8651 -0.7809 -0.7020 -0.6301 -0.5656
 -0.5094 -0.4625 -0.4247 -0.3915 -0.3569 -0.2601 -0.1707 -0.1043 -0.0595 -0.0326
 -0.0204 -0.0190 -0.0237 -0.0307 -0.0382 -0.0457 -0.0536 -0.0617 -0.0709 -0.0829
 -0.0977
 -1.1988 -1.1301 -1.0638 -0.9947 -0.9211 -0.8441 -0.7665 -0.6908 -0.6192 -0.5530
 -0.4928 -0.4393 -0.3929 -0.3536 -0.3197 -0.2429 -0.1659 -0.1008 -0.0556 -0.0281
 -0.0159 -0.0160 -0.0241 -0.0358 -0.0483 -0.0605 -0.0723 -0.0836 -0.0949 -0.1070
 -0.1209
 -1.1510 -1.0764 -1.0115 -0.9482 -0.8833 -0.8159 -0.7465 -0.6770 -0.6092 -0.5445
 -0.4841 -0.4287 -0.3789 -0.3351 -0.2967 -0.2193 -0.1535 -0.0949 -0.0502 -0.0220
 -0.0090 -0.0092 -0.0194 -0.0351 -0.0526 -0.0701 -0.0868 -0.1025 -0.1173 -0.1319
 -0.1464
 -1.1187 -1.0327 -0.9637 -0.9017 -0.8415 -0.7811 -0.7197 -0.6573 -0.5953 -0.5346
 -0.4764 -0.4217 -0.3712 -0.3255 -0.2847 -0.2019 -0.1386 -0.0855 -0.0433
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  o   
 -2.0589 -1.8659 -1.6640 -1.4834 -1.3193 -1.1691 -1.0522 -0.9548 -0.8695 -0.7853
 -0.7062 -0.6312 -0.5603 -0.4936 -0.4312 -0.2930 -0.1815 -0.0950 -0.0302
 -1.9004 -1.8393 -1.6647 -1.4775 -1.3101 -1.1575 -1.0328 -0.9315 -0.8419 -0.7586
 -0.6806 -0.6070 -0.5374 -0.4721 -0.4109 -0.2781 -0.1732 -0.0935 -0.0356  0.0049
 -1.6683 -1.6515 -1.6269 -1.4801 -1.3112 -1.1582 -1.0246 -0.9160 -0.8239 -0.7405
 -0.6638 -0.5917 -0.5236 -0.4597 -0.3999 -0.2705 -0.1695 -0.0941 -0.0400 -0.0024
  0.0234
 -1.5925 -1.4698 -1.4162 -1.4129 -1.3119 -1.1649 -1.0275 -0.9092 -0.8121 -0.7279
 -0.6521 -0.5814 -0.5149 -0.4524 -0.3939 -0.2671 -0.1687 -0.0959 -0.0445 -0.0092
  0.0143  0.0305
 -1.5512 -1.4162 -1.2954 -1.2154 -1.1909 -1.1485 -1.0343 -0.9127 -0.8071 -0.7196
 -0.6433 -0.5738 -0.5088 -0.4477 -0.3904 -0.2659 -0.1692 -0.0982 -0.0486 -0.0153
  0.0061  0.0201  0.0297  0.0361
 -1.5105 -1.3861 -1.2592 -1.1437 -1.0532 -0.9960 -0.9661 -0.9074 -0.8104 -0.7161
 -0.6366 -0.5675 -0.5036 -0.4438 -0.3878 -0.2656 -0.1702 -0.1003 -0.0520 -0.0202
 -0.0007  0.0107  0.0178  0.0221  0.0243  0.0236  0.0194  0.0111 -0.0016 -0.0188
 -1.4645 -1.3548 -1.2374 -1.1201 -1.0122 -0.9208 -0.8484 -0.7978 -0.7611 -0.7073
 -0.6323 -0.5617 -0.4987 -0.4401 -0.3852 -0.2651 -0.1709 -0.1016 -0.0540 -0.0233
 -0.0056  0.0033  0.0072  0.0086  0.0082  0.0059  0.0018 -0.0052 -0.0164 -0.0326
 -0.0542
 -1.4133 -1.3166 -1.2127 -1.1041 -0.9970 -0.8973 -0.8098 -0.7349 -0.6735 -0.6265
 -0.5883 -0.5432 -0.4902 -0.4351 -0.3820 -0.2642 -0.1708 -0.1018 -0.0544 -0.0243
 -0.0079 -0.0014 -0.0009 -0.0032 -0.0068 -0.0116 -0.0178 -0.0253 -0.0352 -0.0490
 -0.0692
 -1.3618 -1.2726 -1.1792 -1.0822 -0.9830 -0.8860 -0.7952 -0.7132 -0.6410 -0.5782
 -0.5254 -0.4829 -0.4466 -0.4100 -0.3694 -0.2609 -0.1688 -0.1000 -0.0525 -0.0227
