 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
  0.0780  0.1019  0.0754  0.0627  0.0799  0.0926  0.0724  0.0381  0.0265  0.0493
  0.0913  0.1476  0.2081  0.2642  0.3167  0.4161  0.4673  0.4805  0.4786
  0.0798  0.1382  0.1610  0.1691  0.1662  0.1538  0.1369  0.1220  0.1149  0.1185
  0.1352  0.1664  0.2107  0.2607  0.3081  0.3979  0.4445  0.4559  0.4487  0.4281
  0.0817  0.1540  0.2019  0.2256  0.2236  0.2090  0.1960  0.1867  0.1790  0.1736
  0.1766  0.1906  0.2191  0.2596  0.3011  0.3820  0.4249  0.4349  0.4247  0.4041
  0.3769
  0.0837  0.1493  0.1981  0.2322  0.2521  0.2582  0.2497  0.2322  0.2188  0.2146
  0.2155  0.2202  0.2333  0.2609  0.2957  0.3684  0.4085  0.4175  0.4067  0.3861
  0.3599  0.3294
  0.1062  0.1589  0.2002  0.2325  0.2567  0.2726  0.2802  0.2803  0.2730  0.2620
  0.2560  0.2562  0.2588  0.2711  0.2960  0.3595  0.3968  0.4052  0.3928  0.3713
  0.3451  0.3152  0.2822  0.2460
  0.1551  0.1916  0.2207  0.2451  0.2661  0.2834  0.2961  0.3040  0.3078  0.3082
  0.3058  0.3033  0.3021  0.3019  0.3113  0.3573  0.3911  0.3989  0.3847  0.3606
  0.3328  0.3024  0.2697  0.2345  0.1970  0.1568  0.1134  0.0649  0.0108 -0.0449
  0.2282  0.2483  0.2633  0.2764  0.2894  0.3022  0.3141  0.3240  0.3314  0.3367
  0.3406  0.3436  0.3461  0.3449  0.3462  0.3673  0.3923  0.3991  0.3837  0.3558
  0.3245  0.2921  0.2584  0.2232  0.1864  0.1479  0.1068  0.0630  0.0141 -0.0411
 -0.0985
  0.3181  0.3245  0.3267  0.3277  0.3302  0.3349  0.3416  0.3490  0.3559  0.3618
  0.3670  0.3720  0.3767  0.3804  0.3812  0.3914  0.4025  0.4054  0.3894  0.3585
  0.3224  0.2860  0.2497  0.2132  0.1760  0.1379  0.0983  0.0566  0.0122 -0.0369
 -0.0932
  0.4178  0.4128  0.4050  0.3962  0.3887  0.3840  0.3827  0.3841  0.3870  0.3905
  0.3942  0.3979  0.4021  0.4064  0.4087  0.4167  0.4204  0.4170  0.3999  0.3675
  0.3273  0.2856  0.2450  0.2053  0.1662  0.1273  0.0878  0.0474  0.0053 -0.0396
 -0.0895
  0.5202  0.5070  0.4918  0.4761  0.4608  0.4479  0.4379  0.4315  0.4280  0.4266
  0.4264  0.4269  0.4283  0.4303  0.4320  0.4377  0.4391  0.4315  0.4132  0.3813
  0.3393  0.2935  0.2477  0.2035  0.1609  0.1197  0.0789  0.0383 -0.0028 -0.0452
 -0.0903
  0.6239  0.6043  0.5832  0.5623  0.5420  0.5228  0.5058  0.4918  0.4807  0.4725
  0.4666  0.4622  0.4592  0.4574  0.4563  0.4560  0.4557  0.4463  0.4266  0.3956
  0.3544  0.3070  0.2574  0.2083  0.1612  0.1161  0.0725  0.0302 -0.0115 -0.0533
 -0.0962
