 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F335M
  0.9790  0.8612  0.8322  0.8153  0.7655  0.6971  0.6219  0.5491  0.4658  0.3843
  0.3042  0.2246  0.1450  0.0672 -0.0107 -0.2010 -0.3818 -0.5508 -0.7180
  0.8855  0.8356  0.7833  0.7274  0.6732  0.6293  0.5752  0.5073  0.4314  0.3525
  0.2734  0.1947  0.1168  0.0395 -0.0369 -0.2235 -0.4033 -0.5761 -0.7414 -0.8995
  0.8384  0.7891  0.7360  0.6798  0.6214  0.5616  0.5089  0.4584  0.3959  0.3241
  0.2486  0.1720  0.0953  0.0191 -0.0564 -0.2410 -0.4191 -0.5910 -0.7558 -0.9133
 -1.0638
  0.7896  0.7427  0.6914  0.6360  0.5771  0.5160  0.4548  0.3958  0.3421  0.2853
  0.2207  0.1502  0.0768  0.0026 -0.0717 -0.2542 -0.4308 -0.6019 -0.7666 -0.9238
 -1.0736 -1.2172
  0.7332  0.6937  0.6460  0.5936  0.5371  0.4770  0.4151  0.3533  0.2921  0.2334
  0.1773  0.1185  0.0544 -0.0142 -0.0855 -0.2645 -0.4392 -0.6095 -0.7741 -0.9316
 -1.0813 -1.2243 -1.3614 -1.4934
  0.6690  0.6365  0.5966  0.5488  0.4962  0.4397  0.3800  0.3187  0.2569  0.1953
  0.1354  0.0777  0.0200 -0.0402 -0.1037 -0.2741 -0.4457 -0.6140 -0.7782 -0.9367
 -1.0870 -1.2300 -1.3666 -1.4979 -1.6247 -1.7474 -1.8665 -1.9822 -2.0950 -2.2050
  0.5985  0.5714  0.5401  0.4984  0.4512  0.3994  0.3439  0.2857  0.2255  0.1647
  0.1042  0.0449 -0.0133 -0.0711 -0.1301 -0.2866 -0.4520 -0.6167 -0.7795 -0.9387
 -1.0904 -1.2341 -1.3709 -1.5019 -1.6277 -1.7491 -1.8667 -1.9809 -2.0921 -2.2007
 -2.3069
  0.5232  0.5000  0.4739  0.4395  0.3990  0.3532  0.3030  0.2495  0.1930  0.1347
  0.0756  0.0169 -0.0409 -0.0984 -0.1560 -0.3042 -0.4605 -0.6201 -0.7794 -0.9376
 -1.0909 -1.2363 -1.3739 -1.5051 -1.6308 -1.7516 -1.8681 -1.9810 -2.0907 -2.1977
 -2.3023
  0.4447  0.4243  0.4004  0.3698  0.3366  0.2976  0.2537  0.2059  0.1544  0.1004
  0.0445 -0.0123 -0.0690 -0.1252 -0.1813 -0.3241 -0.4733 -0.6268 -0.7821 -0.9374
 -1.0907 -1.2381 -1.3777 -1.5100 -1.6362 -1.7571 -1.8735 -1.9858 -2.0946 -2.2003
 -2.3029
  0.3646  0.3461  0.3232  0.2964  0.2660  0.2324  0.1956  0.1544  0.1092  0.0608
  0.0097 -0.0434 -0.0976 -0.1518 -0.2061 -0.3435 -0.4856 -0.6334 -0.7837 -0.9348
 -1.0856 -1.2334 -1.3751 -1.5094 -1.6368 -1.7584 -1.8750 -1.9871 -2.0953 -2.2000
 -2.3033
  0.2851  0.2651  0.2421  0.2164  0.1883  0.1581  0.1261  0.0918  0.0535  0.0118
 -0.0332 -0.0810 -0.1308 -0.1821 -0.2340 -0.3656 -0.5007 -0.6416 -0.7868 -0.9339
 -1.0810 -1.2269 -1.3692 -1.5057 -1.6352 -1.7582 -1.8757 -1.9883 -2.0966 -2.2012
 -2.3023
  0.2104  0.1740  0.1443  0.1188  0.0951  0.0713  0.0458  0.0174 -0.0141 -0.0488
 -0.0868 -0.1280 -0.1720 -0.2181 -0.2661 -0.3906 -0.5193 -0.6528 -0.7922
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F335M
  0.9570  0.9072  0.8785  0.8414  0.7865  0.7194  0.6426  0.5601  0.4761  0.3922
  0.3099  0.2291  0.1495  0.0711 -0.0065 -0.1961 -0.3780 -0.5514 -0.7184
  0.9282  0.8850  0.8361  0.7911  0.7498  0.6881  0.6140  0.5334  0.4498  0.3656
  0.2827  0.2014  0.1217  0.0434 -0.0337 -0.2207 -0.4003 -0.5727 -0.7379 -0.8960
  0.8936  0.8461  0.7970  0.7457  0.6902  0.6429  0.5845  0.5108  0.4301  0.3469
  0.2642  0.1827  0.1028  0.0244 -0.0526 -0.2390 -0.4170 -0.5879 -0.7522 -0.9094
 -1.0600
  0.8566  0.8084  0.7567  0.7019  0.6448  0.5863  0.5289  0.4748  0.4081  0.3307
  0.2500  0.1693  0.0896  0.0114 -0.0655 -0.2516 -0.4290 -0.5990 -0.7627 -0.9195
 -1.0694 -1.2131
  0.8157  0.7694  0.7186  0.6640  0.6060  0.5450  0.4819  0.4200  0.3615  0.3017
  0.2323  0.1568  0.0792  0.0018 -0.0746 -0.2601 -0.4371 -0.6066 -0.7700 -0.9268
 -1.0766 -1.2197 -1.3571 -1.4899
  0.7689  0.7266  0.6788  0.6265  0.5703  0.5103  0.4474  0.3830  0.3185  0.2552
  0.1940  0.1316  0.0642 -0.0079 -0.0821 -0.2658 -0.4422 -0.6112 -0.7743 -0.9316
 -1.0818 -1.2249 -1.3618 -1.4934 -1.6205 -1.7435 -1.8630 -1.9792 -2.0924 -2.2023
  0.7134  0.6771  0.6346  0.5863  0.5334  0.4765  0.4161  0.3529  0.2882  0.2229
  0.1581  0.0947  0.0331 -0.0296 -0.0952 -0.2706 -0.4454 -0.6135 -0.7761 -0.9337
 -1.0849 -1.2287 -1.3657 -1.4969 -1.6231 -1.7450 -1.8630 -1.9776 -2.0892 -2.1980
 -2.3042
  0.6509  0.6187  0.5831  0.5407  0.4925  0.4398  0.3832  0.3234  0.2611  0.1973
