 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -3.0046 -2.9410 -3.1328 -3.0621 -2.8801 -2.6365 -2.3757 -2.2028 -2.0527 -1.9003
 -1.7584 -1.6282 -1.5103 -1.4017 -1.3022 -1.0983 -0.9189 -0.7638 -0.6920
 -3.0100 -2.8016 -2.6314 -2.5170 -2.4545 -2.3619 -2.2108 -2.0478 -1.9005 -1.7639
 -1.6358 -1.5173 -1.4086 -1.3094 -1.2185 -1.0249 -0.8766 -0.7719 -0.7022 -0.6556
 -2.8278 -2.6252 -2.4393 -2.2795 -2.1524 -2.0715 -2.0114 -1.9162 -1.7932 -1.6654
 -1.5482 -1.4402 -1.3411 -1.2505 -1.1680 -0.9941 -0.8639 -0.7729 -0.7118 -0.6701
 -0.6409
 -2.6812 -2.5000 -2.3219 -2.1570 -2.0123 -1.8909 -1.7967 -1.7323 -1.6692 -1.5832
 -1.4823 -1.3834 -1.2930 -1.2101 -1.1342 -0.9742 -0.8560 -0.7756 -0.7217 -0.6843
 -0.6574 -0.6379
 -2.5500 -2.3949 -2.2346 -2.0774 -1.9317 -1.8030 -1.6933 -1.6018 -1.5327 -1.4737
 -1.4100 -1.3341 -1.2544 -1.1786 -1.1090 -0.9604 -0.8501 -0.7769 -0.7296 -0.6973
 -0.6733 -0.6554 -0.6425 -0.6342
 -2.4305 -2.2956 -2.1578 -2.0151 -1.8761 -1.7472 -1.6337 -1.5367 -1.4551 -1.3867
 -1.3280 -1.2720 -1.2116 -1.1479 -1.0854 -0.9487 -0.8442 -0.7755 -0.7333 -0.7069
 -0.6873 -0.6722 -0.6611 -0.6531 -0.6476 -0.6458 -0.6490 -0.6580 -0.6737 -0.6964
 -2.3246 -2.2027 -2.0826 -1.9574 -1.8298 -1.7063 -1.5925 -1.4925 -1.4083 -1.3372
 -1.2748 -1.2181 -1.1649 -1.1123 -1.0590 -0.9352 -0.8368 -0.7693 -0.7312 -0.7107
 -0.6971 -0.6865 -0.6784 -0.6726 -0.6687 -0.6649 -0.6638 -0.6685 -0.6814 -0.7032
 -0.7302
 -2.2341 -2.1193 -2.0089 -1.8977 -1.7845 -1.6708 -1.5610 -1.4599 -1.3725 -1.2993
 -1.2372 -1.1816 -1.1292 -1.0795 -1.0314 -0.9197 -0.8277 -0.7617 -0.7243 -0.7076
 -0.7002 -0.6957 -0.6924 -0.6901 -0.6889 -0.6885 -0.6877 -0.6892 -0.6963 -0.7116
 -0.7367
 -2.1607 -2.0485 -1.9414 -1.8341 -1.7339 -1.6320 -1.5305 -1.4327 -1.3435 -1.2667
 -1.2028 -1.1483 -1.0989 -1.0518 -1.0062 -0.9020 -0.8162 -0.7529 -0.7143 -0.6987
 -0.6958 -0.6978 -0.7007 -0.7037 -0.7066 -0.7094 -0.7125 -0.7162 -0.7229 -0.7330
 -0.7460
 -2.1062 -1.9934 -1.8858 -1.7828 -1.6843 -1.5897 -1.4982 -1.4076 -1.3208 -1.2417
 -1.1739 -1.1175 -1.0694 -1.0247 -0.9824 -0.8862 -0.8048 -0.7439 -0.7047 -0.6874
 -0.6857 -0.6920 -0.7011 -0.7105 -0.7191 -0.7266 -0.7336 -0.7401 -0.7468 -0.7548
 -0.7638
 -2.0670 -1.9496 -1.8395 -1.7360 -1.6386 -1.5467 -1.4601 -1.3776 -1.2970 -1.2201
 -1.1501 -1.0899 -1.0398 -0.9972 -0.9588 -0.8702 -0.7931 -0.7344 -0.6959 -0.6765
 -0.6736 -0.6810 -0.6941 -0.7093 -0.7242 -0.7378 -0.7500 -0.7609 -0.7709 -0.7808
 -0.7915
 -2.0226 -1.8895 -1.7746 -1.6737 -1.5830 -1.4990 -1.4191 -1.3415 -1.2667 -1.1954
 -1.1283 -1.0666 -1.0132 -0.9688 -0.9312 -0.8517 -0.7810 -0.7246 -0.6867
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -3.3703 -3.2909 -3.1665 -2.9323 -2.6674 -2.4177 -2.2127 -2.0485 -1.9034 -1.7679
 -1.6404 -1.5222 -1.4137 -1.3142 -1.2235 -1.0355 -0.8825 -0.7586 -0.6825
 -3.0801 -2.8867 -2.7768 -2.7087 -2.5452 -2.3246 -2.1164 -1.9463 -1.8041 -1.6746
 -1.5539 -1.4429 -1.3416 -1.2498 -1.1668 -0.9926 -0.8578 -0.7581 -0.6891 -0.6427
 -2.9245 -2.7081 -2.5233 -2.3831 -2.3076 -2.2177 -2.0541 -1.8811 -1.7355 -1.6109
 -1.4965 -1.3916 -1.2963 -1.2102 -1.1326 -0.9708 -0.8475 -0.7581 -0.6971 -0.6556
 -0.6267
 -2.8159 -2.6079 -2.4134 -2.2363 -2.0898 -1.9864 -1.9186 -1.8233 -1.6901 -1.5661
 -1.4559 -1.3563 -1.2662 -1.1848 -1.1115 -0.9588 -0.8429 -0.7601 -0.7049 -0.6679
 -0.6417 -0.6228
 -2.7278 -2.5366 -2.3491 -2.1732 -2.0139 -1.8729 -1.7581 -1.6730 -1.6078 -1.5240
 -1.4257 -1.3296 -1.2433 -1.1662 -1.0966 -0.9512 -0.8406 -0.7621 -0.7112 -0.6786
 -0.6557 -0.6388 -0.6268 -0.6202
 -2.6565 -2.4770 -2.3022 -2.1321 -1.9728 -1.8276 -1.6978 -1.5858 -1.4957 -1.4293
 -1.3700 -1.3001 -1.2235 -1.1495 -1.0831 -0.9445 -0.8380 -0.7622 -0.7144 -0.6862
 -0.6677 -0.6539 -0.6439 -0.6371 -0.6322 -0.6308 -0.6347 -0.6455 -0.6637 -0.6877
 -2.5890 -2.4224 -2.2614 -2.1010 -1.9465 -1.8024 -1.6708 -1.5534 -1.4514 -1.3665
 -1.2980 -1.2421 -1.1872 -1.1281 -1.0678 -0.9362 -0.8337 -0.7598 -0.7137 -0.6891
 -0.6757 -0.6665 -0.6598 -0.6552 -0.6525 -0.6508 -0.6520 -0.6583 -0.6716 -0.6929
 -0.7217
