 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -7.8292 -7.8034 -7.9747 -7.9550 -7.8604 -7.6845 -7.4811 -7.3149 -7.1754 -7.0181
 -6.8558 -6.6877 -6.5158 -6.3438 -6.1729 -5.7281 -5.1014 -4.3967 -3.9161
 -7.7742 -7.6679 -7.5773 -7.5209 -7.4995 -7.4491 -7.3406 -7.2007 -7.0486 -6.8890
 -6.7176 -6.5371 -6.3517 -6.1627 -5.9661 -5.4037 -4.7400 -4.1438 -3.7150 -3.4247
 -7.5949 -7.4934 -7.3891 -7.2936 -7.2140 -7.1647 -7.1282 -7.0553 -6.9376 -6.7869
 -6.6124 -6.4140 -6.2023 -5.9829 -5.7568 -5.1501 -4.4984 -3.9262 -3.5224 -3.2576
 -3.0870
 -7.4305 -7.3466 -7.2469 -7.1442 -7.0461 -6.9534 -6.8708 -6.8079 -6.7414 -6.6404
 -6.4936 -6.2984 -6.0639 -5.8126 -5.5581 -4.9229 -4.2980 -3.7622 -3.3657 -3.1182
 -2.9626 -2.8676
 -7.2655 -7.2060 -7.1206 -7.0211 -6.9186 -6.8162 -6.7102 -6.5992 -6.4953 -6.3943
 -6.2829 -6.1327 -5.9278 -5.6737 -5.4001 -4.7490 -4.1525 -3.6366 -3.2482 -3.0058
 -2.8572 -2.7678 -2.7177 -2.6927
 -7.1008 -7.0605 -6.9973 -6.9085 -6.8078 -6.7030 -6.5932 -6.4714 -6.3348 -6.1881
 -6.0438 -5.8989 -5.7323 -5.5270 -5.2842 -4.6390 -4.0645 -3.5642 -3.1745 -2.9213
 -2.7696 -2.6800 -2.6297 -2.6063 -2.6018 -2.6086 -2.6206 -2.6326 -2.6405 -2.6416
 -6.9422 -6.9153 -6.8729 -6.7995 -6.7058 -6.6025 -6.4920 -6.3724 -6.2351 -6.0750
 -5.8996 -5.7218 -5.5462 -5.3636 -5.1604 -4.5804 -4.0254 -3.5408 -3.1448 -2.8694
 -2.7012 -2.6038 -2.5494 -2.5227 -2.5155 -2.5214 -2.5348 -2.5512 -2.5670 -2.5789
 -2.5839
 -6.7954 -6.7788 -6.7483 -6.6923 -6.6112 -6.5113 -6.4013 -6.2842 -6.1545 -6.0030
 -5.8266 -5.6351 -5.4396 -5.2479 -5.0562 -4.5409 -4.0154 -3.5491 -3.1507 -2.8518
 -2.6572 -2.5418 -2.4774 -2.4444 -2.4328 -2.4358 -2.4482 -2.4658 -2.4851 -2.5030
 -2.5177
 -6.6665 -6.6595 -6.6347 -6.5850 -6.5213 -6.4321 -6.3242 -6.2058 -6.0798 -5.9398
 -5.7780 -5.5928 -5.3937 -5.1921 -4.9942 -4.5081 -4.0151 -3.5629 -3.1734 -2.8593
 -2.6383 -2.4977 -2.4158 -2.3725 -2.3541 -2.3524 -2.3625 -2.3798 -2.3991 -2.4193
 -2.4402
 -6.5613 -6.5659 -6.5461 -6.5044 -6.4431 -6.3641 -6.2677 -6.1516 -6.0237 -5.8877
 -5.7395 -5.5722 -5.3845 -5.1886 -4.9901 -4.4982 -4.0304 -3.5903 -3.2067 -2.8878
 -2.6467 -2.4800 -2.3742 -2.3132 -2.2829 -2.2732 -2.2776 -2.2916 -2.3112 -2.3334
 -2.3562
 -6.4760 -6.4839 -6.4686 -6.4325 -6.3779 -6.3065 -6.2200 -6.1177 -5.9944 -5.8567
 -5.7106 -5.5549 -5.3840 -5.1968 -4.9989 -4.5088 -4.0512 -3.6219 -3.2407 -2.9210
 -2.6689 -2.4832 -2.3545 -2.2721 -2.2249 -2.2030 -2.1987 -2.2066 -2.2226 -2.2437
 -2.2669
 -6.3772 -6.3300 -6.3033 -6.2846 -6.2621 -6.2259 -6.1682 -6.0844 -5.9770 -5.8500
 -5.7068 -5.5510 -5.3870 -5.2124 -5.0256 -4.5373 -4.0770 -3.6561 -3.2783
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  u   
 -8.1153 -8.1078 -8.0608 -7.9251 -7.7547 -7.5768 -7.4033 -7.2424 -7.0913 -6.9411
 -6.7872 -6.6290 -6.4672 -6.3017 -6.1324 -5.6849 -5.1361 -4.5211 -4.0280
