 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  K   
  2.8228  2.8054  2.8019  2.8025  2.8109  2.8228  2.8856  2.8769  2.8520  2.8110
  2.7547  2.6888  2.6171  2.5415  2.4667  2.2831  2.1103  1.9480  1.7864
  2.7730  2.7398  2.7305  2.7426  2.7738  2.7984  2.8079  2.8043  2.7887  2.7607
  2.7174  2.6595  2.5923  2.5217  2.4506  2.2760  2.1057  1.9395  1.7785  1.6228
  2.6946  2.6863  2.6727  2.6619  2.6634  2.6826  2.7135  2.7324  2.7296  2.7077
  2.6736  2.6269  2.5668  2.4993  2.4300  2.2587  2.0924  1.9289  1.7698  1.6162
  1.4678
  2.6075  2.6168  2.6141  2.6049  2.5959  2.5945  2.6039  2.6217  2.6389  2.6391
  2.6185  2.5836  2.5351  2.4744  2.4083  2.2409  2.0785  1.9190  1.7620  1.6099
  1.4634  1.3218
  2.4877  2.5214  2.5376  2.5404  2.5354  2.5289  2.5267  2.5311  2.5382  2.5430
  2.5386  2.5188  2.4860  2.4395  2.3823  2.2220  2.0633  1.9086  1.7549  1.6043
  1.4591  1.3191  1.1839  1.0527
  2.3342  2.3938  2.4346  2.4570  2.4648  2.4636  2.4594  2.4573  2.4585  2.4594
  2.4546  2.4415  2.4193  2.3856  2.3411  2.2002  2.0466  1.8965  1.7475  1.5994
  1.4551  1.3161  1.1823  1.0529  0.9269  0.8042  0.6849  0.5688  0.4561  0.3466
  2.1594  2.2348  2.3008  2.3475  2.3749  2.3868  2.3889  2.3870  2.3852  2.3846
  2.3819  2.3719  2.3533  2.3264  2.2904  2.1704  2.0278  1.8825  1.7389  1.5946
  1.4518  1.3134  1.1802  1.0520  0.9280  0.8078  0.6908  0.5766  0.4649  0.3556
  0.2498
  1.9667  2.0557  2.1379  2.2074  2.2586  2.2900  2.3059  2.3113  2.3113  2.3102
  2.3087  2.3041  2.2923  2.2715  2.2412  2.1359  2.0057  1.8669  1.7282  1.5889
  1.4491  1.3115  1.1785  1.0506  0.9276  0.8086  0.6932  0.5809  0.4712  0.3639
  0.2586
  1.7727  1.8673  1.9564  2.0405  2.1130  2.1670  2.2023  2.2217  2.2303  2.2326
  2.2325  2.2309  2.2260  2.2143  2.1926  2.1011  1.9809  1.8487  1.7141  1.5793
  1.4436  1.3079  1.1751  1.0470  0.9239  0.8054  0.6908  0.5795  0.4712  0.3657
  0.2629
  1.5776  1.6696  1.7670  1.8569  1.9413  2.0148  2.0715  2.1103  2.1338  2.1459
  2.1511  2.1526  2.1519  2.1478  2.1371  2.0674  1.9583  1.8328  1.7020  1.5706
  1.4391  1.3070  1.1758  1.0476  0.9242  0.8056  0.6913  0.5810  0.4717  0.3676
  0.2669
  1.3811  1.4626  1.5697  1.6710  1.7557  1.8384  1.9119  1.9709  2.0137  2.0418
  2.0584  2.0670  2.0711  2.0721  2.0696  2.0284  1.9346  1.8174  1.6908  1.5621
  1.4334  1.3047  1.1764  1.0494  0.9257  0.8065  0.6918  0.5815  0.4750  0.3719
  0.2716
  1.1834  1.2463  1.3645  1.4859  1.5683  1.6507  1.7313  1.8045  1.8655  1.9127
  1.9460  1.9678  1.9809  1.9884  1.9901  1.9841  1.9098  1.8025  1.6805
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  K   
  2.8526  2.8490  2.8547  2.8630  2.8723  2.8787  2.8963  2.8827  2.8555  2.8140
  2.7586  2.6930  2.6221  2.5485  2.4749  2.2930  2.1182  1.9515  1.7893
  2.8085  2.7916  2.7980  2.8088  2.8168  2.8234  2.8261  2.8210  2.8044  2.7743
  2.7292  2.6700  2.6018  2.5302  2.4581  2.2802  2.1081  1.9419  1.7808  1.6249
  2.7861  2.7539  2.7284  2.7194  2.7337  2.7578  2.7688  2.7656  2.7523  2.7293
  2.6945  2.6453  2.5826  2.5131  2.4420  2.2661  2.0962  1.9318  1.7725  1.6187
  1.4703
  2.7488  2.7250  2.6974  2.6726  2.6578  2.6573  2.6730  2.6963  2.7025  2.6865
  2.6559  2.6150  2.5615  2.4965  2.4276  2.2532  2.0852  1.9229  1.7651  1.6129
  1.4662  1.3245
  2.6831  2.6763  2.6595  2.6378  2.6167  2.6013  2.5949  2.5965  2.6061  2.6150
  2.6053  2.5766  2.5334  2.4770  2.4117  2.2409  2.0745  1.9144  1.7587  1.6077
  1.4622  1.3221  1.1867  1.0554
  2.5818  2.5984  2.6000  2.5907  2.5750  2.5579  2.5437  2.5347  2.5288  2.5238
  2.5200  2.5090  2.4840  2.4439  2.3905  2.2282  2.0639  1.9059  1.7527  1.6033
  1.4586  1.3194  1.1854  1.0558  0.9301  0.8077  0.6883  0.5718  0.4580  0.3485
  2.4446  2.4863  2.5116  2.5213  2.5189  2.5087  2.4954  2.4827  2.4724  2.4622
  2.4489  2.4327  2.4137  2.3867  2.3479  2.2119  2.0527  1.8968  1.7464  1.5994
  1.4558  1.3170  1.1837  1.0552  0.9310  0.8105  0.6931  0.5787  0.4669  0.3575
  0.2517
  2.2824  2.3430  2.3910  2.4239  2.4407  2.4441  2.4385  2.4285  2.4174  2.4066
  2.3943  2.3766  2.3541  2.3269  2.2944  2.1819  2.0384  1.8868  1.7390  1.5951
  1.4536  1.3154  1.1822  1.0541  0.9308  0.8116  0.6958  0.5833  0.4735  0.3659
  0.2604
  2.1086  2.1797  2.2443  2.2980  2.3360  2.3578  2.3658  2.3642  2.3569  2.3474
  2.3368  2.3234  2.3042  2.2784  2.2466  2.1443  2.0154  1.8726  1.7284  1.5875
  1.4489  1.3122  1.1790  1.0507  0.9275  0.8087  0.6938  0.5825  0.4742  0.3685
  0.2649
  1.9348  2.0074  2.0799  2.1475  2.2042  2.2461  2.2719  2.2840  2.2858  2.2811
  2.2732  2.2633  2.2503  2.2314  2.2050  2.1106  1.9915  1.8579  1.7188  1.5811
  1.4458  1.3119  1.1800  1.0516  0.9280  0.8091  0.6946  0.5840  0.4768  0.3726
  0.2690
  1.7680  1.8380  1.9086  1.9818  2.0499  2.1088  2.1530  2.1822  2.1978  2.2030
  2.2010  2.1949  2.1862  2.1743  2.1568  2.0790  1.9679  1.8420  1.7086  1.5741
  1.4415  1.3106  1.1811  1.0536  0.9296  0.8102  0.6953  0.5847  0.4779  0.3745
  0.2740
  1.6127  1.6751  1.7417  1.8118  1.8830  1.9506  2.0096  2.0556  2.0875  2.1068
  2.1155  2.1167  2.1257  2.1148  2.1020  2.0495  1.9446  1.8249  1.6978
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  K   
  2.9088  2.9142  2.9246  2.9353  2.9417  2.9405  2.9290  2.9054  2.8695  2.8214
  2.7622  2.6948  2.6237  2.5513  2.4788  2.2995  2.1247  1.9560  1.7932
  2.8597  2.8529  2.8547  2.8616  2.8688  2.8716  2.8666  2.8520  2.8263  2.7884
  2.7376  2.6751  2.6056  2.5338  2.4617  2.2840  2.1116  1.9454  1.7845  1.6286
  2.8247  2.7997  2.7962  2.8018  2.8059  2.8079  2.8057  2.7965  2.7786  2.7505
  2.7101  2.6561  2.5908  2.5202  2.4484  2.2716  2.1006  1.9359  1.7767  1.6228
  1.4741
  2.8198  2.7787  2.7461  2.7270  2.7265  2.7426  2.7532  2.7490  2.7339  2.7102
  2.6774  2.6333  2.5760  2.5087  2.4379  2.2617  2.0916  1.9280  1.7700  1.6175
  1.4706  1.3286
  2.8051  2.7683  2.7299  2.6953  2.6695  2.6568  2.6589  2.6705  2.6813  2.6719
  2.6446  2.6058  2.5571  2.4966  2.4286  2.2538  2.0843  1.9215  1.7646  1.6130
  1.4672  1.3267  1.1910  1.0594
  2.7648  2.7416  2.7109  2.6773  2.6450  2.6185  2.5994  2.5879  2.5837  2.5882
  2.5878  2.5686  2.5312  2.4799  2.4178  2.2467  2.0780  1.9161  1.7601  1.6094
  1.4642  1.3246  1.1903  1.0603  0.9342  0.8114  0.6917  0.5748  0.4610  0.3516
  2.6884  2.6863  2.6714  2.6481  2.6205  2.5923  2.5664  2.5451  2.5273  2.5116
  2.4994  2.4909  2.4753  2.4444  2.3978  2.2394  2.0722  1.9111  1.7562  1.6066
  1.4620  1.3228  1.1891  1.0602  0.9356  0.8147  0.6969  0.5821  0.4700  0.3605
  0.2549
  2.5731  2.5955  2.6023  2.5962  2.5807  2.5595  2.5357  2.5119  2.4896  2.4679
  2.4455  2.4224  2.4010  2.3794  2.3493  2.2264  2.0659  1.9061  1.7524  1.6042
  1.4607  1.3217  1.1881  1.0597  0.9360  0.8163  0.7001  0.5871  0.4769  0.3691
  0.2636
  2.4284  2.4724  2.5009  2.5155  2.5174  2.5092  2.4938  2.4743  2.4529  2.4305
  2.4068  2.3802  2.3509  2.3209  2.2905  2.1918  2.0536  1.8981  1.7459  1.5992
  1.4573  1.3191  1.1854  1.0567  0.9330  0.8139  0.6986  0.5867  0.4780  0.3719
  0.2681
  2.2679  2.3255  2.3715  2.4058  2.4274  2.4361  2.4341  2.4239  2.4082  2.3891
  2.3676  2.3432  2.3150  2.2828  2.2479  2.1517  2.0312  1.8895  1.7410  1.5963
  1.4562  1.3198  1.1868  1.0579  0.9339  0.8147  0.6998  0.5887  0.4811  0.3764
  0.2724
  2.1048  2.1678  2.2239  2.2728  2.3115  2.3382  2.3524  2.3554  2.3494  2.3369
  2.3202  2.3000  2.2764  2.2482  2.2153  2.1173  2.0043  1.8745  1.7341  1.5923
  1.4543  1.3200  1.1886  1.0603  0.9359  0.8161  0.7008  0.5898  0.4826  0.3787
  0.2778
  1.9449  2.0087  2.0692  2.1259  2.1759  2.2173  2.2476  2.2658  2.2727  2.2703
  2.2608  2.2463  2.2321  2.2065  2.1927  2.0886  1.9729  1.8531  1.7252
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  K   
  2.9914  3.0010  3.0116  3.0193  3.0192  3.0081  2.9837  2.9450  2.8940  2.8332
  2.7655  2.6942  2.6220  2.5500  2.4785  2.3025  2.1299  1.9613  1.7982
  2.9280  2.9315  2.9398  2.9486  2.9529  2.9484  2.9321  2.9029  2.8615  2.8092
  2.7474  2.6789  2.6071  2.5347  2.4629  2.2871  2.1165  1.9506  1.7902  1.6343
  2.8810  2.8737  2.8751  2.8810  2.8862  2.8859  2.8765  2.8559  2.8241  2.7813
  2.7281  2.6653  2.5960  2.5241  2.4520  2.2758  2.1059  1.9417  1.7831  1.6293
  1.4802
  2.8481  2.8234  2.8179  2.8215  2.8251  2.8257  2.8198  2.8055  2.7816  2.7480
  2.7042  2.6498  2.5859  2.5161  2.4445  2.2679  2.0980  1.9347  1.7773  1.6249
  1.4775  1.3350
  2.8480  2.7971  2.7644  2.7483  2.7470  2.7565  2.7635  2.7574  2.7393  2.7116
  2.6751  2.6293  2.5735  2.5086  2.4388  2.2626  2.0925  1.9295  1.7727  1.6213
  1.4751  1.3341  1.1978  1.0656
  2.8474  2.8031  2.7597  2.7217  2.6939  2.6766  2.6690  2.6702  2.6757  2.6689
  2.6438  2.6048  2.5562  2.4986  2.4330  2.2589  2.0888  1.9258  1.7694  1.6185
  1.4731  1.3329  1.1980  1.0674  0.9407  0.8173  0.6970  0.5796  0.4656  0.3564
  2.8300  2.7942  2.7539  2.7126  2.6739  2.6409  2.6153  2.5961  2.5820  2.5750
  2.5725  2.5603  2.5295  2.4823  2.4241  2.2558  2.0862  1.9233  1.7671  1.6168
  1.4717  1.3320  1.1977  1.0682  0.9430  0.8213  0.7028  0.5874  0.4749  0.3654
  0.2600
  2.7824  2.7634  2.7345  2.6994  2.6617  2.6245  2.5902  2.5603  2.5344  2.5109
  2.4901  2.4743  2.4606  2.4381  2.4002  2.2519  2.0841  1.9216  1.7657  1.6158
  1.4713  1.3318  1.1976  1.0685  0.9442  0.8238  0.7068  0.5930  0.4822  0.3741
  0.2686
  2.6955  2.6993  2.6890  2.6675  2.6388  2.6060  2.5720  2.5385  2.5066  2.4763
  2.4467  2.4172  2.3896  2.3654  2.3402  2.2358  2.0795  1.9179  1.7624  1.6130
  1.4691  1.3299  1.1955  1.0663  0.9420  0.8222  0.7061  0.5935  0.4840  0.3773
  0.2732
  2.5727  2.5988  2.6107  2.6081  2.5946  2.5730  2.5461  2.5161  2.4844  2.4522
  2.4194  2.3857  2.3510  2.3161  2.2828  2.1956  2.0704  1.9162  1.7618  1.6132
  1.4700  1.3316  1.1976  1.0681  0.9436  0.8237  0.7081  0.5963  0.4878  0.3824
  0.2797
