 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -1.7379 -1.7270 -1.9113 -1.9142 -1.8314 -1.6916 -1.5166 -1.4054 -1.3041 -1.1963
 -1.0936 -0.9960 -0.9048 -0.8213 -0.7456 -0.5893 -0.4773 -0.4006 -0.3501
 -1.7428 -1.6592 -1.5899 -1.5513 -1.5447 -1.5117 -1.4282 -1.3257 -1.2254 -1.1278
 -1.0330 -0.9430 -0.8595 -0.7834 -0.7147 -0.5736 -0.4716 -0.4022 -0.3564 -0.3258
 -1.6172 -1.5378 -1.4580 -1.3864 -1.3298 -1.3018 -1.2866 -1.2413 -1.1654 -1.0769
 -0.9900 -0.9064 -0.8283 -0.7570 -0.6929 -0.5622 -0.4691 -0.4070 -0.3666 -0.3396
 -0.3211
 -1.5034 -1.4394 -1.3664 -1.2925 -1.2238 -1.1639 -1.1185 -1.0932 -1.0667 -1.0177
 -0.9496 -0.8756 -0.8038 -0.7372 -0.6769 -0.5543 -0.4678 -0.4119 -0.3765 -0.3530
 -0.3368 -0.3255
 -1.3889 -1.3447 -1.2867 -1.2206 -1.1536 -1.0904 -1.0332 -0.9835 -0.9472 -0.9169
 -0.8822 -0.8343 -0.7777 -0.7189 -0.6632 -0.5478 -0.4662 -0.4151 -0.3845 -0.3652
 -0.3519 -0.3426 -0.3362 -0.3326
 -1.2727 -1.2449 -1.2053 -1.1532 -1.0946 -1.0348 -0.9779 -0.9255 -0.8781 -0.8364
 -0.8014 -0.7689 -0.7319 -0.6898 -0.6452 -0.5408 -0.4632 -0.4154 -0.3888 -0.3746
 -0.3652 -0.3589 -0.3548 -0.3523 -0.3503 -0.3501 -0.3532 -0.3609 -0.3742 -0.3936
 -1.1571 -1.1415 -1.1174 -1.0809 -1.0351 -0.9838 -0.9312 -0.8807 -0.8341 -0.7907
 -0.7506 -0.7143 -0.6812 -0.6487 -0.6147 -0.5296 -0.4579 -0.4109 -0.3879 -0.3789
 -0.3749 -0.3728 -0.3720 -0.3721 -0.3728 -0.3731 -0.3749 -0.3802 -0.3909 -0.4081
 -0.4319
 -1.0449 -1.0379 -1.0241 -1.0008 -0.9686 -0.9292 -0.8850 -0.8393 -0.7954 -0.7543
 -0.7159 -0.6796 -0.6453 -0.6136 -0.5833 -0.5115 -0.4492 -0.4045 -0.3825 -0.3770
 -0.3786 -0.3821 -0.3859 -0.3897 -0.3935 -0.3972 -0.3998 -0.4037 -0.4114 -0.4253
 -0.4466
 -0.9384 -0.9372 -0.9297 -0.9143 -0.8940 -0.8663 -0.8328 -0.7953 -0.7564 -0.7184
 -0.6828 -0.6494 -0.6176 -0.5870 -0.5577 -0.4916 -0.4366 -0.3962 -0.3738 -0.3697
 -0.3756 -0.3849 -0.3945 -0.4035 -0.4116 -0.4188 -0.4255 -0.4322 -0.4408 -0.4515
 -0.4642
 -0.8402 -0.8427 -0.8391 -0.8298 -0.8155 -0.7967 -0.7735 -0.7455 -0.7145 -0.6817
 -0.6496 -0.6194 -0.5908 -0.5631 -0.5363 -0.4749 -0.4238 -0.3863 -0.3646 -0.3597
 -0.3670 -0.3804 -0.3957 -0.4107 -0.4243 -0.4363 -0.4472 -0.4570 -0.4665 -0.4765
 -0.4873
 -0.7513 -0.7544 -0.7528 -0.7469 -0.7371 -0.7239 -0.7076 -0.6883 -0.6657 -0.6403
 -0.6134 -0.5869 -0.5617 -0.5378 -0.5148 -0.4597 -0.4116 -0.3764 -0.3558 -0.3495
 -0.3562 -0.3710 -0.3900 -0.4104 -0.4299 -0.4478 -0.4639 -0.4783 -0.4914 -0.5039
 -0.5167
 -0.6675 -0.6614 -0.6577 -0.6549 -0.6514 -0.6458 -0.6373 -0.6252 -0.6099 -0.5920
 -0.5721 -0.5508 -0.5295 -0.5091 -0.4896 -0.4433 -0.4001 -0.3665 -0.3467
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  o   
 -2.0282 -2.0288 -1.9916 -1.8710 -1.7203 -1.5706 -1.4418 -1.3339 -1.2345 -1.1391
