 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.9334 -2.8950 -3.0830 -3.0593 -2.9365 -2.7538 -2.5430 -2.4034 -2.2789 -2.1493
 -2.0253 -1.9087 -1.8000 -1.7006 -1.6104 -1.4213 -1.2779 -1.1664 -1.0981
 -2.9261 -2.7957 -2.6877 -2.6193 -2.5902 -2.5327 -2.4204 -2.2908 -2.1678 -2.0497
 -1.9359 -1.8285 -1.7292 -1.6387 -1.5566 -1.3852 -1.2562 -1.1646 -1.1022 -1.0593
 -2.7717 -2.6467 -2.5269 -2.4209 -2.3358 -2.2856 -2.2512 -2.1841 -2.0861 -1.9773
 -1.8727 -1.7733 -1.6810 -1.5967 -1.5207 -1.3635 -1.2474 -1.1662 -1.1108 -1.0722
 -1.0446
 -2.6382 -2.5311 -2.4193 -2.3107 -2.2119 -2.1263 -2.0595 -2.0165 -1.9729 -1.9056
 -1.8197 -1.7301 -1.6451 -1.5666 -1.4954 -1.3487 -1.2417 -1.1689 -1.1198 -1.0853
 -1.0600 -1.0413
 -2.5100 -2.4250 -2.3298 -2.2300 -2.1327 -2.0430 -1.9633 -1.8943 -1.8418 -1.7965
 -1.7464 -1.6830 -1.6122 -1.5416 -1.4756 -1.3377 -1.2372 -1.1706 -1.1273 -1.0975
 -1.0753 -1.0584 -1.0457 -1.0369
 -2.3857 -2.3177 -2.2425 -2.1577 -2.0693 -1.9827 -1.9026 -1.8302 -1.7660 -1.7097
 -1.6612 -1.6155 -1.5652 -1.5102 -1.4543 -1.3278 -1.2321 -1.1695 -1.1310 -1.1068
 -1.0889 -1.0750 -1.0644 -1.0563 -1.0496 -1.0456 -1.0457 -1.0511 -1.0628 -1.0812
 -2.2682 -2.2114 -2.1519 -2.0831 -2.0079 -1.9299 -1.8535 -1.7823 -1.7183 -1.6603
 -1.6072 -1.5587 -1.5138 -1.4697 -1.4244 -1.3151 -1.2255 -1.1641 -1.1296 -1.1110
 -1.0987 -1.0893 -1.0819 -1.0762 -1.0719 -1.0676 -1.0654 -1.0677 -1.0763 -1.0924
 -1.1152
 -2.1607 -2.1101 -2.0593 -2.0032 -1.9416 -1.8756 -1.8073 -1.7401 -1.6777 -1.6213
 -1.5699 -1.5220 -1.4767 -1.4343 -1.3935 -1.2978 -1.2164 -1.1572 -1.1236 -1.1087
 -1.1024 -1.0988 -1.0962 -1.0942 -1.0928 -1.0918 -1.0902 -1.0903 -1.0951 -1.1067
 -1.1266
 -2.0662 -2.0182 -1.9704 -1.9195 -1.8688 -1.8141 -1.7563 -1.6967 -1.6384 -1.5839
 -1.5346 -1.4896 -1.4472 -1.4066 -1.3675 -1.2786 -1.2043 -1.1487 -1.1145 -1.1010
 -1.0991 -1.1016 -1.1050 -1.1083 -1.1112 -1.1136 -1.1159 -1.1186 -1.1237 -1.1315
 -1.1416
 -1.9878 -1.9398 -1.8918 -1.8438 -1.7959 -1.7481 -1.6999 -1.6496 -1.5982 -1.5477
 -1.5005 -1.4578 -1.4186 -1.3811 -1.3450 -1.2621 -1.1921 -1.1393 -1.1053 -1.0907
 -1.0902 -1.0969 -1.1063 -1.1158 -1.1243 -1.1316 -1.1380 -1.1437 -1.1493 -1.1559
 -1.1635
 -1.9257 -1.8730 -1.8224 -1.7738 -1.7271 -1.6820 -1.6385 -1.5960 -1.5526 -1.5085
 -1.4652 -1.4248 -1.3880 -1.3542 -1.3223 -1.2466 -1.1802 -1.1296 -1.0966 -1.0805
 -1.0791 -1.0872 -1.1004 -1.1155 -1.1303 -1.1436 -1.1553 -1.1656 -1.1748 -1.1836
 -1.1930
 -1.8714 -1.7964 -1.7369 -1.6888 -1.6479 -1.6109 -1.5750 -1.5384 -1.5012 -1.4637
 -1.4265 -1.3900 -1.3556 -1.3243 -1.2955 -1.2293 -1.1685 -1.1199 -1.0876
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  w   
 -3.2481 -3.2178 -3.1468 -2.9815 -2.7853 -2.5950 -2.4338 -2.3001 -2.1785 -2.0626
 -1.9518 -1.8470 -1.7489 -1.6577 -1.5738 -1.3964 -1.2600 -1.1568 -1.0882
 -3.0172 -2.8938 -2.8324 -2.8028 -2.6916 -2.5265 -2.3638 -2.2263 -2.1071 -1.9954
 -1.8894 -1.7894 -1.6962 -1.6105 -1.5323 -1.3690 -1.2454 -1.1554 -1.0928 -1.0495
 -2.8827 -2.7416 -2.6183 -2.5267 -2.4867 -2.4330 -2.3124 -2.1755 -2.0551 -1.9478
 -1.8465 -1.7511 -1.6622 -1.5805 -1.5062 -1.3527 -1.2382 -1.1560 -1.0998 -1.0608
 -1.0331
 -2.7774 -2.6454 -2.5156 -2.3934 -2.2921 -2.2243 -2.1848 -2.1196 -2.0157 -1.9117
 -1.8148 -1.7239 -1.6389 -1.5608 -1.4897 -1.3432 -1.2348 -1.1581 -1.1068 -1.0720
 -1.0469 -1.0284
 -2.6817 -2.5655 -2.4448 -2.3261 -2.2153 -2.1151 -2.0331 -1.9741 -1.9309 -1.8683
 -1.7868 -1.7016 -1.6208 -1.5461 -1.4779 -1.3371 -1.2330 -1.1601 -1.1127 -1.0820
 -1.0602 -1.0439 -1.0318 -1.0241
 -2.5926 -2.4889 -2.3821 -2.2720 -2.1640 -2.0624 -1.9688 -1.8857 -1.8181 -1.7691
 -1.7243 -1.6678 -1.6010 -1.5321 -1.4673 -1.3316 -1.2309 -1.1604 -1.1160 -1.0895
 -1.0719 -1.0588 -1.0489 -1.0418 -1.0362 -1.0334 -1.0347 -1.0414 -1.0542 -1.0731
 -2.5017 -2.4108 -2.3178 -2.2205 -2.1208 -2.0233 -1.9310 -1.8456 -1.7684 -1.7016
 -1.6465 -1.6013 -1.5562 -1.5057 -1.4516 -1.3251 -1.2274 -1.1585 -1.1157 -1.0927
 -1.0800 -1.0714 -1.0650 -1.0603 -1.0571 -1.0543 -1.0537 -1.0574 -1.0671 -1.0838
 -1.1072
 -2.4168 -2.3306 -2.2508 -2.1649 -2.0766 -1.9868 -1.8992 -1.8161 -1.7392 -1.6690
 -1.6068 -1.5526 -1.5056 -1.4632 -1.4209 -1.3138 -1.2216 -1.1541 -1.1119 -1.0909
 -1.0829 -1.0796 -1.0779 -1.0770 -1.0767 -1.0753 -1.0746 -1.0769 -1.0840 -1.0976
 -1.1184
 -2.3446 -2.2567 -2.1809 -2.1046 -2.0260 -1.9460 -1.8658 -1.7873 -1.7128 -1.6438
 -1.5811 -1.5249 -1.4743 -1.4289 -1.3879 -1.2942 -1.2114 -1.1468 -1.1048 -1.0844
 -1.0795 -1.0817 -1.0858 -1.0900 -1.0939 -1.0976 -1.1013 -1.1066 -1.1137 -1.1225
 -1.1328
 -2.2932 -2.1978 -2.1178 -2.0437 -1.9731 -1.9014 -1.8294 -1.7577 -1.6878 -1.6212
 -1.5597 -1.5041 -1.4538 -1.4079 -1.3658 -1.2752 -1.1989 -1.1383 -1.0969 -1.0755
 -1.0712 -1.0769 -1.0865 -1.0967 -1.1062 -1.1146 -1.1224 -1.1295 -1.1366 -1.1447
 -1.1538
 -2.2725 -2.1556 -2.0642 -1.9871 -1.9202 -1.8535 -1.7881 -1.7231 -1.6593 -1.5971
 -1.5379 -1.4835 -1.4342 -1.3895 -1.3485 -1.2591 -1.1859 -1.1285 -1.0883 -1.0659
 -1.0605 -1.0672 -1.0804 -1.0961 -1.1116 -1.1259 -1.1389 -1.1505 -1.1611 -1.1714
 -1.1822
 -2.2797 -2.1301 -2.0200 -1.9360 -1.8675 -1.8051 -1.7446 -1.6849 -1.6263 -1.5692
 -1.5140 -1.4618 -1.4136 -1.3700 -1.3305 -1.2450 -1.1740 -1.1184 -1.0793
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.4465 -3.3342 -3.1170 -2.8876 -2.6649 -2.4739 -2.3307 -2.2092 -2.0964 -1.9899
 -1.8891 -1.7936 -1.7039 -1.6199 -1.5419 -1.3743 -1.2433 -1.1446 -1.0747
 -3.1163 -3.0787 -3.0227 -2.8444 -2.6395 -2.4459 -2.2860 -2.1589 -2.0458 -1.9416
 -1.8434 -1.7508 -1.6640 -1.5833 -1.5089 -1.3516 -1.2314 -1.1424 -1.0792 -1.0353
 -2.9763 -2.8319 -2.7571 -2.7311 -2.6096 -2.4334 -2.2652 -2.1265 -2.0115 -1.9089
 -1.8134 -1.7237 -1.6396 -1.5617 -1.4899 -1.3393 -1.2258 -1.1427 -1.0844 -1.0446
 -1.0167
 -2.8976 -2.7372 -2.5966 -2.4942 -2.4476 -2.3896 -2.2565 -2.1120 -1.9890 -1.8858
 -1.7926 -1.7055 -1.6240 -1.5484 -1.4789 -1.3332 -1.2239 -1.1448 -1.0900 -1.0534
 -1.0283 -1.0102
 -2.8330 -2.6806 -2.5331 -2.3992 -2.2872 -2.2071 -2.1609 -2.0897 -1.9777 -1.8691
 -1.7765 -1.6919 -1.6128 -1.5394 -1.4718 -1.3299 -1.2237 -1.1472 -1.0950 -1.0612
 -1.0391 -1.0234 -1.0120 -1.0039
 -2.7729 -2.6320 -2.4918 -2.3565 -2.2305 -2.1193 -2.0278 -1.9605 -1.9121 -1.8464
 -1.7620 -1.6799 -1.6031 -1.5318 -1.4660 -1.3275 -1.2236 -1.1489 -1.0985 -1.0671
 -1.0483 -1.0358 -1.0268 -1.0207 -1.0166 -1.0156 -1.0188 -1.0273 -1.0414 -1.0605
 -2.7156 -2.5843 -2.4539 -2.3258 -2.2024 -2.0874 -1.9829 -1.8903 -1.8134 -1.7557
 -1.7081 -1.6541 -1.5902 -1.5234 -1.4598 -1.3246 -1.2225 -1.1490 -1.0998 -1.0702
 -1.0545 -1.0459 -1.0404 -1.0369 -1.0352 -1.0344 -1.0361 -1.0418 -1.0531 -1.0707
 -1.0943
 -2.6641 -2.5367 -2.4148 -2.2951 -2.1786 -2.0666 -1.9617 -1.8651 -1.7781 -1.7020
 -1.6389 -1.5894 -1.5456 -1.4988 -1.4472 -1.3201 -1.2199 -1.1473 -1.0985 -1.0699
 -1.0567 -1.0522 -1.0511 -1.0515 -1.0526 -1.0547 -1.0568 -1.0609 -1.0692 -1.0836
 -1.1052
 -2.6259 -2.4918 -2.3735 -2.2608 -2.1513 -2.0456 -1.9446 -1.8493 -1.7611 -1.6807
 -1.6093 -1.5481 -1.4969 -1.4533 -1.4127 -1.3088 -1.2142 -1.1425 -1.0940 -1.0658
 -1.0541 -1.0533 -1.0572 -1.0625 -1.0679 -1.0733 -1.0792 -1.0867 -1.0960 -1.1068
 -1.1190
 -2.6107 -2.4634 -2.3371 -2.2273 -2.1234 -2.0235 -1.9279 -1.8367 -1.7507 -1.6704
