 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.8608 -0.8673 -1.0521 -1.0741 -1.0193 -0.9193 -0.7875 -0.7090 -0.6388 -0.5638
 -0.4933 -0.4267 -0.3661 -0.3122 -0.2678 -0.1806 -0.1582 -0.1923 -0.2221
 -0.8819 -0.8329 -0.7956 -0.7843 -0.8000 -0.7935 -0.7439 -0.6769 -0.6110 -0.5472
 -0.4857 -0.4281 -0.3760 -0.3304 -0.2918 -0.2264 -0.2042 -0.2148 -0.2422 -0.2777
 -0.7823 -0.7396 -0.6959 -0.6588 -0.6338 -0.6325 -0.6424 -0.6281 -0.5873 -0.5343
 -0.4812 -0.4300 -0.3831 -0.3419 -0.3070 -0.2475 -0.2264 -0.2370 -0.2647 -0.2999
 -0.3390
 -0.6875 -0.6605 -0.6245 -0.5872 -0.5537 -0.5266 -0.5109 -0.5126 -0.5149 -0.4999
 -0.4674 -0.4270 -0.3865 -0.3497 -0.3182 -0.2640 -0.2440 -0.2543 -0.2825 -0.3179
 -0.3567 -0.3978
 -0.5862 -0.5792 -0.5581 -0.5289 -0.4982 -0.4698 -0.4451 -0.4258 -0.4179 -0.4164
 -0.4134 -0.4003 -0.3777 -0.3501 -0.3230 -0.2745 -0.2560 -0.2666 -0.2954 -0.3320
 -0.3713 -0.4126 -0.4556 -0.5003
 -0.4771 -0.4878 -0.4853 -0.4699 -0.4478 -0.4236 -0.4006 -0.3798 -0.3622 -0.3492
 -0.3429 -0.3404 -0.3360 -0.3271 -0.3144 -0.2782 -0.2618 -0.2728 -0.3025 -0.3416
 -0.3827 -0.4251 -0.4687 -0.5136 -0.5597 -0.6074 -0.6571 -0.7090 -0.7636 -0.8208
 -0.3624 -0.3874 -0.4013 -0.4021 -0.3928 -0.3774 -0.3596 -0.3420 -0.3259 -0.3114
 -0.2994 -0.2912 -0.2871 -0.2848 -0.2820 -0.2709 -0.2611 -0.2711 -0.3028 -0.3454
 -0.3901 -0.4346 -0.4796 -0.5254 -0.5719 -0.6185 -0.6664 -0.7170 -0.7714 -0.8298
 -0.8898
 -0.2442 -0.2807 -0.3072 -0.3224 -0.3275 -0.3243 -0.3155 -0.3039 -0.2918 -0.2802
 -0.2696 -0.2606 -0.2537 -0.2498 -0.2481 -0.2488 -0.2523 -0.2651 -0.2968 -0.3423
 -0.3915 -0.4400 -0.4875 -0.5348 -0.5825 -0.6305 -0.6785 -0.7278 -0.7798 -0.8357
 -0.8962
 -0.1244 -0.1702 -0.2064 -0.2325 -0.2509 -0.2603 -0.2629 -0.2604 -0.2549 -0.2479
 -0.2408 -0.2344 -0.2290 -0.2250 -0.2226 -0.2250 -0.2360 -0.2547 -0.2865 -0.3334
