 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -2.1758 -2.1686 -2.3523 -2.3580 -2.2809 -2.1473 -1.9788 -1.8722 -1.7755 -1.6727
 -1.5740 -1.4807 -1.3933 -1.3148 -1.2437 -1.0959 -0.9996 -0.9423 -0.9080
 -2.1822 -2.1050 -2.0412 -2.0072 -2.0042 -1.9753 -1.8970 -1.7998 -1.7046 -1.6119
 -1.5220 -1.4366 -1.3577 -1.2860 -1.2217 -1.0926 -1.0040 -0.9485 -0.9155 -0.8965
 -2.0605 -1.9876 -1.9141 -1.8482 -1.7966 -1.7728 -1.7614 -1.7209 -1.6503 -1.5671
 -1.4852 -1.4064 -1.3329 -1.2661 -1.2064 -1.0871 -1.0062 -0.9567 -0.9283 -0.9119
 -0.9033
 -1.9494 -1.8919 -1.8253 -1.7574 -1.6944 -1.6397 -1.5989 -1.5778 -1.5556 -1.5118
 -1.4492 -1.3803 -1.3132 -1.2511 -1.1954 -1.0838 -1.0085 -0.9641 -0.9397 -0.9263
 -0.9193 -0.9166
 -1.8368 -1.7990 -1.7473 -1.6874 -1.6262 -1.5685 -1.5164 -1.4715 -1.4396 -1.4137
 -1.3838 -1.3414 -1.2901 -1.2362 -1.1850 -1.0805 -1.0095 -0.9691 -0.9488 -0.9390
 -0.9344 -0.9333 -0.9348 -0.9389
 -1.7217 -1.7004 -1.6669 -1.6210 -1.5684 -1.5142 -1.4626 -1.4151 -1.3723 -1.3351
 -1.3045 -1.2767 -1.2449 -1.2080 -1.1686 -1.0755 -1.0081 -0.9704 -0.9536 -0.9485
 -0.9475 -0.9489 -0.9523 -0.9572 -0.9627 -0.9699 -0.9803 -0.9949 -1.0147 -1.0401
 -1.6067 -1.5976 -1.5794 -1.5491 -1.5093 -1.4638 -1.4166 -1.3712 -1.3293 -1.2904
 -1.2547 -1.2228 -1.1943 -1.1667 -1.1377 -1.0648 -1.0036 -0.9663 -0.9528 -0.9526
 -0.9567 -0.9621 -0.9685 -0.9755 -0.9832 -0.9904 -0.9988 -1.0108 -1.0282 -1.0519
 -1.0812
 -1.4942 -1.4939 -1.4861 -1.4688 -1.4426 -1.4091 -1.3705 -1.3300 -1.2910 -1.2545
 -1.2205 -1.1885 -1.1586 -1.1314 -1.1057 -1.0460 -0.9947 -0.9598 -0.9470 -0.9503
 -0.9600 -0.9707 -0.9813 -0.9918 -1.0022 -1.0124 -1.0215 -1.0318 -1.0459 -1.0658
 -1.0929
 -1.3867 -1.3924 -1.3912 -1.3818 -1.3673 -1.3455 -1.3178 -1.2858 -1.2520 -1.2189
 -1.1877 -1.1587 -1.1311 -1.1049 -1.0800 -1.0253 -0.9814 -0.9509 -0.9378 -0.9425
 -0.9564 -0.9730 -0.9892 -1.0045 -1.0188 -1.0321 -1.0450 -1.0577 -1.0722 -1.0888
 -1.1073
 -1.2869 -1.2963 -1.2992 -1.2962 -1.2880 -1.2750 -1.2575 -1.2352 -1.2095 -1.1818
 -1.1544 -1.1286 -1.1044 -1.0811 -1.0586 -1.0080 -0.9676 -0.9403 -0.9277 -0.9316
 -0.9470 -0.9677 -0.9896 -1.0107 -1.0301 -1.0479 -1.0645 -1.0800 -1.0951 -1.1107
 -1.1272
 -1.1958 -1.2058 -1.2108 -1.2114 -1.2079 -1.2007 -1.1903 -1.1767 -1.1596 -1.1396
 -1.1177 -1.0959 -1.0751 -1.0555 -1.0367 -0.9923 -0.9547 -0.9295 -0.9181 -0.9205
 -0.9352 -0.9573 -0.9830 -1.0094 -1.0346 -1.0580 -1.0795 -1.0991 -1.1175 -1.1352
 -1.1532
 -1.1101 -1.1114 -1.1146 -1.1183 -1.1210 -1.1214 -1.1187 -1.1123 -1.1026 -1.0901
 -1.0754 -1.0591 -1.0425 -1.0265 -1.0113 -0.9755 -0.9426 -0.9189 -0.9082
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  o   
 -2.4637 -2.4681 -2.4352 -2.3207 -2.1770 -2.0340 -1.9111 -1.8083 -1.7139 -1.6233
 -1.5365 -1.4540 -1.3763 -1.3039 -1.2373 -1.0973 -0.9978 -0.9332 -0.8965
 -2.2851 -2.2108 -2.1845 -2.1832 -2.1119 -1.9921 -1.8699 -1.7647 -1.6721 -1.5849
 -1.5019 -1.4232 -1.3493 -1.2811 -1.2188 -1.0910 -1.0000 -0.9413 -0.9069 -0.8873
 -2.1765 -2.0877 -2.0085 -1.9537 -1.9415 -1.9172 -1.8340 -1.7323 -1.6401 -1.5566
 -1.4775 -1.4025 -1.3321 -1.2671 -1.2081 -1.0879 -1.0031 -0.9489 -0.9181 -0.9013
 -0.8924
 -2.0848 -2.0055 -1.9214 -1.8402 -1.7747 -1.7365 -1.7220 -1.6849 -1.6113 -1.5326
 -1.4578 -1.3867 -1.3197 -1.2578 -1.2015 -1.0871 -1.0068 -0.9558 -0.9279 -0.9139
 -0.9070 -0.9045
 -1.9939 -1.9318 -1.8573 -1.7796 -1.7059 -1.6393 -1.5866 -1.5527 -1.5322 -1.4936
