 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -2.4184 -2.3921 -2.3690 -2.3477 -2.3277 -2.3066 -2.2866 -2.2709 -2.2618 -2.2613
 -2.2705
 -4.9940 -4.7327 -4.5059 -4.2989 -4.1087 -3.9365 -3.7841 -3.6498 -3.5304 -3.4221
 -3.3233 -3.2332 -3.1504 -3.0740 -3.0021 -2.8323 -2.6852 -2.5741 -2.4963 -2.4461
 -2.4155 -2.3951 -2.3786 -2.3634 -2.3487 -2.3342 -2.3202 -2.3085 -2.2994 -2.2926
 -2.2879
 -5.0328 -4.7566 -4.5216 -4.3130 -4.1198 -3.9430 -3.7834 -3.6425 -3.5190 -3.4095
 -3.3109 -3.2212 -3.1386 -3.0619 -2.9899 -2.8269 -2.6849 -2.5721 -2.4918 -2.4394
 -2.4087 -2.3916 -2.3810 -2.3725 -2.3643 -2.3555 -2.3465 -2.3372 -2.3283 -2.3208
 -2.3140
 -5.0939 -4.8029 -4.5575 -4.3426 -4.1452 -3.9639 -3.7984 -3.6491 -3.5176 -3.4028
 -3.3015 -3.2109 -3.1286 -3.0526 -2.9815 -2.8211 -2.6832 -2.5712 -2.4885 -2.4331
 -2.4003 -2.3836 -2.3764 -2.3736 -2.3721 -2.3702 -2.3674 -2.3634 -2.3587 -2.3540
 -2.3502
 -5.1724 -4.8717 -4.6135 -4.3867 -4.1836 -3.9978 -3.8271 -3.6712 -3.5304 -3.4064
 -3.2985 -3.2040 -3.1198 -3.0436 -2.9733 -2.8162 -2.6809 -2.5699 -2.4858
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -6.0645 -5.8387 -5.4888 -5.1453 -4.8277 -4.5560 -4.3417 -4.1523 -3.9763 -3.8140
 -3.6628 -3.5243 -3.3991 -3.2862 -3.1841 -2.9660 -2.7841 -2.6285 -2.5014
 -5.5723 -5.4604 -5.3301 -5.0466 -4.7455 -4.4706 -4.2405 -4.0488 -3.8750 -3.7160
 -3.5684 -3.4339 -3.3127 -3.2043 -3.1071 -2.9037 -2.7393 -2.6028 -2.4918 -2.4050
 -5.3764 -5.1210 -4.9744 -4.8939 -4.6893 -4.4273 -4.1866 -3.9850 -3.8122 -3.6564
