 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -4.7141 -4.4337 -4.1989 -3.9986 -3.8235 -3.6670 -3.5250 -3.3954 -3.2763 -3.1660
 -3.0626 -2.9643 -2.8701 -2.7795 -2.6914 -2.4842 -2.3077 -2.1728 -2.0754 -2.0059
 -1.9561 -1.9179 -1.8855 -1.8556 -1.8268 -1.7986 -1.7711 -1.7447 -1.7203 -1.6995
 -1.6856
 -4.6487 -4.3837 -4.1571 -3.9627 -3.7926 -3.6403 -3.5013 -3.3733 -3.2550 -3.1454
 -3.0429 -2.9462 -2.8539 -2.7650 -2.6790 -2.4791 -2.3084 -2.1734 -2.0736 -2.0025
 -1.9529 -1.9179 -1.8913 -1.8685 -1.8469 -1.8254 -1.8038 -1.7823 -1.7612 -1.7418
 -1.7235
 -4.6011 -4.3483 -4.1256 -3.9327 -3.7636 -3.6132 -3.4762 -3.3498 -3.2327 -3.1238
 -3.0224 -2.9274 -2.8374 -2.7512 -2.6680 -2.4743 -2.3079 -2.1741 -2.0727 -1.9995
 -1.9485 -1.9139 -1.8903 -1.8731 -1.8586 -1.8444 -1.8300 -1.8147 -1.7990 -1.7834
 -1.7690
 -4.5668 -4.3244 -4.1070 -3.9127 -3.7411 -3.5887 -3.4514 -3.3255 -3.2091 -3.1009
 -3.0002 -2.9064 -2.8178 -2.7338 -2.6584 -2.4698 -2.3062 -2.1749 -2.0727
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  g   
 -7.0690 -6.5377 -6.0798 -5.6853 -5.3429 -5.0353 -4.7466 -4.4692 -4.2162 -3.9885
 -3.7782 -3.5805 -3.3957 -3.2294 -3.0801 -2.7653 -2.5068 -2.2916 -2.1137
 -6.6197 -6.0911 -5.6328 -5.2448 -4.9185 -4.6403 -4.3942 -4.1670 -3.9604 -3.7714
 -3.5924 -3.4174 -3.2477 -3.0910 -2.9502 -2.6602 -2.4325 -2.2451 -2.0924 -1.9713
 -6.0843 -5.6012 -5.2285 -4.9082 -4.6205 -4.3693 -4.1497 -3.9531 -3.7752 -3.6124
 -3.4582 -3.3052 -3.1505 -3.0020 -2.8667 -2.5910 -2.3823 -2.2157 -2.0807 -1.9720
 -1.8836
 -5.7885 -5.2643 -4.8560 -4.5452 -4.3148 -4.1409 -3.9758 -3.8080 -3.6467 -3.4973
 -3.3581 -3.2236 -3.0863 -2.9473 -2.8168 -2.5486 -2.3505 -2.1974 -2.0753 -1.9768
 -1.8957 -1.8269
 -5.6493 -5.1173 -4.6978 -4.3721 -4.1186 -3.9244 -3.7781 -3.6616 -3.5532 -3.4268
 -3.2933 -3.1647 -3.0401 -2.9134 -2.7885 -2.5249 -2.3317 -2.1866 -2.0737 -1.9836
 -1.9094 -1.8459 -1.7899 -1.7400
 -5.5789 -5.0526 -4.6335 -4.3049 -4.0467 -3.8414 -3.6760 -3.5401 -3.4283 -3.3362
 -3.2412 -3.1291 -3.0096 -2.8904 -2.7726 -2.5132 -2.3211 -2.1799 -2.0732 -1.9900
 -1.9225 -1.8648 -1.8135 -1.7671 -1.7245 -1.6854 -1.6512 -1.6235 -1.6041 -1.5963
 -5.5301 -5.0209 -4.6091 -4.2827 -4.0229 -3.8128 -3.6401 -3.4952 -3.3708 -3.2611
 -3.1641 -3.0751 -2.9803 -2.8745 -2.7632 -2.5090 -2.3158 -2.1755 -2.0720 -1.9940
 -1.9328 -1.8814 -1.8357 -1.7939 -1.7549 -1.7186 -1.6857 -1.6566 -1.6333 -1.6205
 -1.6198
 -5.4816 -4.9983 -4.6007 -4.2797 -4.0207 -3.8084 -3.6312 -3.4800 -3.3487 -3.2319
 -3.1251 -3.0262 -2.9353 -2.8463 -2.7513 -2.5092 -2.3143 -2.1724 -2.0697 -1.9946
 -1.9384 -1.8934 -1.8540 -1.8180 -1.7839 -1.7515 -1.7213 -1.6933 -1.6684 -1.6510
 -1.6449
 -5.4246 -4.9734 -4.5946 -4.2823 -4.0256 -3.8124 -3.6321 -3.4766 -3.3402 -3.2183
 -3.1072 -3.0038 -2.9067 -2.8155 -2.7277 -2.5086 -2.3143 -2.1694 -2.0657 -1.9914
 -1.9382 -1.8986 -1.8660 -1.8366 -1.8087 -1.7816 -1.7555 -1.7305 -1.7076 -1.6891
 -1.6753
 -5.3747 -4.9598 -4.6008 -4.2971 -4.0421 -3.8270 -3.6429 -3.4832 -3.3423 -3.2163
 -3.1018 -2.9960 -2.8967 -2.8027 -2.7134 -2.5060 -2.3197 -2.1709 -2.0638 -1.9879
 -1.9351 -1.8984 -1.8712 -1.8487 -1.8278 -1.8072 -1.7869 -1.7667 -1.7471 -1.7293
 -1.7124
 -5.3332 -4.9507 -4.6127 -4.3193 -4.0666 -3.8488 -3.6601 -3.4949 -3.3490 -3.2187
 -3.1009 -2.9930 -2.8927 -2.7979 -2.7079 -2.5024 -2.3234 -2.1751 -2.0637 -1.9848
 -1.9305 -1.8941 -1.8700 -1.8528 -1.8388 -1.8255 -1.8121 -1.7981 -1.7837 -1.7696
 -1.7566
 -5.3048 -4.9484 -4.6302 -4.3472 -4.0981 -3.8784 -3.6847 -3.5131 -3.3608 -3.2249
 -3.1028 -2.9920 -2.8873 -2.7923 -2.7112 -2.4978 -2.3254 -2.1820 -2.0654
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  g   
 -7.9367 -7.4591 -7.0191 -6.6030 -6.1957 -5.7685 -5.2939 -4.7839 -4.3501 -4.0031
 -3.7274 -3.5015 -3.3088 -3.1428 -2.9976 -2.7017 -2.4685 -2.2725 -2.1061
 -7.5399 -7.0119 -6.5338 -6.0988 -5.6961 -5.3062 -4.8962 -4.4867 -4.1305 -3.8345
 -3.5891 -3.3809 -3.1999 -3.0407 -2.9002 -2.6169 -2.4023 -2.2287 -2.0834 -1.9630
 -7.2098 -6.6751 -6.1832 -5.7380 -5.3381 -4.9750 -4.6247 -4.2828 -3.9790 -3.7196
 -3.4986 -3.3065 -3.1348 -2.9806 -2.8431 -2.5657 -2.3608 -2.2008 -2.0696 -1.9609
 -1.8712
 -6.7138 -6.2214 -5.8069 -5.4262 -5.0644 -4.7288 -4.4196 -4.1283 -3.8644 -3.6338
 -3.4338 -3.2574 -3.0965 -2.9482 -2.8132 -2.5379 -2.3368 -2.1843 -2.0625 -1.9629
 -1.8805 -1.8108
 -6.3967 -5.8453 -5.3855 -5.0084 -4.7061 -4.4623 -4.2325 -3.9980 -3.7718 -3.5661
 -3.3834 -3.2207 -3.0718 -2.9314 -2.7999 -2.5254 -2.3242 -2.1753 -2.0596 -1.9668
 -1.8909 -1.8266 -1.7708 -1.7214
 -6.2663 -5.6588 -5.1587 -4.7580 -4.4378 -4.1810 -3.9734 -3.8032 -3.6551 -3.5029
 -3.3451 -3.1933 -3.0530 -2.9216 -2.7956 -2.5225 -2.3192 -2.1708 -2.0587 -1.9711
 -1.9008 -1.8422 -1.7911 -1.7455 -1.7042 -1.6672 -1.6347 -1.6085 -1.5904 -1.5828
 -6.2405 -5.6073 -5.0799 -4.6562 -4.3208 -4.0535 -3.8367 -3.6573 -3.5071 -3.3831
 -3.2755 -3.1631 -3.0399 -2.9150 -2.7948 -2.5255 -2.3191 -2.1689 -2.0583 -1.9742
 -1.9087 -1.8556 -1.8101 -1.7691 -1.7316 -1.6971 -1.6662 -1.6394 -1.6181 -1.6061
 -1.6053
 -6.2525 -5.6154 -5.0735 -4.6326 -4.2822 -4.0047 -3.7813 -3.5977 -3.4429 -3.3101
 -3.1946 -3.0944 -3.0015 -2.9018 -2.7941 -2.5320 -2.3225 -2.1689 -2.0575 -1.9753
 -1.9134 -1.8654 -1.8257 -1.7905 -1.7579 -1.7273 -1.6992 -1.6737 -1.6518 -1.6356
 -1.6298
 -6.2531 -5.6338 -5.0940 -4.6463 -4.2857 -3.9983 -3.7670 -3.5769 -3.4173 -3.2801
 -3.1592 -3.0507 -2.9527 -2.8628 -2.7740 -2.5374 -2.3267 -2.1689 -2.0553 -1.9732
 -1.9135 -1.8697 -1.8357 -1.8068 -1.7802 -1.7549 -1.7310 -1.7084 -1.6881 -1.6719
 -1.6599
 -6.2417 -5.6595 -5.1350 -4.6909 -4.3241 -4.0261 -3.7853 -3.5869 -3.4201 -3.2767
 -3.1507 -3.0377 -2.9344 -2.8389 -2.7500 -2.5389 -2.3359 -2.1732 -2.0554 -1.9713
 -1.9118 -1.8700 -1.8404 -1.8175 -1.7975 -1.7786 -1.7603 -1.7424 -1.7253 -1.7100
 -1.6976
 -6.2123 -5.6743 -5.1802 -4.7490 -4.3817 -4.0769 -3.8255 -3.6167 -3.4409 -3.2898
 -3.1573 -3.0391 -2.9317 -2.8328 -2.7404 -2.5333 -2.3446 -2.1806 -2.0572 -1.9696
 -1.9084 -1.8668 -1.8395 -1.8214 -1.8076 -1.7955 -1.7839 -1.7719 -1.7599 -1.7482
 -1.7377
 -6.1760 -5.6815 -5.2247 -4.8146 -4.4557 -4.1475 -3.8860 -3.6649 -3.4773 -3.3162
 -3.1756 -3.0511 -2.9389 -2.8364 -2.7452 -2.5206 -2.3528 -2.1911 -2.0607
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  g   
 -8.3173 -7.8774 -7.4707 -7.0819 -6.6941 -6.2508 -5.6953 -5.0407 -4.4791 -4.0481
 -3.7266 -3.4804 -3.2813 -3.1129 -2.9672 -2.6752 -2.4498 -2.2629 -2.1010
 -7.9253 -7.4344 -6.9876 -6.5742 -6.1783 -5.7649 -5.2743 -4.7455 -4.2795 -3.9049
 -3.6116 -3.3797 -3.1889 -3.0263 -2.8845 -2.6012 -2.3894 -2.2196 -2.0784 -1.9586
 -7.6434 -7.1172 -6.6367 -6.1969 -5.7922 -5.4030 -4.9854 -4.5461 -4.1482 -3.8147
 -3.5435 -3.3226 -3.1376 -2.9783 -2.8385 -2.5581 -2.3526 -2.1940 -2.0641 -1.9553
 -1.8647
 -7.2733 -6.7972 -6.3395 -5.9057 -5.5005 -5.1245 -4.7615 -4.3913 -4.0472 -3.7492
 -3.4989 -3.2896 -3.1110 -2.9550 -2.8166 -2.5363 -2.3321 -2.1787 -2.0566 -1.9560
 -1.8724 -1.8018
