 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.8036 -1.7806 -1.9651 -1.9593 -1.8660 -1.7171 -1.5409 -1.4220 -1.3194 -1.2098
 -1.1051 -1.0050 -0.9113 -0.8264 -0.7540 -0.6023 -0.5429 -0.5386 -0.5217
 -1.7927 -1.6999 -1.6246 -1.5820 -1.5727 -1.5375 -1.4524 -1.3496 -1.2500 -1.1531
 -1.0590 -0.9698 -0.8880 -0.8151 -0.7517 -0.6335 -0.5656 -0.5370 -0.5323 -0.5412
 -1.6529 -1.5676 -1.4850 -1.4118 -1.3543 -1.3262 -1.3121 -1.2697 -1.1974 -1.1125
 -1.0287 -0.9481 -0.8734 -0.8069 -0.7492 -0.6415 -0.5795 -0.5544 -0.5516 -0.5606
 -0.5773
 -1.5278 -1.4601 -1.3869 -1.3140 -1.2467 -1.1885 -1.1454 -1.1234 -1.1015 -1.0589
 -0.9972 -0.9288 -0.8621 -0.8015 -0.7486 -0.6492 -0.5912 -0.5685 -0.5677 -0.5774
 -0.5934 -0.6144
 -1.4032 -1.3563 -1.2997 -1.2370 -1.1735 -1.1137 -1.0601 -1.0144 -0.9822 -0.9571
 -0.9298 -0.8910 -0.8432 -0.7926 -0.7452 -0.6537 -0.5990 -0.5785 -0.5797 -0.5913
 -0.6078 -0.6282 -0.6524 -0.6807
 -1.2785 -1.2474 -1.2095 -1.1622 -1.1094 -1.0548 -1.0029 -0.9553 -0.9125 -0.8755
 -0.8464 -0.8217 -0.7949 -0.7641 -0.7310 -0.6531 -0.6018 -0.5826 -0.5859 -0.6011
 -0.6198 -0.6411 -0.6651 -0.6919 -0.7218 -0.7553 -0.7928 -0.8344 -0.8805 -0.9310
 -1.1575 -1.1363 -1.1132 -1.0806 -1.0417 -0.9978 -0.9520 -0.9076 -0.8665 -0.8285
 -0.7941 -0.7646 -0.7401 -0.7182 -0.6964 -0.6428 -0.5987 -0.5792 -0.5852 -0.6047
 -0.6277 -0.6517 -0.6770 -0.7040 -0.7327 -0.7624 -0.7948 -0.8319 -0.8754 -0.9252
 -0.9775
 -1.0438 -1.0280 -1.0125 -0.9914 -0.9650 -0.9341 -0.8988 -0.8611 -0.8242 -0.7896
 -0.7575 -0.7281 -0.7019 -0.6797 -0.6604 -0.6201 -0.5884 -0.5717 -0.5780 -0.6009
 -0.6293 -0.6579 -0.6863 -0.7150 -0.7445 -0.7748 -0.8056 -0.8388 -0.8765 -0.9203
 -0.9712
 -0.9412 -0.9274 -0.9140 -0.8983 -0.8809 -0.8604 -0.8365 -0.8091 -0.7793 -0.7495
 -0.7215 -0.6957 -0.6721 -0.6509 -0.6320 -0.5954 -0.5716 -0.5603 -0.5663 -0.5908
 -0.6238 -0.6582 -0.6914 -0.7237 -0.7555 -0.7871 -0.8191 -0.8520 -0.8877 -0.9263
 -0.9675
 -0.8535 -0.8395 -0.8252 -0.8108 -0.7962 -0.7815 -0.7662 -0.7486 -0.7287 -0.7061
 -0.6834 -0.6620 -0.6424 -0.6244 -0.6079 -0.5747 -0.5538 -0.5461 -0.5529 -0.5764
 -0.6111 -0.6501 -0.6890 -0.7263 -0.7620 -0.7964 -0.8303 -0.8638 -0.8977 -0.9330
 -0.9704
 -0.7824 -0.7632 -0.7459 -0.7302 -0.7161 -0.7033 -0.6918 -0.6811 -0.6695 -0.6559
 -0.6403 -0.6243 -0.6092 -0.5955 -0.5830 -0.5562 -0.5375 -0.5318 -0.5399 -0.5617
 -0.5957 -0.6363 -0.6793 -0.7219 -0.7627 -0.8014 -0.8386 -0.8744 -0.9095 -0.9447
 -0.9808
 -0.7232 -0.6794 -0.6514 -0.6350 -0.6259 -0.6207 -0.6167 -0.6118 -0.6058 -0.5986
 -0.5905 -0.5814 -0.5716 -0.5623 -0.5540 -0.5365 -0.5226 -0.5181 -0.5269
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.1011 -2.0933 -2.0483 -1.9190 -1.7619 -1.6083 -1.4772 -1.3683 -1.2693 -1.1749
 -1.0848 -0.9990 -0.9178 -0.8419 -0.7727 -0.6291 -0.5467 -0.5139 -0.5034
 -1.8981 -1.8103 -1.7756 -1.7684 -1.6894 -1.5617 -1.4334 -1.3242 -1.2292 -1.1404
 -1.0562 -0.9759 -0.9002 -0.8300 -0.7664 -0.6420 -0.5650 -0.5289 -0.5214 -0.5297
 -1.7751 -1.6743 -1.5868 -1.5259 -1.5097 -1.4822 -1.3959 -1.2921 -1.1992 -1.1157
