 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -6.4542 -6.2617 -6.4626 -6.3863 -6.1446 -5.7988 -5.3921 -5.1365 -4.8868 -4.6242
 -4.3743 -4.1419 -3.9290 -3.7307 -3.5422 -3.1248 -2.7106 -2.3389 -2.0754
 -6.3310 -5.9984 -5.7348 -5.5554 -5.4456 -5.3008 -5.0753 -4.8169 -4.5635 -4.3136
 -4.0735 -3.8506 -3.6467 -3.4599 -3.2862 -2.8933 -2.5473 -2.2598 -2.0392 -1.8694
 -6.0254 -5.6976 -5.4091 -5.1686 -4.9742 -4.8359 -4.7197 -4.5499 -4.3307 -4.0936
 -3.8635 -3.6473 -3.4504 -3.2722 -3.1103 -2.7588 -2.4603 -2.2101 -2.0142 -1.8618
 -1.7387
 -5.7745 -5.4781 -5.1979 -4.9486 -4.7308 -4.5384 -4.3731 -4.2401 -4.0991 -3.9159
 -3.7086 -3.5040 -3.3136 -3.1410 -2.9858 -2.6603 -2.3959 -2.1771 -2.0008 -1.8626
 -1.7499 -1.6536
 -5.5464 -5.2915 -5.0371 -4.7968 -4.5788 -4.3804 -4.1965 -4.0259 -3.8765 -3.7328
 -3.5762 -3.4006 -3.2230 -3.0563 -2.9050 -2.5935 -2.3508 -2.1537 -1.9948 -1.8686
 -1.7649 -1.6759 -1.5968 -1.5255
 -5.3337 -5.1148 -4.8955 -4.6758 -4.4672 -4.2734 -4.0917 -3.9185 -3.7536 -3.5974
 -3.4521 -3.3092 -3.1588 -3.0058 -2.8592 -2.5529 -2.3217 -2.1387 -1.9925 -1.8763
 -1.7810 -1.6990 -1.6259 -1.5590 -1.4941 -1.4332 -1.3791 -1.3343 -1.3004 -1.2785
 -5.1375 -4.9468 -4.7577 -4.5654 -4.3732 -4.1893 -4.0145 -3.8474 -3.6864 -3.5296
 -3.3791 -3.2375 -3.1023 -2.9686 -2.8354 -2.5344 -2.3055 -2.1299 -1.9915 -1.8827
 -1.7951 -1.7204 -1.6539 -1.5926 -1.5352 -1.4804 -1.4294 -1.3837 -1.3447 -1.3149
 -1.3012
 -4.9585 -4.7896 -4.6227 -4.4548 -4.2845 -4.1141 -3.9489 -3.7903 -3.6369 -3.4869
 -3.3402 -3.1990 -3.0650 -2.9380 -2.8156 -2.5320 -2.3012 -2.1267 -1.9915 -1.8867
 -1.8048 -1.7372 -1.6778 -1.6231 -1.5718 -1.5226 -1.4744 -1.4294 -1.3906 -1.3600
 -1.3390
 -4.7977 -4.6452 -4.4941 -4.3403 -4.1913 -4.0389 -3.8857 -3.7357 -3.5909 -3.4492
 -3.3096 -3.1732 -3.0421 -2.9172 -2.7984 -2.5288 -2.3030 -2.1270 -1.9919 -1.8880
 -1.8089 -1.7468 -1.6946 -1.6475 -1.6031 -1.5602 -1.5189 -1.4793 -1.4434 -1.4115
 -1.3832
 -4.6560 -4.5157 -4.3760 -4.2369 -4.0985 -3.9610 -3.8237 -3.6850 -3.5482 -3.4149
 -3.2840 -3.1548 -3.0286 -2.9071 -2.7911 -2.5282 -2.3079 -2.1319 -1.9956 -1.8908
 -1.8115 -1.7518 -1.7049 -1.6650 -1.6283 -1.5928 -1.5583 -1.5245 -1.4918 -1.4613
 -1.4327
 -4.5300 -4.3955 -4.2630 -4.1325 -4.0039 -3.8772 -3.7523 -3.6284 -3.5030 -3.3779
 -3.2550 -3.1341 -3.0148 -2.8982 -2.7855 -2.5281 -2.3115 -2.1363 -1.9992 -1.8936
 -1.8133 -1.7534 -1.7089 -1.6743 -1.6447 -1.6171 -1.5904 -1.5637 -1.5372 -1.5115
 -1.4873
 -4.4036 -4.2554 -4.1226 -4.0009 -3.8863 -3.7756 -3.6660 -3.5556 -3.4442 -3.3322
 -3.2196 -3.1070 -2.9956 -2.8858 -2.7781 -2.5276 -2.3134 -2.1395 -2.0020
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  g   
 -6.7540 -6.5970 -6.3981 -6.0741 -5.7079 -5.3531 -5.0493 -4.7907 -4.5499 -4.3174
 -4.0950 -3.8876 -3.6973 -3.5224 -3.3598 -2.9976 -2.6555 -2.3409 -2.0892
 -6.2905 -5.9833 -5.8024 -5.6836 -5.4521 -5.1424 -4.8357 -4.5681 -4.3278 -4.0971
 -3.8766 -3.6715 -3.4846 -3.3159 -3.1623 -2.8244 -2.5272 -2.2643 -2.0463 -1.8736
 -6.0293 -5.6900 -5.4115 -5.2029 -5.0782 -4.9326 -4.6863 -4.4172 -4.1736 -3.9476
 -3.7302 -3.5267 -3.3411 -3.1744 -3.0248 -2.7069 -2.4411 -2.2116 -2.0190 -1.8637
 -1.7375
 -5.8422 -5.5167 -5.2238 -4.9669 -4.7548 -4.5954 -4.4724 -4.3021 -4.0745 -3.8518
 -3.6391 -3.4378 -3.2523 -3.0855 -2.9365 -2.6279 -2.3814 -2.1756 -2.0032 -1.8621
 -1.7462 -1.6480
 -5.6863 -5.3898 -5.1069 -4.8509 -4.6242 -4.4203 -4.2426 -4.0931 -3.9576 -3.7844
 -3.5860 -3.3889 -3.2045 -3.0366 -2.8863 -2.5789 -2.3426 -2.1521 -1.9949 -1.8656
 -1.7588 -1.6678 -1.5876 -1.5154
 -5.5541 -5.2800 -5.0190 -4.7701 -4.5433 -4.3378 -4.1468 -3.9683 -3.8075 -3.6676
 -3.5240 -3.3578 -3.1829 -3.0160 -2.8639 -2.5526 -2.3192 -2.1373 -1.9907 -1.8712
 -1.7726 -1.6886 -1.6146 -1.5474 -1.4847 -1.4269 -1.3753 -1.3305 -1.2940 -1.2705
 -5.4234 -5.1763 -4.9405 -4.7070 -4.4855 -4.2823 -4.0948 -3.9172 -3.7471 -3.5872
 -3.4394 -3.3011 -3.1587 -3.0090 -2.8608 -2.5434 -2.3074 -2.1287 -1.9884 -1.8760
 -1.7848 -1.7080 -1.6406 -1.5791 -1.5221 -1.4670 -1.4159 -1.3713 -1.3354 -1.3094
 -1.2928
 -5.3008 -5.0747 -4.8626 -4.6489 -4.4387 -4.2393 -4.0553 -3.8831 -3.7181 -3.5580
 -3.4037 -3.2571 -3.1208 -2.9904 -2.8595 -2.5488 -2.3050 -2.1249 -1.9871 -1.8791
 -1.7936 -1.7234 -1.6629 -1.6081 -1.5570 -1.5069 -1.4592 -1.4162 -1.3795 -1.3505
 -1.3300
 -5.1926 -4.9784 -4.7812 -4.5864 -4.3917 -4.2007 -4.0199 -3.8511 -3.6922 -3.5386
 -3.3882 -3.2414 -3.1010 -2.9699 -2.8467 -2.5574 -2.3100 -2.1241 -1.9857 -1.8793
 -1.7971 -1.7323 -1.6787 -1.6312 -1.5869 -1.5447 -1.5045 -1.4674 -1.4334 -1.4022
 -1.3737
 -5.1043 -4.8917 -4.7020 -4.5230 -4.3441 -4.1661 -3.9918 -3.8256 -3.6701 -3.5225
 -3.3794 -3.2386 -3.1005 -2.9682 -2.8438 -2.5651 -2.3238 -2.1312 -1.9885 -1.8810
 -1.7993 -1.7370 -1.6885 -1.6479 -1.6111 -1.5763 -1.5427 -1.5100 -1.4786 -1.4495
 -1.4223
 -5.0345 -4.8154 -4.6268 -4.4558 -4.2893 -4.1250 -3.9622 -3.8024 -3.6492 -3.5046
 -3.3670 -3.2336 -3.1023 -2.9734 -2.8493 -2.5713 -2.3355 -2.1420 -1.9938 -1.8834
 -1.8004 -1.7384 -1.6923 -1.6567 -1.6270 -1.5998 -1.5738 -1.5482 -1.5228 -1.4984
 -1.4756
 -4.9771 -4.7496 -4.5556 -4.3836 -4.2253 -4.0729 -3.9226 -3.7741 -3.6280 -3.4864
