 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -7.1031 -6.8579 -6.7005 -6.5067 -6.2600 -6.0474 -5.9353 -5.8653 -5.7495 -5.5619
 -5.3396 -5.0944 -4.8433 -4.6017 -4.3660 -3.8116 -3.3138 -2.9052 -2.5711
 -6.7801 -6.4461 -6.1957 -5.9845 -5.8041 -5.6518 -5.5197 -5.3939 -5.2603 -5.1097
 -4.9360 -4.7359 -4.5142 -4.2894 -4.0755 -3.5917 -3.1671 -2.8107 -2.5271 -2.3088
 -6.5654 -6.1848 -5.8794 -5.6430 -5.4704 -5.3281 -5.1848 -5.0399 -4.8979 -4.7576
 -4.6062 -4.4369 -4.2445 -4.0398 -3.8445 -3.4157 -3.0498 -2.7384 -2.4926 -2.3010
 -2.1454
 -6.4590 -6.0740 -5.7516 -5.4822 -5.2589 -5.0763 -4.9306 -4.8033 -4.6623 -4.5056
 -4.3502 -4.1974 -4.0342 -3.8529 -3.6730 -3.2836 -2.9619 -2.6883 -2.4677 -2.2946
 -2.1533 -2.0324
 -6.3863 -6.0113 -5.6904 -5.4136 -5.1728 -4.9635 -4.7817 -4.6233 -4.4837 -4.3481
 -4.1961 -4.0350 -3.8798 -3.7194 -3.5538 -3.1916 -2.9002 -2.6556 -2.4552 -2.2968
 -2.1673 -2.0560 -1.9569 -1.8668
 -6.3136 -5.9599 -5.6509 -5.3781 -5.1344 -4.9148 -4.7166 -4.5377 -4.3756 -4.2265
 -4.0848 -3.9398 -3.7894 -3.6383 -3.4807 -3.1333 -2.8608 -2.6361 -2.4507 -2.3035
 -2.1841 -2.0817 -1.9902 -1.9064 -1.8286 -1.7562 -1.6897 -1.6269 -1.5703 -1.5355
 -6.2268 -5.9019 -5.6128 -5.3522 -5.1137 -4.8937 -4.6899 -4.5006 -4.3260 -4.1643
 -4.0130 -3.8687 -3.7272 -3.5890 -3.4451 -3.1049 -2.8395 -2.6269 -2.4512 -2.3115
 -2.2001 -2.1061 -2.0225 -1.9455 -1.8736 -1.8059 -1.7430 -1.6845 -1.6310 -1.5860
 -1.5605
 -6.1273 -5.8314 -5.5660 -5.3233 -5.0964 -4.8825 -4.6797 -4.4876 -4.3066 -4.1372
 -3.9786 -3.8293 -3.6877 -3.5521 -3.4196 -3.0994 -2.8335 -2.6256 -2.4557 -2.3194
 -2.2131 -2.1263 -2.0505 -1.9812 -1.9162 -1.8545 -1.7963 -1.7417 -1.6914 -1.6468
 -1.6130
 -6.0163 -5.7479 -5.5048 -5.2815 -5.0702 -4.8672 -4.6709 -4.4814 -4.2997 -4.1270
 -3.9637 -3.8102 -3.6656 -3.5291 -3.3988 -3.0951 -2.8361 -2.6283 -2.4613 -2.3263
 -2.2217 -2.1397 -2.0711 -2.0099 -1.9528 -1.8983 -1.8463 -1.7967 -1.7501 -1.7077
 -1.6719
 -5.9085 -5.6654 -5.4393 -5.2316 -5.0359 -4.8462 -4.6609 -4.4786 -4.3007 -4.1287
 -3.9641 -3.8079 -3.6606 -3.5222 -3.3914 -3.0942 -2.8429 -2.6363 -2.4703 -2.3359
 -2.2305 -2.1496 -2.0857 -2.0316 -1.9827 -1.9364 -1.8919 -1.8490 -1.8079 -1.7692
 -1.7333
 -5.8077 -5.5809 -5.3702 -5.1734 -4.9883 -4.8118 -4.6387 -4.4671 -4.2973 -4.1304
 -3.9680 -3.8119 -3.6634 -3.5231 -3.3908 -3.0945 -2.8481 -2.6437 -2.4784 -2.3447
 -2.2386 -2.1571 -2.0946 -2.0451 -2.0033 -1.9652 -1.9292 -1.8941 -1.8600 -1.8271
 -1.7964
 -5.7140 -5.4944 -5.2958 -5.1078 -4.9310 -4.7631 -4.6007 -4.4409 -4.2816 -4.1235
 -3.9675 -3.8152 -3.6681 -3.5276 -3.3970 -3.0960 -2.8517 -2.6505 -2.4856
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = BX   
 -7.2340 -6.9310 -6.6790 -6.4662 -6.2813 -6.1095 -5.9374 -5.7554 -5.5625 -5.3599
 -5.1423 -4.9097 -4.6708 -4.4410 -4.2149 -3.7335 -3.3034 -2.9218 -2.6104
 -6.8508 -6.5101 -6.2283 -5.9983 -5.8065 -5.6387 -5.4816 -5.3220 -5.1570 -4.9840
 -4.7972 -4.5928 -4.3743 -4.1586 -3.9580 -3.5220 -3.1492 -2.8224 -2.5492 -2.3314
 -6.5687 -6.1873 -5.8836 -5.6599 -5.4557 -5.2814 -5.1269 -4.9797 -4.8325 -4.6815
 -4.5215 -4.3467 -4.1534 -3.9521 -3.7625 -3.3601 -3.0302 -2.7464 -2.5052 -2.3101
 -2.1494
 -6.4162 -6.0042 -5.6771 -5.4235 -5.2220 -5.0519 -4.8964 -4.7441 -4.5961 -4.4521
 -4.3072 -4.1563 -3.9911 -3.8085 -3.6284 -3.2478 -2.9464 -2.6938 -2.4784 -2.3014
 -2.1564 -2.0331
 -6.3991 -5.9746 -5.6198 -5.3366 -5.1100 -4.9230 -4.7614 -4.6133 -4.4687 -4.3201
 -4.1670 -4.0187 -3.8705 -3.7113 -3.5421 -3.1752 -2.8912 -2.6597 -2.4641 -2.3017
 -2.1681 -2.0543 -1.9539 -1.8630
 -6.4302 -5.9965 -5.6305 -5.3235 -5.0656 -4.8481 -4.6630 -4.5030 -4.3619 -4.2338
 -4.1001 -3.9495 -3.7970 -3.6463 -3.4900 -3.1323 -2.8578 -2.6394 -2.4579 -2.3069
 -2.1830 -2.0779 -1.9850 -1.9006 -1.8226 -1.7504 -1.6842 -1.6215 -1.5648 -1.5297
 -6.4785 -6.0455 -5.6741 -5.3588 -5.0896 -4.8575 -4.6552 -4.4769 -4.3176 -4.1714
 -4.0345 -3.9015 -3.7629 -3.6183 -3.4669 -3.1118 -2.8402 -2.6290 -2.4566 -2.3140
 -2.1977 -2.1007 -2.0155 -1.9380 -1.8660 -1.7986 -1.7361 -1.6782 -1.6249 -1.5795
 -1.5542
 -6.5210 -6.1001 -5.7321 -5.4137 -5.1374 -4.8956 -4.6810 -4.4884 -4.3143 -4.1548
 -4.0057 -3.8642 -3.7281 -3.5958 -3.4603 -3.1121 -2.8347 -2.6258 -2.4585 -2.3211
 -2.2102 -2.1199 -2.0424 -1.9724 -1.9073 -1.8458 -1.7881 -1.7342 -1.6847 -1.6404
 -1.6062
 -6.5368 -6.1341 -5.7811 -5.4688 -5.1922 -4.9452 -4.7224 -4.5197 -4.3338 -4.1625
 -4.0030 -3.8530 -3.7105 -3.5749 -3.4452 -3.1208 -2.8398 -2.6264 -2.4611 -2.3266
 -2.2185 -2.1329 -2.0623 -2.0002 -1.9428 -1.8885 -1.8370 -1.7881 -1.7424 -1.7008
 -1.6654
 -6.5265 -6.1545 -5.8200 -5.5200 -5.2495 -5.0031 -4.7764 -4.5669 -4.3725 -4.1918
 -4.0233 -3.8654 -3.7164 -3.5754 -3.4421 -3.1299 -2.8562 -2.6361 -2.4682 -2.3345
 -2.2269 -2.1429 -2.0767 -2.0215 -1.9721 -1.9258 -1.8818 -1.8395 -1.7993 -1.7616
 -1.7267
 -6.4953 -6.1513 -5.8379 -5.5530 -5.2931 -5.0533 -4.8290 -4.6176 -4.4184 -4.2312
 -4.0556 -3.8909 -3.7360 -3.5899 -3.4517 -3.1377 -2.8703 -2.6498 -2.4772 -2.3423
 -2.2347 -2.1504 -2.0857 -2.0350 -1.9925 -1.9543 -1.9185 -1.8840 -1.8507 -1.8188
 -1.7890
 -6.4441 -6.1283 -5.8371 -5.5682 -5.3188 -5.0867 -4.8691 -4.6619 -4.4632 -4.2736
 -4.0937 -3.9239 -3.7640 -3.6134 -3.4740 -3.1442 -2.8821 -2.6675 -2.4881
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = BX   
 -7.5208 -7.2876 -7.0663 -6.8492 -6.6335 -6.4004 -6.1303 -5.8243 -5.5354 -5.2686
 -5.0133 -4.7639 -4.5238 -4.3011 -4.0978 -3.6596 -3.2814 -2.9402 -2.6415
 -7.0725 -6.8073 -6.5636 -6.3357 -6.1169 -5.8993 -5.6665 -5.4143 -5.1746 -4.9483
