 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.1865 -0.8808  0.4959  0.6528 -0.7964 -3.3884 -2.5811 -1.1662 -0.3236 -0.2798
 -0.1970 -0.1768 -0.5710 -1.0448 -1.2838 -1.0278
 -2.2738 -1.7148 -1.0596 -0.9226 -1.4449 -2.6073 -2.2753 -1.6516 -1.1855 -1.0127
 -0.8715 -0.8144 -0.9543 -1.1410 -1.2191 -0.9941 -0.8291 -0.7207 -0.6915
 -2.1699 -2.0219 -1.8030 -1.6877 -1.7058 -1.9850 -1.9059 -1.7409 -1.5511 -1.3800
 -1.2506 -1.1818 -1.1718 -1.1787 -1.1549 -0.9629 -0.8176 -0.7156 -0.6581 -0.6110
 -0.5402
 -1.8748 -1.8021 -1.7343 -1.6425 -1.5791 -1.5214 -1.4729 -1.4339 -1.4203 -1.3817
 -1.3344 -1.2790 -1.2236 -1.1580 -1.0912 -0.9342 -0.8063 -0.7121 -0.6433 -0.5930
 -0.5542 -0.5225 -0.4959
 -1.6600 -1.6213 -1.5805 -1.5259 -1.4760 -1.4256 -1.3779 -1.3347 -1.2964 -1.2610
 -1.2236 -1.1809 -1.1352 -1.0853 -1.0313 -0.9016 -0.7945 -0.7132 -0.6525 -0.6065
 -0.5705 -0.5412 -0.5163 -0.4951 -0.4775
 -1.4572 -1.4448 -1.4264 -1.4002 -1.3668 -1.3285 -1.2878 -1.2472 -1.2084 -1.1719
 -1.1371 -1.1021 -1.0641 -1.0249 -0.9812 -0.8732 -0.7820 -0.7117 -0.6588 -0.6180
 -0.5857 -0.5593 -0.5367 -0.5170 -0.4998 -0.4853
 -1.2665 -1.2726 -1.2720 -1.2654 -1.2514 -1.2301 -1.2026 -1.1714 -1.1386 -1.1054
 -1.0729 -1.0410 -1.0090 -0.9767 -0.9409 -0.8490 -0.7688 -0.7076 -0.6622 -0.6275
 -0.5998 -0.5768 -0.5572 -0.5397 -0.5239 -0.5100 -0.4985 -0.4915 -0.4910 -0.4988
 -1.0879 -1.1047 -1.1173 -1.1261 -1.1294 -1.1258 -1.1146 -1.0971 -1.0747 -1.0491
 -1.0218 -0.9938 -0.9656 -0.9372 -0.9079 -0.8292 -0.7569 -0.7008 -0.6611 -0.6324
 -0.6101 -0.5917 -0.5758 -0.5616 -0.5484 -0.5362 -0.5248 -0.5165 -0.5138 -0.5186
 -0.5318
 -0.9296 -0.9507 -0.9707 -0.9898 -1.0057 -1.0168 -1.0216 -1.0192 -1.0098 -0.9948
 -0.9755 -0.9534 -0.9298 -0.9053 -0.8797 -0.8124 -0.7466 -0.6935 -0.6560 -0.6313
 -0.6143 -0.6014 -0.5904 -0.5805 -0.5710 -0.5618 -0.5533 -0.5451 -0.5400 -0.5414
 -0.5513
 -0.7896 -0.8141 -0.8390 -0.8642 -0.8880 -0.9093 -0.9263 -0.9374 -0.9414 -0.9382
 -0.9287 -0.9143 -0.8965 -0.8765 -0.8547 -0.7958 -0.7364 -0.6856 -0.6490 -0.6254
 -0.6119 -0.6041 -0.5988 -0.5942 -0.5896 -0.5846 -0.5795 -0.5747 -0.5709 -0.5704
 -0.5736
 -0.6698 -0.6963 -0.7233 -0.7507 -0.7786 -0.8057 -0.8305 -0.8517 -0.8676 -0.8763
 -0.8776 -0.8726 -0.8626 -0.8485 -0.8314 -0.7806 -0.7269 -0.6786 -0.6422 -0.6181
 -0.6052 -0.6002 -0.5997 -0.6008 -0.6020 -0.6023 -0.6019 -0.6010 -0.6001 -0.5999
 -0.6005
 -0.5733 -0.5973 -0.6233 -0.6512 -0.6807 -0.7102 -0.7394 -0.7666 -0.7905 -0.8082
 -0.8194 -0.8245 -0.8238 -0.8179 -0.8071 -0.7662 -0.7174 -0.6717 -0.6355 -0.6110
 -0.5972 -0.5925 -0.5944 -0.6000 -0.6067 -0.6128 -0.6181 -0.6224 -0.6257 -0.6288
 -0.6324
 -0.5002 -0.5170 -0.5390 -0.5657 -0.5943 -0.6228 -0.6552 -0.6855 -0.7138 -0.7376
 -0.7565 -0.7709 -0.7813 -0.7847 -0.7820 -0.7526 -0.7079 -0.6649 -0.6289
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.8577 -1.7472 -1.6825 -1.6726 -1.7258 -1.9778 -1.8487 -1.7168 -1.6153 -1.5370
 -1.4191 -1.3012 -1.2679 -1.2742 -1.2439 -1.0243
 -1.8671 -1.7531 -1.6717 -1.6302 -1.6352 -1.7555 -1.6941 -1.6236 -1.5584 -1.4973
 -1.4176 -1.3348 -1.2807 -1.2401 -1.1839 -0.9873 -0.8329 -0.7197 -0.6369
 -1.8535 -1.7418 -1.6517 -1.5888 -1.5582 -1.5842 -1.5608 -1.5286 -1.4887 -1.4419
 -1.3891 -1.3310 -1.2683 -1.2015 -1.1312 -0.9549 -0.8172 -0.7145 -0.6391 -0.5830
 -0.5396
 -1.8169 -1.7133 -1.6225 -1.5484 -1.4948 -1.4639 -1.4488 -1.4318 -1.4059 -1.3707
 -1.3335 -1.2898 -1.2308 -1.1586 -1.0858 -0.9271 -0.8038 -0.7112 -0.6430 -0.5917
 -0.5519 -0.5199 -0.4924
 -1.7573 -1.6676 -1.5841 -1.5090 -1.4450 -1.3946 -1.3581 -1.3332 -1.3102 -1.2838
 -1.2509 -1.2112 -1.1682 -1.1113 -1.0477 -0.9039 -0.7927 -0.7098 -0.6485 -0.6020
 -0.5657 -0.5361 -0.5115 -0.4906 -0.4734
 -1.6747 -1.6047 -1.5365 -1.4706 -1.4088 -1.3537 -1.3073 -1.2696 -1.2385 -1.2106
 -1.1800 -1.1437 -1.1067 -1.0641 -1.0124 -0.8842 -0.7825 -0.7083 -0.6540 -0.6126
 -0.5800 -0.5534 -0.5309 -0.5115 -0.4948 -0.4807
 -1.5697 -1.5200 -1.4706 -1.4199 -1.3682 -1.3170 -1.2691 -1.2266 -1.1896 -1.1560
 -1.1231 -1.0890 -1.0525 -1.0183 -0.9761 -0.8660 -0.7727 -0.7047 -0.6570 -0.6214
 -0.5932 -0.5701 -0.5506 -0.5335 -0.5183 -0.5050 -0.4941 -0.4875 -0.4874 -0.4953
 -1.4502 -1.4173 -1.3853 -1.3517 -1.3143 -1.2734 -1.2307 -1.1892 -1.1506 -1.1152
 -1.0816 -1.0478 -1.0126 -0.9791 -0.9431 -0.8477 -0.7628 -0.6991 -0.6558 -0.6259
 -0.6030 -0.5844 -0.5687 -0.5548 -0.5422 -0.5306 -0.5207 -0.5128 -0.5099 -0.5149
 -0.5283
 -1.3343 -1.3085 -1.2862 -1.2671 -1.2445 -1.2171 -1.1845 -1.1489 -1.1131 -1.0786
 -1.0458 -1.0137 -0.9811 -0.9481 -0.9156 -0.8301 -0.7529 -0.6921 -0.6507 -0.6248
 -0.6049 -0.5940 -0.5830 -0.5735 -0.5645 -0.5558 -0.5479 -0.5431 -0.5417 -0.5434
 -0.5478
 -1.1975 -1.1934 -1.1847 -1.1719 -1.1611 -1.1463 -1.1261 -1.1005 -1.0711 -1.0404
 -1.0100 -0.9804 -0.9509 -0.9210 -0.8912 -0.8130 -0.7418 -0.6845 -0.6441 -0.6191
 -0.6049 -0.5968 -0.5914 -0.5871 -0.5829 -0.5784 -0.5739 -0.5696 -0.5663 -0.5655
 -0.5700
 -1.0763 -1.0805 -1.0790 -1.0724 -1.0702 -1.0648 -1.0559 -1.0415 -1.0219 -0.9983
 -0.9726 -0.9465 -0.9205 -0.8944 -0.8680 -0.7982 -0.7319 -0.6772 -0.6374 -0.6119
 -0.5985 -0.5933 -0.5927 -0.5940 -0.5954 -0.5961 -0.5962 -0.5959 -0.5954 -0.5957
 -0.5968
 -0.9596 -0.9696 -0.9766 -0.9808 -0.9858 -0.9899 -0.9904 -0.9720 -0.9628 -0.9485
 -0.9302 -0.9095 -0.8877 -0.8656 -0.8430 -0.7834 -0.7219 -0.6700 -0.6308 -0.6049
 -0.5906 -0.5859 -0.5878 -0.5935 -0.6003 -0.6069 -0.6126 -0.6172 -0.6210 -0.6245
 -0.6286
 -0.8473 -0.8609 -0.8776 -0.8970 -0.9080 -0.9215 -0.9069 -0.9099 -0.9085 -0.8901
 -0.8806 -0.8673 -0.8513 -0.8338 -0.8162 -0.7686 -0.7118 -0.6629 -0.6243
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.9730 -2.0184 -2.1141 -2.1054 -1.9596 -1.8132 -1.7848 -1.8243 -1.8209 -1.7387
 -1.6266 -1.5035 -1.3943 -1.3061 -1.2170 -1.0144
 -1.9255 -1.8861 -1.8858 -1.8517 -1.7705 -1.6945 -1.6660 -1.6632 -1.6422 -1.5872
 -1.5135 -1.4256 -1.3337 -1.2471 -1.1630 -0.9779 -0.8303 -0.7180 -0.6285
 -1.8885 -1.7927 -1.7259 -1.6691 -1.6215 -1.5848 -1.5561 -1.5299 -1.5001 -1.4627
 -1.4146 -1.3528 -1.2775 -1.1963 -1.1177 -0.9476 -0.8140 -0.7123 -0.6347 -0.5770
 -0.5367
 -1.8620 -1.7382 -1.6344 -1.5576 -1.5126 -1.4841 -1.4551 -1.4244 -1.3946 -1.3652
 -1.3299 -1.2851 -1.2257 -1.1537 -1.0811 -0.9235 -0.8012 -0.7087 -0.6401 -0.5884
 -0.5482 -0.5161 -0.4898
 -1.8460 -1.7226 -1.6113 -1.5172 -1.4438 -1.3924 -1.3630 -1.3467 -1.3257 -1.2947
 -1.2594 -1.2225 -1.1783 -1.1193 -1.0532 -0.9056 -0.7919 -0.7072 -0.6448 -0.5979
 -0.5612 -0.5315 -0.5069 -0.4859 -0.4687
 -1.8169 -1.7045 -1.5994 -1.5050 -1.4243 -1.3590 -1.3097 -1.2743 -1.2504 -1.2309
 -1.2038 -1.1685 -1.1316 -1.0865 -1.0299 -0.8922 -0.7848 -0.7061 -0.6496 -0.6076
 -0.5747 -0.5479 -0.5255 -0.5064 -0.4900 -0.4764
 -1.7641 -1.6688 -1.5773 -1.4917 -1.4138 -1.3452 -1.2874 -1.2407 -1.2034 -1.1725
 -1.1451 -1.1162 -1.0835 -1.0486 -1.0040 -0.8806 -0.7785 -0.7039 -0.6525 -0.6156
 -0.5871 -0.5640 -0.5444 -0.5277 -0.5129 -0.5000 -0.4897 -0.4836 -0.4836 -0.4916
 -1.6864 -1.6101 -1.5356 -1.4642 -1.3960 -1.3319 -1.2732 -1.2211 -1.1769 -1.1389
 -1.1045 -1.0717 -1.0385 -1.0072 -0.9718 -0.8671 -0.7718 -0.7002 -0.6518 -0.6197
 -0.5963 -0.5776 -0.5620 -0.5483 -0.5361 -0.5250 -0.5158 -0.5084 -0.5059 -0.5112
 -0.5246
 -1.5900 -1.5308 -1.4731 -1.4174 -1.3626 -1.3085 -1.2551 -1.2039 -1.1566 -1.1147
 -1.0770 -1.0416 -1.0069 -0.9729 -0.9406 -0.8493 -0.7634 -0.6948 -0.6480 -0.6188
 -0.6002 -0.5867 -0.5759 -0.5664 -0.5578 -0.5497 -0.5424 -0.5364 -0.5327 -0.5337
 -0.5441
 -1.4813 -1.4371 -1.3938 -1.3521 -1.3109 -1.2689 -1.2251 -1.1799 -1.1350 -1.0923
 -1.0529 -1.0166 -0.9818 -0.9476 -0.9150 -0.8302 -0.7520 -0.6876 -0.6416 -0.6136
 -0.5981 -0.5895 -0.5841 -0.5799 -0.5760 -0.5719 -0.5680 -0.5643 -0.5617 -0.5614
 -0.5663
 -1.3691 -1.3373 -1.3054 -1.2746 -1.2450 -1.2145 -1.1818 -1.1458 -1.1074 -1.0680
 -1.0294 -0.9932 -0.9591 -0.9264 -0.8945 -0.8147 -0.7410 -0.6803 -0.6353 -0.6068
