 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -0.5240 -0.4711 -0.4228 -0.3791 -0.3393 -0.2464 -0.1615 -0.0934 -0.0468 -0.0205
 -0.0092 -0.0056 -0.0047 -0.0047 -0.0046 -0.0043 -0.0042 -0.0056 -0.0085 -0.0130
 -0.0187
 -1.0549 -1.0045 -0.9579 -0.9093 -0.8578 -0.8013 -0.7414 -0.6795 -0.6181 -0.5586
 -0.5027 -0.4510 -0.4033 -0.3590 -0.3179 -0.2281 -0.1503 -0.0862 -0.0402 -0.0132
 -0.0025 -0.0020 -0.0062 -0.0118 -0.0173 -0.0220 -0.0263 -0.0299 -0.0336 -0.0381
 -0.0435
 -0.9987 -0.9392 -0.8897 -0.8434 -0.7984 -0.7492 -0.6975 -0.6434 -0.5884 -0.5335
 -0.4804 -0.4307 -0.3846 -0.3418 -0.3018 -0.2130 -0.1385 -0.0778 -0.0331 -0.0053
  0.0064  0.0061 -0.0013 -0.0119 -0.0231 -0.0337 -0.0433 -0.0517 -0.0593 -0.0665
 -0.0742
 -0.9561 -0.8834 -0.8262 -0.7792 -0.7369 -0.6944 -0.6495 -0.6022 -0.5536 -0.5043
 -0.4556 -0.4086 -0.3644 -0.3234 -0.2853 -0.2002 -0.1277 -0.0691 -0.0256
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.2032 -2.1164 -1.9299 -1.7287 -1.5302 -1.3585 -1.2291 -1.1181 -1.0139 -0.9150
 -0.8208 -0.7311 -0.6465 -0.5671 -0.4929 -0.3323 -0.2040 -0.1038 -0.0290
 -1.9081 -1.8870 -1.8471 -1.6924 -1.5103 -1.3359 -1.1908 -1.0742 -0.9691 -0.8715
 -0.7790 -0.6914 -0.6089 -0.5319 -0.4606 -0.3085 -0.1898 -0.0987 -0.0304  0.0204
 -1.7805 -1.6600 -1.6010 -1.5869 -1.4828 -1.3253 -1.1726 -1.0453 -0.9384 -0.8418
 -0.7514 -0.6659 -0.5855 -0.5105 -0.4413 -0.2946 -0.1817 -0.0963 -0.0331  0.0134
  0.0484
 -1.7050 -1.5711 -1.4505 -1.3636 -1.3286 -1.2824 -1.1639 -1.0319 -0.9180 -0.8209
 -0.7323 -0.6490 -0.5706 -0.4974 -0.4298 -0.2869 -0.1777 -0.0960 -0.0366  0.0063
  0.0381  0.0628
 -1.6384 -1.5152 -1.3895 -1.2727 -1.1753 -1.1073 -1.0706 -1.0092 -0.9071 -0.8058
 -0.7179 -0.6367 -0.5602 -0.4888 -0.4227 -0.2827 -0.1760 -0.0968 -0.0401 -0.0004
  0.0281  0.0501  0.0675  0.0816
 -1.5714 -1.4634 -1.3473 -1.2303 -1.1197 -1.0217 -0.9414 -0.8832 -0.8421 -0.7832
 -0.7044 -0.6261 -0.5518 -0.4823 -0.4176 -0.2800 -0.1750 -0.0975 -0.0427 -0.0056
  0.0194  0.0379  0.0525  0.0640  0.0736  0.0804  0.0836  0.0824  0.0760  0.0634
 -1.5025 -1.4085 -1.3058 -1.1980 -1.0905 -0.9890 -0.8963 -0.8137 -0.7450 -0.6936
 -0.6510 -0.6009 -0.5399 -0.4751 -0.4126 -0.2775 -0.1737 -0.0973 -0.0438 -0.0086
  0.0132  0.0278  0.0386  0.0471  0.0539  0.0598  0.0635  0.0635  0.0586  0.0478
  0.0301
 -1.4333 -1.3496 -1.2596 -1.1635 -1.0646 -0.9666 -0.8736 -0.7874 -0.7091 -0.6400
 -0.5824 -0.5368 -0.4959 -0.4512 -0.4010 -0.2742 -0.1717 -0.0958 -0.0427 -0.0087
  0.0106  0.0211  0.0276  0.0320  0.0355  0.0380  0.0405  0.0413  0.0381  0.0293
  0.0138
 -1.3688 -1.2884 -1.2078 -1.1226 -1.0336 -0.9434 -0.8547 -0.7700 -0.6909 -0.6181
 -0.5526 -0.4957 -0.4476 -0.4061 -0.3670 -0.2643 -0.1671 -0.0918 -0.0390 -0.0054
  0.0124  0.0193  0.0210  0.0206  0.0196  0.0184  0.0167  0.0135  0.0087  0.0024
 -0.0052
 -1.3154 -1.2341 -1.1557 -1.0788 -0.9991 -0.9173 -0.8354 -0.7552 -0.6785 -0.6063
 -0.5394 -0.4788 -0.4250 -0.3778 -0.3360 -0.2452 -0.1600 -0.0874 -0.0343 -0.0002
  0.0175  0.0225  0.0201  0.0146  0.0083  0.0023 -0.0036 -0.0091 -0.0148 -0.0214
 -0.0301
 -1.2803 -1.1848 -1.1064 -1.0333 -0.9606 -0.8865 -0.8116 -0.7373 -0.6650 -0.5955
 -0.5298 -0.4689 -0.4134 -0.3636 -0.3188 -0.2259 -0.1483 -0.0807 -0.0286  0.0063
  0.0249  0.0297  0.0248  0.0149  0.0033 -0.0082 -0.0193 -0.0294 -0.0388 -0.0480
 -0.0578
 -1.2656 -1.1533 -1.0657 -0.9911 -0.9209 -0.8522 -0.7838 -0.7151 -0.6478 -0.5823
 -0.5194 -0.4601 -0.4048 -0.3543 -0.3085 -0.2123 -0.1359 -0.0723 -0.0219
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  G   
 -2.2554 -2.0997 -1.8842 -1.6797 -1.4851 -1.3151 -1.1861 -1.0794 -0.9815 -0.8852
 -0.7946 -0.7084 -0.6271 -0.5507 -0.4794 -0.3231 -0.1974 -0.0987 -0.0232
 -1.9896 -1.9871 -1.8559 -1.6615 -1.4730 -1.2974 -1.1565 -1.0430 -0.9427 -0.8476
 -0.7583 -0.6738 -0.5941 -0.5195 -0.4502 -0.3010 -0.1836 -0.0930 -0.0246  0.0266
 -1.8146 -1.7210 -1.7140 -1.6345 -1.4671 -1.2976 -1.1439 -1.0204 -0.9170 -0.8225
 -0.7348 -0.6520 -0.5740 -0.5011 -0.4333 -0.2885 -0.1760 -0.0905 -0.0266  0.0207
  0.0560
 -1.7459 -1.6025 -1.4937 -1.4507 -1.4191 -1.2951 -1.1462 -1.0109 -0.9006 -0.8052
 -0.7188 -0.6378 -0.5615 -0.4901 -0.4237 -0.2819 -0.1725 -0.0902 -0.0296  0.0146
  0.0470  0.0719
 -1.6941 -1.5534 -1.4174 -1.3038 -1.2267 -1.1914 -1.1299 -1.0128 -0.8940 -0.7937
 -0.7072 -0.6278 -0.5532 -0.4833 -0.4182 -0.2787 -0.1713 -0.0910 -0.0327  0.0089
  0.0383  0.0606  0.0780  0.0918
 -1.6435 -1.5150 -1.3829 -1.2559 -1.1443 -1.0533 -0.9894 -0.9475 -0.8828 -0.7882
 -0.6985 -0.6198 -0.5467 -0.4783 -0.4144 -0.2771 -0.1710 -0.0920 -0.0353  0.0042
  0.0309  0.0500  0.0646  0.0759  0.0844  0.0901  0.0927  0.0911  0.0844  0.0714
 -1.5907 -1.4754 -1.3541 -1.2317 -1.1146 -1.0087 -0.9163 -0.8394 -0.7823 -0.7374
 -0.6803 -0.6107 -0.5405 -0.4737 -0.4112 -0.2758 -0.1706 -0.0924 -0.0366  0.0013
  0.0256  0.0413  0.0523  0.0606  0.0668  0.0710  0.0729  0.0721  0.0675  0.0563
  0.0382
 -1.5368 -1.4319 -1.3224 -1.2095 -1.0972 -0.9902 -0.8915 -0.8030 -0.7254 -0.6598
 -0.6083 -0.5647 -0.5178 -0.4638 -0.4064 -0.2741 -0.1697 -0.0917 -0.0364  0.0007
  0.0233  0.0357  0.0427  0.0470  0.0499  0.0515  0.0528  0.0523  0.0480  0.0384
  0.0226
 -1.4867 -1.3854 -1.2849 -1.1819 -1.0779 -0.9757 -0.8782 -0.7874 -0.7047 -0.6303
