 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.5058 -0.4951 -0.6778 -0.6823 -0.6038 -0.4703 -0.3063 -0.2018 -0.1081 -0.0095
  0.0849  0.1743  0.2569  0.3304  0.3942  0.5256  0.5847  0.5935  0.5953
 -0.5080 -0.4314 -0.3685 -0.3354 -0.3335 -0.3065 -0.2315 -0.1392 -0.0496  0.0372
  0.1212  0.2005  0.2732  0.3381  0.3946  0.5006  0.5600  0.5826  0.5831  0.5713
 -0.3855 -0.3153 -0.2444 -0.1809 -0.1320 -0.1111 -0.1032 -0.0680 -0.0042  0.0717
  0.1463  0.2179  0.2841  0.3433  0.3949  0.4915  0.5457  0.5651  0.5636  0.5515
  0.5327
 -0.2732 -0.2200 -0.1577 -0.0936 -0.0343  0.0164  0.0526  0.0687  0.0845  0.1200
  0.1739  0.2343  0.2932  0.3470  0.3942  0.4832  0.5338  0.5510  0.5476  0.5345
  0.5160  0.4933
 -0.1583 -0.1259 -0.0800 -0.0255  0.0310  0.0841  0.1311  0.1704  0.1963  0.2151
  0.2363  0.2687  0.3100  0.3545  0.3965  0.4782  0.5258  0.5410  0.5356  0.5206
  0.5013  0.4787  0.4530  0.4241
 -0.0399 -0.0245  0.0020  0.0410  0.0875  0.1364  0.1827  0.2245  0.2610  0.2914
  0.3145  0.3336  0.3552  0.3811  0.4096  0.4784  0.5228  0.5367  0.5294  0.5108
  0.4892  0.4654  0.4394  0.4113  0.3809  0.3475  0.3107  0.2701  0.2254  0.1765
  0.0788  0.0821  0.0929  0.1154  0.1475  0.1864  0.2276  0.2672  0.3029  0.3350
  0.3634  0.3874  0.4069  0.4246  0.4425  0.4880  0.5256  0.5399  0.5299  0.5071
  0.4812  0.4546  0.4271  0.3983  0.3681  0.3375  0.3048  0.2679  0.2252  0.1766
  0.1255
  0.1949  0.1899  0.1906  0.1999  0.2175  0.2427  0.2740  0.3080  0.3408  0.3707
  0.3975  0.4217  0.4432  0.4613  0.4770  0.5097  0.5352  0.5469  0.5367  0.5106
  0.4794  0.4482  0.4175  0.3868  0.3555  0.3236  0.2917  0.2578  0.2200  0.1765
  0.1263
  0.3053  0.2951  0.2901  0.2919  0.2977  0.3103  0.3291  0.3532  0.3800  0.4065
  0.4305  0.4519  0.4712  0.4886  0.5041  0.5334  0.5513  0.5576  0.5477  0.5202
  0.4845  0.4477  0.4121  0.3777  0.3439  0.3105  0.2769  0.2426  0.2059  0.1667
  0.1253
  0.4069  0.3937  0.3856  0.3820  0.3824  0.3865  0.3944  0.4073  0.4243  0.4445
  0.4647  0.4829  0.4990  0.5137  0.5270  0.5533  0.5684  0.5713  0.5606  0.5340
  0.4966  0.4554  0.4143  0.3749  0.3371  0.3007  0.2650  0.2297  0.1941  0.1575
  0.1190
  0.4984  0.4860  0.4768  0.4707  0.4673  0.4663  0.4676  0.4712  0.4783  0.4892
  0.5028  0.5168  0.5296  0.5406  0.5504  0.5710  0.5841  0.5850  0.5730  0.5480
  0.5114  0.4686  0.4236  0.3790  0.3362  0.2954  0.2563  0.2185  0.1814  0.1444
  0.1066
  0.5837  0.5848  0.5801  0.5718  0.5622  0.5532  0.5461  0.5420  0.5411  0.5432
  0.5481  0.5555  0.5637  0.5712  0.5775  0.5896  0.5983  0.5981  0.5854
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.7910 -0.7950 -0.7621 -0.6478 -0.5053 -0.3651 -0.2464 -0.1491 -0.0609  0.0234
  0.1040  0.1807  0.2529  0.3200  0.3809  0.5056  0.5792  0.6089  0.6122
 -0.6126 -0.5396 -0.5145 -0.5145 -0.4455 -0.3295 -0.2125 -0.1137 -0.0285  0.0509
  0.1264  0.1981  0.2654  0.3274  0.3833  0.4928  0.5604  0.5903  0.5936  0.5825
 -0.5039 -0.4183 -0.3421 -0.2899 -0.2801 -0.2594 -0.1823 -0.0879 -0.0039  0.0711
  0.1417  0.2086  0.2715  0.3293  0.3813  0.4825  0.5450  0.5732  0.5755  0.5640
  0.5451
 -0.4109 -0.3364 -0.2568 -0.1797 -0.1181 -0.0839 -0.0741 -0.0439  0.0206  0.0899
  0.1555  0.2177  0.2764  0.3304  0.3790  0.4735  0.5322  0.5593  0.5611  0.5487
  0.5297  0.5065
 -0.3172 -0.2608 -0.1926 -0.1203 -0.0513  0.0105  0.0578  0.0856  0.0990  0.1281
  0.1756  0.2298  0.2834  0.3337  0.3792  0.4677  0.5231  0.5491  0.5504  0.5367
  0.5167  0.4932  0.4666  0.4360
 -0.2201 -0.1796 -0.1287 -0.0676 -0.0031  0.0592  0.1165  0.1660  0.2029  0.2239
  0.2400  0.2650  0.3008  0.3424  0.3835  0.4662  0.5184  0.5435  0.5442  0.5286
  0.5063  0.4813  0.4543  0.4251  0.3942  0.3606  0.3231  0.2808  0.2335  0.1836
 -0.1149 -0.0899 -0.0558 -0.0109  0.0425  0.0990  0.1541  0.2054  0.2512  0.2892
  0.3174  0.3363  0.3535  0.3746  0.4006  0.4697  0.5184  0.5425  0.5430  0.5254
  0.4997  0.4719  0.4432  0.4132  0.3818  0.3493  0.3145  0.2762  0.2333  0.1852
  0.1323
 -0.0091  0.0075  0.0269  0.0568  0.0951  0.1408  0.1892  0.2371  0.2820  0.3227
  0.3580  0.3868  0.4089  0.4258  0.4414  0.4834  0.5234  0.5459  0.5465  0.5279
  0.4985  0.4666  0.4347  0.4027  0.3703  0.3383  0.3053  0.2695  0.2296  0.1843
  0.1331
  0.0920  0.1054  0.1173  0.1351  0.1602  0.1921  0.2298  0.2708  0.3116  0.3503
  0.3854  0.4161  0.4425  0.4640  0.4808  0.5116  0.5365  0.5537  0.5539  0.5353
  0.5033  0.4666  0.4301  0.3946  0.3597  0.3250  0.2899  0.2531  0.2145  0.1742
  0.1326
  0.1829  0.1965  0.2067  0.2197  0.2344  0.2547  0.2800  0.3103  0.3438  0.3780
  0.4104  0.4397  0.4655  0.4879  0.5068  0.5385  0.5566  0.5660  0.5643  0.5466
  0.5142  0.4742  0.4328  0.3924  0.3536  0.3160  0.2789  0.2422  0.2052  0.1671
  0.1271
  0.2569  0.2794  0.2930  0.3045  0.3131  0.3261  0.3417  0.3611  0.3842  0.4108
  0.4383  0.4645  0.4882  0.5089  0.5270  0.5597  0.5766  0.5817  0.5766  0.5593
  0.5280  0.4870  0.4421  0.3969  0.3532  0.3114  0.2710  0.2318  0.1934  0.1549
  0.1159
  0.3174  0.3541  0.3760  0.3882  0.3955  0.4023  0.4109  0.4222  0.4359  0.4527
  0.4724  0.4933  0.5136  0.5319  0.5478  0.5774  0.5938  0.5976  0.5901
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.9757 -0.9120 -0.7571 -0.5889 -0.4233 -0.2823 -0.1804 -0.0959 -0.0177  0.0567
  0.1268  0.1935  0.2568  0.3168  0.3729  0.4912  0.5733  0.6178  0.6287
 -0.7140 -0.7108 -0.6901 -0.5661 -0.4177 -0.2764 -0.1619 -0.0737  0.0042  0.0757
  0.1426  0.2058  0.2658  0.3223  0.3750  0.4843  0.5584  0.5981  0.6081  0.5991
 -0.5993 -0.5080 -0.4703 -0.4734 -0.3976 -0.2742 -0.1548 -0.0581  0.0203  0.0898
  0.1537  0.2138  0.2706  0.3240  0.3736  0.4762  0.5450  0.5818  0.5915  0.5823
  0.5634
 -0.5261 -0.4263 -0.3347 -0.2724 -0.2574 -0.2346 -0.1492 -0.0506  0.0329  0.1022
  0.1637  0.2209  0.2747  0.3253  0.3722  0.4692  0.5339  0.5687  0.5782  0.5690
  0.5499  0.5257
 -0.4548 -0.3692 -0.2766 -0.1889 -0.1177 -0.0739 -0.0596 -0.0262  0.0430  0.1140
  0.1745  0.2291  0.2803  0.3282  0.3726  0.4645  0.5258  0.5589  0.5681  0.5587
