 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
-10.0744 -9.4985 -9.0850 -8.7970 -8.5834 -8.4049 -8.3102 -8.1342 -7.9406 -7.7108
 -7.4385 -6.9891 -6.6941 -6.3784 -6.0541 -5.1120 -4.0661 -3.4387 -2.7883
 -9.3412 -8.8880 -8.5403 -8.2876 -8.1054 -7.9413 -7.7691 -7.5813 -7.3771 -7.1488
 -6.8757 -6.5497 -6.1937 -5.8352 -5.4781 -4.5518 -3.7035 -3.0528 -2.6000 -2.2809
 -9.0884 -8.5967 -8.1667 -7.8024 -7.5078 -7.2859 -7.1246 -6.9771 -6.8057 -6.5926
 -6.3452 -6.0530 -5.7155 -5.3726 -5.0378 -4.2156 -3.4452 -2.8488 -2.4402 -2.1587
 -1.9591
 -8.9387 -8.4197 -7.9509 -7.5337 -7.1690 -6.8576 -6.5985 -6.3907 -6.2199 -6.0447
 -5.8326 -5.5845 -5.2913 -4.9725 -4.6611 -3.9245 -3.2410 -2.6904 -2.3141 -2.0608
 -1.8845 -1.7578
 -8.8426 -8.3125 -7.8240 -7.3789 -6.9778 -6.6200 -6.3043 -6.0284 -5.7890 -5.5814
 -5.3855 -5.1728 -4.9289 -4.6513 -4.3663 -3.7014 -3.0933 -2.5805 -2.2204 -1.9838
 -1.8232 -1.7097 -1.6274 -1.5660
 -8.7827 -8.2548 -7.7605 -7.3011 -6.8791 -6.4955 -6.1482 -5.8351 -5.5545 -5.3027
 -5.0752 -4.8628 -4.6492 -4.4121 -4.1588 -3.5468 -2.9992 -2.5187 -2.1618 -1.9266
 -1.7729 -1.6674 -1.5923 -1.5381 -1.4968 -1.4640 -1.4365 -1.4119 -1.3882 -1.3639
 -8.7604 -8.2363 -7.7450 -7.2825 -6.8502 -6.4509 -6.0844 -5.7487 -5.4425 -5.1642
 -4.9108 -4.6786 -4.4619 -4.2452 -4.0211 -3.4538 -2.9471 -2.4970 -2.1382 -1.8921
 -1.7331 -1.6290 -1.5578 -1.5079 -1.4727 -1.4466 -1.4264 -1.4099 -1.3954 -1.3814
 -1.3673
 -8.7771 -8.2604 -7.7725 -7.3112 -6.8772 -6.4700 -6.0901 -5.7393 -5.4162 -5.1181
 -4.8454 -4.5959 -4.3661 -4.1478 -3.9344 -3.4098 -2.9229 -2.5004 -2.1439 -1.8822
