 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -2.4818 -2.3156 -2.4148 -3.0598 -4.1065 -4.7583 -5.0367 -5.1343 -4.9903 -4.6449
 -5.0041 -5.5171 -5.1871 -4.3918 -3.8369 -4.0171
 -3.0460 -2.9253 -2.8987 -3.1143 -3.5364 -3.8160 -3.9793 -4.0962 -4.1451 -4.1351
 -4.3538 -4.5816 -4.4396 -4.0801 -3.8384 -4.0293 -4.2137 -4.3752 -4.5467
 -3.3432 -3.2949 -3.2484 -3.2654 -3.3523 -3.4292 -3.5138 -3.6117 -3.7189 -3.8321
 -3.9384 -4.0033 -3.9769 -3.8953 -3.8559 -4.0405 -4.2262 -4.3939 -4.5592 -4.7155
 -4.8660
 -3.3734 -3.4244 -3.4639 -3.5131 -3.5541 -3.5979 -3.6402 -3.6808 -3.7116 -3.7357
 -3.7579 -3.7823 -3.7990 -3.8371 -3.8894 -4.0507 -4.2378 -4.4090 -4.5720 -4.7286
 -4.8792 -5.0235 -5.1628
 -3.4841 -3.5084 -3.5305 -3.5606 -3.5933 -3.6311 -3.6713 -3.7115 -3.7497 -3.7829
 -3.8104 -3.8369 -3.8616 -3.8936 -3.9378 -4.0777 -4.2462 -4.4174 -4.5822 -4.7389
 -4.8884 -5.0317 -5.1695 -5.3027 -5.4319
 -3.6031 -3.6086 -3.6168 -3.6307 -3.6521 -3.6805 -3.7145 -3.7510 -3.7883 -3.8245
 -3.8577 -3.8875 -3.9162 -3.9432 -3.9829 -4.1069 -4.2589 -4.4252 -4.5897 -4.7467
 -4.8959 -5.0386 -5.1754 -5.3072 -5.4347 -5.5585
 -3.7303 -3.7250 -3.7228 -3.7234 -3.7305 -3.7461 -3.7698 -3.7993 -3.8320 -3.8661
 -3.9004 -3.9329 -3.9634 -3.9906 -4.0247 -4.1383 -4.2759 -4.4324 -4.5945 -4.7520
 -4.9017 -5.0442 -5.1804 -5.3114 -5.4376 -5.5598 -5.6786 -5.7943 -5.9071 -6.0168
 -3.8658 -3.8576 -3.8485 -3.8386 -3.8318 -3.8321 -3.8412 -3.8592 -3.8837 -3.9123
 -3.9431 -3.9750 -4.0065 -4.0357 -4.0661 -4.1668 -4.2962 -4.4415 -4.5976 -4.7544
 -4.9051 -5.0483 -5.1845 -5.3151 -5.4405 -5.5616 -5.6789 -5.7929 -5.9040 -6.0125
 -6.1185
 -4.0028 -3.9968 -3.9858 -3.9705 -3.9539 -3.9403 -3.9332 -3.9355 -3.9474 -3.9666
 -3.9905 -4.0179 -4.0475 -4.0776 -4.1067 -4.1954 -4.3153 -4.4535 -4.6015 -4.7546
 -4.9057 -5.0502 -5.1873 -5.3180 -5.4432 -5.5636 -5.6800 -5.7927 -5.9021 -6.0090
 -6.1137
 -4.1288 -4.1328 -4.1271 -4.1127 -4.0920 -4.0686 -4.0478 -4.0337 -4.0290 -4.0343
 -4.0477 -4.0669 -4.0908 -4.1180 -4.1460 -4.2268 -4.3352 -4.4670 -4.6095 -4.7572
 -4.9063 -5.0519 -5.1907 -5.3225 -5.4482 -5.5686 -5.6846 -5.7967 -5.9052 -6.0107
 -6.1136
 -4.2473 -4.2581 -4.2585 -4.2496 -4.2299 -4.2047 -4.1765 -4.1498 -4.1291 -4.1180
 -4.1176 -4.1260 -4.1411 -4.1609 -4.1841 -4.2576 -4.3560 -4.4789 -4.6159 -4.7585
 -4.9034 -5.0478 -5.1878 -5.3213 -5.4482 -5.5693 -5.6854 -5.7972 -5.9051 -6.0096
 -6.1132
 -4.3528 -4.3727 -4.3802 -4.3767 -4.3628 -4.3407 -4.3112 -4.2791 -4.2479 -4.2243
 -4.2095 -4.2029 -4.2040 -4.2123 -4.2274 -4.2900 -4.3805 -4.4926 -4.6230 -4.7611
 -4.9019 -5.0431 -5.1825 -5.3173 -5.4460 -5.5684 -5.6854 -5.7975 -5.9055 -6.0097
 -6.1107
 -4.4452 -4.4765 -4.4922 -4.4940 -4.4907 -4.4766 -4.4433 -4.4115 -4.3771 -4.3461
 -4.3195 -4.2972 -4.2786 -4.2722 -4.2759 -4.3239 -4.4087 -4.5081 -4.6308
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5224 -3.5884 -3.6576 -3.7316 -3.8011 -3.7835 -3.7178 -3.6497 -3.6055 -3.6193
 -3.7600 -3.9379 -3.9684 -3.8747 -3.8268 -4.0043
 -3.4668 -3.5293 -3.5941 -3.6617 -3.7262 -3.7447 -3.7329 -3.7101 -3.6907 -3.6922
 -3.7444 -3.8173 -3.8439 -3.8307 -3.8435 -4.0235 -4.2024 -4.3745 -4.5403
 -3.4352 -3.4925 -3.5516 -3.6123 -3.6714 -3.7125 -3.7368 -3.7467 -3.7482 -3.7475
 -3.7496 -3.7589 -3.7789 -3.8127 -3.8628 -4.0416 -4.2195 -4.3918 -4.5567 -4.7142
