 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.0112 -1.9339 -1.8542 -1.7749 -1.6994 -1.6287 -1.5632 -1.5027 -1.4477 -1.3989
 -1.3560 -1.3180 -1.2833 -1.2511 -1.2225 -1.1476 -1.0707 -1.0053 -0.9589 -0.9312
 -0.9181 -0.9132 -0.9118 -0.9116 -0.9116 -0.9115 -0.9115 -0.9118 -0.9131 -0.9165
 -0.9249
 -1.9156 -1.8556 -1.7917 -1.7265 -1.6634 -1.6034 -1.5462 -1.4915 -1.4393 -1.3903
 -1.3451 -1.3042 -1.2671 -1.2327 -1.2008 -1.1273 -1.0579 -0.9979 -0.9530 -0.9250
 -0.9122 -0.9099 -0.9130 -0.9180 -0.9233 -0.9281 -0.9325 -0.9364 -0.9402 -0.9447
 -0.9500
 -1.8121 -1.7648 -1.7151 -1.6633 -1.6120 -1.5628 -1.5152 -1.4686 -1.4225 -1.3772
 -1.3333 -1.2918 -1.2535 -1.2181 -1.1853 -1.1111 -1.0446 -0.9888 -0.9461 -0.9179
 -0.9044 -0.9025 -0.9081 -0.9176 -0.9282 -0.9385 -0.9481 -0.9567 -0.9645 -0.9720
 -0.9798
 -1.7025 -1.6677 -1.6301 -1.5902 -1.5496 -1.5096 -1.4710 -1.4329 -1.3944 -1.3553
 -1.3157 -1.2766 -1.2389 -1.2036 -1.1760 -1.0990 -1.0308 -0.9780 -0.9382
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.6527 -2.5923 -2.5390 -2.4868 -2.4347 -2.3676 -2.2692 -2.1365 -2.0006 -1.8741
 -1.7592 -1.6551 -1.5607 -1.4754 -1.3985 -1.2368 -1.1096 -1.0108 -0.9373
 -2.5212 -2.4499 -2.3884 -2.3310 -2.2726 -2.2075 -2.1232 -2.0134 -1.9021 -1.7972
 -1.6999 -1.6088 -1.5230 -1.4431 -1.3699 -1.2165 -1.0979 -1.0074 -0.9397 -0.8895
 -2.4270 -2.3441 -2.2728 -2.2078 -2.1448 -2.0801 -2.0072 -1.9170 -1.8236 -1.7348
 -1.6518 -1.5733 -1.4968 -1.4223 -1.3523 -1.2047 -1.0919 -1.0067 -0.9435 -0.8970
 -0.8622
 -2.3616 -2.2565 -2.1748 -2.1081 -2.0430 -1.9776 -1.9102 -1.8353 -1.7562 -1.6796
 -1.6080 -1.5407 -1.4747 -1.4076 -1.3414 -1.1986 -1.0896 -1.0080 -0.9482 -0.9049
 -0.8731 -0.8485
 -2.3283 -2.2018 -2.0957 -2.0075 -1.9345 -1.8749 -1.8230 -1.7639 -1.6980 -1.6311
 -1.5673 -1.5078 -1.4513 -1.3937 -1.3332 -1.1954 -1.0892 -1.0102 -0.9532 -0.9127
 -0.8838 -0.8621 -0.8448 -0.8311
 -2.3258 -2.1910 -2.0661 -1.9541 -1.8579 -1.7773 -1.7129 -1.6639 -1.6221 -1.5793
 -1.5302 -1.4778 -1.4263 -1.3764 -1.3241 -1.1932 -1.0892 -1.0122 -0.9572 -0.9192
 -0.8936 -0.8750 -0.8606 -0.8491 -0.8398 -0.8326 -0.8281 -0.8276 -0.8322 -0.8428
 -2.3259 -2.1914 -2.0619 -1.9413 -1.8330 -1.7393 -1.6603 -1.5946 -1.5404 -1.4980
 -1.4654 -1.4342 -1.3974 -1.3556 -1.3108 -1.1905 -1.0887 -1.0130 -0.9596 -0.9236
 -0.9008 -0.8860 -0.8752 -0.8667 -0.8597 -0.8542 -0.8506 -0.8493 -0.8517 -0.8604
 -0.8761
 -2.3157 -2.1889 -2.0627 -1.9410 -1.8288 -1.7287 -1.6419 -1.5679 -1.5059 -1.4538
 -1.4104 -1.3752 -1.3465 -1.3183 -1.2862 -1.1855 -1.0869 -1.0123 -0.9596 -0.9251
