 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.2623 -4.1921 -4.3922 -4.3217 -4.1259 -3.8665 -3.5803 -3.3854 -3.2091 -3.0282
 -2.8581 -2.7006 -2.5557 -2.4205 -2.2933 -2.0196 -1.7504 -1.4950 -1.3406
 -4.2521 -4.0220 -3.8374 -3.7133 -3.6428 -3.5393 -3.3704 -3.1829 -3.0070 -2.8399
 -2.6813 -2.5333 -2.3964 -2.2696 -2.1515 -1.8865 -1.6590 -1.4731 -1.3307 -1.2212
 -4.0376 -3.8101 -3.6071 -3.4351 -3.2964 -3.2032 -3.1287 -3.0127 -2.8626 -2.7040
 -2.5550 -2.4156 -2.2864 -2.1672 -2.0572 -1.8160 -1.6145 -1.4495 -1.3212 -1.2218
 -1.1421
 -3.8670 -3.6578 -3.4596 -3.2812 -3.1247 -2.9891 -2.8775 -2.7942 -2.7084 -2.5934
 -2.4605 -2.3294 -2.2073 -2.0943 -1.9899 -1.7645 -1.5814 -1.4339 -1.3173 -1.2263
 -1.1528 -1.0912
 -3.7210 -3.5333 -3.3493 -3.1758 -3.0183 -2.8773 -2.7512 -2.6391 -2.5473 -2.4629
 -2.3702 -2.2620 -2.1496 -2.0423 -1.9429 -1.7285 -1.5576 -1.4224 -1.3163 -1.2331
 -1.1654 -1.1084 -1.0589 -1.0155
 -3.5947 -3.4231 -3.2569 -3.0938 -2.9408 -2.8008 -2.6742 -2.5593 -2.4552 -2.3610
 -2.2754 -2.1909 -2.0995 -2.0037 -1.9097 -1.7040 -1.5408 -1.4138 -1.3156 -1.2395
 -1.1778 -1.1257 -1.0803 -1.0397 -1.0011 -0.9658 -0.9359 -0.9131 -0.8987 -0.8933
 -3.4881 -3.3265 -3.1730 -3.0235 -2.8779 -2.7418 -2.6167 -2.5029 -2.3996 -2.3043
 -2.2151 -2.1308 -2.0494 -1.9674 -1.8839 -1.6876 -1.5292 -1.4064 -1.3135 -1.2432
 -1.1876 -1.1411 -1.1005 -1.0639 -1.0304 -0.9982 -0.9689 -0.9446 -0.9268 -0.9173
 -0.9186
 -3.4013 -3.2448 -3.0978 -2.9580 -2.8226 -2.6920 -2.5698 -2.4575 -2.3556 -2.2623
 -2.1753 -2.0925 -2.0124 -1.9349 -1.8588 -1.6771 -1.5220 -1.4012 -1.3103 -1.2433
 -1.1927 -1.1520 -1.1170 -1.0855 -1.0565 -1.0290 -1.0017 -0.9770 -0.9576 -0.9458
 -0.9429
 -3.3342 -3.1790 -3.0341 -2.8949 -2.7686 -2.6457 -2.5278 -2.4174 -2.3164 -2.2243
 -2.1395 -2.0600 -1.9834 -1.9088 -1.8359 -1.6649 -1.5163 -1.3969 -1.3059 -1.2398
 -1.1922 -1.1564 -1.1274 -1.1019 -1.0784 -1.0558 -1.0343 -1.0139 -0.9965 -0.9823
 -0.9710
 -3.2869 -3.1304 -2.9845 -2.8485 -2.7214 -2.6025 -2.4906 -2.3835 -2.2834 -2.1917
 -2.1080 -2.0307 -1.9576 -1.8865 -1.8173 -1.6549 -1.5120 -1.3947 -1.3036 -1.2366
 -1.1890 -1.1557 -1.1314 -1.1119 -1.0946 -1.0780 -1.0619 -1.0460 -1.0308 -1.0171
 -1.0046
 -3.2552 -3.0947 -2.9463 -2.8087 -2.6813 -2.5630 -2.4531 -2.3505 -2.2530 -2.1618
 -2.0782 -2.0018 -1.9310 -1.8640 -1.7992 -1.6448 -1.5069 -1.3920 -1.3016 -1.2335
 -1.1849 -1.1517 -1.1296 -1.1146 -1.1032 -1.0930 -1.0832 -1.0731 -1.0629 -1.0529
 -1.0441
 -3.2226 -3.0521 -2.8998 -2.7627 -2.6379 -2.5230 -2.4159 -2.3152 -2.2207 -2.1322
 -2.0499 -1.9737 -1.9038 -1.8389 -1.7775 -1.6329 -1.5007 -1.3886 -1.2989
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.6307 -4.5363 -4.3980 -4.1477 -3.8668 -3.6009 -3.3755 -3.1851 -3.0111 -2.8469
 -2.6916 -2.5472 -2.4141 -2.2913 -2.1775 -1.9306 -1.7062 -1.5004 -1.3458
 -4.2972 -4.0820 -3.9596 -3.8825 -3.7059 -3.4684 -3.2402 -3.0455 -2.8743 -2.7144
 -2.5640 -2.4245 -2.2967 -2.1801 -2.0733 -1.8397 -1.6399 -1.4685 -1.3285 -1.2182
 -4.1145 -3.8720 -3.6702 -3.5184 -3.4337 -3.3315 -3.1483 -2.9513 -2.7782 -2.6230
 -2.4773 -2.3420 -2.2179 -2.1050 -2.0022 -1.7810 -1.5976 -1.4436 -1.3176 -1.2172
 -1.1363
 -3.9889 -3.7508 -3.5357 -3.3441 -3.1860 -3.0715 -2.9900 -2.8741 -2.7140 -2.5603
 -2.4186 -2.2873 -2.1663 -2.0561 -1.9558 -1.7419 -1.5687 -1.4270 -1.3121 -1.2200
 -1.1452 -1.0828
 -3.8932 -3.6668 -3.4542 -3.2616 -3.0904 -2.9377 -2.8085 -2.7062 -2.6204 -2.5092
 -2.3793 -2.2510 -2.1328 -2.0249 -1.9263 -1.7168 -1.5497 -1.4161 -1.3097 -1.2248
 -1.1558 -1.0980 -1.0482 -1.0047
 -3.8260 -3.6029 -3.3976 -3.2057 -3.0320 -2.8759 -2.7339 -2.6059 -2.4962 -2.4078
 -2.3217 -2.2204 -2.1108 -2.0048 -1.9077 -1.7011 -1.5375 -1.4087 -1.3082 -1.2296
 -1.1664 -1.1135 -1.0679 -1.0274 -0.9900 -0.9566 -0.9284 -0.9062 -0.8911 -0.8853
 -3.7691 -3.5528 -3.3551 -3.1672 -2.9932 -2.8358 -2.6936 -2.5636 -2.4446 -2.3386
 -2.2459 -2.1635 -2.0791 -1.9882 -1.8958 -1.6915 -1.5295 -1.4032 -1.3063 -1.2323
 -1.1747 -1.1273 -1.0864 -1.0501 -1.0171 -0.9854 -0.9568 -0.9336 -0.9176 -0.9100
 -0.9103
 -3.7281 -3.5143 -3.3232 -3.1399 -2.9674 -2.8085 -2.6654 -2.5358 -2.4174 -2.3084
 -2.2093 -2.1194 -2.0376 -1.9597 -1.8804 -1.6857 -1.5243 -1.3989 -1.3035 -1.2323
 -1.1791 -1.1370 -1.1017 -1.0704 -1.0418 -1.0134 -0.9866 -0.9638 -0.9467 -0.9366
 -0.9344
 -3.7082 -3.4897 -3.2986 -3.1194 -2.9493 -2.7900 -2.6446 -2.5134 -2.3950 -2.2870
 -2.1878 -2.0964 -2.0116 -1.9327 -1.8580 -1.6791 -1.5199 -1.3944 -1.2993 -1.2291
 -1.1784 -1.1410 -1.1112 -1.0858 -1.0626 -1.0408 -1.0203 -1.0022 -0.9866 -0.9733
 -0.9620
 -3.7133 -3.4820 -3.2861 -3.1096 -2.9419 -2.7836 -2.6359 -2.5014 -2.3806 -2.2716
 -2.1727 -2.0820 -1.9977 -1.9185 -1.8436 -1.6722 -1.5193 -1.3931 -1.2969 -1.2259
 -1.1755 -1.1403 -1.1150 -1.0952 -1.0781 -1.0621 -1.0470 -1.0322 -1.0182 -1.0058
 -0.9947
