 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
-10.3272 -9.7504 -9.2297 -8.7513 -8.3158 -7.9217 -7.5672 -7.2484 -6.9602 -6.6980
 -6.4572 -6.2346 -6.0281 -5.8377 -5.6596 -5.2122 -4.7944 -4.4439 -4.1485 -3.8950
 -3.6907 -3.5364 -3.4194 -3.3262 -3.2481 -3.1808 -3.1219 -3.0700 -3.0242 -2.9843
 -2.9524
-10.8314-10.2399 -9.6835 -9.1639 -8.6815 -8.2373 -7.8325 -7.4669 -7.1376 -6.8400
 -6.5686 -6.3190 -6.0880 -5.8746 -5.6776 -5.2289 -4.8302 -4.4785 -4.1835 -3.9316
 -3.7240 -3.5653 -3.4481 -3.3593 -3.2882 -3.2289 -3.1780 -3.1339 -3.0953 -3.0618
 -3.0310
-11.2929-10.7203-10.1495 -9.6042 -9.0880 -8.6038 -8.1560 -7.7450 -7.3729 -7.0368
 -6.7326 -6.4551 -6.1997 -5.9633 -5.7441 -5.2608 -4.8645 -4.5180 -4.2203 -3.9685
 -3.7584 -3.5939 -3.4724 -3.3840 -3.3180 -3.2660 -3.2236 -3.1876 -3.1567 -3.1303
 -3.1082
-11.7021-11.1471-10.5936-10.0443 -9.5092 -8.9982 -8.5182 -8.0714 -7.6601 -7.2854
 -6.9457 -6.6376 -6.3560 -6.0966 -5.8591 -5.3079 -4.8973 -4.5624 -4.2589
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F390M
 -8.8671 -8.8789 -8.8956 -8.9103 -8.9177 -8.9101 -8.8805 -8.8225 -8.7283 -8.5888
 -8.3965 -8.1516 -7.8695 -7.5776 -7.2922 -6.6219 -5.9666 -5.3061 -4.7170
 -8.3774 -8.3648 -8.3660 -8.3705 -8.3696 -8.3555 -8.3213 -8.2606 -8.1673 -8.0342
 -7.8540 -7.6230 -7.3517 -7.0678 -6.7926 -6.1656 -5.5857 -5.0259 -4.5218 -4.1112
 -8.0466 -7.9679 -7.9264 -7.9052 -7.8887 -7.8649 -7.8250 -7.7629 -7.6736 -7.5521
 -7.3928 -7.1901 -6.9443 -6.6763 -6.4139 -5.8275 -5.3088 -4.8228 -4.3843 -4.0189
 -3.7280
 -7.9946 -7.8166 -7.6781 -7.5910 -7.5302 -7.4837 -7.4334 -7.3676 -7.2812 -7.1700
 -7.0298 -6.8560 -6.6433 -6.3979 -6.1479 -5.5913 -5.1165 -4.6835 -4.2926 -3.9616
 -3.6958 -3.4823
 -8.1516 -7.8805 -7.6632 -7.4923 -7.3608 -7.2629 -7.1880 -7.1098 -7.0165 -6.9049
