 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -8.6451 -8.6218 -8.7945 -8.7795 -8.6840 -8.5187 -8.3236 -8.1742 -8.0469 -7.9058
 -7.7647 -7.6211 -7.4791 -7.3414 -7.2122 -6.8876 -6.4642 -5.8943 -5.5160
 -8.5940 -8.4950 -8.4116 -8.3610 -8.3443 -8.2992 -8.1985 -8.0723 -7.9402 -7.8049
 -7.6645 -7.5217 -7.3798 -7.2400 -7.0988 -6.7023 -6.2070 -5.7210 -5.3498 -5.0897
 -8.4193 -8.3287 -8.2365 -8.1521 -8.0825 -8.0420 -8.0142 -7.9529 -7.8528 -7.7287
 -7.5924 -7.4442 -7.2903 -7.1334 -6.9726 -6.5313 -6.0216 -5.5392 -5.1819 -4.9413
 -4.7837
 -8.2583 -8.1885 -8.1056 -8.0196 -7.9373 -7.8607 -7.7956 -7.7502 -7.7020 -7.6245
 -7.5132 -7.3718 -7.2066 -7.0294 -6.8468 -6.3686 -5.8614 -5.3991 -5.0430 -4.8158
 -4.6711 -4.5820
 -8.0950 -8.0518 -7.9873 -7.9102 -7.8293 -7.7486 -7.6674 -7.5859 -7.5131 -7.4440
 -7.3671 -7.2620 -7.1190 -6.9399 -6.7413 -6.2383 -5.7418 -5.2892 -4.9373 -4.7135
 -4.5747 -4.4906 -4.4434 -4.4198
 -7.9304 -7.9075 -7.8673 -7.8059 -7.7333 -7.6556 -7.5746 -7.4875 -7.3924 -7.2921
 -7.1944 -7.0960 -6.9808 -6.8355 -6.6581 -6.1532 -5.6684 -5.2253 -4.8705 -4.6360
 -4.4940 -4.4097 -4.3623 -4.3403 -4.3363 -4.3433 -4.3554 -4.3677 -4.3764 -4.3789
 -7.7706 -7.7608 -7.7412 -7.6981 -7.6384 -7.5686 -7.4918 -7.4085 -7.3146 -7.2064
 -7.0874 -6.9651 -6.8422 -6.7113 -6.5612 -6.1059 -5.6355 -5.2050 -4.8434 -4.5878
 -4.4303 -4.3388 -4.2875 -4.2626 -4.2562 -4.2623 -4.2757 -4.2923 -4.3085 -4.3213
 -4.3277
 -7.6219 -7.6202 -7.6113 -7.5848 -7.5407 -7.4814 -7.4117 -7.3344 -7.2478 -7.1467
 -7.0282 -6.8969 -6.7590 -6.6199 -6.4766 -6.0705 -5.6264 -5.2125 -4.8487 -4.5713
 -4.3889 -4.2804 -4.2198 -4.1890 -4.1787 -4.1823 -4.1949 -4.2126 -4.2319 -4.2504
 -4.2661
 -7.4905 -7.4941 -7.4887 -7.4669 -7.4394 -7.3936 -7.3329 -7.2615 -7.1816 -7.0905
 -6.9832 -6.8578 -6.7186 -6.5725 -6.4240 -6.0398 -5.6245 -5.2246 -4.8692 -4.5778
 -4.3707 -4.2383 -4.1612 -4.1208 -4.1041 -4.1035 -4.1141 -4.1317 -4.1513 -4.1718
 -4.1931
 -7.3825 -7.3912 -7.3866 -7.3701 -7.3430 -7.3062 -7.2589 -7.1961 -7.1218 -7.0378
 -6.9424 -6.8313 -6.7024 -6.5622 -6.4146 -6.0283 -5.6355 -5.2481 -4.8993 -4.6038
 -4.3779 -4.2209 -4.1211 -4.0639 -4.0360 -4.0278 -4.0332 -4.0477 -4.0677 -4.0902
 -4.1133
 -7.2946 -7.3005 -7.2952 -7.2800 -7.2558 -7.2236 -7.1841 -7.1357 -7.0711 -6.9928
 -6.9040 -6.8042 -6.6898 -6.5591 -6.4150 -6.0336 -5.6513 -5.2752 -4.9301 -4.6343
 -4.3983 -4.2232 -4.1016 -4.0239 -3.9798 -3.9600 -3.9572 -3.9660 -3.9827 -4.0042
 -4.0278
 -7.1936 -7.1520 -7.1337 -7.1285 -7.1267 -7.1202 -7.1027 -7.0696 -7.0205 -6.9557
 -6.8758 -6.7819 -6.6767 -6.5586 -6.4260 -6.0529 -5.6716 -5.3046 -4.9638
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  u   
 -8.9300 -8.9251 -8.8811 -8.7490 -8.5830 -8.4131 -8.2556 -8.1145 -7.9826 -7.8534
 -7.7245 -7.5952 -7.4657 -7.3360 -7.2069 -6.8774 -6.4900 -6.0129 -5.6138
 -8.6929 -8.6060 -8.5692 -8.5586 -8.4728 -8.3331 -8.1847 -8.0428 -7.9094 -7.7793
 -7.6469 -7.5105 -7.3709 -7.2293 -7.0860 -6.7110 -6.2794 -5.8193 -5.4327 -5.1553
 -8.5356 -8.4350 -8.3423 -8.2743 -8.2513 -8.2152 -8.1146 -7.9865 -7.8536 -7.7222
 -7.5850 -7.4390 -7.2852 -7.1263 -6.9643 -6.5447 -6.0942 -5.6441 -5.2716 -5.0099
 -4.8377
 -8.3975 -8.3097 -8.2120 -8.1152 -8.0340 -7.9812 -7.9531 -7.8991 -7.7977 -7.6730
 -7.5356 -7.3813 -7.2130 -7.0361 -6.8551 -6.3980 -5.9389 -5.5024 -5.1416 -4.8886
 -4.7259 -4.6247
 -8.2594 -8.1943 -8.1081 -8.0140 -7.9226 -7.8366 -7.7618 -7.7048 -7.6602 -7.5885
 -7.4782 -7.3346 -7.1624 -6.9724 -6.7760 -6.2905 -5.8271 -5.4007 -5.0452 -4.7921
 -4.6309 -4.5328 -4.4760 -4.4402
 -8.1177 -8.0748 -8.0091 -7.9247 -7.8342 -7.7451 -7.6569 -7.5687 -7.4859 -7.4155
 -7.3430 -7.2456 -7.1096 -6.9349 -6.7350 -6.2294 -5.7622 -5.3410 -4.9843 -4.7213
 -4.5529 -4.4517 -4.3940 -4.3647 -4.3540 -4.3548 -4.3617 -4.3701 -4.3762 -4.3763
 -7.9696 -7.9462 -7.9039 -7.8379 -7.7555 -7.6677 -7.5795 -7.4885 -7.3915 -7.2900
 -7.1899 -7.0941 -6.9910 -6.8633 -6.7028 -6.2115 -5.7394 -5.3192 -4.9584 -4.6787
 -4.4930 -4.3819 -4.3190 -4.2865 -4.2742 -4.2755 -4.2848 -4.2973 -4.3093 -4.3182
 -4.3237
 -7.8249 -7.8090 -7.7892 -7.7447 -7.6786 -7.5975 -7.5110 -7.4221 -7.3280 -7.2239
 -7.1097 -6.9900 -6.8720 -6.7543 -6.6256 -6.2151 -5.7487 -5.3274 -4.9624 -4.6659
 -4.4560 -4.3259 -4.2519 -4.2130 -4.1965 -4.1949 -4.2031 -4.2171 -4.2334 -4.2493
 -4.2630
 -7.6946 -7.6774 -7.6665 -7.6413 -7.5950 -7.5284 -7.4480 -7.3610 -7.2703 -7.1724
 -7.0627 -6.9400 -6.8093 -6.6776 -6.5469 -6.1919 -5.7696 -5.3516 -4.9839 -4.6753
 -4.4417 -4.2869 -4.1949 -4.1451 -4.1220 -4.1164 -4.1228 -4.1346 -4.1501 -4.1689
 -4.1907
 -7.5956 -7.5657 -7.5490 -7.5309 -7.5038 -7.4564 -7.3896 -7.3088 -7.2206 -7.1273
 -7.0265 -6.9134 -6.7865 -6.6505 -6.5115 -6.1658 -5.7881 -5.3886 -5.0219 -4.7067
 -4.4544 -4.2738 -4.1575 -4.0896 -4.0546 -4.0412 -4.0424 -4.0534 -4.0705 -4.0905
 -4.1118
 -7.5525 -7.4769 -7.4400 -7.4205 -7.4058 -7.3758 -7.3281 -7.2612 -7.1797 -7.0892
 -6.9930 -6.8894 -6.7743 -6.6459 -6.5075 -6.1539 -5.7985 -5.4247 -5.0635 -4.7459
 -4.4825 -4.2817 -4.1416 -4.0516 -3.9995 -3.9740 -3.9670 -3.9724 -3.9863 -4.0056
 -4.0272
 -7.5455 -7.4109 -7.3397 -7.3116 -7.3011 -7.2859 -7.2570 -7.2099 -7.1438 -7.0614
 -6.9686 -6.8693 -6.7627 -6.6461 -6.5174 -6.1646 -5.8109 -5.4572 -5.1064
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  u   
