 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -8.5354 -8.4199 -8.3734 -8.2702 -8.0797 -7.8856 -7.7796 -7.7328 -7.6405 -7.4432
 -7.1776 -6.8588 -6.5083 -6.1550 -5.7961 -4.8863 -4.0132 -3.3114 -2.7533
 -8.2478 -7.9859 -7.7897 -7.6206 -7.4701 -7.3372 -7.2166 -7.0950 -6.9533 -6.7759
 -6.5506 -6.2703 -5.9421 -5.5981 -5.2599 -4.4430 -3.6805 -3.0573 -2.5906 -2.2629
 -8.0769 -7.7169 -7.4154 -7.1748 -6.9968 -6.8523 -6.7055 -6.5468 -6.3783 -6.1991
 -5.9903 -5.7406 -5.4441 -5.1208 -4.8046 -4.0697 -3.4033 -2.8484 -2.4456 -2.1642
 -1.9645
 -8.0227 -7.6129 -7.2505 -6.9328 -6.6598 -6.4309 -6.2463 -6.0882 -5.9155 -5.7128
 -5.4967 -5.2697 -5.0143 -4.7231 -4.4302 -3.7664 -3.1816 -2.6847 -2.3183 -2.0656
 -1.8888 -1.7616
 -8.0399 -7.5937 -7.1925 -6.8312 -6.5072 -6.2190 -5.9647 -5.7412 -5.5446 -5.3571
 -5.1460 -4.9122 -4.6752 -4.4200 -4.1511 -3.5423 -3.0193 -2.5680 -2.2238 -1.9883
 -1.8271 -1.7129 -1.6302 -1.5683
 -8.1185 -7.6434 -7.2102 -6.8153 -6.4566 -6.1309 -5.8359 -5.5693 -5.3276 -5.1062
 -4.8979 -4.6860 -4.4611 -4.2258 -3.9730 -3.3958 -2.9147 -2.4971 -2.1631 -1.9309
 -1.7764 -1.6701 -1.5946 -1.5401 -1.4996 -1.4677 -1.4404 -1.4146 -1.3887 -1.3639
 -8.2460 -7.7516 -7.2935 -6.8700 -6.4809 -6.1258 -5.8017 -5.5049 -5.2337 -4.9845
 -4.7533 -4.5350 -4.3221 -4.1114 -3.8838 -3.3215 -2.8595 -2.4653 -2.1359 -1.8956
 -1.7364 -1.6314 -1.5598 -1.5096 -1.4742 -1.4486 -1.4290 -1.4118 -1.3961 -1.3816
 -1.3671
 -8.4150 -7.9048 -7.4294 -6.9846 -6.5700 -6.1879 -5.8373 -5.5158 -5.2206 -4.9492
 -4.6984 -4.4649 -4.2457 -4.0374 -3.8307 -3.3046 -2.8431 -2.4616 -2.1363 -1.8840
 -1.7104 -1.5979 -1.5249 -1.4764 -1.4440 -1.4224 -1.4081 -1.3978 -1.3893 -1.3820
 -1.3775
 -8.6138 -8.0900 -7.5994 -7.1398 -6.7062 -6.3010 -5.9259 -5.5809 -5.2642 -4.9727
 -4.7035 -4.4542 -4.2224 -4.0058 -3.8000 -3.3027 -2.8517 -2.4712 -2.1509 -1.8901
 -1.6997 -1.5720 -1.4908 -1.4401 -1.4085 -1.3893 -1.3788 -1.3735 -1.3711 -1.3700
 -1.3702
 -8.8476 -8.3200 -7.8111 -7.3357 -6.8874 -6.4644 -6.0689 -5.7015 -5.3626 -5.0508
 -4.7633 -4.4973 -4.2507 -4.0220 -3.8080 -3.3149 -2.8774 -2.4962 -2.1769 -1.9127
 -1.7083 -1.5625 -1.4660 -1.4060 -1.3704 -1.3506 -1.3413 -1.3390 -1.3410 -1.3453
 -1.3501
 -9.1187 -8.5706 -8.0509 -7.5583 -7.0937 -6.6579 -6.2470 -5.8612 -5.5018 -5.1692
 -4.8621 -4.5786 -4.3160 -4.0726 -3.8459 -3.3384 -2.9066 -2.5275 -2.2060 -1.9393
 -1.7269 -1.5671 -1.4539 -1.3793 -1.3341 -1.3094 -1.2984 -1.2964 -1.3005 -1.3086
 -1.3186
 -9.4270 -8.8418 -8.2987 -7.7960 -7.3184 -6.8690 -6.4461 -6.0470 -5.6711 -5.3199
 -4.9933 -4.6908 -4.4108 -4.1514 -3.9137 -3.3732 -2.9393 -2.5651 -2.2382
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = UX   
 -7.8493 -7.7743 -7.7307 -7.7030 -7.6781 -7.6438 -7.5898 -7.5071 -7.3855 -7.2128
 -6.9806 -6.6889 -6.3558 -6.0168 -5.6954 -4.8900 -4.1086 -3.4161 -2.8857
 -7.4754 -7.3254 -7.2224 -7.1541 -7.1023 -7.0500 -6.9832 -6.8917 -6.7666 -6.6000
 -6.3837 -6.1129 -5.7964 -5.4674 -5.1501 -4.4158 -3.7400 -3.1460 -2.6819 -2.3454
 -7.2787 -7.0354 -6.8570 -6.7281 -6.6184 -6.5245 -6.4333 -6.3287 -6.1995 -6.0398
 -5.8432 -5.6039 -5.3189 -5.0089 -4.7082 -4.0334 -3.4416 -2.9265 -2.5162 -2.2183
 -2.0015
 -7.2447 -6.9216 -6.6651 -6.4659 -6.3053 -6.1650 -6.0301 -5.8895 -5.7389 -5.5751
 -5.3902 -5.1793 -4.9339 -4.6529 -4.3697 -3.7428 -3.2134 -2.7576 -2.3886 -2.1184
 -1.9281 -1.7917
 -7.3458 -6.9767 -6.6549 -6.3899 -6.1697 -5.9785 -5.8034 -5.6336 -5.4599 -5.2743
 -5.0723 -4.8643 -4.6450 -4.4000 -4.1354 -3.5415 -3.0529 -2.6373 -2.2956 -2.0419
 -1.8651 -1.7410 -1.6514 -1.5840
 -7.5355 -7.1154 -6.7450 -6.4176 -6.1283 -5.8736 -5.6482 -5.4463 -5.2626 -5.0915
 -4.9078 -4.6936 -4.4684 -4.2381 -3.9939 -3.4195 -2.9535 -2.5619 -2.2353 -1.9867
 -1.8148 -1.6970 -1.6143 -1.5544 -1.5096 -1.4743 -1.4445 -1.4167 -1.3888 -1.3617
 -7.8283 -7.3488 -6.9245 -6.5475 -6.2113 -5.9109 -5.6422 -5.4005 -5.1804 -4.9755
 -4.7815 -4.5913 -4.3891 -4.1708 -3.9345 -3.3635 -2.9045 -2.5251 -2.2053 -1.9532
 -1.7762 -1.6584 -1.5786 -1.5229 -1.4833 -1.4544 -1.4324 -1.4135 -1.3963 -1.3799
 -1.3636
 -8.2146 -7.6806 -7.1984 -6.7652 -6.3769 -6.0291 -5.7173 -5.4367 -5.1824 -4.9494
 -4.7311 -4.5238 -4.3245 -4.1290 -3.9224 -3.3645 -2.8954 -2.5185 -2.2010 -1.9419
 -1.7521 -1.6259 -1.5438 -1.4893 -1.4526 -1.4278 -1.4112 -1.3992 -1.3895 -1.3810
 -1.3748
 -8.6702 -8.0770 -7.5463 -7.0605 -6.6184 -6.2187 -5.8596 -5.5375 -5.2472 -4.9838
 -4.7412 -4.5146 -4.3004 -4.0972 -3.9017 -3.3895 -2.9158 -2.5305 -2.2120 -1.9467
 -1.7425 -1.6014 -1.5105 -1.4531 -1.4170 -1.3947 -1.3818 -1.3749 -1.3713 -1.3691
 -1.3682
 -9.1578 -8.5318 -7.9568 -7.4263 -6.9361 -6.4859 -6.0767 -5.7082 -5.3777 -5.0804
 -4.8102 -4.5616 -4.3299 -4.1123 -3.9073 -3.4168 -2.9598 -2.5642 -2.2399 -1.9694
