 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -4.6584 -4.3162 -4.0701 -3.7995 -3.5008 -3.2568 -3.1167 -3.0299 -2.9277 -2.7891
 -2.6334 -2.4646 -2.2970 -2.1405 -1.9919 -1.6647 -1.3987 -1.1987 -1.0427
 -4.2640 -3.8665 -3.5710 -3.3291 -3.1312 -2.9727 -2.8440 -2.7329 -2.6277 -2.5204
 -2.4051 -2.2768 -2.1360 -1.9933 -1.8595 -1.5744 -1.3489 -1.1775 -1.0485 -0.9548
 -3.9945 -3.5761 -3.2567 -3.0230 -2.8622 -2.7384 -2.6227 -2.5138 -2.4141 -2.3214
 -2.2268 -2.1248 -2.0084 -1.8819 -1.7607 -1.5065 -1.3112 -1.1628 -1.0534 -0.9712
 -0.9067
 -3.8499 -3.4450 -3.1272 -2.8812 -2.6938 -2.5539 -2.4528 -2.3726 -2.2869 -2.1921
 -2.0985 -2.0086 -1.9142 -1.8063 -1.6955 -1.4610 -1.2856 -1.1546 -1.0575 -0.9831
 -0.9237 -0.8742
 -3.7435 -3.3631 -3.0599 -2.8189 -2.6272 -2.4751 -2.3543 -2.2573 -2.1780 -2.1046
 -2.0214 -1.9308 -1.8436 -1.7521 -1.6531 -1.4325 -1.2687 -1.1494 -1.0626 -0.9956
 -0.9412 -0.8953 -0.8554 -0.8201
 -3.6341 -3.2869 -3.0060 -2.7782 -2.5917 -2.4377 -2.3096 -2.2022 -2.1101 -2.0284
 -1.9523 -1.8746 -1.7931 -1.7114 -1.6229 -1.4151 -1.2575 -1.1448 -1.0655 -1.0060
 -0.9575 -0.9159 -0.8792 -0.8463 -0.8164 -0.7896 -0.7666 -0.7515 -0.7472 -0.7511
 -3.5107 -3.1999 -2.9456 -2.7360 -2.5604 -2.4112 -2.2828 -2.1711 -2.0732 -1.9855
 -1.9042 -1.8263 -1.7493 -1.6752 -1.5977 -1.4043 -1.2503 -1.1401 -1.0646 -1.0115
 -0.9696 -0.9336 -0.9015 -0.8721 -0.8448 -0.8194 -0.7968 -0.7774 -0.7662 -0.7670
 -0.7769
 -3.3813 -3.1033 -2.8747 -2.6845 -2.5227 -2.3822 -2.2580 -2.1470 -2.0472 -1.9569
 -1.8735 -1.7946 -1.7183 -1.6443 -1.5731 -1.3953 -1.2462 -1.1357 -1.0608 -1.0110
 -0.9752 -0.9458 -0.9195 -0.8951 -0.8719 -0.8495 -0.8286 -0.8098 -0.7948 -0.7867
 -0.7925
 -3.2510 -3.0021 -2.7950 -2.6218 -2.4736 -2.3432 -2.2259 -2.1191 -2.0212 -1.9311
 -1.8476 -1.7691 -1.6940 -1.6213 -1.5516 -1.3838 -1.2413 -1.1318 -1.0552 -1.0055
 -0.9734 -0.9502 -0.9308 -0.9127 -0.8949 -0.8771 -0.8597 -0.8429 -0.8279 -0.8165
 -0.8124
 -3.1367 -2.9123 -2.7196 -2.5574 -2.4194 -2.2979 -2.1882 -2.0869 -1.9929 -1.9053
 -1.8235 -1.7466 -1.6735 -1.6035 -1.5358 -1.3748 -1.2370 -1.1293 -1.0513 -0.9994
 -0.9674 -0.9476 -0.9342 -0.9230 -0.9119 -0.9003 -0.8881 -0.8754 -0.8629 -0.8517
 -0.8412
 -3.0429 -2.8354 -2.6536 -2.4969 -2.3628 -2.2469 -2.1432 -2.0476 -1.9583 -1.8745
 -1.7957 -1.7215 -1.6512 -1.5841 -1.5195 -1.3665 -1.2323 -1.1259 -1.0476 -0.9938
 -0.9599 -0.9405 -0.9302 -0.9248 -0.9206 -0.9159 -0.9103 -0.9033 -0.8953 -0.8872
 -0.8800
 -2.9695 -2.7714 -2.5992 -2.4450 -2.3113 -2.1957 -2.0941 -2.0024 -1.9174 -1.8378
 -1.7626 -1.6918 -1.6248 -1.5613 -1.5027 -1.3589 -1.2272 -1.1216 -1.0441
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  V   
 -5.5611 -5.0464 -4.6044 -4.2281 -3.9087 -3.6297 -3.3753 -3.1357 -2.9166 -2.7227
