 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.8432 -3.1125 -2.7209 -2.6648 -2.9668 -3.4081 -3.8894 -3.7521 -3.6188 -3.4770
 -3.3280 -3.2167 -3.0527 -2.8870 -2.7320 -2.3991 -2.1116 -1.8969 -1.7235
 -4.5754 -4.2389 -3.9952 -3.8350 -3.7309 -3.6358 -3.5343 -3.4307 -3.3276 -3.2233
 -3.1071 -2.9743 -2.8313 -2.6911 -2.5595 -2.2690 -2.0328 -1.8494 -1.7128 -1.6090
 -4.3684 -4.0531 -3.8052 -3.6134 -3.4703 -3.3715 -3.3036 -3.2318 -3.1407 -3.0362
 -2.9312 -2.8215 -2.6988 -2.5732 -2.4548 -2.1988 -1.9913 -1.8287 -1.7060 -1.6118
 -1.5365
 -4.2084 -3.9254 -3.6934 -3.5023 -3.3460 -3.2204 -3.1209 -3.0431 -2.9757 -2.8960
 -2.7988 -2.6992 -2.5947 -2.4840 -2.3765 -2.1444 -1.9597 -1.8150 -1.7044 -1.6185
 -1.5491 -1.4909
 -4.0555 -3.8094 -3.6012 -3.4223 -3.2678 -3.1353 -3.0230 -2.9274 -2.8439 -2.7681
 -2.6904 -2.6037 -2.5130 -2.4155 -2.3184 -2.1046 -1.9359 -1.8051 -1.7053 -1.6271
 -1.5635 -1.5096 -1.4625 -1.4196
 -3.9017 -3.6903 -3.5087 -3.3478 -3.2032 -3.0735 -2.9581 -2.8563 -2.7659 -2.6826
 -2.6033 -2.5246 -2.4459 -2.3622 -2.2754 -2.0764 -1.9184 -1.7970 -1.7057 -1.6350
 -1.5774 -1.5283 -1.4851 -1.4463 -1.4091 -1.3751 -1.3464 -1.3248 -1.3116 -1.3076
 -3.7544 -3.5687 -3.4110 -3.2694 -3.1389 -3.0176 -2.9055 -2.8032 -2.7107 -2.6260
 -2.5459 -2.4683 -2.3926 -2.3174 -2.2406 -2.0574 -1.9061 -1.7900 -1.7040 -1.6395
 -1.5882 -1.5446 -1.5063 -1.4715 -1.4392 -1.4079 -1.3795 -1.3560 -1.3392 -1.3309
 -1.3333
 -3.6161 -3.4512 -3.3109 -3.1856 -3.0698 -2.9599 -2.8549 -2.7564 -2.6652 -2.5808
 -2.5022 -2.4271 -2.3541 -2.2827 -2.2116 -2.0430 -1.8985 -1.7847 -1.7005 -1.6396
 -1.5937 -1.5561 -1.5235 -1.4938 -1.4660 -1.4396 -1.4131 -1.3889 -1.3701 -1.3589
 -1.3569
 -3.4907 -3.3427 -3.2125 -3.0984 -2.9944 -2.8954 -2.7998 -2.7077 -2.6204 -2.5385
 -2.4619 -2.3897 -2.3203 -2.2528 -2.1860 -2.0280 -1.8908 -1.7802 -1.6962 -1.6359
 -1.5930 -1.5608 -1.5343 -1.5107 -1.4885 -1.4670 -1.4462 -1.4275 -1.4112 -1.3969
 -1.3846
 -3.3781 -3.2432 -3.1246 -3.0156 -2.9181 -2.8280 -2.7415 -2.6572 -2.5757 -2.4979
 -2.4244 -2.3551 -2.2893 -2.2259 -2.1639 -2.0154 -1.8847 -1.7770 -1.6935 -1.6321
 -1.5893 -1.5597 -1.5382 -1.5208 -1.5050 -1.4895 -1.4742 -1.4589 -1.4480 -1.4339
 -1.4181
 -3.2784 -3.1527 -3.0472 -2.9414 -2.8453 -2.7589 -2.6788 -2.6019 -2.5271 -2.4547
