 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
 -0.3995 -0.4131 -0.4252 -0.4366 -0.4534 -0.4755 -0.4963 -0.5280 -0.5688
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  z   
 -0.7707 -0.7499 -0.7401 -0.7370 -0.7384 -0.7399 -0.7371 -0.7294 -0.7239 -0.7162
 -0.7004 -0.6749 -0.6428 -0.6097 -0.5792 -0.5214 -0.4908 -0.4884 -0.5115
 -0.6681 -0.6426 -0.6326 -0.6341 -0.6433 -0.6567 -0.6692 -0.6786 -0.6880 -0.6937
 -0.6907 -0.6763 -0.6519 -0.6237 -0.5967 -0.5457 -0.5195 -0.5184 -0.5398 -0.5750
 -0.5970 -0.5633 -0.5489 -0.5501 -0.5629 -0.5832 -0.6061 -0.6270 -0.6469 -0.6630
 -0.6717 -0.6696 -0.6552 -0.6327 -0.6092 -0.5641 -0.5419 -0.5419 -0.5620 -0.5963
 -0.6374
 -0.5642 -0.5146 -0.4869 -0.4855 -0.4974 -0.5196 -0.5472 -0.5754 -0.6021 -0.6259
 -0.6438 -0.6530 -0.6505 -0.6363 -0.6169 -0.5774 -0.5586 -0.5600 -0.5794 -0.6129
 -0.6541 -0.6981
 -0.5609 -0.4997 -0.4615 -0.4440 -0.4456 -0.4646 -0.4967 -0.5300 -0.5607 -0.5879
 -0.6106 -0.6274 -0.6359 -0.6327 -0.6196 -0.5860 -0.5703 -0.5731 -0.5927 -0.6258
 -0.6673 -0.7122 -0.7583 -0.8052
 -0.5707 -0.5120 -0.4694 -0.4423 -0.4304 -0.4326 -0.4489 -0.4783 -0.5139 -0.5489
 -0.5778 -0.5988 -0.6129 -0.6197 -0.6158 -0.5900 -0.5775 -0.5819 -0.6020 -0.6352
 -0.6776 -0.7237 -0.7709 -0.8188 -0.8672 -0.9161 -0.9660 -1.0187 -1.0746 -1.1302
 -0.5703 -0.5172 -0.4789 -0.4535 -0.4389 -0.4345 -0.4394 -0.4522 -0.4714 -0.4966
 -0.5265 -0.5563 -0.5803 -0.5962 -0.6029 -0.5897 -0.5805 -0.5865 -0.6074 -0.6411
 -0.6844 -0.7322 -0.7812 -0.8305 -0.8800 -0.9297 -0.9801 -1.0316 -1.0853 -1.1427
 -1.2011
 -0.5539 -0.5092 -0.4773 -0.4567 -0.4451 -0.4401 -0.4407 -0.4464 -0.4569 -0.4709
 -0.4874 -0.5067 -0.5291 -0.5517 -0.5705 -0.5840 -0.5794 -0.5873 -0.6089 -0.6430
 -0.6852 -0.7371 -0.7884 -0.8397 -0.8907 -0.9417 -0.9930 -1.0443 -1.0970 -1.1525
 -1.2118
 -0.5122 -0.4826 -0.4597 -0.4467 -0.4406 -0.4392 -0.4404 -0.4439 -0.4497 -0.4581
 -0.4683 -0.4797 -0.4922 -0.5073 -0.5248 -0.5608 -0.5736 -0.5844 -0.6069 -0.6413
 -0.6862 -0.7381 -0.7924 -0.8465 -0.8999 -0.9526 -1.0052 -1.0578 -1.1108 -1.1650
 -1.2217
 -0.4453 -0.4318 -0.4220 -0.4193 -0.4211 -0.4257 -0.4311 -0.4365 -0.4418 -0.4476
 -0.4545 -0.4624 -0.4710 -0.4803 -0.4914 -0.5252 -0.5556 -0.5769 -0.6011 -0.6353
 -0.6799 -0.7329 -0.7899 -0.8474 -0.9039 -0.9591 -1.0136 -1.0674 -1.1211 -1.1753
 -1.2308
 -0.3564 -0.3583 -0.3634 -0.3717 -0.3832 -0.3959 -0.4080 -0.4183 -0.4268 -0.4339
 -0.4404 -0.4472 -0.4543 -0.4620 -0.4703 -0.4961 -0.5285 -0.5610 -0.5915 -0.6266
 -0.6706 -0.7235 -0.7822 -0.8428 -0.9027 -0.9611 -1.0183 -1.0742 -1.1292 -1.1841
 -1.2391
 -0.2482 -0.2648 -0.2835 -0.3040 -0.3258 -0.3475 -0.3677 -0.3853 -0.3997 -0.4112
 -0.4206 -0.4289 -0.4368 -0.4448 -0.4615 -0.4735 -0.4923 -0.5367 -0.5781
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  z   
 -1.1010 -1.0781 -1.0575 -1.0337 -1.0026 -0.9569 -0.8897 -0.8070 -0.7483 -0.7150
 -0.6914 -0.6670 -0.6401 -0.6124 -0.5861 -0.5345 -0.5029 -0.4941 -0.5070
 -0.9495 -0.9230 -0.9047 -0.8891 -0.8709 -0.8449 -0.8049 -0.7537 -0.7182 -0.6988
 -0.6851 -0.6685 -0.6467 -0.6226 -0.5990 -0.5531 -0.5275 -0.5217 -0.5353 -0.5648
 -0.8327 -0.7977 -0.7764 -0.7638 -0.7551 -0.7453 -0.7282 -0.7016 -0.6829 -0.6748
 -0.6704 -0.6627 -0.6481 -0.6283 -0.6075 -0.5663 -0.5446 -0.5417 -0.5562 -0.5849
 -0.6233
 -0.7491 -0.7036 -0.6747 -0.6594 -0.6537 -0.6535 -0.6534 -0.6466 -0.6417 -0.6433
 -0.6475 -0.6489 -0.6430 -0.6295 -0.6123 -0.5755 -0.5571 -0.5565 -0.5720 -0.6005
 -0.6386 -0.6819
 -0.6811 -0.6272 -0.5941 -0.5755 -0.5687 -0.5714 -0.5802 -0.5887 -0.5957 -0.6057
 -0.6173 -0.6270 -0.6304 -0.6251 -0.6130 -0.5813 -0.5658 -0.5672 -0.5837 -0.6124
 -0.6505 -0.6943 -0.7406 -0.7883
 -0.6613 -0.5881 -0.5346 -0.5016 -0.4888 -0.4934 -0.5093 -0.5297 -0.5479 -0.5652
 -0.5824 -0.5983 -0.6097 -0.6136 -0.6088 -0.5841 -0.5712 -0.5744 -0.5920 -0.6212
 -0.6594 -0.7039 -0.7514 -0.8002 -0.8499 -0.9004 -0.9524 -1.0068 -1.0641 -1.1201
 -0.6589 -0.5830 -0.5231 -0.4790 -0.4513 -0.4395 -0.4425 -0.4597 -0.4870 -0.5172
 -0.5445 -0.5668 -0.5834 -0.5942 -0.5981 -0.5837 -0.5738 -0.5787 -0.5972 -0.6270
 -0.6656 -0.7109 -0.7598 -0.8101 -0.8610 -0.9124 -0.9646 -1.0181 -1.0738 -1.1325
 -1.1905
 -0.6549 -0.5806 -0.5214 -0.4767 -0.4454 -0.4271 -0.4209 -0.4258 -0.4401 -0.4618
 -0.4890 -0.5186 -0.5457 -0.5663 -0.5787 -0.5797 -0.5735 -0.5802 -0.5995 -0.6297
 -0.6689 -0.7150 -0.7655 -0.8176 -0.8702 -0.9228 -0.9760 -1.0297 -1.0848 -1.1415
 -1.2018
 -0.6443 -0.5728 -0.5167 -0.4745 -0.4449 -0.4261 -0.4169 -0.4163 -0.4234 -0.4366
