 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.7292 -1.6408 -1.5609 -1.4905 -1.4299 -1.3777 -1.3321 -1.2920 -1.2574 -1.2284
 -1.2046 -1.1852 -1.1689 -1.1557 -1.1472 -1.1287 -1.1079 -1.0896 -1.0855 -1.0994
 -1.1267 -1.1595 -1.1929 -1.2257 -1.2581 -1.2903 -1.3230 -1.3566 -1.3919 -1.4300
 -1.4734
 -1.6382 -1.5638 -1.4967 -1.4369 -1.3858 -1.3423 -1.3044 -1.2704 -1.2394 -1.2115
 -1.1869 -1.1659 -1.1482 -1.1330 -1.1208 -1.0997 -1.0850 -1.0755 -1.0747 -1.0883
 -1.1161 -1.1522 -1.1905 -1.2280 -1.2642 -1.2993 -1.3337 -1.3680 -1.4026 -1.4385
 -1.4765
 -1.5461 -1.4776 -1.4201 -1.3697 -1.3268 -1.2911 -1.2611 -1.2346 -1.2101 -1.1869
 -1.1650 -1.1451 -1.1276 -1.1125 -1.0997 -1.0769 -1.0626 -1.0578 -1.0613 -1.0753
 -1.1024 -1.1394 -1.1811 -1.2235 -1.2647 -1.3039 -1.3417 -1.3782 -1.4140 -1.4498
 -1.4865
 -1.4553 -1.3923 -1.3391 -1.2948 -1.2582 -1.2286 -1.2048 -1.1850 -1.1675 -1.1509
 -1.1345 -1.1184 -1.1033 -1.0898 -1.0839 -1.0603 -1.0407 -1.0365 -1.0453
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.4990 -2.3991 -2.3124 -2.2320 -2.1554 -2.0708 -1.9658 -1.8405 -1.7265 -1.6283
 -1.5409 -1.4609 -1.3873 -1.3209 -1.2617 -1.1434 -1.0622 -1.0163 -1.0023
 -2.3316 -2.2231 -2.1321 -2.0524 -1.9792 -1.9071 -1.8257 -1.7324 -1.6475 -1.5727
 -1.5041 -1.4386 -1.3753 -1.3160 -1.2622 -1.1543 -1.0809 -1.0389 -1.0249 -1.0306
 -2.2136 -2.0966 -1.9994 -1.9170 -1.8456 -1.7814 -1.7182 -1.6484 -1.5831 -1.5248
 -1.4714 -1.4195 -1.3669 -1.3143 -1.2652 -1.1656 -1.0977 -1.0583 -1.0441 -1.0489
 -1.0650
 -2.1291 -1.9931 -1.8899 -1.8110 -1.7425 -1.6826 -1.6291 -1.5761 -1.5250 -1.4790
 -1.4370 -1.3970 -1.3558 -1.3117 -1.2674 -1.1749 -1.1114 -1.0741 -1.0600 -1.0641
 -1.0796 -1.1016
 -2.0837 -1.9285 -1.8050 -1.7092 -1.6373 -1.5862 -1.5496 -1.5124 -1.4735 -1.4360
 -1.4014 -1.3694 -1.3382 -1.3043 -1.2665 -1.1811 -1.1215 -1.0862 -1.0726 -1.0766
 -1.0921 -1.1138 -1.1396 -1.1693
 -2.0784 -1.9159 -1.7762 -1.6606 -1.5696 -1.5009 -1.4531 -1.4238 -1.4047 -1.3873
 -1.3658 -1.3405 -1.3147 -1.2891 -1.2600 -1.1834 -1.1275 -1.0943 -1.0816 -1.0860
 -1.1024 -1.1249 -1.1506 -1.1793 -1.2108 -1.2455 -1.2839 -1.3278 -1.3772 -1.4271
 -2.0791 -1.9164 -1.7732 -1.6513 -1.5510 -1.4716 -1.4109 -1.3657 -1.3329 -1.3119
 -1.3010 -1.2933 -1.2820 -1.2657 -1.2453 -1.1812 -1.1293 -1.0982 -1.0866 -1.0917
 -1.1093 -1.1337 -1.1608 -1.1897 -1.2205 -1.2534 -1.2891 -1.3282 -1.3719 -1.4218
 -1.4734
 -2.0715 -1.9149 -1.7740 -1.6514 -1.5484 -1.4640 -1.3964 -1.3432 -1.3024 -1.2714
 -1.2483 -1.2332 -1.2252 -1.2198 -1.2128 -1.1733 -1.1268 -1.0979 -1.0872 -1.0930
 -1.1093 -1.1388 -1.1685 -1.1992 -1.2306 -1.2632 -1.2975 -1.3334 -1.3727 -1.4171
 -1.4679
 -2.0394 -1.8980 -1.7637 -1.6458 -1.5447 -1.4602 -1.3906 -1.3336 -1.2877 -1.2513
 -1.2226 -1.1999 -1.1827 -1.1711 -1.1647 -1.1489 -1.1186 -1.0931 -1.0837 -1.0899
 -1.1099 -1.1393 -1.1725 -1.2063 -1.2400 -1.2738 -1.3082 -1.3435 -1.3805 -1.4203
 -1.4646
 -1.9888 -1.8599 -1.7386 -1.6285 -1.5327 -1.4515 -1.3837 -1.3269 -1.2796 -1.2403
 -1.2079 -1.1815 -1.1599 -1.1425 -1.1296 -1.1129 -1.0993 -1.0838 -1.0763 -1.0826
 -1.1025 -1.1334 -1.1701 -1.2080 -1.2453 -1.2817 -1.3178 -1.3537 -1.3900 -1.4277
 -1.4670
 -1.9320 -1.8091 -1.6968 -1.5950 -1.5062 -1.4304 -1.3667 -1.3132 -1.2679 -1.2292
 -1.1960 -1.1678 -1.1441 -1.1242 -1.1079 -1.0829 -1.0719 -1.0665 -1.0650 -1.0722
 -1.0917 -1.1227 -1.1616 -1.2035 -1.2452 -1.2856 -1.3248 -1.3628 -1.4002 -1.4377
 -1.4760
 -1.8794 -1.7556 -1.6462 -1.5500 -1.4669 -1.3963 -1.3373 -1.2882 -1.2468 -1.2114
 -1.1804 -1.1532 -1.1293 -1.1087 -1.0996 -1.0589 -1.0364 -1.0412 -1.0498
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
 -3.0369 -2.9293 -2.8298 -2.7295 -2.6260 -2.4946 -2.3093 -2.0710 -1.8534 -1.6852
 -1.5595 -1.4614 -1.3818 -1.3150 -1.2575 -1.1440 -1.0628 -1.0126 -0.9905
 -2.8073 -2.6919 -2.5919 -2.4988 -2.4036 -2.2942 -2.1489 -1.9607 -1.7869 -1.6464
 -1.5363 -1.4474 -1.3735 -1.3111 -1.2576 -1.1526 -1.0796 -1.0339 -1.0134 -1.0141
 -2.6376 -2.5102 -2.4038 -2.3110 -2.2241 -2.1337 -2.0220 -1.8755 -1.7340 -1.6147
 -1.5179 -1.4376 -1.3692 -1.3103 -1.2596 -1.1610 -1.0933 -1.0512 -1.0318 -1.0314
 -1.0455
 -2.5124 -2.3750 -2.2597 -2.1616 -2.0753 -1.9945 -1.9089 -1.7980 -1.6834 -1.5823
 -1.4978 -1.4265 -1.3643 -1.3095 -1.2614 -1.1679 -1.1042 -1.0649 -1.0467 -1.0458
 -1.0586 -1.0804
 -2.3800 -2.2450 -2.1351 -2.0399 -1.9540 -1.8762 -1.8028 -1.7212 -1.6306 -1.5461
 -1.4731 -1.4107 -1.3557 -1.3061 -1.2613 -1.1725 -1.1123 -1.0752 -1.0583 -1.0575
 -1.0697 -1.0908 -1.1174 -1.1485
 -2.3054 -2.1415 -2.0078 -1.9021 -1.8202 -1.7556 -1.6980 -1.6392 -1.5727 -1.5052
 -1.4434 -1.3893 -1.3415 -1.2982 -1.2579 -1.1744 -1.1174 -1.0824 -1.0667 -1.0665
 -1.0786 -1.0998 -1.1263 -1.1564 -1.1898 -1.2266 -1.2675 -1.3135 -1.3643 -1.4145
 -2.2828 -2.1049 -1.9522 -1.8245 -1.7213 -1.6391 -1.5743 -1.5239 -1.4813 -1.4419
 -1.4021 -1.3615 -1.3216 -1.2844 -1.2496 -1.1733 -1.1193 -1.0865 -1.0719 -1.0724
 -1.0850 -1.1068 -1.1341 -1.1646 -1.1973 -1.2325 -1.2704 -1.3119 -1.3580 -1.4090
 -1.4602
 -2.2830 -2.0985 -1.9364 -1.7968 -1.6793 -1.5836 -1.5068 -1.4454 -1.3950 -1.3542
 -1.3236 -1.3015 -1.2818 -1.2596 -1.2340 -1.1686 -1.1180 -1.0873 -1.0738 -1.0749
 -1.0881 -1.1109 -1.1398 -1.1718 -1.2053 -1.2401 -1.2768 -1.3156 -1.3578 -1.4035
 -1.4544
 -2.2896 -2.1028 -1.9370 -1.7910 -1.6656 -1.5610 -1.4756 -1.4068 -1.3514 -1.3061
 -1.2690 -1.2399 -1.2194 -1.2058 -1.1945 -1.1571 -1.1126 -1.0844 -1.0722 -1.0740
 -1.0880 -1.1119 -1.1428 -1.1772 -1.2128 -1.2488 -1.2856 -1.3234 -1.3629 -1.4051
 -1.4512
 -2.2916 -2.1101 -1.9441 -1.7961 -1.6667 -1.5567 -1.4655 -1.3911 -1.3307 -1.2818
 -1.2418 -1.2089 -1.1822 -1.1617 -1.1473 -1.1272 -1.1028 -1.0781 -1.0674 -1.0697
 -1.0839 -1.1084 -1.1410 -1.1782 -1.2166 -1.2550 -1.2933 -1.3315 -1.3703 -1.4105
 -1.4528
 -2.2844 -2.1069 -1.9454 -1.7989 -1.6688 -1.5567 -1.4626 -1.3848 -1.3211 -1.2689
 -1.2261 -1.1908 -1.1616 -1.1376 -1.1182 -1.0904 -1.0784 -1.0670 -1.0590 -1.0622
 -1.0765 -1.1013 -1.1348 -1.1742 -1.2160 -1.2577 -1.2987 -1.3389 -1.3786 -1.4185
 -1.4592
 -2.2812 -2.0992 -1.9375 -1.7937 -1.6648 -1.5529 -1.4580 -1.3789 -1.3138 -1.2601
 -1.2156 -1.1786 -1.1477 -1.1219 -1.1072 -1.0467 -1.0394 -1.0511 -1.0470
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  i   
 -3.3285 -3.2322 -3.1387 -3.0373 -2.8980 -2.7146 -2.4881 -2.2194 -1.9342 -1.7203
 -1.5713 -1.4628 -1.3786 -1.3105 -1.2531 -1.1413 -1.0619 -1.0102 -0.9845
 -3.0734 -2.9663 -2.8709 -2.7771 -2.6731 -2.5434 -2.3620 -2.1145 -1.8785 -1.6915
 -1.5546 -1.4524 -1.3723 -1.3072 -1.2528 -1.1484 -1.0759 -1.0294 -1.0065 -1.0044
 -2.8738 -2.7520 -2.6493 -2.5570 -2.4657 -2.3624 -2.2248 -2.0319 -1.8363 -1.6714
 -1.5445 -1.4474 -1.3702 -1.3072 -1.2547 -1.1554 -1.0877 -1.0449 -1.0240 -1.0214
 -1.0336
 -2.7244 -2.5868 -2.4723 -2.3747 -2.2869 -2.1994 -2.0975 -1.9529 -1.7934 -1.6501
 -1.5341 -1.4426 -1.3688 -1.3077 -1.2566 -1.1612 -1.0972 -1.0572 -1.0379 -1.0353
 -1.0462 -1.0672
 -2.5936 -2.4553 -2.3344 -2.2299 -2.1386 -2.0554 -1.9730 -1.8695 -1.7440 -1.6227
 -1.5191 -1.4347 -1.3653 -1.3070 -1.2575 -1.1652 -1.1044 -1.0666 -1.0486 -1.0464
 -1.0566 -1.0766 -1.1033 -1.1346
 -2.4480 -2.3004 -2.1838 -2.0895 -2.0072 -1.9302 -1.8559 -1.7792 -1.6854 -1.5867
 -1.4971 -1.4212 -1.3575 -1.3032 -1.2562 -1.1672 -1.1090 -1.0733 -1.0564 -1.0548
 -1.0650 -1.0846 -1.1109 -1.1416 -1.1760 -1.2141 -1.2565 -1.3038 -1.3552 -1.4056
 -2.3884 -2.2148 -2.0695 -1.9522 -1.8583 -1.7830 -1.7212 -1.6657 -1.6053 -1.5359
 -1.4653 -1.4006 -1.3439 -1.2947 -1.2515 -1.1666 -1.1109 -1.0772 -1.0614 -1.0604
 -1.0710 -1.0908 -1.1174 -1.1484 -1.1822 -1.2186 -1.2582 -1.3010 -1.3484 -1.3999
 -1.4510
 -2.3744 -2.1876 -2.0254 -1.8877 -1.7739 -1.6814 -1.6057 -1.5430 -1.4887 -1.4396
 -1.3966 -1.3572 -1.3181 -1.2791 -1.2416 -1.1632 -1.1100 -1.0782 -1.0635 -1.0631
 -1.0743 -1.0947 -1.1222 -1.1541 -1.1887 -1.2249 -1.2630 -1.3034 -1.3468 -1.3940
 -1.4458
 -2.3799 -2.1866 -2.0151 -1.8655 -1.7379 -1.6317 -1.5447 -1.4734 -1.4137 -1.3618
 -1.3173 -1.2820 -1.2559 -1.2350 -1.2142 -1.1552 -1.1055 -1.0758 -1.0625 -1.0628
 -1.0747 -1.0961 -1.1250 -1.1588 -1.1950 -1.2322 -1.2704 -1.3097 -1.3508 -1.3945
 -1.4419
 -2.3983 -2.2016 -2.0246 -1.8680 -1.7315 -1.6155 -1.5190 -1.4398 -1.3750 -1.3211
 -1.2754 -1.2367 -1.2053 -1.1815 -1.1645 -1.1340 -1.0980 -1.0705 -1.0586 -1.0595
 -1.0718 -1.0938 -1.1238 -1.1595 -1.1980 -1.2373 -1.2768 -1.3165 -1.3569 -1.3989
 -1.4424
 -2.4156 -2.2182 -2.0405 -1.8793 -1.7378 -1.6152 -1.5119 -1.4263 -1.3562 -1.2988
 -1.2513 -1.2116 -1.1782 -1.1506 -1.1286 -1.0968 -1.0796 -1.0615 -1.0513 -1.0532
 -1.0658 -1.0883 -1.1191 -1.1563 -1.1972 -1.2393 -1.2812 -1.3226 -1.3638 -1.4052
 -1.4473
 -2.4318 -2.2348 -2.0536 -1.8920 -1.7469 -1.6205 -1.5125 -1.4222 -1.3480 -1.2871
 -1.2370 -1.1956 -1.1611 -1.1321 -1.1065 -1.0436 -1.0503 -1.0488 -1.0406
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  i   
 -3.5799 -3.5108 -3.4399 -3.3540 -3.2037 -2.9847 -2.7053 -2.3727 -2.0218 -1.7602
 -1.5853 -1.4647 -1.3755 -1.3051 -1.2472 -1.1362 -1.0578 -1.0056 -0.9784
 -3.3185 -3.2331 -3.1553 -3.0726 -2.9685 -2.8212 -2.6000 -2.2860 -1.9816 -1.7421
 -1.5749 -1.4579 -1.3710 -1.3027 -1.2468 -1.1420 -1.0697 -1.0226 -0.9981 -0.9935
 -3.1009 -2.9962 -2.9072 -2.8240 -2.7341 -2.6202 -2.4555 -2.2122 -1.9542 -1.7358
 -1.5738 -1.4578 -1.3715 -1.3038 -1.2488 -1.1478 -1.0798 -1.0363 -1.0143 -1.0100
 -1.0203
 -2.9292 -2.8034 -2.6991 -2.6094 -2.5249 -2.4329 -2.3144 -2.1350 -1.9238 -1.7289
 -1.5747 -1.4600 -1.3737 -1.3061 -1.2515 -1.1528 -1.0881 -1.0473 -1.0270 -1.0231
 -1.0324 -1.0523
 -2.7937 -2.6526 -2.5333 -2.4323 -2.3442 -2.2609 -2.1706 -2.0456 -1.8811 -1.7144
 -1.5719 -1.4608 -1.3754 -1.3082 -1.2538 -1.1566 -1.0944 -1.0558 -1.0367 -1.0335
 -1.0422 -1.0609 -1.0873 -1.1191
 -2.6255 -2.5003 -2.3890 -2.2874 -2.1953 -2.1114 -2.0315 -1.9426 -1.8225 -1.6870
 -1.5613 -1.4572 -1.3746 -1.3086 -1.2548 -1.1588 -1.0988 -1.0620 -1.0440 -1.0412
 -1.0500 -1.0680 -1.0936 -1.1247 -1.1601 -1.1995 -1.2433 -1.2925 -1.3453 -1.3965
 -2.4991 -2.3414 -2.2157 -2.1167 -2.0362 -1.9657 -1.8975 -1.8279 -1.7455 -1.6438
 -1.5393 -1.4463 -1.3690 -1.3059 -1.2536 -1.1590 -1.1008 -1.0658 -1.0488 -1.0465
 -1.0556 -1.0736 -1.0991 -1.1300 -1.1647 -1.2025 -1.2435 -1.2880 -1.3373 -1.3902
 -1.4421
 -2.4578 -2.2770 -2.1230 -1.9962 -1.8939 -1.8112 -1.7422 -1.6827 -1.6255 -1.5616
 -1.4913 -1.4207 -1.3552 -1.2980 -1.2490 -1.1571 -1.1003 -1.0670 -1.0511 -1.0492
 -1.0589 -1.0774 -1.1032 -1.1347 -1.1697 -1.2070 -1.2467 -1.2886 -1.3337 -1.3830
 -1.4363
 -2.4539 -2.2605 -2.0907 -1.9445 -1.8218 -1.7210 -1.6381 -1.5683 -1.5072 -1.4498
 -1.3957 -1.3485 -1.3079 -1.2705 -1.2339 -1.1517 -1.0966 -1.0651 -1.0506 -1.0495
 -1.0598 -1.0791 -1.1058 -1.1384 -1.1746 -1.2127 -1.2524 -1.2942 -1.3381 -1.3838
 -1.4310
 -2.4756 -2.2729 -2.0931 -1.9347 -1.7979 -1.6822 -1.5861 -1.5066 -1.4398 -1.3815
 -1.3286 -1.2818 -1.2433 -1.2135 -1.1902 -1.1395 -1.0908 -1.0606 -1.0474 -1.0470
 -1.0577 -1.0778 -1.1054 -1.1391 -1.1768 -1.2164 -1.2572 -1.2985 -1.3406 -1.3844
 -1.4298
 -2.5076 -2.2999 -2.1122 -1.9459 -1.7994 -1.6730 -1.5662 -1.4773 -1.4037 -1.3423
 -1.2899 -1.2442 -1.2047 -1.1719 -1.1460 -1.1062 -1.0784 -1.0530 -1.0411 -1.0417
 -1.0529 -1.0735 -1.1019 -1.1366 -1.1759 -1.2176 -1.2604 -1.3031 -1.3459 -1.3891
 -1.4327
 -2.5509 -2.3344 -2.1410 -1.9682 -1.8138 -1.6797 -1.5646 -1.4677 -1.3876 -1.3215
 -1.2667 -1.2207 -1.1815 -1.1482 -1.1013 -1.0518 -1.0594 -1.0423 -1.0317
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  i   
 -3.7614 -3.7272 -3.7186 -3.6854 -3.5782 -3.3574 -2.9913 -2.5116 -2.1099 -1.8082
 -1.6042 -1.4690 -1.3729 -1.2992 -1.2399 -1.1292 -1.0510 -0.9985 -0.9700
 -3.5092 -3.4604 -3.4107 -3.3551 -3.2676 -3.1132 -2.8511 -2.4610 -2.0889 -1.8002
