 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -9.0321 -8.8210 -8.9855 -8.9068 -8.6828 -8.3252 -7.8683 -7.5876 -7.3115 -7.0235
 -6.7502 -6.4976 -6.2630 -6.0405 -5.8246 -5.3408 -4.8379 -4.3698 -4.0332
 -8.8653 -8.5073 -8.2253 -8.0331 -7.9139 -7.7590 -7.5179 -7.2351 -6.9526 -6.6751
 -6.4094 -6.1622 -5.9339 -5.7214 -5.5209 -5.0560 -4.6316 -4.2693 -3.9885 -3.7725
 -8.5299 -8.1742 -7.8636 -7.6055 -7.3955 -7.2436 -7.1144 -6.9281 -6.6856 -6.4213
 -6.1637 -5.9211 -5.6985 -5.4945 -5.3063 -4.8877 -4.5190 -4.2001 -3.9483 -3.7538
 -3.5977
 -8.2539 -7.9284 -7.6240 -7.3548 -7.1187 -6.9072 -6.7224 -6.5714 -6.4118 -6.2067
 -5.9749 -5.7445 -5.5280 -5.3297 -5.1492 -4.7617 -4.4349 -4.1544 -3.9251 -3.7476
 -3.6047 -3.4838
 -8.0034 -7.7191 -7.4391 -7.1774 -6.9406 -6.7228 -6.5171 -6.3234 -6.1523 -5.9880
 -5.8106 -5.6123 -5.4108 -5.2194 -5.0438 -4.6749 -4.3762 -4.1228 -3.9141 -3.7500
 -3.6180 -3.5062 -3.4076 -3.3189
 -7.7704 -7.5227 -7.2771 -7.0343 -6.8061 -6.5938 -6.3921 -6.1963 -6.0073 -5.8278
 -5.6611 -5.4977 -5.3259 -5.1506 -4.9813 -4.6211 -4.3391 -4.1044 -3.9110 -3.7572
 -3.6343 -3.5308 -3.4395 -3.3565 -3.2761 -3.2002 -3.1318 -3.0735 -3.0271 -2.9937
 -7.5553 -7.3375 -7.1228 -6.9062 -6.6925 -6.4900 -6.2971 -6.1101 -5.9268 -5.7464
 -5.5728 -5.4096 -5.2541 -5.1002 -4.9465 -4.5950 -4.3193 -4.0968 -3.9127 -3.7660
 -3.6502 -3.5545 -3.4706 -3.3943 -3.3234 -3.2568 -3.1946 -3.1375 -3.0858 -3.0425
 -3.0183
 -7.3585 -7.1649 -6.9741 -6.7825 -6.5894 -6.3984 -6.2148 -6.0386 -5.8663 -5.6950
 -5.5259 -5.3624 -5.2072 -5.0604 -4.9190 -4.5889 -4.3137 -4.0963 -3.9180 -3.7748
 -3.6635 -3.5743 -3.4980 -3.4289 -3.3648 -3.3041 -3.2456 -3.1910 -3.1424 -3.1015
 -3.0692
 -7.1806 -7.0064 -6.8336 -6.6584 -6.4867 -6.3124 -6.1390 -5.9707 -5.8087 -5.6490
 -5.4895 -5.3319 -5.1795 -5.0343 -4.8964 -4.5831 -4.3152 -4.0985 -3.9238 -3.7822
 -3.6726 -3.5877 -3.5183 -3.4572 -3.4006 -3.3470 -3.2959 -3.2474 -3.2030 -3.1629
 -3.1266
 -7.0219 -6.8635 -6.7047 -6.5460 -6.3874 -6.2291 -6.0708 -5.9120 -5.7569 -5.6066
 -5.4584 -5.3107 -5.1645 -5.0233 -4.8883 -4.5813 -4.3211 -4.1064 -3.9328 -3.7921
 -3.6818 -3.5980 -3.5328 -3.4787 -3.4302 -3.3845 -3.3409 -3.2989 -3.2588 -3.2213
 -3.1867
 -6.8793 -6.7302 -6.5817 -6.4341 -6.2874 -6.1417 -5.9970 -5.8528 -5.7076 -5.5641
 -5.4241 -5.2864 -5.1495 -5.0142 -4.8825 -4.5811 -4.3259 -4.1135 -3.9404 -3.8009
 -3.6902 -3.6056 -3.5419 -3.4922 -3.4507 -3.4132 -3.3778 -3.3435 -3.3103 -3.2784
 -3.2486
 -6.7386 -6.5783 -6.4320 -6.2956 -6.1651 -6.0373 -5.9094 -5.7798 -5.6489 -5.5176
 -5.3866 -5.2566 -5.1285 -5.0017 -4.8764 -4.5819 -4.3291 -4.1195 -3.9474
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -9.3306 -9.1601 -8.9517 -8.6188 -8.2349 -7.8495 -7.5108 -7.2212 -6.9525 -6.6954
 -6.4500 -6.2214 -6.0105 -5.8144 -5.6293 -5.2071 -4.7926 -4.3986 -4.0759
 -8.8209 -8.4933 -8.3023 -8.1779 -7.9395 -7.6124 -7.2757 -6.9732 -6.7004 -6.4412
 -6.1945 -5.9657 -5.7568 -5.5660 -5.3894 -4.9903 -4.6272 -4.2954 -4.0143 -3.7909
 -8.5283 -8.1635 -7.8687 -7.6498 -7.5176 -7.3628 -7.0983 -6.8000 -6.5215 -6.2629
 -6.0160 -5.7862 -5.5769 -5.3876 -5.2152 -4.8387 -4.5131 -4.2223 -3.9719 -3.7695
 -3.6069
 -8.3179 -7.9636 -7.6502 -7.3778 -7.1527 -6.9811 -6.8446 -6.6554 -6.4001 -6.1451
 -5.9008 -5.6704 -5.4595 -5.2693 -5.0979 -4.7334 -4.4323 -4.1718 -3.9463 -3.7609
 -3.6110 -3.4856
 -8.1439 -7.8166 -7.5097 -7.2360 -6.9946 -6.7748 -6.5787 -6.4100 -6.2544 -6.0558
 -5.8287 -5.6030 -5.3917 -5.1994 -5.0265 -4.6659 -4.3791 -4.1390 -3.9329 -3.7612
 -3.6216 -3.5051 -3.4039 -3.3124
 -7.9984 -7.6921 -7.4039 -7.1338 -6.8905 -6.6696 -6.4606 -6.2605 -6.0770 -5.9150
 -5.7481 -5.5567 -5.3566 -5.1655 -4.9906 -4.6275 -4.3470 -4.1193 -3.9273 -3.7667
 -3.6358 -3.5272 -3.4332 -3.3489 -3.2710 -3.1992 -3.1336 -3.0744 -3.0231 -2.9866
 -7.8560 -7.5779 -7.3131 -7.0548 -6.8136 -6.5943 -6.3907 -6.1940 -6.0015 -5.8179
 -5.6468 -5.4866 -5.3222 -5.1501 -4.9797 -4.6113 -4.3307 -4.1093 -3.9265 -3.7741
 -3.6504 -3.5489 -3.4621 -3.3845 -3.3131 -3.2450 -3.1816 -3.1252 -3.0775 -3.0394
 -3.0105
 -7.7215 -7.4680 -7.2279 -6.9871 -6.7535 -6.5347 -6.3345 -6.1459 -5.9620 -5.7798
 -5.6021 -5.4327 -5.2753 -5.1248 -4.9737 -4.6138 -4.3267 -4.1065 -3.9287 -3.7819
 -3.6633 -3.5678 -3.4879 -3.4175 -3.3528 -3.2908 -3.2325 -3.1793 -3.1324 -3.0927
 -3.0607
 -7.6002 -7.3634 -7.1413 -6.9199 -6.6995 -6.4855 -6.2853 -6.1001 -5.9248 -5.7527
 -5.5814 -5.4122 -5.2500 -5.0985 -4.9561 -4.6213 -4.3317 -4.1075 -3.9314 -3.7879
 -3.6722 -3.5810 -3.5074 -3.4443 -3.3871 -3.3335 -3.2831 -3.2365 -3.1936 -3.1540
 -3.1176
 -7.4971 -7.2665 -7.0556 -6.8541 -6.6504 -6.4478 -6.2506 -6.0647 -5.8921 -5.7282
 -5.5675 -5.4071 -5.2480 -5.0950 -4.9510 -4.6283 -4.3470 -4.1172 -3.9389 -3.7962
 -3.6814 -3.5917 -3.5220 -3.4653 -3.4157 -3.3699 -3.3268 -3.2855 -3.2465 -3.2102
 -3.1769
 -7.4109 -7.1777 -6.9718 -6.7825 -6.5941 -6.4074 -6.2210 -6.0385 -5.8652 -5.7030
 -5.5491 -5.3988 -5.2490 -5.1005 -4.9569 -4.6342 -4.3600 -4.1306 -3.9482 -3.8045
 -3.6896 -3.5997 -3.5314 -3.4789 -3.4359 -3.3980 -3.3628 -3.3292 -3.2969 -3.2661
 -3.2376
 -7.3364 -7.0971 -6.8900 -6.7028 -6.5272 -6.3554 -6.1837 -6.0128 -5.8445 -5.6825
 -5.5297 -5.3846 -5.2437 -5.1043 -4.9661 -4.6444 -4.3711 -4.1435 -3.9586
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -9.4719 -9.1805 -8.7458 -8.2932 -7.8555 -7.4758 -7.1782 -6.9132 -6.6631 -6.4300
 -6.2090 -6.0021 -5.8113 -5.6359 -5.4735 -5.1042 -4.7581 -4.4244 -4.1206
 -8.8106 -8.6444 -8.4717 -8.1232 -7.7263 -7.3408 -7.0102 -6.7324 -6.4771 -6.2403
 -6.0160 -5.8066 -5.6143 -5.4395 -5.2798 -4.9277 -4.6128 -4.3200 -4.0528 -3.8238
 -8.5264 -8.1833 -7.9844 -7.8714 -7.6145 -7.2663 -6.9220 -6.6218 -6.3602 -6.1205
 -5.8941 -5.6819 -5.4867 -5.3096 -5.1494 -4.8047 -4.5093 -4.2447 -4.0063 -3.7989
 -3.6268
 -8.3799 -8.0001 -7.6922 -7.4671 -7.3297 -7.1674 -6.8820 -6.5746 -6.2978 -6.0533
 -5.8256 -5.6110 -5.4122 -5.2313 -5.0683 -4.7239 -4.4393 -4.1934 -3.9763 -3.7863
 -3.6267 -3.4937
 -8.2797 -7.9053 -7.5746 -7.2926 -7.0613 -6.8775 -6.7356 -6.5410 -6.2797 -6.0249
 -5.7956 -5.5795 -5.3772 -5.1918 -5.0244 -4.6749 -4.3947 -4.1602 -3.9583 -3.7824
 -3.6333 -3.5087 -3.4026 -3.3099
 -8.2026 -7.8442 -7.5106 -7.2139 -6.9549 -6.7289 -6.5312 -6.3603 -6.2064 -6.0122
 -5.7901 -5.5752 -5.3710 -5.1812 -5.0085 -4.6494 -4.3684 -4.1401 -3.9484 -3.7836
 -3.6438 -3.5269 -3.4278 -3.3408 -3.2628 -3.1919 -3.1261 -3.0643 -3.0096 -2.9761
 -8.1391 -7.7999 -7.4742 -7.1734 -6.9055 -6.6701 -6.4568 -6.2568 -6.0727 -5.9097
 -5.7517 -5.5731 -5.3802 -5.1908 -5.0138 -4.6422 -4.3558 -4.1294 -3.9439 -3.7875
 -3.6555 -3.5456 -3.4532 -3.3728 -3.3003 -3.2339 -3.1729 -3.1169 -3.0657 -3.0222
 -2.9985
 -8.0801 -7.7634 -7.4511 -7.1533 -6.8797 -6.6356 -6.4185 -6.2180 -6.0266 -5.8440
 -5.6751 -5.5195 -5.3643 -5.1997 -5.0307 -4.6501 -4.3545 -4.1260 -3.9432 -3.7924
 -3.6665 -3.5627 -3.4766 -3.4029 -3.3369 -3.2763 -3.2192 -3.1665 -3.1197 -3.0798
 -3.0475
 -8.0274 -7.7255 -7.4301 -7.1413 -6.8673 -6.6168 -6.3930 -6.1914 -6.0036 -5.8222
