 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.3379 -0.2809  0.9445  1.2012  0.1345 -1.9817 -1.2342  0.0399  0.8061  0.8600
  0.9285  0.9065  0.4990  0.0156 -0.2537 -0.1246
 -1.2142 -0.7556 -0.1635  0.0167 -0.3443 -1.2840 -0.9676 -0.4076  0.0050  0.1530
  0.2624  0.2852  0.1247 -0.0822 -0.1956 -0.0968 -0.0365 -0.0044 -0.0596
 -0.9748 -0.8520 -0.6530 -0.5358 -0.5271 -0.7492 -0.6722 -0.5295 -0.3728 -0.2362
 -0.1411 -0.1008 -0.1160 -0.1501 -0.1620 -0.0867 -0.0520 -0.0299 -0.0458 -0.0659
 -0.0595
 -0.6197 -0.5701 -0.5240 -0.4563 -0.4140 -0.3773 -0.3480 -0.3258 -0.3273 -0.3076
 -0.2820 -0.2515 -0.2230 -0.1880 -0.1529 -0.0943 -0.0571 -0.0448 -0.0482 -0.0628
 -0.0831 -0.1074 -0.1344
 -0.4254 -0.4084 -0.3893 -0.3582 -0.3316 -0.3048 -0.2801 -0.2587 -0.2413 -0.2267
 -0.2112 -0.1927 -0.1737 -0.1525 -0.1292 -0.0864 -0.0670 -0.0633 -0.0699 -0.0839
 -0.1030 -0.1258 -0.1513 -0.1799 -0.2121
 -0.2455 -0.2536 -0.2565 -0.2529 -0.2433 -0.2296 -0.2138 -0.1979 -0.1829 -0.1695
 -0.1575 -0.1462 -0.1336 -0.1217 -0.1072 -0.0775 -0.0694 -0.0737 -0.0850 -0.1007
 -0.1202 -0.1427 -0.1676 -0.1948 -0.2242 -0.2568
 -0.0801 -0.1057 -0.1256 -0.1404 -0.1491 -0.1517 -0.1491 -0.1434 -0.1358 -0.1272
 -0.1186 -0.1103 -0.1024 -0.0955 -0.0869 -0.0676 -0.0643 -0.0760 -0.0935 -0.1132
 -0.1347 -0.1581 -0.1833 -0.2100 -0.2383 -0.2686 -0.3015 -0.3400 -0.3853 -0.4333
  0.0707  0.0353  0.0034 -0.0253 -0.0495 -0.0680 -0.0802 -0.0871 -0.0896 -0.0890
 -0.0862 -0.0821 -0.0774 -0.0727 -0.0681 -0.0565 -0.0554 -0.0699 -0.0932 -0.1189
 -0.1446 -0.1706 -0.1973 -0.2248 -0.2532 -0.2826 -0.3131 -0.3471 -0.3871 -0.4340
 -0.4844
  0.1996  0.1612  0.1233  0.0858  0.0510  0.0200 -0.0059 -0.0258 -0.0397 -0.0488
 -0.0535 -0.0553 -0.0551 -0.0535 -0.0509 -0.0450 -0.0453 -0.0590 -0.0846 -0.1156
 -0.1473 -0.1780 -0.2080 -0.2377 -0.2674 -0.2973 -0.3281 -0.3597 -0.3947 -0.4356
 -0.4842
  0.3100  0.2693  0.2280  0.1862  0.1453  0.1063  0.0706  0.0397  0.0146 -0.0043
 -0.0177 -0.0265 -0.0317 -0.0343 -0.0348 -0.0328 -0.0350 -0.0471 -0.0718 -0.1052
 -0.1420 -0.1787 -0.2138 -0.2473 -0.2798 -0.3116 -0.3433 -0.3755 -0.4089 -0.4459
 -0.4866
  0.3987  0.3586  0.3174  0.2753  0.2321  0.1893  0.1479  0.1093  0.0749  0.0463
  0.0239  0.0071 -0.0049 -0.0129 -0.0176 -0.0214 -0.0246 -0.0361 -0.0584 -0.0904
 -0.1291 -0.1704 -0.2112 -0.2501 -0.2869 -0.3220 -0.3560 -0.3895 -0.4232 -0.4578
 -0.4944
  0.4647  0.4291  0.3910  0.3506  0.3079  0.2645  0.2208  0.1782  0.1380  0.1025
  0.0722  0.0472  0.0272  0.0124  0.0023 -0.0095 -0.0151 -0.0259 -0.0463 -0.0763
 -0.1139 -0.1565 -0.2012 -0.2453 -0.2875 -0.3272 -0.3650 -0.4013 -0.4367 -0.4719
 -0.5080
  0.5080  0.4809  0.4488  0.4121  0.3727  0.3319  0.2866  0.2427  0.2000  0.1607
  0.1249  0.0926  0.0634  0.0416  0.0250  0.0031 -0.0065 -0.0165 -0.0355
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.5419 -0.4621 -0.4218 -0.4281 -0.4853 -0.7163 -0.6183 -0.5111 -0.4279 -0.3653
 -0.2707 -0.1831 -0.1739 -0.2033 -0.2010 -0.0764
 -0.5695 -0.4900 -0.4380 -0.4192 -0.4378 -0.5566 -0.5186 -0.4693 -0.4232 -0.3806
 -0.3230 -0.2658 -0.2361 -0.2209 -0.1935 -0.0844 -0.0246 -0.0010 -0.0001
 -0.5727 -0.4981 -0.4410 -0.4057 -0.3961 -0.4349 -0.4310 -0.4182 -0.3981 -0.3719
 -0.3409 -0.3061 -0.2683 -0.2284 -0.1870 -0.0916 -0.0416 -0.0234 -0.0244 -0.0376
 -0.0581
 -0.5515 -0.4864 -0.4308 -0.3876 -0.3602 -0.3512 -0.3555 -0.3579 -0.3526 -0.3393
 -0.3245 -0.3040 -0.2705 -0.2258 -0.1815 -0.0980 -0.0557 -0.0425 -0.0457 -0.0589
 -0.0784 -0.1025 -0.1298
 -0.5059 -0.4549 -0.4074 -0.3649 -0.3301 -0.3055 -0.2921 -0.2884 -0.2867 -0.2828
 -0.2738 -0.2596 -0.2427 -0.2131 -0.1770 -0.1036 -0.0669 -0.0583 -0.0639 -0.0776
 -0.0966 -0.1195 -0.1456 -0.1748 -0.2078
 -0.4359 -0.4036 -0.3708 -0.3376 -0.3058 -0.2784 -0.2577 -0.2439 -0.2357 -0.2305
 -0.2236 -0.2130 -0.2031 -0.1889 -0.1660 -0.1059 -0.0732 -0.0687 -0.0781 -0.0935
 -0.1130 -0.1357 -0.1610 -0.1888 -0.2190 -0.2521
 -0.3431 -0.3296 -0.3143 -0.2954 -0.2736 -0.2507 -0.2295 -0.2125 -0.2000 -0.1904
 -0.1815 -0.1720 -0.1614 -0.1544 -0.1410 -0.1012 -0.0736 -0.0720 -0.0861 -0.1053
 -0.1268 -0.1504 -0.1760 -0.2034 -0.2324 -0.2636 -0.2973 -0.3364 -0.3821 -0.4302
 -0.2351 -0.2369 -0.2375 -0.2345 -0.2263 -0.2133 -0.1975 -0.1821 -0.1689 -0.1584
 -0.1493 -0.1401 -0.1299 -0.1221 -0.1131 -0.0866 -0.0677 -0.0681 -0.0860 -0.1105
 -0.1362 -0.1624 -0.1895 -0.2177 -0.2468 -0.2771 -0.3092 -0.3437 -0.3837 -0.4310
 -0.4815
 -0.1356 -0.1387 -0.1457 -0.1561 -0.1617 -0.1616 -0.1556 -0.1461 -0.1358 -0.1266
 -0.1187 -0.1114 -0.1036 -0.0956 -0.0887 -0.0686 -0.0565 -0.0586 -0.0779 -0.1075
 -0.1359 -0.1697 -0.2000 -0.2303 -0.2607 -0.2914 -0.3230 -0.3578 -0.3961 -0.4374
 -0.4814
  0.0018 -0.0307 -0.0530 -0.0662 -0.0828 -0.0946 -0.1005 -0.1007 -0.0968 -0.0913
 -0.0860 -0.0813 -0.0766 -0.0714 -0.0668 -0.0511 -0.0427 -0.0468 -0.0663 -0.0976
 -0.1339 -0.1705 -0.2058 -0.2399 -0.2730 -0.3055 -0.3379 -0.3708 -0.4049 -0.4417
 -0.4836
  0.1166  0.0777  0.0492  0.0301  0.0054 -0.0154 -0.0321 -0.0431 -0.0488 -0.0503
 -0.0495 -0.0483 -0.0471 -0.0456 -0.0440 -0.0354 -0.0294 -0.0345 -0.0530 -0.0833
 -0.1215 -0.1627 -0.2036 -0.2428 -0.2801 -0.3158 -0.3506 -0.3847 -0.4190 -0.4542
 -0.4912
  0.2266  0.1864  0.1505  0.1186  0.0876  0.0583  0.0331  0.0256  0.0099 -0.0007
 -0.0072 -0.0111 -0.0140 -0.0165 -0.0185 -0.0197 -0.0167 -0.0228 -0.0406 -0.0693
 -0.1066 -0.1493 -0.1941 -0.2385 -0.2810 -0.3212 -0.3596 -0.3965 -0.4324 -0.4682
 -0.5047
  0.3317  0.2954  0.2509  0.1993  0.1637  0.1265  0.1171  0.0895  0.0662  0.0577
  0.0426  0.0314  0.0230  0.0161  0.0097 -0.0040 -0.0046 -0.0117 -0.0291
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.5700 -0.6176 -0.7227 -0.7475 -0.6595 -0.5661 -0.5672 -0.6225 -0.6377 -0.5812
 -0.4964 -0.4018 -0.3191 -0.2571 -0.1951 -0.0729
 -0.5659 -0.5468 -0.5697 -0.5689 -0.5303 -0.4944 -0.4960 -0.5165 -0.5184 -0.4881
 -0.4395 -0.3780 -0.3127 -0.2530 -0.1962 -0.0860 -0.0230  0.0019  0.0109
 -0.5626 -0.5004 -0.4673 -0.4449 -0.4311 -0.4264 -0.4274 -0.4284 -0.4241 -0.4113
 -0.3875 -0.3510 -0.3023 -0.2485 -0.1974 -0.0981 -0.0415 -0.0200 -0.0177 -0.0293
 -0.0530
 -0.5601 -0.4784 -0.4155 -0.3755 -0.3619 -0.3621 -0.3614 -0.3582 -0.3548 -0.3508
 -0.3404 -0.3208 -0.2879 -0.2436 -0.1987 -0.1092 -0.0577 -0.0389 -0.0407 -0.0534
 -0.0726 -0.0969 -0.1252
 -0.5584 -0.4808 -0.4143 -0.3607 -0.3227 -0.3015 -0.2980 -0.3059 -0.3105 -0.3066
 -0.2982 -0.2874 -0.2695 -0.2383 -0.2001 -0.1193 -0.0716 -0.0548 -0.0581 -0.0714
 -0.0903 -0.1134 -0.1398 -0.1689 -0.2019
 -0.5378 -0.4724 -0.4130 -0.3605 -0.3167 -0.2837 -0.2626 -0.2524 -0.2522 -0.2568
 -0.2567 -0.2503 -0.2421 -0.2255 -0.1972 -0.1260 -0.0815 -0.0661 -0.0716 -0.0864
 -0.1060 -0.1289 -0.1546 -0.1829 -0.2138 -0.2476
 -0.4912 -0.4421 -0.3959 -0.3522 -0.3118 -0.2765 -0.2482 -0.2283 -0.2159 -0.2091
 -0.2062 -0.2036 -0.1996 -0.1947 -0.1810 -0.1268 -0.0860 -0.0716 -0.0794 -0.0974
 -0.1190 -0.1430 -0.1690 -0.1970 -0.2267 -0.2585 -0.2929 -0.3327 -0.3788 -0.4269
 -0.4188 -0.3871 -0.3564 -0.3260 -0.2951 -0.2647 -0.2364 -0.2123 -0.1941 -0.1810
 -0.1712 -0.1634 -0.1565 -0.1530 -0.1473 -0.1166 -0.0843 -0.0710 -0.0803 -0.1023
 -0.1279 -0.1545 -0.1821 -0.2108 -0.2405 -0.2715 -0.3044 -0.3396 -0.3802 -0.4278
 -0.4783
 -0.3268 -0.3101 -0.2944 -0.2783 -0.2602 -0.2398 -0.2174 -0.1949 -0.1747 -0.1586
 -0.1460 -0.1356 -0.1263 -0.1184 -0.1135 -0.0937 -0.0743 -0.0647 -0.0746 -0.0997
 -0.1303 -0.1614 -0.1921 -0.2229 -0.2539 -0.2853 -0.3176 -0.3515 -0.3879 -0.4291
 -0.4784
 -0.2218 -0.2178 -0.2143 -0.2108 -0.2055 -0.1969 -0.1844 -0.1687 -0.1516 -0.1355
 -0.1219 -0.1110 -0.1016 -0.0929 -0.0866 -0.0695 -0.0574 -0.0536 -0.0643 -0.0908
 -0.1256 -0.1622 -0.1978 -0.2322 -0.2659 -0.2990 -0.3322 -0.3658 -0.4007 -0.4381
 -0.4805
 -0.1117 -0.1170 -0.1231 -0.1291 -0.1344 -0.1369 -0.1357 -0.1297 -0.1199 -0.1080
 -0.0960 -0.0856 -0.0770 -0.0698 -0.0637 -0.0493 -0.0398 -0.0400 -0.0518 -0.0776
 -0.1140 -0.1547 -0.1957 -0.2352 -0.2729 -0.3092 -0.3446 -0.3795 -0.4144 -0.4503
 -0.4879
  0.0019 -0.0115 -0.0251 -0.0384 -0.0512 -0.0629 -0.0714 -0.0758 -0.0756 -0.0714
 -0.0644 -0.0567 -0.0499 -0.0445 -0.0403 -0.0313 -0.0238 -0.0260 -0.0391 -0.0640
 -0.0995 -0.1417 -0.1865 -0.2310 -0.2738 -0.3144 -0.3534 -0.3910 -0.4276 -0.4640
 -0.5011
  0.1189  0.0987  0.0757  0.0575  0.0388  0.0208  0.0047 -0.0085 -0.0178 -0.0229
 -0.0239 -0.0221 -0.0189 -0.0159 -0.0164 -0.0155 -0.0094 -0.0116 -0.0262
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.9216 -0.8771 -0.8467 -0.8302 -0.8082 -0.7798 -0.7377 -0.6842 -0.6205 -0.5526
 -0.4802 -0.4060 -0.3343 -0.2679 -0.1955 -0.0766
 -0.7748 -0.7300 -0.6977 -0.6731 -0.6533 -0.6332 -0.6080 -0.5746 -0.5343 -0.4894
 -0.4386 -0.3814 -0.3201 -0.2603 -0.2014 -0.0928 -0.0243  0.0056  0.0094
 -0.6798 -0.6222 -0.5818 -0.5536 -0.5331 -0.5170 -0.5018 -0.4824 -0.4590 -0.4317
 -0.3986 -0.3575 -0.3082 -0.2559 -0.2064 -0.1073 -0.0448 -0.0165 -0.0136 -0.0250
 -0.0450
 -0.6366 -0.5537 -0.4990 -0.4717 -0.4477 -0.4312 -0.4191 -0.4076 -0.3946 -0.3795
 -0.3602 -0.3343 -0.2986 -0.2547 -0.2105 -0.1201 -0.0626 -0.0357 -0.0333 -0.0448
 -0.0637 -0.0882 -0.1174
 -0.6291 -0.5294 -0.4585 -0.4127 -0.3852 -0.3696 -0.3604 -0.3529 -0.3432 -0.3328
 -0.3211 -0.3064 -0.2848 -0.2520 -0.2137 -0.1312 -0.0777 -0.0520 -0.0497 -0.0615
 -0.0805 -0.1038 -0.1308 -0.1607 -0.1946
 -0.6354 -0.5412 -0.4598 -0.3980 -0.3542 -0.3247 -0.3067 -0.2974 -0.2948 -0.2944
 -0.2869 -0.2761 -0.2628 -0.2429 -0.2128 -0.1387 -0.0888 -0.0644 -0.0625 -0.0753
 -0.0949 -0.1184 -0.1447 -0.1737 -0.2055 -0.2403
 -0.6288 -0.5421 -0.4646 -0.3973 -0.3412 -0.2970 -0.2648 -0.2443 -0.2344 -0.2347
 -0.2389 -0.2387 -0.2338 -0.2235 -0.2046 -0.1411 -0.0950 -0.0720 -0.0708 -0.0852
 -0.1068 -0.1315 -0.1582 -0.1870 -0.2176 -0.2505 -0.2861 -0.3268 -0.3733 -0.4213
 -0.5995 -0.5262 -0.4581 -0.3970 -0.3430 -0.2966 -0.2583 -0.2289 -0.2083 -0.1948
 -0.1875 -0.1858 -0.1859 -0.1854 -0.1800 -0.1375 -0.0960 -0.0745 -0.0739 -0.0902
 -0.1148 -0.1421 -0.1704 -0.2000 -0.2306 -0.2627 -0.2967 -0.3330 -0.3745 -0.4224
 -0.4729
 -0.5451 -0.4874 -0.4324 -0.3816 -0.3351 -0.2929 -0.2551 -0.2224 -0.1958 -0.1757
 -0.1606 -0.1496 -0.1423 -0.1392 -0.1385 -0.1210 -0.0911 -0.0719 -0.0717 -0.0892
 -0.1172 -0.1484 -0.1798 -0.2114 -0.2433 -0.2756 -0.3092 -0.3441 -0.3816 -0.4236
 -0.4731
 -0.4658 -0.4235 -0.3832 -0.3450 -0.3094 -0.2759 -0.2439 -0.2137 -0.1861 -0.1624
 -0.1431 -0.1280 -0.1158 -0.1064 -0.1014 -0.0907 -0.0767 -0.0643 -0.0652 -0.0830
 -0.1135 -0.1491 -0.1851 -0.2202 -0.2546 -0.2887 -0.3229 -0.3577 -0.3937 -0.4321
 -0.4753
 -0.3700 -0.3423 -0.3153 -0.2894 -0.2650 -0.2419 -0.2189 -0.1954 -0.1718 -0.1491
 -0.1285 -0.1111 -0.0968 -0.0851 -0.0763 -0.0628 -0.0547 -0.0510 -0.0550 -0.0725
 -0.1035 -0.1423 -0.1829 -0.2228 -0.2612 -0.2983 -0.3346 -0.3706 -0.4067 -0.4437
 -0.4824
 -0.2665 -0.2484 -0.2326 -0.2173 -0.2033 -0.1902 -0.1769 -0.1625 -0.1462 -0.1286
 -0.1107 -0.0938 -0.0789 -0.0666 -0.0568 -0.0411 -0.0334 -0.0341 -0.0423 -0.0602
 -0.0905 -0.1301 -0.1741 -0.2187 -0.2619 -0.3032 -0.3431 -0.3816 -0.4193 -0.4568
 -0.4949
 -0.1570 -0.1484 -0.1409 -0.1343 -0.1286 -0.1237 -0.1192 -0.1138 -0.1063 -0.0965
 -0.0845 -0.0714 -0.0585 -0.0469 -0.0429 -0.0256 -0.0128 -0.0136 -0.0271
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.2209 -1.1730 -1.1296 -1.0856 -1.0456 -0.9888 -0.9030 -0.7894 -0.6764 -0.5751
 -0.4838 -0.4023 -0.3295 -0.2646 -0.2063 -0.0895
