 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -1.6877  0.1528  1.5370  0.7722 -2.2135 -7.0243 -5.5809 -3.3390 -2.1261 -2.1216
 -1.9697 -1.8401 -2.2602 -2.7441 -2.8040 -2.1585
 -4.4206 -3.4806 -2.5739 -2.5995 -3.5862 -5.6888 -5.0359 -3.9809 -3.2276 -2.9348
 -2.6702 -2.5096 -2.6106 -2.7475 -2.6906 -2.1103 -1.7269 -1.4982 -1.4346
 -5.3646 -4.9623 -4.4468 -4.1366 -4.0655 -4.5083 -4.2892 -3.9418 -3.5692 -3.2392
 -2.9813 -2.8154 -2.7278 -2.6505 -2.5206 -2.0305 -1.6745 -1.4582 -1.3386 -1.2366
 -1.0748
 -4.5197 -4.2923 -4.0817 -3.8391 -3.6516 -3.4827 -3.3408 -3.2219 -3.1507 -3.0348
 -2.9031 -2.7575 -2.6117 -2.4531 -2.2940 -1.9191 -1.6380 -1.4359 -1.2891 -1.1786
 -1.0903 -1.0159 -0.9497
 -4.1381 -3.9663 -3.7984 -3.6143 -3.4436 -3.2787 -3.1270 -2.9919 -2.8723 -2.7615
 -2.6492 -2.5291 -2.4050 -2.2774 -2.1482 -1.8413 -1.5977 -1.4216 -1.2921 -1.1919
 -1.1101 -1.0401 -0.9777 -0.9217 -0.8718
 -3.7714 -3.6447 -3.5144 -3.3769 -3.2318 -3.0836 -2.9378 -2.8011 -2.6764 -2.5632
 -2.4581 -2.3553 -2.2496 -2.1437 -2.0349 -1.7794 -1.5666 -1.4102 -1.2948 -1.2043
 -1.1293 -1.0643 -1.0060 -0.9526 -0.9033 -0.8588
 -3.4196 -3.3275 -3.2297 -3.1269 -3.0162 -2.8974 -2.7732 -2.6495 -2.5313 -2.4216
 -2.3207 -2.2265 -2.1357 -2.0462 -1.9541 -1.7334 -1.5447 -1.4017 -1.2972 -1.2158
 -1.1479 -1.0885 -1.0347 -0.9847 -0.9379 -0.8943 -0.8547 -0.8217 -0.7985 -0.7882
 -3.0827 -3.0147 -2.9443 -2.8718 -2.7942 -2.7086 -2.6145 -2.5145 -2.4128 -2.3138
 -2.2203 -2.1328 -2.0508 -1.9722 -1.8945 -1.7020 -1.5315 -1.3961 -1.2972 -1.2232
 -1.1628 -1.1098 -1.0615 -1.0162 -0.9730 -0.9318 -0.8925 -0.8580 -0.8312 -0.8149
 -0.8117
 -2.7743 -2.7236 -2.6738 -2.6248 -2.5736 -2.5176 -2.4543 -2.3826 -2.3039 -2.2221
