 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -4.4851 -4.3385 -4.1986 -4.0643 -3.9291 -3.6094 -3.3405 -3.1172 -2.9385 -2.8023
 -2.6938 -2.6010 -2.5179 -2.4410 -2.3688 -2.3007 -2.2371 -2.1780 -2.1241 -2.0789
 -2.0531
 -6.2713 -6.0563 -5.8572 -5.6727 -5.4900 -5.3065 -5.1213 -4.9376 -4.7586 -4.5877
 -4.4276 -4.2794 -4.1413 -4.0107 -3.8842 -3.5885 -3.3316 -3.1183 -2.9456 -2.8106
 -2.7065 -2.6219 -2.5467 -2.4776 -2.4124 -2.3502 -2.2913 -2.2376 -2.1891 -2.1454
 -2.1060
 -6.0230 -5.8740 -5.7101 -5.5330 -5.3718 -5.2102 -5.0456 -4.8785 -4.7108 -4.5462
 -4.3880 -4.2393 -4.1011 -3.9722 -3.8496 -3.5707 -3.3266 -3.1212 -2.9516 -2.8179
 -2.7159 -2.6355 -2.5678 -2.5068 -2.4496 -2.3946 -2.3420 -2.2917 -2.2444 -2.2014
 -2.1652
 -5.8397 -5.7051 -5.5569 -5.3967 -5.2527 -5.1085 -4.9636 -4.8152 -4.6637 -4.5110
 -4.3599 -4.2142 -4.0765 -3.9482 -3.8278 -3.5580 -3.3258 -3.1263 -2.9613 -2.8281
 -2.7248 -2.6455 -2.5824 -2.5287 -2.4798 -2.4331 -2.3881 -2.3445 -2.3027 -2.2634
 -2.2269
 -5.6848 -5.5497 -5.4157 -5.2828 -5.1542 -5.0279 -4.8993 -4.7395 -4.6055 -4.4683
 -4.3294 -4.1913 -4.0574 -3.9304 -3.8112 -3.5465 -3.3230 -3.1304 -2.9686 -2.8371
 -2.7332 -2.6530 -2.5913 -2.5422 -2.5004 -2.4621 -2.4257 -2.3901 -2.3553 -2.3218
 -2.2905
 -5.5582 -5.4076 -5.2863 -5.1913 -5.0765 -4.9684 -4.7984 -4.6812 -4.5603 -4.4108
 -4.2869 -4.1612 -4.0357 -3.9134 -3.7998 -3.5362 -3.3182 -3.1335 -2.9735
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.0263 -7.9129 -7.8866 -7.7035 -7.3316 -7.0094 -6.9262 -6.9485 -6.8605 -6.6095
 -6.3131 -6.0075 -5.7275 -5.4719 -5.2109 -4.5702
 -7.5958 -7.3513 -7.1942 -7.0011 -6.7544 -6.5424 -6.4304 -6.3604 -6.2449 -6.0574
 -5.8355 -5.5898 -5.3388 -5.0969 -4.8609 -4.3061 -3.8076 -3.3981 -3.0632
 -7.2735 -6.9401 -6.6901 -6.4793 -6.2991 -6.1471 -6.0151 -5.8894 -5.7559 -5.6053
 -5.4317 -5.2314 -5.0095 -4.7845 -4.5703 -4.0859 -3.6606 -3.3034 -3.0191 -2.8003
 -2.6385
 -7.0594 -6.6793 -6.3743 -6.1381 -5.9657 -5.8235 -5.6803 -5.5355 -5.3935 -5.2532
 -5.1017 -4.9323 -4.7396 -4.5347 -4.3391 -3.9096 -3.5430 -3.2309 -2.9845 -2.7925
 -2.6365 -2.5045 -2.3889
 -6.9535 -6.5689 -6.2468 -5.9775 -5.7542 -5.5716 -5.4260 -5.2987 -5.1577 -5.0011
 -4.8455 -4.6925 -4.5291 -4.3475 -4.1673 -3.7772 -3.4548 -3.1806 -2.9595 -2.7860
 -2.6443 -2.5230 -2.4160 -2.3201 -2.2323
 -6.8811 -6.5065 -6.1858 -5.9091 -5.6683 -5.4589 -5.2770 -5.1185 -4.9788 -4.8432
 -4.6911 -4.5299 -4.3746 -4.2139 -4.0480 -3.6851 -3.3930 -3.1478 -2.9469 -2.7881
 -2.6583 -2.5467 -2.4473 -2.3569 -2.2738 -2.1971
 -6.8090 -6.4555 -6.1466 -5.8738 -5.6300 -5.4103 -5.2119 -5.0329 -4.8706 -4.7214
 -4.5795 -4.4344 -4.2839 -4.1326 -3.9747 -3.6267 -3.3536 -3.1284 -2.9424 -2.7948
 -2.6751 -2.5724 -2.4805 -2.3965 -2.3185 -2.2459 -2.1792 -2.1161 -2.0592 -2.0242
