 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  g   
 -5.0469 -4.7811 -4.6084 -4.4074 -4.1634 -3.9577 -3.8480 -3.7785 -3.6708 -3.5032
 -3.3071 -3.0923 -2.8755 -2.6703 -2.4732 -2.0248 -1.6383 -1.3296 -1.0808
 -4.7291 -4.3946 -4.1473 -3.9416 -3.7686 -3.6249 -3.5019 -3.3867 -3.2669 -3.1345
 -2.9842 -2.8127 -2.6239 -2.4338 -2.2553 -1.8650 -1.5373 -1.2711 -1.0619 -0.9023
 -4.5136 -4.1474 -3.8589 -3.6392 -3.4817 -3.3538 -3.2262 -3.0988 -2.9757 -2.8554
 -2.7269 -2.5844 -2.4225 -2.2502 -2.0870 -1.7399 -1.4577 -1.2269 -1.0472 -0.9071
 -0.7933
 -4.4004 -4.0395 -3.7432 -3.5002 -3.3027 -3.1444 -3.0209 -2.9148 -2.7972 -2.6659
 -2.5352 -2.4074 -2.2713 -2.1195 -1.9683 -1.6495 -1.3995 -1.1970 -1.0368 -0.9104
 -0.8065 -0.7173
 -4.3137 -3.9709 -3.6829 -3.4392 -3.2312 -3.0534 -2.9014 -2.7708 -2.6572 -2.5474
 -2.4232 -2.2902 -2.1620 -2.0288 -1.8897 -1.5889 -1.3591 -1.1771 -1.0329 -0.9181
 -0.8230 -0.7405 -0.6667 -0.5993
 -4.2184 -3.9044 -3.6347 -3.4006 -3.1948 -3.0121 -2.8490 -2.7033 -2.5719 -2.4513
 -2.3365 -2.2185 -2.0955 -1.9721 -1.8419 -1.5521 -1.3332 -1.1641 -1.0316 -0.9266
 -0.8399 -0.7644 -0.6962 -0.6333 -0.5747 -0.5200 -0.4700 -0.4257 -0.3898 -0.3702
 -4.1022 -3.8231 -3.5789 -3.3620 -3.1661 -2.9873 -2.8228 -2.6709 -2.5310 -2.4013
 -2.2792 -2.1620 -2.0462 -1.9335 -1.8158 -1.5352 -1.3192 -1.1564 -1.0307 -0.9331
