 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Btycho
 -9.1336 -8.7999 -8.5594 -8.3513 -8.1626 -7.9944 -7.8409 -7.6903 -7.5278 -7.3422
 -7.1262 -6.8801 -6.6202 -6.3686 -6.1315 -5.5902 -5.0965 -4.6628 -4.3202 -4.0542
 -8.8889 -8.4961 -8.1847 -7.9455 -7.7749 -7.6336 -7.4785 -7.3094 -7.1359 -6.9589
 -6.7670 -6.5516 -6.3147 -6.0795 -5.8602 -5.3753 -4.9484 -4.5699 -4.2631 -4.0278
 -3.8417
 -8.7760 -8.3729 -8.0338 -7.7482 -7.5098 -7.3132 -7.1586 -7.0237 -6.8633 -6.6761
 -6.4858 -6.2922 -6.0830 -5.8656 -5.6615 -5.2168 -4.8393 -4.5061 -4.2287 -4.0134
 -3.8434 -3.7017
 -8.7128 -8.3147 -7.9699 -7.6672 -7.4003 -7.1661 -6.9611 -6.7816 -6.6271 -6.4765
 -6.2990 -6.1086 -5.9153 -5.7166 -5.5235 -5.1082 -4.7647 -4.4654 -4.2114 -4.0111
 -3.8535 -3.7227 -3.6089 -3.5070
 -8.6692 -8.2849 -7.9442 -7.6373 -7.3585 -7.1050 -6.8755 -6.6685 -6.4802 -6.3089
 -6.1505 -5.9869 -5.8103 -5.6230 -5.4380 -5.0397 -4.7185 -4.4429 -4.2063 -4.0166
 -3.8685 -3.7469 -3.6415 -3.5468 -3.4602 -3.3803 -3.3068 -3.2372 -3.1726 -3.1291
 -8.6323 -8.2665 -7.9374 -7.6340 -7.3518 -7.0892 -6.8462 -6.6227 -6.4174 -6.2277
 -6.0518 -5.8879 -5.7306 -5.5667 -5.3960 -5.0031 -4.6937 -4.4336 -4.2095 -4.0266
 -3.8846 -3.7709 -3.6736 -3.5864 -3.5064 -3.4321 -3.3634 -3.2998 -3.2407 -3.1891
 -3.1584
 -8.5997 -8.2525 -7.9382 -7.6443 -7.3651 -7.1001 -6.8504 -6.6166 -6.3996 -6.1985
 -6.0112 -5.8370 -5.6748 -5.5194 -5.3659 -4.9955 -4.6852 -4.4338 -4.2185 -4.0392
 -3.9000 -3.7918 -3.7020 -3.6228 -3.5501 -3.4822 -3.4190 -3.3601 -3.3053 -3.2572
 -3.2181
 -8.5697 -8.2378 -7.9368 -7.6552 -7.3846 -7.1230 -6.8716 -6.6326 -6.4079 -6.1979
 -6.0023 -5.8201 -5.6502 -5.4906 -5.3395 -4.9917 -4.6874 -4.4379 -4.2285 -4.0517
 -3.9127 -3.8070 -3.7233 -3.6519 -3.5873 -3.5271 -3.4706 -3.4174 -3.3678 -3.3226
 -3.2838
 -8.5509 -8.2321 -7.9410 -7.6694 -7.4091 -7.1559 -6.9085 -6.6691 -6.4402 -6.2240
 -6.0211 -5.8316 -5.6547 -5.4893 -5.3345 -4.9919 -4.6975 -4.4484 -4.2420 -4.0678
 -3.9273 -3.8208 -3.7398 -3.6745 -3.6178 -3.5659 -3.5173 -3.4712 -3.4277 -3.3871
 -3.3498
 -8.5291 -8.2246 -7.9413 -7.6779 -7.4270 -7.1842 -6.9458 -6.7117 -6.4839 -6.2649
 -6.0568 -5.8607 -5.6771 -5.5055 -5.3454 -4.9960 -4.7066 -4.4605 -4.2544 -4.0825
 -3.9418 -3.8330 -3.7517 -3.6895 -3.6391 -3.5952 -3.5550 -3.5171 -3.4809 -3.4466
 -3.4147
 -8.4993 -8.2076 -7.9344 -7.6777 -7.4342 -7.2003 -6.9726 -6.7483 -6.5275 -6.3116
 -6.1025 -5.9025 -5.7132 -5.5341 -5.3722 -5.0040 -4.7147 -4.4742 -4.2657
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =Btycho
 -9.4443 -9.1435 -8.9022 -8.7050 -8.5359 -8.3769 -8.2120 -8.0303 -7.8297 -7.6058
 -7.3557 -7.0879 -6.8186 -6.5668 -6.3324 -5.7987 -5.3052 -4.8590 -4.4588
 -9.0611 -8.7241 -8.4470 -8.2249 -8.0437 -7.8850 -7.7314 -7.5693 -7.3933 -7.1980
 -6.9776 -6.7335 -6.4808 -6.2409 -6.0198 -5.5323 -5.1022 -4.7101 -4.3691 -4.0956
 -8.7075 -8.3599 -8.1005 -7.8804 -7.6821 -7.5087 -7.3521 -7.1986 -7.0388 -6.8668
 -6.6762 -6.4618 -6.2293 -6.0010 -5.7902 -5.3367 -4.9525 -4.6101 -4.3086 -4.0612
 -3.8645
 -8.5886 -8.1799 -7.8529 -7.5977 -7.4053 -7.2573 -7.1066 -6.9442 -6.7803 -6.6147
 -6.4422 -6.2558 -6.0488 -5.8338 -5.6314 -5.2012 -4.8484 -4.5414 -4.2708 -4.0441
 -3.8625 -3.7134
 -8.5897 -8.1569 -7.7989 -7.5041 -7.2606 -7.0632 -6.9055 -6.7690 -6.6303 -6.4629
 -6.2848 -6.1059 -5.9208 -5.7230 -5.5281 -5.1125 -4.7803 -4.4973 -4.2499 -4.0396
 -3.8697 -3.7309 -3.6125 -3.5080
 -8.6520 -8.2020 -7.8263 -7.5097 -7.2400 -7.0092 -6.8097 -6.6349 -6.4811 -6.3439
 -6.1953 -6.0216 -5.8383 -5.6528 -5.4667 -5.0590 -4.7388 -4.4719 -4.2409 -4.0434
 -3.8826 -3.7523 -3.6421 -3.5448 -3.4568 -3.3772 -3.3032 -3.2319 -3.1666 -3.1250
 -8.7532 -8.2894 -7.8981 -7.5651 -7.2764 -7.0223 -6.7972 -6.5965 -6.4152 -6.2485
 -6.0954 -5.9500 -5.7932 -5.6183 -5.4370 -5.0319 -4.7165 -4.4595 -4.2397 -4.0518
 -3.8979 -3.7745 -3.6718 -3.5819 -3.5004 -3.4255 -3.3568 -3.2933 -3.2338 -3.1813
 -3.1504
 -8.8715 -8.4020 -8.0003 -7.6534 -7.3485 -7.0764 -6.8314 -6.6093 -6.4074 -6.2219
 -6.0489 -5.8874 -5.7373 -5.5876 -5.4270 -5.0268 -4.7084 -4.4563 -4.2439 -4.0627
 -3.9134 -3.7948 -3.6987 -3.6162 -3.5421 -3.4736 -3.4105 -3.3518 -3.2973 -3.2492
 -3.2095
 -8.9792 -8.5156 -8.1129 -7.7586 -7.4420 -7.1552 -6.8935 -6.6538 -6.4340 -6.2318
 -6.0443 -5.8692 -5.7056 -5.5522 -5.4038 -5.0356 -4.7104 -4.4575 -4.2496 -4.0730
 -3.9266 -3.8107 -3.7197 -3.6443 -3.5778 -3.5168 -3.4603 -3.4074 -3.3585 -3.3145
 -3.2752
 -9.0802 -8.6301 -8.2323 -7.8770 -7.5551 -7.2584 -6.9834 -6.7288 -6.4934 -6.2761
 -6.0748 -5.8876 -5.7126 -5.5488 -5.3948 -5.0441 -4.7290 -4.4685 -4.2609 -4.0870
 -3.9417 -3.8259 -3.7370 -3.6668 -3.6076 -3.5545 -3.5056 -3.4598 -3.4168 -3.3771
 -3.3407
 -9.1599 -8.7270 -8.3395 -7.9899 -7.6689 -7.3695 -7.0877 -6.8226 -6.5744 -6.3436
 -6.1293 -5.9303 -5.7447 -5.5708 -5.4084 -5.0505 -4.7466 -4.4861 -4.2744 -4.1012
