 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  V   
 -3.1799 -2.6157 -2.3396 -2.3442 -2.6359 -3.0185 -3.3393 -3.1886 -3.0411 -2.8845
 -2.7189 -2.5867 -2.4092 -2.2324 -2.0695 -1.7175 -1.4235 -1.2109 -1.0497
 -4.0250 -3.6832 -3.4341 -3.2684 -3.1588 -3.0566 -2.9460 -2.8317 -2.7171 -2.6004
 -2.4708 -2.3240 -2.1680 -2.0169 -1.8771 -1.5759 -1.3405 -1.1664 -1.0424 -0.9516
 -3.8028 -3.4817 -3.2281 -3.0297 -2.8787 -2.7714 -2.6949 -2.6132 -2.5108 -2.3946
 -2.2784 -2.1575 -2.0242 -1.8898 -1.7654 -1.5042 -1.3022 -1.1519 -1.0428 -0.9612
 -0.8973
 -3.6279 -3.3391 -3.1019 -2.9053 -2.7421 -2.6082 -2.4994 -2.4126 -2.3360 -2.2466
 -2.1393 -2.0306 -1.9175 -1.7994 -1.6867 -1.4515 -1.2744 -1.1434 -1.0471 -0.9733
 -0.9143 -0.8653
 -3.4626 -3.2099 -2.9965 -2.8131 -2.6537 -2.5152 -2.3953 -2.2913 -2.1996 -2.1159
 -2.0304 -1.9361 -1.8384 -1.7347 -1.6327 -1.4155 -1.2541 -1.1373 -1.0522 -0.9861
 -0.9320 -0.8864 -0.8468 -0.8103
 -3.3003 -3.0812 -2.8934 -2.7279 -2.5796 -2.4462 -2.3260 -2.2179 -2.1204 -2.0302
 -1.9443 -1.8594 -1.7750 -1.6861 -1.5952 -1.3920 -1.2395 -1.1311 -1.0549 -0.9966
 -0.9484 -0.9071 -0.8706 -0.8379 -0.8072 -0.7802 -0.7589 -0.7451 -0.7400 -0.7443
 -3.1495 -2.9542 -2.7890 -2.6418 -2.5073 -2.3834 -2.2687 -2.1628 -2.0651 -1.9746
 -1.8888 -1.8057 -1.7251 -1.6453 -1.5649 -1.3776 -1.2297 -1.1245 -1.0532 -1.0020
 -0.9607 -0.9249 -0.8929 -0.8637 -0.8365 -0.8095 -0.7854 -0.7676 -0.7587 -0.7600
 -0.7702
 -3.0130 -2.8362 -2.6863 -2.5537 -2.4328 -2.3198 -2.2130 -2.1128 -2.0189 -1.9304
 -1.8470 -1.7672 -1.6897 -1.6141 -1.5394 -1.3664 -1.2244 -1.1191 -1.0483 -1.0012
 -0.9663 -0.9372 -0.9110 -0.8867 -0.8636 -0.8414 -0.8186 -0.7983 -0.7842 -0.7793
 -0.7855
 -2.8944 -2.7315 -2.5893 -2.4658 -2.3550 -2.2516 -2.1536 -2.0603 -1.9719 -1.8880
 -1.8081 -1.7319 -1.6586 -1.5873 -1.5170 -1.3538 -1.2183 -1.1147 -1.0422 -0.9952
 -0.9643 -0.9416 -0.9223 -0.9043 -0.8867 -0.8691 -0.8517 -0.8365 -0.8238 -0.8134
 -0.8050
 -2.7936 -2.6401 -2.5069 -2.3860 -2.2796 -2.1833 -2.0929 -2.0066 -1.9243 -1.8459
 -1.7709 -1.6991 -1.6300 -1.5632 -1.4979 -1.3436 -1.2130 -1.1113 -1.0377 -0.9887
 -0.9579 -0.9389 -0.9257 -0.9147 -0.9038 -0.8922 -0.8800 -0.8674 -0.8599 -0.8482
 -0.8335
 -2.7107 -2.5620 -2.4391 -2.3185 -2.2109 -2.1160 -2.0302 -1.9498 -1.8733 -1.8003
 -1.7305 -1.6637 -1.5994 -1.5372 -1.4767 -1.3331 -1.2069 -1.1070 -1.0333 -0.9826
 -0.9503 -0.9316 -0.9217 -0.9165 -0.9125 -0.9079 -0.9023 -0.8953 -0.8874 -0.8793
 -0.8722
 -2.6457 -2.4972 -2.3859 -2.2640 -2.1527 -2.0551 -1.9690 -1.8912 -1.8190 -1.7510
 -1.6861 -1.6243 -1.5651 -1.5079 -1.4534 -1.3223 -1.2000 -1.1018 -1.0290
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  V   
 -4.6908 -4.1069 -3.6837 -3.4133 -3.2921 -3.2470 -3.2201 -3.0628 -2.9081 -2.7497
 -2.5841 -2.4271 -2.2573 -2.0968 -1.9508 -1.6406 -1.3879 -1.1940 -1.0452
 -4.4175 -4.0065 -3.7106 -3.4615 -3.2465 -3.0660 -2.9129 -2.7773 -2.6489 -2.5199
 -2.3840 -2.2379 -2.0869 -1.9431 -1.8120 -1.5389 -1.3249 -1.1594 -1.0370 -0.9446
 -4.1024 -3.6691 -3.3449 -3.1111 -2.9546 -2.8338 -2.7102 -2.5843 -2.4638 -2.3490
 -2.2342 -2.1123 -1.9797 -1.8472 -1.7253 -1.4759 -1.2876 -1.1437 -1.0361 -0.9547
 -0.8905
 -3.9327 -3.5165 -3.1947 -2.9479 -2.7602 -2.6194 -2.5198 -2.4414 -2.3492 -2.2395
 -2.1282 -2.0196 -1.9060 -1.7859 -1.6725 -1.4357 -1.2631 -1.1346 -1.0388 -0.9654
 -0.9064 -0.8572
 -3.8144 -3.4255 -3.1188 -2.8764 -2.6834 -2.5292 -2.4050 -2.3041 -2.2241 -2.1497
 -2.0584 -1.9566 -1.8527 -1.7453 -1.6383 -1.4119 -1.2477 -1.1289 -1.0425 -0.9765
