 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -3.5589 -3.4861 -3.6865 -3.6149 -3.4183 -3.1558 -2.8651 -2.6672 -2.4882 -2.3036
 -2.1297 -1.9691 -1.8201 -1.6815 -1.5498 -1.2668 -0.9806 -0.7100 -0.5410
 -3.5465 -3.3129 -3.1256 -2.9994 -2.9273 -2.8220 -2.6505 -2.4597 -2.2800 -2.1089
 -1.9461 -1.7939 -1.6529 -1.5221 -1.3997 -1.1232 -0.8822 -0.6821 -0.5273 -0.4076
 -3.3289 -3.0975 -2.8913 -2.7166 -2.5754 -2.4800 -2.4035 -2.2847 -2.1309 -1.9681
 -1.8145 -1.6704 -1.5367 -1.4131 -1.2986 -1.0462 -0.8322 -0.6540 -0.5140 -0.4050
 -0.3175
 -3.1556 -2.9425 -2.7409 -2.5594 -2.4002 -2.2618 -2.1473 -2.0613 -1.9722 -1.8532
 -1.7158 -1.5798 -1.4528 -1.3349 -1.2260 -0.9894 -0.7948 -0.6350 -0.5071 -0.4072
 -0.3264 -0.2588
 -3.0070 -2.8157 -2.6282 -2.4515 -2.2912 -2.1473 -2.0181 -1.9026 -1.8073 -1.7191
 -1.6221 -1.5092 -1.3919 -1.2795 -1.1752 -0.9495 -0.7677 -0.6210 -0.5041 -0.4122
 -0.3377 -0.2750 -0.2207 -0.1728
 -2.8783 -2.7033 -2.5337 -2.3675 -2.2116 -2.0688 -1.9392 -1.8208 -1.7129 -1.6146
 -1.5248 -1.4360 -1.3399 -1.2392 -1.1402 -0.9228 -0.7490 -0.6109 -0.5023 -0.4175
 -0.3491 -0.2916 -0.2416 -0.1969 -0.1543 -0.1152 -0.0817 -0.0554 -0.0376 -0.0290
 -2.7693 -2.6046 -2.4480 -2.2954 -2.1469 -2.0081 -1.8802 -1.7632 -1.6563 -1.5568
 -1.4632 -1.3744 -1.2886 -1.2021 -1.1138 -0.9057 -0.7367 -0.6035 -0.5002 -0.4208
 -0.3582 -0.3063 -0.2613 -0.2209 -0.1839 -0.1486 -0.1163 -0.0889 -0.0677 -0.0546
 -0.0530
