 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -8.5438 -8.0717 -7.8259 -7.7626 -7.8225 -7.8864 -7.6610 -7.4825 -7.2994 -7.0974
 -6.8720 -6.6381 -6.4027 -6.1582 -5.9212 -5.3367 -4.7884 -4.3727 -4.0006
 -8.4391 -8.0682 -7.7886 -7.5912 -7.4520 -7.3195 -7.1718 -7.0116 -6.8429 -6.6651
 -6.4646 -6.2379 -5.9985 -5.7652 -5.5438 -5.0302 -4.5860 -4.2267 -3.9561 -3.7482
 -8.1929 -7.8308 -7.5236 -7.2662 -7.0572 -6.8974 -6.7754 -6.6479 -6.4914 -6.3120
 -6.1273 -5.9315 -5.7183 -5.5067 -5.3084 -4.8646 -4.4776 -4.1595 -3.9178 -3.7316
 -3.5811
 -7.9955 -7.6559 -7.3541 -7.0854 -6.8478 -6.6407 -6.4638 -6.3160 -6.1833 -6.0341
 -5.8603 -5.6819 -5.4958 -5.3055 -5.1257 -4.7318 -4.3955 -4.1136 -3.8955 -3.7270
 -3.5900 -3.4728
 -7.7993 -7.4942 -7.2138 -6.9541 -6.7137 -6.4931 -6.2932 -6.1139 -5.9532 -5.8062
 -5.6586 -5.4991 -5.3326 -5.1599 -4.9937 -4.6354 -4.3366 -4.0841 -3.8849 -3.7305
 -3.6048 -3.4968 -3.4006 -3.3130
 -7.5934 -7.3276 -7.0779 -6.8390 -6.6099 -6.3924 -6.1878 -5.9978 -5.8232 -5.6621
 -5.5112 -5.3649 -5.2182 -5.0651 -4.9116 -4.5717 -4.2980 -4.0672 -3.8817 -3.7380
 -3.6221 -3.5227 -3.4337 -3.3522 -3.2729 -3.1977 -3.1298 -3.0719 -3.0258 -2.9927
 -7.3873 -7.1542 -6.9370 -6.7252 -6.5164 -6.3116 -6.1132 -5.9236 -5.7450 -5.5786
 -5.4232 -5.2767 -5.1363 -4.9979 -4.8600 -4.5388 -4.2764 -4.0600 -3.8832 -3.7464
 -3.6384 -3.5471 -3.4658 -3.3910 -3.3208 -3.2545 -3.1927 -3.1358 -3.0843 -3.0413
 -3.0174
 -7.1842 -6.9818 -6.7918 -6.6063 -6.4220 -6.2367 -6.0512 -5.8694 -5.6942 -5.5271
 -5.3703 -5.2234 -5.0845 -4.9512 -4.8225 -4.5237 -4.2686 -4.0600 -3.8884 -3.7544
 -3.6513 -3.5671 -3.4937 -3.4263 -3.3630 -3.3028 -3.2444 -3.1897 -3.1410 -3.1000
 -3.0679
