 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -0.2495 -0.1951 -0.1489 -0.1087 -0.0730 -0.0421 -0.0162  0.0044  0.0186  0.0232
 -3.0595 -2.7883 -2.5403 -2.3202 -2.1309 -1.9722 -1.8395 -1.7340 -1.6443 -1.5317
 -1.3979 -1.2778 -1.1700 -1.0695 -0.9761 -0.7754 -0.6178 -0.4936 -0.3952 -0.3170
 -0.2547 -0.2047 -0.1631 -0.1271 -0.0955 -0.0675 -0.0427 -0.0223 -0.0074  0.0005
 -0.0014
 -3.0870 -2.8171 -2.5644 -2.3348 -2.1321 -1.9559 -1.8041 -1.6710 -1.5555 -1.4581
 -1.3708 -1.2750 -1.1742 -1.0751 -0.9819 -0.7794 -0.6189 -0.4930 -0.3946 -0.3177
 -0.2581 -0.2118 -0.1749 -0.1438 -0.1167 -0.0925 -0.0712 -0.0527 -0.0376 -0.0275
 -0.0258
 -3.1260 -2.8528 -2.5986 -2.3633 -2.1513 -1.9643 -1.8010 -1.6577 -1.5300 -1.4156
 -1.3147 -1.2270 -1.1479 -1.0678 -0.9841 -0.7838 -0.6206 -0.4922 -0.3927 -0.3163
 -0.2583 -0.2150 -0.1825 -0.1567 -0.1349 -0.1155 -0.0982 -0.0827 -0.0695 -0.0595
 -0.0546
 -3.1802 -2.8983 -2.6445 -2.4075 -2.1886 -1.9922 -1.8191 -1.6670 -1.5324 -1.4116
 -1.3022 -1.2040 -1.1170 -1.0402 -0.9684 -0.7897 -0.6261 -0.4946 -0.3928 -0.3153
 -0.2576 -0.2158 -0.1864 -0.1654 -0.1491 -0.1352 -0.1230 -0.1119 -0.1020 -0.0939
 -0.0885
 -3.2578 -2.9534 -2.6954 -2.4587 -2.2377 -2.0345 -1.8519 -1.6906 -1.5484 -1.4218
 -1.3078 -1.2045 -1.1111 -1.0274 -0.9521 -0.7864 -0.6323 -0.4986 -0.3937 -0.3141
 -0.2554 -0.2139 -0.1862 -0.1686 -0.1574 -0.1493 -0.1429 -0.1372 -0.1319 -0.1273
 -0.1230
 -3.3753 -3.0261 -2.7524 -2.5131 -2.2924 -2.0871 -1.8980 -1.7276 -1.5765 -1.4426
 -1.3232 -1.2156 -1.1182 -1.0299 -0.9500 -0.7800 -0.6353 -0.5044 -0.3962
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.6956 -3.3333 -3.0039 -2.7219 -2.4701 -2.2412 -2.0533 -1.8861 -1.7419 -1.6119
 -1.4879 -1.3713 -1.2628 -1.1624 -1.0698 -0.8690 -0.7027 -0.5600 -0.4331
 -3.4617 -3.3235 -2.9996 -2.6992 -2.4355 -2.2013 -2.0057 -1.8376 -1.6906 -1.5587
 -1.4348 -1.3188 -1.2107 -1.1109 -1.0191 -0.8235 -0.6649 -0.5313 -0.4152 -0.3132
 -3.2478 -3.2105 -3.0002 -2.7104 -2.4364 -2.1917 -1.9852 -1.8103 -1.6604 -1.5273
 -1.4040 -1.2887 -1.1811 -1.0816 -0.9900 -0.7959 -0.6410 -0.5128 -0.4033 -0.3086
 -0.2272
 -3.0853 -2.9010 -2.8571 -2.7119 -2.4581 -2.2099 -1.9896 -1.8030 -1.6463 -1.5104
 -1.3874 -1.2729 -1.1658 -1.0664 -0.9747 -0.7802 -0.6266 -0.5013 -0.3963 -0.3069
 -0.2308 -0.1664
 -3.0650 -2.7982 -2.6071 -2.5207 -2.4405 -2.2360 -2.0142 -1.8150 -1.6466 -1.5043
 -1.3802 -1.2661 -1.1596 -1.0604 -0.9684 -0.7724 -0.6185 -0.4946 -0.3926 -0.3072
 -0.2356 -0.1754 -0.1239 -0.0794
 -3.0859 -2.7944 -2.5490 -2.3588 -2.2321 -2.1560 -2.0310 -1.8429 -1.6634 -1.5097
 -1.3798 -1.2654 -1.1592 -1.0602 -0.9681 -0.7703 -0.6148 -0.4911 -0.3908 -0.3084
 -0.2405 -0.1843 -0.1368 -0.0959 -0.0604 -0.0299 -0.0043  0.0161  0.0295  0.0337
 -3.1306 -2.8257 -2.5585 -2.3320 -2.1482 -2.0048 -1.8974 -1.8080 -1.6832 -1.5291
 -1.3882 -1.2692 -1.1630 -1.0641 -0.9720 -0.7722 -0.6143 -0.4896 -0.3900 -0.3098
 -0.2449 -0.1922 -0.1489 -0.1120 -0.0800 -0.0522 -0.0286 -0.0093  0.0052  0.0124
  0.0103
 -3.1924 -2.8794 -2.5979 -2.3521 -2.1430 -1.9680 -1.8229 -1.7005 -1.5988 -1.5066
 -1.3990 -1.2787 -1.1701 -1.0711 -0.9789 -0.7774 -0.6165 -0.4899 -0.3898 -0.3106
 -0.2479 -0.1985 -0.1591 -0.1266 -0.0990 -0.0748 -0.0543 -0.0363 -0.0223 -0.0142
 -0.0131
 -3.2623 -2.9441 -2.6551 -2.3952 -2.1682 -1.9744 -1.8103 -1.6697 -1.5463 -1.4378
 -1.3433 -1.2564 -1.1668 -1.0758 -0.9857 -0.7834 -0.6196 -0.4902 -0.3888 -0.3097
 -0.2484 -0.2015 -0.1657 -0.1379 -0.1152 -0.0957 -0.0790 -0.0643 -0.0524 -0.0444
 -0.0408
 -3.3476 -3.0203 -2.7277 -2.4605 -2.2199 -2.0099 -1.8297 -1.6753 -1.5412 -1.4220
 -1.3148 -1.2193 -1.1344 -1.0575 -0.9822 -0.7928 -0.6268 -0.4940 -0.3900 -0.3097
 -0.2485 -0.2028 -0.1698 -0.1459 -0.1281 -0.1137 -0.1019 -0.0917 -0.0832 -0.0759
 -0.0729
 -3.4530 -3.1052 -2.8066 -2.5362 -2.2887 -2.0662 -1.8711 -1.7026 -1.5570 -1.4295
 -1.3157 -1.2131 -1.1205 -1.0378 -0.9637 -0.7952 -0.6353 -0.4997 -0.3925 -0.3097
 -0.2475 -0.2020 -0.1703 -0.1494 -0.1358 -0.1267 -0.1202 -0.1151 -0.1111 -0.1081
 -0.1053
 -3.5924 -3.2037 -2.8911 -2.6164 -2.3663 -2.1374 -1.9312 -1.7491 -1.5906 -1.4526
 -1.3312 -1.2230 -1.1254 -1.0372 -0.9577 -0.7889 -0.6413 -0.5071 -0.3965
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.5908 -3.2323 -2.9227 -2.6606 -2.4165 -2.1970 -2.0182 -1.8572 -1.7108 -1.5826
 -1.4614 -1.3473 -1.2410 -1.1425 -1.0516 -0.8540 -0.6879 -0.5472 -0.4286
 -3.5192 -3.2614 -2.9349 -2.6462 -2.3941 -2.1660 -1.9793 -1.8136 -1.6661 -1.5365
 -1.4151 -1.3014 -1.1956 -1.0975 -1.0070 -0.8132 -0.6563 -0.5247 -0.4110 -0.3102
 -3.3777 -3.2519 -2.9666 -2.6676 -2.3999 -2.1622 -1.9603 -1.7900 -1.6410 -1.5093
 -1.3884 -1.2754 -1.1700 -1.0721 -0.9818 -0.7888 -0.6347 -0.5075 -0.3992 -0.3050
 -0.2232
 -3.1897 -3.0202 -2.9448 -2.6995 -2.4286 -2.1825 -1.9661 -1.7839 -1.6297 -1.4950
 -1.3742 -1.2618 -1.1569 -1.0591 -0.9686 -0.7750 -0.6216 -0.4968 -0.3921 -0.3024
 -0.2253 -0.1596
 -3.0713 -2.8184 -2.6917 -2.6453 -2.4567 -2.2155 -1.9919 -1.7961 -1.6310 -1.4908
 -1.3684 -1.2563 -1.1517 -1.0542 -0.9635 -0.7685 -0.6143 -0.4905 -0.3881 -0.3018
 -0.2286 -0.1668 -0.1142 -0.0688
 -3.1043 -2.8014 -2.5641 -2.4092 -2.3395 -2.2290 -2.0262 -1.8249 -1.6472 -1.4969
 -1.3688 -1.2562 -1.1519 -1.0546 -0.9638 -0.7671 -0.6111 -0.4872 -0.3862 -0.3024
 -0.2324 -0.1741 -0.1250 -0.0831 -0.0469 -0.0162  0.0092  0.0292  0.0419  0.0454
 -3.1742 -2.8422 -2.5648 -2.3419 -2.1766 -2.0668 -1.9851 -1.8516 -1.6778 -1.5160
 -1.3781 -1.2606 -1.1560 -1.0587 -0.9679 -0.7696 -0.6112 -0.4860 -0.3855 -0.3033
 -0.2360 -0.1807 -0.1352 -0.0969 -0.0640 -0.0360 -0.0122  0.0066  0.0197  0.0259
  0.0233
 -3.2697 -2.9172 -2.6128 -2.3574 -2.1488 -1.9840 -1.8548 -1.7531 -1.6596 -1.5389
 -1.3988 -1.2719 -1.1636 -1.0662 -0.9751 -0.7753 -0.6142 -0.4867 -0.3856 -0.3042
 -0.2386 -0.1861 -0.1439 -0.1095 -0.0806 -0.0561 -0.0357 -0.0191 -0.0064  0.0013
  0.0015
 -3.3808 -3.0116 -2.6893 -2.4095 -2.1735 -1.9787 -1.8195 -1.6868 -1.5733 -1.4750
 -1.3823 -1.2807 -1.1728 -1.0743 -0.9831 -0.7822 -0.6182 -0.4880 -0.3852 -0.3038
 -0.2394 -0.1889 -0.1498 -0.1193 -0.0948 -0.0745 -0.0579 -0.0443 -0.0336 -0.0268
 -0.0248
 -3.4948 -3.1215 -2.7888 -2.4929 -2.2346 -2.0156 -1.8332 -1.6809 -1.5510 -1.4365
 -1.3344 -1.2432 -1.1582 -1.0743 -0.9911 -0.7934 -0.6267 -0.4931 -0.3875 -0.3046
 -0.2402 -0.1909 -0.1539 -0.1266 -0.1063 -0.0907 -0.0785 -0.0689 -0.0615 -0.0566
 -0.0548
