 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  z   
 -0.7517 -0.7805 -0.8275 -0.8811 -0.9204 -0.9321 -0.8323 -0.8329 -0.8275 -0.8114
 -0.7833 -0.7357 -0.7049 -0.6666 -0.6320 -0.5703 -0.5729 -0.6166 -0.6667
 -0.7347 -0.7083 -0.7034 -0.7178 -0.7476 -0.7731 -0.7882 -0.7960 -0.7989 -0.7967
 -0.7839 -0.7585 -0.7250 -0.6921 -0.6643 -0.6262 -0.6260 -0.6526 -0.6910 -0.7345
 -0.7233 -0.7095 -0.6982 -0.6922 -0.6954 -0.7119 -0.7400 -0.7640 -0.7753 -0.7747
 -0.7694 -0.7575 -0.7347 -0.7076 -0.6834 -0.6480 -0.6495 -0.6767 -0.7153 -0.7586
 -0.8038
 -0.6999 -0.6964 -0.6902 -0.6834 -0.6787 -0.6793 -0.6869 -0.7031 -0.7244 -0.7401
 -0.7451 -0.7447 -0.7353 -0.7167 -0.6970 -0.6661 -0.6678 -0.6954 -0.7347 -0.7782
 -0.8235 -0.8694
 -0.6536 -0.6635 -0.6673 -0.6664 -0.6633 -0.6608 -0.6613 -0.6658 -0.6747 -0.6874
 -0.7002 -0.7091 -0.7145 -0.7114 -0.7015 -0.6778 -0.6799 -0.7080 -0.7491 -0.7938
 -0.8397 -0.8863 -0.9330 -0.9785
 -0.5861 -0.6103 -0.6265 -0.6354 -0.6388 -0.6394 -0.6397 -0.6413 -0.6454 -0.6514
 -0.6589 -0.6672 -0.6767 -0.6830 -0.6852 -0.6809 -0.6853 -0.7136 -0.7574 -0.8049
 -0.8526 -0.9005 -0.9485 -0.9962 -1.0431 -1.0902 -1.1383 -1.1884 -1.2410 -1.2965
 -0.5044 -0.5391 -0.5680 -0.5884 -0.6014 -0.6089 -0.6134 -0.6166 -0.6204 -0.6253
 -0.6309 -0.6368 -0.6438 -0.6514 -0.6576 -0.6700 -0.6833 -0.7123 -0.7581 -0.8097
 -0.8611 -0.9114 -0.9612 -1.0106 -1.0594 -1.1066 -1.1538 -1.2029 -1.2552 -1.3114
 -1.3698
 -0.4101 -0.4554 -0.4945 -0.5258 -0.5497 -0.5667 -0.5781 -0.5864 -0.5932 -0.5995
 -0.6060 -0.6128 -0.6195 -0.6267 -0.6333 -0.6512 -0.6734 -0.7049 -0.7518 -0.8072
 -0.8633 -0.9176 -0.9704 -1.0221 -1.0729 -1.1229 -1.1714 -1.2199 -1.2704 -1.3245
 -1.3831
 -0.3130 -0.3654 -0.4113 -0.4513 -0.4849 -0.5116 -0.5321 -0.5476 -0.5599 -0.5701
 -0.5794 -0.5883 -0.5971 -0.6057 -0.6136 -0.6334 -0.6594 -0.6941 -0.7412 -0.7985
 -0.8590 -0.9184 -0.9756 -1.0307 -1.0843 -1.1366 -1.1880 -1.2396 -1.2916 -1.3438
 -1.3963
 -0.2130 -0.2691 -0.3223 -0.3685 -0.4094 -0.4450 -0.4746 -0.4986 -0.5182 -0.5344
 -0.5484 -0.5609 -0.5726 -0.5838 -0.5944 -0.6180 -0.6455 -0.6817 -0.7283 -0.7851
 -0.8475 -0.9110 -0.9729 -1.0324 -1.0897 -1.1450 -1.1988 -1.2516 -1.3074 -1.3594
 -1.4092
 -0.1102 -0.1665 -0.2275 -0.2828 -0.3278 -0.3696 -0.4070 -0.4394 -0.4670 -0.4906
 -0.5108 -0.5286 -0.5445 -0.5592 -0.5730 -0.6037 -0.6329 -0.6698 -0.7161 -0.7714
 -0.8333 -0.8984 -0.9638 -1.0277 -1.0891 -1.1481 -1.2052 -1.2606 -1.3147 -1.3681
 -1.4217
 -0.0045 -0.0576 -0.1269 -0.1955 -0.2441 -0.2899 -0.3326 -0.3717 -0.4069 -0.4381
 -0.4655 -0.4898 -0.5114 -0.5308 -0.5494 -0.5905 -0.6216 -0.6584 -0.7046
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  z   
 -0.6885 -0.6968 -0.7237 -0.7619 -0.8007 -0.8312 -0.8218 -0.8392 -0.8438 -0.8339
 -0.8096 -0.7711 -0.7348 -0.6977 -0.6651 -0.6066 -0.5930 -0.6157 -0.6588
 -0.6713 -0.6631 -0.6809 -0.7029 -0.7253 -0.7505 -0.7766 -0.7993 -0.8139 -0.8170
 -0.8067 -0.7830 -0.7510 -0.7186 -0.6900 -0.6422 -0.6304 -0.6500 -0.6862 -0.7284
 -0.6942 -0.6712 -0.6615 -0.6673 -0.6930 -0.7273 -0.7544 -0.7728 -0.7861 -0.7950
 -0.7954 -0.7845 -0.7617 -0.7344 -0.7093 -0.6668 -0.6558 -0.6739 -0.7097 -0.7523
 -0.7973
 -0.7087 -0.6900 -0.6768 -0.6695 -0.6700 -0.6805 -0.7043 -0.7367 -0.7621 -0.7743
 -0.7785 -0.7764 -0.7648 -0.7442 -0.7234 -0.6855 -0.6758 -0.6928 -0.7282 -0.7710
 -0.8162 -0.8622
 -0.7010 -0.6919 -0.6836 -0.6758 -0.6701 -0.6686 -0.6730 -0.6840 -0.7040 -0.7287
 -0.7465 -0.7560 -0.7561 -0.7457 -0.7295 -0.6979 -0.6899 -0.7063 -0.7417 -0.7855
 -0.8316 -0.8784 -0.9254 -0.9723
 -0.6681 -0.6722 -0.6730 -0.6705 -0.6661 -0.6619 -0.6599 -0.6615 -0.6669 -0.6768
 -0.6921 -0.7087 -0.7225 -0.7285 -0.7253 -0.7036 -0.6977 -0.7139 -0.7498 -0.7955
 -0.8435 -0.8919 -0.9402 -0.9885 -1.0363 -1.0839 -1.1320 -1.1821 -1.2366 -1.2926
 -0.6108 -0.6294 -0.6425 -0.6492 -0.6506 -0.6490 -0.6466 -0.6455 -0.6464 -0.6495
 -0.6548 -0.6632 -0.6756 -0.6881 -0.6964 -0.7005 -0.6993 -0.7157 -0.7517 -0.8000
 -0.8512 -0.9021 -0.9524 -1.0024 -1.0518 -1.1007 -1.1495 -1.1989 -1.2505 -1.3072
 -1.3658
 -0.5337 -0.5653 -0.5912 -0.6095 -0.6202 -0.6252 -0.6267 -0.6268 -0.6274 -0.6291
 -0.6319 -0.6359 -0.6424 -0.6510 -0.6605 -0.6803 -0.6936 -0.7122 -0.7480 -0.7980
 -0.8532 -0.9079 -0.9611 -1.0134 -1.0648 -1.1154 -1.1657 -1.2158 -1.2664 -1.3201
 -1.3791
 -0.4436 -0.4850 -0.5217 -0.5514 -0.5731 -0.5873 -0.5958 -0.6007 -0.6042 -0.6073
 -0.6109 -0.6150 -0.6199 -0.6260 -0.6332 -0.6545 -0.6782 -0.7037 -0.7402 -0.7908
 -0.8492 -0.9085 -0.9660 -1.0216 -1.0757 -1.1285 -1.1807 -1.2323 -1.2839 -1.3365
 -1.3921
 -0.3464 -0.3946 -0.4391 -0.4779 -0.5098 -0.5344 -0.5521 -0.5644 -0.5733 -0.5803
 -0.5866 -0.5930 -0.5994 -0.6060 -0.6130 -0.6330 -0.6593 -0.6906 -0.7290 -0.7790
 -0.8386 -0.9013 -0.9632 -1.0231 -1.0807 -1.1366 -1.1912 -1.2447 -1.2976 -1.3506
 -1.4047
 -0.2450 -0.2982 -0.3477 -0.3932 -0.4331 -0.4671 -0.4944 -0.5157 -0.5322 -0.5452
 -0.5563 -0.5664 -0.5759 -0.5849 -0.5938 -0.6160 -0.6425 -0.6762 -0.7168 -0.7662
 -0.8250 -0.8890 -0.9542 -1.0182 -1.0800 -1.1395 -1.1972 -1.2533 -1.3082 -1.3625
 -1.4167
 -0.1429 -0.1985 -0.2514 -0.3013 -0.3470 -0.3881 -0.4239 -0.4542 -0.4792 -0.5000
 -0.5175 -0.5329 -0.5511 -0.5622 -0.5756 -0.6035 -0.6278 -0.6605 -0.7036
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  z   
 -0.7539 -0.7449 -0.7522 -0.7707 -0.7954 -0.8207 -0.8415 -0.8541 -0.8562 -0.8460
 -0.8227 -0.7895 -0.7521 -0.7174 -0.6872 -0.6327 -0.6095 -0.6168 -0.6507
 -0.7079 -0.6899 -0.6911 -0.7079 -0.7347 -0.7654 -0.7943 -0.8170 -0.8307 -0.8330
 -0.8220 -0.7985 -0.7675 -0.7367 -0.7095 -0.6610 -0.6404 -0.6487 -0.6795 -0.7205
 -0.6782 -0.6529 -0.6573 -0.6739 -0.6952 -0.7221 -0.7517 -0.7788 -0.7996 -0.8116
 -0.8123 -0.8002 -0.7770 -0.7503 -0.7258 -0.6827 -0.6650 -0.6728 -0.7020 -0.7427
 -0.7872
 -0.6990 -0.6606 -0.6401 -0.6382 -0.6558 -0.6894 -0.7229 -0.7496 -0.7709 -0.7864
 -0.7943 -0.7928 -0.7796 -0.7584 -0.7369 -0.6985 -0.6836 -0.6914 -0.7195 -0.7600
 -0.8050 -0.8511
 -0.7180 -0.6828 -0.6594 -0.6465 -0.6433 -0.6516 -0.6722 -0.7023 -0.7359 -0.7600
 -0.7729 -0.7773 -0.7736 -0.7603 -0.7427 -0.7088 -0.6965 -0.7049 -0.7324 -0.7730
 -0.8190 -0.8663 -0.9138 -0.9615
 -0.7194 -0.6926 -0.6735 -0.6602 -0.6518 -0.6491 -0.6523 -0.6615 -0.6777 -0.7027
 -0.7290 -0.7481 -0.7560 -0.7533 -0.7423 -0.7141 -0.7042 -0.7136 -0.7409 -0.7820
 -0.8296 -0.8786 -0.9277 -0.9767 -1.0254 -1.0735 -1.1227 -1.1747 -1.2298 -1.2854
 -0.6970 -0.6828 -0.6723 -0.6639 -0.6565 -0.6506 -0.6475 -0.6479 -0.6520 -0.6597
 -0.6725 -0.6914 -0.7110 -0.7247 -0.7290 -0.7143 -0.7072 -0.7175 -0.7449 -0.7866
 -0.8363 -0.8877 -0.9389 -0.9897 -1.0400 -1.0900 -1.1400 -1.1907 -1.2434 -1.3005
 -1.3591
 -0.6488 -0.6496 -0.6513 -0.6517 -0.6498 -0.6462 -0.6422 -0.6392 -0.6383 -0.6398
 -0.6434 -0.6498 -0.6613 -0.6762 -0.6899 -0.7059 -0.7055 -0.7171 -0.7445 -0.7864
 -0.8381 -0.8927 -0.9467 -0.9999 -1.0522 -1.1039 -1.1554 -1.2068 -1.2586 -1.3133
 -1.3727
 -0.5770 -0.5927 -0.6078 -0.6198 -0.6270 -0.6298 -0.6293 -0.6273 -0.6255 -0.6248
 -0.6256 -0.6279 -0.6323 -0.6398 -0.6501 -0.6779 -0.6971 -0.7127 -0.7406 -0.7823
 -0.8353 -0.8931 -0.9509 -1.0073 -1.0623 -1.1163 -1.1696 -1.2225 -1.2754 -1.3297
 -1.3856
 -0.4885 -0.5169 -0.5439 -0.5675 -0.5856 -0.5976 -0.6042 -0.6069 -0.6077 -0.6081
 -0.6090 -0.6109 -0.6137 -0.6180 -0.6240 -0.6477 -0.6763 -0.7028 -0.7327 -0.7739
 -0.8266 -0.8865 -0.9480 -1.0083 -1.0668 -1.1236 -1.1793 -1.2340 -1.2882 -1.3424
 -1.3977
 -0.3902 -0.4274 -0.4639 -0.4974 -0.5257 -0.5479 -0.5638 -0.5741 -0.5807 -0.5849
 -0.5884 -0.5920 -0.5961 -0.6007 -0.6060 -0.6250 -0.6534 -0.6865 -0.7217 -0.7633
 -0.8151 -0.8753 -0.9393 -1.0034 -1.0657 -1.1260 -1.1848 -1.2420 -1.2981 -1.3536
 -1.4089
 -0.2851 -0.3293 -0.3722 -0.4133 -0.4500 -0.4815 -0.5069 -0.5265 -0.5411 -0.5519
 -0.5603 -0.5675 -0.5761 -0.5818 -0.5961 -0.6098 -0.6284 -0.6638 -0.7076
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  z   
 -0.9480 -0.9247 -0.9128 -0.9075 -0.9046 -0.9003 -0.8914 -0.8776 -0.8647 -0.8477
 -0.8226 -0.7910 -0.7569 -0.7256 -0.6984 -0.6487 -0.6224 -0.6199 -0.6423
 -0.8568 -0.8285 -0.8169 -0.8169 -0.8238 -0.8331 -0.8394 -0.8426 -0.8438 -0.8390
 -0.8242 -0.7997 -0.7704 -0.7419 -0.7169 -0.6720 -0.6494 -0.6490 -0.6707 -0.7076
 -0.7978 -0.7616 -0.7446 -0.7435 -0.7540 -0.7708 -0.7883 -0.8031 -0.8150 -0.8208
 -0.8170 -0.8019 -0.7783 -0.7527 -0.7296 -0.6887 -0.6696 -0.6710 -0.6922 -0.7283
 -0.7718
 -0.7446 -0.7034 -0.6901 -0.6908 -0.6997 -0.7173 -0.7397 -0.7616 -0.7807 -0.7948
 -0.8008 -0.7961 -0.7806 -0.7592 -0.7381 -0.7006 -0.6844 -0.6874 -0.7085 -0.7441
 -0.7879 -0.8344
 -0.7472 -0.6851 -0.6487 -0.6353 -0.6428 -0.6670 -0.6971 -0.7247 -0.7477 -0.7658
 -0.7777 -0.7818 -0.7758 -0.7608 -0.7427 -0.7084 -0.6946 -0.6991 -0.7206 -0.7559
 -0.8002 -0.8479 -0.8962 -0.9448
 -0.7605 -0.7021 -0.6605 -0.6346 -0.6233 -0.6256 -0.6405 -0.6671 -0.7019 -0.7324
 -0.7520 -0.7617 -0.7631 -0.7563 -0.7430 -0.7126 -0.7011 -0.7070 -0.7290 -0.7644
 -0.8092 -0.8584 -0.9084 -0.9585 -1.0086 -1.0589 -1.1099 -1.1634 -1.2198 -1.2754
 -0.7653 -0.7122 -0.6733 -0.6466 -0.6302 -0.6230 -0.6241 -0.6327 -0.6481 -0.6709
 -0.6990 -0.7242 -0.7392 -0.7428 -0.7376 -0.7136 -0.7043 -0.7115 -0.7340 -0.7696
 -0.8150 -0.8657 -0.9179 -0.9699 -1.0217 -1.0734 -1.1252 -1.1778 -1.2325 -1.2905
 -1.3489
 -0.7523 -0.7088 -0.6766 -0.6539 -0.6384 -0.6285 -0.6236 -0.6238 -0.6283 -0.6368
 -0.6489 -0.6659 -0.6865 -0.7048 -0.7158 -0.7110 -0.7043 -0.7129 -0.7357 -0.7713
 -0.8172 -0.8695 -0.9240 -0.9785 -1.0324 -1.0859 -1.1392 -1.1926 -1.2466 -1.3028
 -1.3627
 -0.7149 -0.6850 -0.6632 -0.6482 -0.6377 -0.6301 -0.6242 -0.6205 -0.6196 -0.6215
 -0.6258 -0.6323 -0.6417 -0.6549 -0.6701 -0.6967 -0.7007 -0.7111 -0.7345 -0.7701
 -0.8162 -0.8700 -0.9272 -0.9846 -1.0412 -1.0969 -1.1522 -1.2070 -1.2620 -1.3182
 -1.3755
 -0.6513 -0.6381 -0.6289 -0.6245 -0.6221 -0.6203 -0.6178 -0.6148 -0.6124 -0.6111
 -0.6117 -0.6140 -0.6180 -0.6240 -0.6325 -0.6629 -0.6890 -0.7057 -0.7299 -0.7650
 -0.8107 -0.8649 -0.9243 -0.9849 -1.0447 -1.1031 -1.1607 -1.2173 -1.2734 -1.3297
 -1.3867
 -0.5660 -0.5680 -0.5727 -0.5801 -0.5880 -0.5945 -0.5986 -0.6001 -0.5999 -0.5992
 -0.5989 -0.5997 -0.6019 -0.6055 -0.6104 -0.6318 -0.6635 -0.6940 -0.7221 -0.7574
 -0.8023 -0.8562 -0.9167 -0.9800 -1.0431 -1.1048 -1.1651 -1.2241 -1.2820 -1.3395
 -1.3967
 -0.4655 -0.4801 -0.4973 -0.5160 -0.5340 -0.5500 -0.5626 -0.5714 -0.5769 -0.5800
 -0.5819 -0.5839 -0.5864 -0.5898 -0.6038 -0.6034 -0.6242 -0.6760 -0.7111
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  z   
 -1.0933 -1.0640 -1.0427 -1.0239 -1.0021 -0.9740 -0.9370 -0.8947 -0.8646 -0.8408
 -0.8149 -0.7854 -0.7546 -0.7254 -0.6999 -0.6529 -0.6275 -0.6222 -0.6380
 -0.9779 -0.9451 -0.9259 -0.9149 -0.9070 -0.8971 -0.8800 -0.8607 -0.8469 -0.8347
 -0.8177 -0.7941 -0.7668 -0.7401 -0.7164 -0.6738 -0.6519 -0.6499 -0.6665 -0.7001
 -0.8967 -0.8557 -0.8328 -0.8233 -0.8224 -0.8250 -0.8250 -0.8224 -0.8214 -0.8197
 -0.8122 -0.7964 -0.7739 -0.7497 -0.7276 -0.6883 -0.6696 -0.6694 -0.6872 -0.7202
 -0.7624
 -0.8305 -0.7907 -0.7639 -0.7510 -0.7506 -0.7588 -0.7700 -0.7796 -0.7888 -0.7962
 -0.7982 -0.7915 -0.7759 -0.7554 -0.7350 -0.6985 -0.6824 -0.6842 -0.7029 -0.7356
 -0.7778 -0.8241
 -0.7982 -0.7426 -0.6927 -0.6834 -0.6900 -0.7028 -0.7193 -0.7365 -0.7526 -0.7667
 -0.7764 -0.7787 -0.7716 -0.7567 -0.7391 -0.7053 -0.6914 -0.6949 -0.7144 -0.7471
 -0.7896 -0.8368 -0.8853 -0.9342
 -0.7929 -0.7213 -0.6719 -0.6418 -0.6300 -0.6355 -0.6572 -0.6873 -0.7153 -0.7365
 -0.7510 -0.7592 -0.7601 -0.7527 -0.7395 -0.7091 -0.6972 -0.7022 -0.7224 -0.7554
 -0.7981 -0.8464 -0.8965 -0.9470 -0.9978 -1.0486 -1.1007 -1.1556 -1.2129 -1.2689
 -0.7978 -0.7298 -0.6786 -0.6430 -0.6216 -0.6131 -0.6161 -0.6295 -0.6529 -0.6834
 -0.7125 -0.7325 -0.7415 -0.7418 -0.7351 -0.7102 -0.7002 -0.7065 -0.7274 -0.7606
 -0.8035 -0.8529 -0.9049 -0.9574 -1.0099 -1.0625 -1.1154 -1.1692 -1.2251 -1.2839
 -1.3422
 -0.7968 -0.7339 -0.6858 -0.6513 -0.6280 -0.6143 -0.6092 -0.6116 -0.6204 -0.6345
 -0.6536 -0.6769 -0.6996 -0.7152 -0.7209 -0.7084 -0.7005 -0.7081 -0.7294 -0.7628
 -0.8059 -0.8562 -0.9102 -0.9650 -1.0197 -1.0741 -1.1285 -1.1831 -1.2383 -1.2956
 -1.3561
 -0.7779 -0.7242 -0.6831 -0.6532 -0.6326 -0.6190 -0.6109 -0.6077 -0.6092 -0.6146
 -0.6228 -0.6336 -0.6475 -0.6643 -0.6807 -0.7000 -0.6978 -0.7071 -0.7290 -0.7624
 -0.8058 -0.8569 -0.9128 -0.9703 -1.0276 -1.0843 -1.1406 -1.1967 -1.2528 -1.3097
 -1.3685
 -0.7340 -0.6954 -0.6641 -0.6423 -0.6274 -0.6175 -0.6105 -0.6060 -0.6038 -0.6041
 -0.6069 -0.6118 -0.6182 -0.6265 -0.6374 -0.6702 -0.6905 -0.7028 -0.7254 -0.7586
 -0.8016 -0.8529 -0.9102 -0.9702 -1.0305 -1.0898 -1.1483 -1.2060 -1.2633 -1.3208
 -1.3790
 -0.6632 -0.6413 -0.6245 -0.6127 -0.6064 -0.6030 -0.6007 -0.5986 -0.5968 -0.5956
