 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.7287 -2.7157 -2.9002 -2.9009 -2.8148 -2.6708 -2.4938 -2.3802 -2.2776 -2.1690
 -2.0646 -1.9663 -1.8742 -1.7904 -1.7153 -1.5564 -1.4487 -1.3789 -1.3344
 -2.7327 -2.6455 -2.5732 -2.5322 -2.5239 -2.4890 -2.4033 -2.2991 -2.1977 -2.0994
 -2.0040 -1.9136 -1.8299 -1.7538 -1.6853 -1.5457 -1.4466 -1.3812 -1.3400 -1.3140
 -2.6051 -2.5222 -2.4395 -2.3653 -2.3066 -2.2770 -2.2605 -2.2140 -2.1372 -2.0481
 -1.9610 -1.8775 -1.7995 -1.7285 -1.6649 -1.5361 -1.4458 -1.3875 -1.3514 -1.3285
 -1.3142
 -2.4900 -2.4228 -2.3470 -2.2706 -2.1999 -2.1383 -2.0916 -2.0655 -2.0384 -1.9891
 -1.9210 -1.8472 -1.7759 -1.7099 -1.6503 -1.5297 -1.4459 -1.3934 -1.3619 -1.3423
 -1.3298 -1.3224
 -2.3750 -2.3275 -2.2668 -2.1985 -2.1294 -2.0645 -2.0062 -1.9557 -1.9189 -1.8885
 -1.8539 -1.8064 -1.7504 -1.6924 -1.6376 -1.5245 -1.4454 -1.3975 -1.3704 -1.3546
 -1.3448 -1.3390 -1.3363 -1.3366
 -2.2590 -2.2277 -2.1853 -2.1311 -2.0706 -2.0091 -1.9509 -1.8976 -1.8498 -1.8081
 -1.7733 -1.7411 -1.7048 -1.6635 -1.6200 -1.5182 -1.4430 -1.3981 -1.3748 -1.3639
 -1.3578 -1.3547 -1.3539 -1.3550 -1.3570 -1.3609 -1.3683 -1.3802 -1.3975 -1.4207
 -2.1445 -2.1250 -2.0976 -2.0589 -2.0112 -1.9583 -1.9044 -1.8529 -1.8058 -1.7624
 -1.7225 -1.6866 -1.6541 -1.6224 -1.5894 -1.5070 -1.4379 -1.3937 -1.3738 -1.3680
 -1.3671 -1.3680 -1.3702 -1.3735 -1.3776 -1.3814 -1.3868 -1.3961 -1.4109 -1.4323
 -1.4596
 -2.0341 -2.0227 -2.0052 -1.9792 -1.9450 -1.9040 -1.8585 -1.8117 -1.7671 -1.7258
 -1.6876 -1.6518 -1.6182 -1.5871 -1.5577 -1.4886 -1.4291 -1.3871 -1.3680 -1.3657
 -1.3704 -1.3767 -1.3833 -1.3900 -1.3969 -1.4038 -1.4098 -1.4171 -1.4285 -1.4461
 -1.4712
 -1.9303 -1.9241 -1.9124 -1.8937 -1.8709 -1.8414 -1.8067 -1.7680 -1.7283 -1.6899
 -1.6544 -1.6214 -1.5902 -1.5604 -1.5319 -1.4683 -1.4161 -1.3784 -1.3589 -1.3579
 -1.3669 -1.3790 -1.3913 -1.4029 -1.4138 -1.4239 -1.4337 -1.4435 -1.4553 -1.4694
 -1.4855
 -1.8356 -1.8324 -1.8240 -1.8110 -1.7937 -1.7726 -1.7478 -1.7187 -1.6868 -1.6534
 -1.6211 -1.5910 -1.5631 -1.5362 -1.5103 -1.4512 -1.4028 -1.3681 -1.3492 -1.3473
 -1.3576 -1.3739 -1.3918 -1.4092 -1.4254 -1.4400 -1.4536 -1.4663 -1.4787 -1.4917
 -1.5056
 -1.7509 -1.7476 -1.7406 -1.7303 -1.7171 -1.7011 -1.6828 -1.6621 -1.6385 -1.6124
 -1.5851 -1.5585 -1.5336 -1.5104 -1.4882 -1.4356 -1.3902 -1.3577 -1.3399 -1.3366
 -1.3461 -1.3637 -1.3854 -1.4082 -1.4301 -1.4504 -1.4689 -1.4859 -1.5015 -1.5167
 -1.5322
 -1.6715 -1.6586 -1.6492 -1.6415 -1.6339 -1.6251 -1.6140 -1.5999 -1.5833 -1.5645
 -1.5441 -1.5226 -1.5013 -1.4813 -1.4626 -1.4188 -1.3782 -1.3474 -1.3304
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -3.0206 -3.0188 -2.9789 -2.8546 -2.7005 -2.5478 -2.4168 -2.3073 -2.2070 -2.1108
 -2.0186 -1.9310 -1.8485 -1.7716 -1.7009 -1.5515 -1.4428 -1.3688 -1.3230
 -2.8329 -2.7494 -2.7162 -2.7093 -2.6297 -2.5003 -2.3693 -2.2570 -2.1584 -2.0657
 -1.9775 -1.8938 -1.8153 -1.7429 -1.6767 -1.5401 -1.4408 -1.3737 -1.3313 -1.3049
 -2.7197 -2.6209 -2.5329 -2.4705 -2.4524 -2.4217 -2.3301 -2.2205 -2.1218 -2.0329
 -1.9487 -1.8688 -1.7940 -1.7250 -1.6623 -1.5337 -1.4412 -1.3792 -1.3412 -1.3179
 -1.3035
 -2.6257 -2.5361 -2.4428 -2.3530 -2.2798 -2.2351 -2.2149 -2.1713 -2.0907 -2.0061
 -1.9261 -1.8503 -1.7790 -1.7132 -1.6532 -1.5307 -1.4429 -1.3847 -1.3501 -1.3299
 -1.3175 -1.3103
 -2.5342 -2.4615 -2.3776 -2.2912 -2.2095 -2.1354 -2.0760 -2.0363 -2.0104 -1.9661
 -1.9025 -1.8333 -1.7662 -1.7035 -1.6462 -1.5287 -1.4445 -1.3890 -1.3571 -1.3401
 -1.3306 -1.3253 -1.3232 -1.3246
 -2.4429 -2.3845 -2.3162 -2.2391 -2.1603 -2.0850 -2.0152 -1.9531 -1.9038 -1.8704
 -1.8406 -1.7999 -1.7482 -1.6923 -1.6385 -1.5258 -1.4446 -1.3909 -1.3612 -1.3477
 -1.3418 -1.3394 -1.3393 -1.3412 -1.3441 -1.3491 -1.3576 -1.3708 -1.3893 -1.4130
 -2.3447 -2.3016 -2.2492 -2.1863 -2.1166 -2.0457 -1.9775 -1.9137 -1.8554 -1.8051
 -1.7646 -1.7328 -1.7013 -1.6645 -1.6230 -1.5208 -1.4425 -1.3900 -1.3615 -1.3510
 -1.3495 -1.3511 -1.3542 -1.3584 -1.3636 -1.3688 -1.3757 -1.3863 -1.4021 -1.4241
 -1.4520
 -2.2471 -2.2131 -2.1752 -2.1263 -2.0695 -2.0072 -1.9441 -1.8830 -1.8257 -1.7727
 -1.7254 -1.6844 -1.6498 -1.6195 -1.5892 -1.5095 -1.4374 -1.3863 -1.3580 -1.3493
 -1.3521 -1.3586 -1.3661 -1.3738 -1.3817 -1.3882 -1.3951 -1.4045 -1.4181 -1.4375
 -1.4634
 -2.1544 -2.1249 -2.0950 -2.0580 -2.0133 -1.9626 -1.9079 -1.8520 -1.7978 -1.7467
 -1.6995 -1.6568 -1.6184 -1.5844 -1.5545 -1.4874 -1.4269 -1.3794 -1.3514 -1.3430
 -1.3487 -1.3603 -1.3732 -1.3856 -1.3975 -1.4087 -1.4199 -1.4323 -1.4461 -1.4611
 -1.4771
 -2.0712 -2.0430 -2.0161 -1.9854 -1.9510 -1.9108 -1.8662 -1.8183 -1.7696 -1.7218
 -1.6768 -1.6355 -1.5976 -1.5630 -1.5316 -1.4661 -1.4125 -1.3703 -1.3433 -1.3340
 -1.3402 -1.3552 -1.3732 -1.3913 -1.4083 -1.4240 -1.4388 -1.4528 -1.4666 -1.4811
 -1.4963
 -2.0032 -1.9686 -1.9404 -1.9127 -1.8853 -1.8527 -1.8168 -1.7777 -1.7364 -1.6941
 -1.6525 -1.6135 -1.5775 -1.5445 -1.5140 -1.4489 -1.3977 -1.3592 -1.3342 -1.3242
 -1.3293 -1.3452 -1.3667 -1.3899 -1.4125 -1.4337 -1.4534 -1.4715 -1.4885 -1.5051
 -1.5219
 -1.9467 -1.9018 -1.8679 -1.8409 -1.8165 -1.7909 -1.7621 -1.7303 -1.6964 -1.6608
 -1.6245 -1.5890 -1.5553 -1.5244 -1.4959 -1.4343 -1.3847 -1.3479 -1.3245
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  G   
 -3.2058 -3.1334 -2.9661 -2.7847 -2.6056 -2.4512 -2.3361 -2.2380 -2.1459 -2.0582
