 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.9398 -4.8725 -5.0721 -5.0014 -4.8063 -4.5487 -4.2668 -4.0740 -3.9009 -3.7227
 -3.5552 -3.4005 -3.2585 -3.1264 -3.0028 -2.7392 -2.4830 -2.2417 -2.0998
 -4.9328 -4.7048 -4.5220 -4.3993 -4.3298 -4.2277 -4.0607 -3.8759 -3.7033 -3.5396
 -3.3844 -3.2398 -3.1063 -2.9831 -2.8685 -2.6134 -2.3976 -2.2242 -2.0930 -1.9930
 -4.7212 -4.4959 -4.2950 -4.1249 -3.9879 -3.8963 -3.8235 -3.7099 -3.5629 -3.4079
 -3.2627 -3.1272 -3.0018 -2.8864 -2.7801 -2.5486 -2.3580 -2.2046 -2.0868 -1.9961
 -1.9238
 -4.5534 -4.3464 -4.1503 -3.9738 -3.8193 -3.6859 -3.5765 -3.4956 -3.4124 -3.3008
 -3.1719 -3.0449 -2.9269 -2.8180 -2.7176 -2.5017 -2.3287 -2.1919 -2.0853 -2.0026
 -1.9359 -1.8802
 -4.4102 -4.2245 -4.0425 -3.8709 -3.7153 -3.5764 -3.4528 -3.3435 -3.2546 -3.1734
 -3.0843 -2.9801 -2.8720 -2.7690 -2.6738 -2.4691 -2.3076 -2.1826 -2.0860 -2.0106
 -1.9494 -1.8978 -1.8532 -1.8142
 -4.2867 -4.1169 -3.9525 -3.7912 -3.6399 -3.5018 -3.3775 -3.2653 -3.1644 -3.0737
 -2.9916 -2.9108 -2.8234 -2.7319 -2.6422 -2.4466 -2.2925 -2.1750 -2.0860 -2.0178
 -1.9624 -1.9155 -1.8746 -1.8381 -1.8035 -1.7723 -1.7465 -1.7276 -1.7168 -1.7148
 -4.1831 -4.0230 -3.8710 -3.7231 -3.5791 -3.4446 -3.3215 -3.2101 -3.1098 -3.0180
 -2.9325 -2.8519 -2.7743 -2.6962 -2.6168 -2.4308 -2.2816 -2.1677 -2.0839 -2.0216
 -1.9724 -1.9310 -1.8948 -1.8621 -1.8322 -1.8034 -1.7773 -1.7564 -1.7422 -1.7365
 -1.7409
 -4.0993 -3.9440 -3.7983 -3.6599 -3.5259 -3.3968 -3.2762 -3.1659 -3.0665 -2.9764
 -2.8930 -2.8140 -2.7377 -2.6641 -2.5918 -2.4199 -2.2742 -2.1621 -2.0799 -2.0212
 -1.9774 -1.9420 -1.9113 -1.8836 -1.8580 -1.8337 -1.8094 -1.7876 -1.7712 -1.7625
 -1.7630
 -4.0355 -3.8811 -3.7372 -3.5990 -3.4740 -3.3524 -3.2360 -3.1272 -3.0283 -2.9388
 -2.8572 -2.7813 -2.7086 -2.6379 -2.5688 -2.4073 -2.2678 -2.1571 -2.0746 -2.0167
 -1.9762 -1.9462 -1.9217 -1.9000 -1.8797 -1.8602 -1.8415 -1.8237 -1.8089 -1.7974
 -1.7888
 -3.9916 -3.8354 -3.6902 -3.5549 -3.4288 -3.3111 -3.2005 -3.0948 -2.9964 -2.9068
 -2.8258 -2.7517 -2.6823 -2.6150 -2.5496 -2.3966 -2.2626 -2.1539 -2.0711 -2.0121
 -1.9719 -1.9448 -1.9254 -1.9098 -1.8958 -1.8822 -1.8687 -1.8554 -1.8425 -1.8311
 -1.8207
 -3.9635 -3.8029 -3.6547 -3.5176 -3.3908 -3.2734 -3.1647 -3.0634 -2.9674 -2.8779
 -2.7964 -2.7227 -2.6551 -2.5917 -2.5307 -2.3858 -2.2567 -2.1502 -2.0679 -2.0077
 -1.9665 -1.9396 -1.9229 -1.9122 -1.9043 -1.8971 -1.8899 -1.8822 -1.8741 -1.8662
 -1.8594
 -3.9344 -3.7640 -3.6119 -3.4749 -3.3505 -3.2361 -3.1297 -3.0300 -2.9366 -2.8496
 -2.7690 -2.6949 -2.6277 -2.5660 -2.5080 -2.3729 -2.2497 -2.1458 -2.0642
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.3107 -5.2176 -5.0804 -4.8315 -4.5526 -4.2891 -4.0664 -3.8788 -3.7078 -3.5466
 -3.3944 -3.2528 -3.1224 -3.0023 -2.8914 -2.6525 -2.4384 -2.2445 -2.1019
 -4.9808 -4.7675 -4.6463 -4.5702 -4.3951 -4.1597 -3.9343 -3.7427 -3.5748 -3.4184
 -3.2715 -3.1353 -3.0107 -2.8972 -2.7934 -2.5680 -2.3778 -2.2174 -2.0885 -1.9880
 -4.8007 -4.5604 -4.3604 -4.2100 -4.1265 -4.0258 -3.8450 -3.6511 -3.4816 -3.3302
 -3.1884 -3.0568 -2.9364 -2.8269 -2.7275 -2.5147 -2.3404 -2.1965 -2.0808 -1.9895
 -1.9163
 -4.6774 -4.4415 -4.2283 -4.0385 -3.8820 -3.7691 -3.6894 -3.5760 -3.4193 -3.2695
 -3.1319 -3.0047 -2.8878 -2.7814 -2.6848 -2.4797 -2.3152 -2.1829 -2.0776 -1.9941
 -1.9266 -1.8703
 -4.5839 -4.3596 -4.1488 -3.9579 -3.7884 -3.6375 -3.5105 -3.4105 -3.3273 -3.2196
 -3.0938 -2.9697 -2.8558 -2.7521 -2.6576 -2.4573 -2.2989 -2.1741 -2.0767 -2.0001
 -1.9381 -1.8861 -1.8415 -1.8029
 -4.5188 -4.2976 -4.0941 -3.9040 -3.7318 -3.5773 -3.4373 -3.3117 -3.2048 -3.1193
 -3.0368 -2.9395 -2.8343 -2.7327 -2.6399 -2.4431 -2.2881 -2.1679 -2.0760 -2.0055
 -1.9492 -1.9020 -1.8612 -1.8251 -1.7918 -1.7623 -1.7379 -1.7197 -1.7088 -1.7066
 -4.4641 -4.2494 -4.0534 -3.8672 -3.6946 -3.5388 -3.3982 -3.2703 -3.1540 -3.0510
 -2.9617 -2.8829 -2.8024 -2.7157 -2.6277 -2.4338 -2.2808 -2.1628 -2.0742 -2.0083
 -1.9576 -1.9158 -1.8797 -1.8475 -1.8183 -1.7902 -1.7651 -1.7454 -1.7329 -1.7287
 -1.7325
 -4.4254 -4.2129 -4.0233 -3.8415 -3.6705 -3.5130 -3.3713 -3.2435 -3.1273 -3.0212
 -2.9254 -2.8391 -2.7610 -2.6869 -2.6116 -2.4273 -2.2754 -2.1583 -2.0710 -2.0078
 -1.9618 -1.9256 -1.8949 -1.8677 -1.8427 -1.8175 -1.7939 -1.7741 -1.7601 -1.7532
 -1.7544
 -4.4084 -4.1906 -4.0005 -3.8227 -3.6540 -3.4962 -3.3522 -3.2224 -3.1058 -3.0001
 -2.9038 -2.8159 -2.7349 -2.6597 -2.5888 -2.4196 -2.2701 -2.1531 -2.0660 -2.0037
 -1.9604 -1.9292 -1.9044 -1.8830 -1.8633 -1.8447 -1.8271 -1.8118 -1.7989 -1.7883
 -1.7796
 -4.4170 -4.1855 -3.9902 -3.8147 -3.6483 -3.4913 -3.3449 -3.2118 -3.0925 -2.9854
 -2.8889 -2.8012 -2.7204 -2.6450 -2.5739 -2.4118 -2.2681 -2.1507 -2.0625 -1.9993
 -1.9563 -1.9277 -1.9077 -1.8922 -1.8787 -1.8658 -1.8534 -1.8412 -1.8297 -1.8196
 -1.8106
