 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.2418 -1.2478 -1.4327 -1.4550 -1.3998 -1.3002 -1.1686 -1.0908 -1.0203 -0.9455
 -0.8751 -0.8092 -0.7487 -0.6954 -0.6510 -0.5623 -0.5429 -0.5775 -0.6088
 -1.2632 -1.2141 -1.1768 -1.1655 -1.1813 -1.1748 -1.1252 -1.0585 -0.9928 -0.9292
 -0.8680 -0.8107 -0.7589 -0.7136 -0.6752 -0.6101 -0.5882 -0.5989 -0.6266 -0.6621
 -1.1640 -1.1212 -1.0775 -1.0403 -1.0153 -1.0141 -1.0241 -1.0100 -0.9693 -0.9165
 -0.8637 -0.8128 -0.7662 -0.7252 -0.6905 -0.6313 -0.6104 -0.6212 -0.6491 -0.6844
 -0.7235
 -1.0696 -1.0425 -1.0064 -0.9690 -0.9355 -0.9085 -0.8930 -0.8947 -0.8972 -0.8823
 -0.8500 -0.8099 -0.7696 -0.7330 -0.7017 -0.6478 -0.6280 -0.6386 -0.6669 -0.7024
 -0.7412 -0.7824
 -0.9686 -0.9616 -0.9403 -0.9111 -0.8803 -0.8519 -0.8274 -0.8082 -0.8004 -0.7991
 -0.7963 -0.7833 -0.7610 -0.7335 -0.7066 -0.6583 -0.6400 -0.6509 -0.6798 -0.7165
 -0.7559 -0.7973 -0.8403 -0.8849
 -0.8598 -0.8706 -0.8678 -0.8524 -0.8302 -0.8060 -0.7831 -0.7624 -0.7449 -0.7321
 -0.7259 -0.7236 -0.7193 -0.7106 -0.6980 -0.6621 -0.6459 -0.6571 -0.6869 -0.7261
 -0.7674 -0.8098 -0.8535 -0.8984 -0.9444 -0.9921 -1.0416 -1.0935 -1.1480 -1.2051
 -0.7453 -0.7704 -0.7842 -0.7849 -0.7755 -0.7601 -0.7423 -0.7248 -0.7088 -0.6944
 -0.6826 -0.6745 -0.6705 -0.6683 -0.6657 -0.6547 -0.6452 -0.6553 -0.6872 -0.7300
 -0.7747 -0.8194 -0.8644 -0.9103 -0.9568 -1.0033 -1.0512 -1.1017 -1.1561 -1.2144
 -1.2742
 -0.6271 -0.6638 -0.6904 -0.7054 -0.7104 -0.7073 -0.6984 -0.6868 -0.6748 -0.6633
 -0.6529 -0.6440 -0.6372 -0.6334 -0.6318 -0.6327 -0.6363 -0.6493 -0.6812 -0.7268
 -0.7761 -0.8247 -0.8724 -0.9198 -0.9675 -1.0155 -1.0635 -1.1128 -1.1648 -1.2206
 -1.2810
 -0.5075 -0.5534 -0.5897 -0.6157 -0.6340 -0.6434 -0.6461 -0.6435 -0.6380 -0.6311
