 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -6.2282 -6.1413 -6.3551 -6.2777 -6.0561 -5.7627 -5.4391 -5.2175 -5.0150 -4.8091
 -4.6196 -4.4448 -4.2827 -4.1297 -3.9837 -3.6705 -3.3592 -3.0859 -2.9073
 -6.2062 -5.9394 -5.7283 -5.5852 -5.5002 -5.3796 -5.1870 -4.9725 -4.7704 -4.5788
 -4.3987 -4.2315 -4.0775 -3.9350 -3.8022 -3.5046 -3.2508 -3.0469 -2.8935 -2.7770
 -5.9570 -5.6918 -5.4610 -5.2672 -5.1094 -4.9993 -4.9082 -4.7706 -4.5959 -4.4132
 -4.2428 -4.0848 -3.9394 -3.8061 -3.6836 -3.4173 -3.1975 -3.0205 -2.8849 -2.7802
 -2.6962
 -5.7616 -5.5145 -5.2881 -5.0882 -4.9129 -4.7586 -4.6284 -4.5277 -4.4224 -4.2848
 -4.1302 -3.9805 -3.8426 -3.7163 -3.6007 -3.3548 -3.1587 -3.0036 -2.8823 -2.7877
 -2.7105 -2.6451
 -5.5973 -5.3726 -5.1595 -4.9645 -4.7898 -4.6320 -4.4881 -4.3578 -4.2484 -4.1459
 -4.0336 -3.9059 -3.7765 -3.6555 -3.5452 -3.3123 -3.1312 -2.9912 -2.8827 -2.7972
 -2.7266 -2.6659 -2.6124 -2.5649
 -5.4579 -5.2504 -5.0550 -4.8692 -4.6992 -4.5446 -4.4028 -4.2713 -4.1501 -4.0388
 -3.9366 -3.8356 -3.7277 -3.6168 -3.5101 -3.2848 -3.1124 -2.9818 -2.8827 -2.8058
 -2.7420 -2.6867 -2.6375 -2.5927 -2.5497 -2.5103 -2.4769 -2.4514 -2.4353 -2.4293
 -5.3426 -5.1463 -4.9638 -4.7904 -4.6265 -4.4763 -4.3385 -4.2107 -4.0922 -3.9808
 -3.8757 -3.7765 -3.6809 -3.5851 -3.4888 -3.2690 -3.1000 -2.9735 -2.8805 -2.8107
 -2.7542 -2.7052 -2.6613 -2.6207 -2.5828 -2.5459 -2.5120 -2.4839 -2.4635 -2.4528
 -2.4535
 -5.2506 -5.0604 -4.8848 -4.7206 -4.5655 -4.4196 -4.2851 -4.1613 -4.0466 -3.9389
 -3.8370 -3.7397 -3.6462 -3.5563 -3.4685 -3.2627 -3.0940 -2.9681 -2.8767 -2.8108
 -2.7606 -2.7186 -2.6810 -2.6460 -2.6129 -2.5810 -2.5490 -2.5197 -2.4964 -2.4818
 -2.4774
 -5.1812 -4.9930 -4.8196 -4.6558 -4.5088 -4.3692 -4.2379 -4.1164 -4.0049 -3.9009
 -3.8025 -3.7091 -3.6195 -3.5329 -3.4489 -3.2548 -3.0910 -2.9646 -2.8719 -2.8068
 -2.7603 -2.7245 -2.6940 -2.6658 -2.6387 -2.6120 -2.5860 -2.5610 -2.5393 -2.5212
 -2.5064
 -5.1336 -4.9442 -4.7699 -4.6094 -4.4613 -4.3248 -4.1982 -4.0790 -3.9686 -3.8671
 -3.7723 -3.6824 -3.5967 -3.5137 -3.4336 -3.2483 -3.0897 -2.9638 -2.8697 -2.8029
 -2.7567 -2.7242 -2.6996 -2.6786 -2.6585 -2.6384 -2.6182 -2.5979 -2.5781 -2.5599
 -2.5429
 -5.1033 -4.9103 -4.7334 -4.5711 -4.4222 -4.2855 -4.1601 -4.0444 -3.9358 -3.8350
 -3.7421 -3.6553 -3.5730 -3.4943 -3.4185 -3.2411 -3.0871 -2.9625 -2.8679 -2.7993
