 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -8.9163 -8.8936 -9.0669 -9.0519 -8.9563 -8.7928 -8.5995 -8.4535 -8.3280 -8.1905
 -8.0536 -7.9154 -7.7791 -7.6493 -7.5295 -7.2355 -6.8754 -6.3573 -6.0198
 -8.8656 -8.7680 -8.6859 -8.6364 -8.6206 -8.5765 -8.4773 -8.3537 -8.2256 -8.0952
 -7.9612 -7.8265 -7.6945 -7.5663 -7.4391 -7.0900 -6.6535 -6.2129 -5.8679 -5.6225
 -8.6917 -8.6032 -8.5133 -8.4310 -8.3633 -8.3245 -8.2985 -8.2394 -8.1428 -8.0243
 -7.8961 -7.7592 -7.6191 -7.4783 -7.3354 -6.9463 -6.4904 -6.0470 -5.7116 -5.4828
 -5.3319
 -8.5314 -8.4642 -8.3845 -8.3018 -8.2225 -8.1492 -8.0876 -8.0458 -8.0015 -7.9291
 -7.8257 -7.6969 -7.5492 -7.3923 -7.2312 -6.8067 -6.3469 -5.9174 -5.5810 -5.3639
 -5.2248 -5.1388
 -8.3685 -8.3283 -8.2677 -8.1950 -8.1185 -8.0422 -7.9661 -7.8910 -7.8252 -7.7634
 -7.6947 -7.6009 -7.4745 -7.3170 -7.1422 -6.6929 -6.2385 -5.8151 -5.4811 -5.2665
 -5.1327 -5.0514 -5.0057 -4.9829
 -8.2039 -8.1843 -8.1483 -8.0923 -8.0254 -7.9533 -7.8785 -7.7990 -7.7135 -7.6245
 -7.5387 -7.4529 -7.3524 -7.2255 -7.0697 -6.6175 -6.1714 -5.7552 -5.4175 -5.1923
 -5.0553 -4.9736 -4.9278 -4.9066 -4.9030 -4.9102 -4.9225 -4.9352 -4.9444 -4.9477
 -8.0439 -8.0373 -8.0219 -7.9847 -7.9319 -7.8691 -7.7996 -7.7245 -7.6409 -7.5456
 -7.4416 -7.3351 -7.2281 -7.1138 -6.9820 -6.5744 -6.1411 -5.7363 -5.3916 -5.1460
 -4.9939 -4.9052 -4.8557 -4.8317 -4.8258 -4.8321 -4.8456 -4.8623 -4.8789 -4.8923
 -4.8994
 -7.8947 -7.8958 -7.8909 -7.8702 -7.8335 -7.7827 -7.7218 -7.6536 -7.5774 -7.4890
 -7.3861 -7.2722 -7.1522 -7.0305 -6.9042 -6.5406 -6.1322 -5.7431 -5.3965 -5.1299
 -4.9537 -4.8486 -4.7900 -4.7604 -4.7507 -4.7547 -4.7675 -4.7853 -4.8049 -4.8236
 -4.8397
 -7.7627 -7.7682 -7.7663 -7.7501 -7.7297 -7.6930 -7.6425 -7.5819 -7.5132 -7.4345
 -7.3420 -7.2339 -7.1134 -6.9859 -6.8550 -6.5106 -6.1293 -5.7542 -5.4158 -5.1359
