 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.2732 -5.2064 -5.4068 -5.3360 -5.1415 -4.8852 -4.6051 -4.4135 -4.2415 -4.0648
 -3.8986 -3.7456 -3.6046 -3.4743 -3.3521 -3.0912 -2.8401 -2.6078 -2.4718
 -5.2671 -5.0405 -4.8589 -4.7370 -4.6682 -4.5668 -4.4009 -4.2175 -4.0463 -3.8843
 -3.7308 -3.5878 -3.4559 -3.3342 -3.2213 -2.9706 -2.7600 -2.5920 -2.4657 -2.3699
 -5.0568 -4.8331 -4.6335 -4.4645 -4.3285 -4.2378 -4.1658 -4.0533 -3.9078 -3.7545
 -3.6112 -3.4775 -3.3539 -3.2402 -3.1356 -2.9084 -2.7225 -2.5742 -2.4610 -2.3741
 -2.3051
 -4.8900 -4.6846 -4.4900 -4.3147 -4.1613 -4.0290 -3.9208 -3.8410 -3.7591 -3.6491
 -3.5220 -3.3969 -3.2809 -3.1738 -3.0752 -2.8636 -2.6950 -2.5629 -2.4606 -2.3814
 -2.3177 -2.2646
 -4.7476 -4.5636 -4.3831 -4.2127 -4.0583 -3.9205 -3.7982 -3.6903 -3.6028 -3.5230
 -3.4356 -3.3333 -3.2272 -3.1262 -3.0329 -2.8324 -2.6751 -2.5544 -2.4619 -2.3901
 -2.3317 -2.2825 -2.2400 -2.2031
 -4.6250 -4.4568 -4.2938 -4.1338 -3.9837 -3.8467 -3.7236 -3.6128 -3.5133 -3.4243
 -3.3438 -3.2647 -3.1792 -3.0897 -3.0020 -2.8108 -2.6608 -2.5473 -2.4623 -2.3976
 -2.3449 -2.3003 -2.2615 -2.2269 -2.1942 -2.1648 -2.1407 -2.1235 -2.1144 -2.1140
 -4.5222 -4.3637 -4.2130 -4.0664 -3.9236 -3.7902 -3.6682 -3.5580 -3.4591 -3.3689
 -3.2851 -3.2063 -3.1304 -3.0542 -2.9767 -2.7953 -2.6501 -2.5401 -2.4602 -2.4015
 -2.3551 -2.3160 -2.2817 -2.2509 -2.2226 -2.1953 -2.1707 -2.1513 -2.1388 -2.1348
 -2.1406
 -4.4393 -4.2854 -4.1410 -4.0037 -3.8709 -3.7430 -3.6234 -3.5142 -3.4161 -3.3274
 -3.2457 -3.1685 -3.0940 -3.0221 -2.9516 -2.7842 -2.6426 -2.5343 -2.4560 -2.4008
 -2.3600 -2.3270 -2.2983 -2.2722 -2.2482 -2.2254 -2.2025 -2.1821 -2.1671 -2.1598
 -2.1618
 -4.3763 -4.2232 -4.0805 -3.9433 -3.8195 -3.6990 -3.5837 -3.4759 -3.3781 -3.2900
 -3.2099 -3.1357 -3.0648 -2.9959 -2.9286 -2.7713 -2.6359 -2.5290 -2.4502 -2.3960
 -2.3587 -2.3312 -2.3087 -2.2887 -2.2700 -2.2518 -2.2344 -2.2179 -2.2044 -2.1941
 -2.1867
 -4.3333 -4.1782 -4.0341 -3.8999 -3.7748 -3.6581 -3.5485 -3.4439 -3.3466 -3.2581
 -3.1784 -3.1059 -3.0382 -2.9727 -2.9090 -2.7603 -2.6303 -2.5254 -2.4462 -2.3908
 -2.3539 -2.3294 -2.3123 -2.2986 -2.2861 -2.2738 -2.2616 -2.2494 -2.2376 -2.2272
 -2.2180
 -4.3062 -4.1465 -3.9992 -3.8631 -3.7372 -3.6208 -3.5131 -3.4128 -3.3178 -3.2294
 -3.1491 -3.0767 -3.0107 -2.9489 -2.8897 -2.7491 -2.6239 -2.5213 -2.4426 -2.3858
 -2.3478 -2.3238 -2.3095 -2.3008 -2.2945 -2.2887 -2.2828 -2.2761 -2.2691 -2.2622
 -2.2563
 -4.2782 -4.1085 -3.9571 -3.8211 -3.6975 -3.5839 -3.4785 -3.3797 -3.2873 -3.2014
 -3.1219 -3.0490 -2.9830 -2.9229 -2.8666 -2.7357 -2.6166 -2.5165 -2.4384
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.6442 -5.5519 -5.4156 -5.1678 -4.8902 -4.6281 -4.4069 -4.2207 -4.0511 -3.8914
 -3.7406 -3.6004 -3.4713 -3.3525 -3.2428 -3.0069 -2.7971 -2.6095 -2.4723
 -5.3162 -5.1042 -4.9840 -4.9085 -4.7343 -4.5002 -4.2763 -4.0863 -3.9200 -3.7652
 -3.6199 -3.4853 -3.3622 -3.2500 -3.1477 -2.9260 -2.7400 -2.5844 -2.4603 -2.3640
 -5.1373 -4.8986 -4.6998 -4.5504 -4.4676 -4.3677 -4.1882 -3.9959 -3.8281 -3.6785
 -3.5384 -3.4087 -3.2899 -3.1820 -3.0841 -2.8751 -2.7047 -2.5653 -2.4540 -2.3667
 -2.2969
 -5.0148 -4.7806 -4.5688 -4.3801 -4.2246 -4.1126 -4.0339 -3.9218 -3.7667 -3.6187
 -3.4830 -3.3577 -3.2426 -3.1380 -3.0430 -2.8418 -2.6812 -2.5530 -2.4518 -2.3721
 -2.3078 -2.2542
 -4.9218 -4.6993 -4.4900 -4.3003 -4.1318 -3.9820 -3.8560 -3.7572 -3.6753 -3.5692
 -3.4453 -3.3232 -3.2113 -3.1095 -3.0168 -2.8207 -2.6660 -2.5451 -2.4516 -2.3786
 -2.3197 -2.2703 -2.2279 -2.1914
 -4.8569 -4.6377 -4.4357 -4.2469 -4.0758 -3.9223 -3.7834 -3.6591 -3.5535 -3.4694
 -3.3885 -3.2932 -3.1899 -3.0903 -2.9995 -2.8071 -2.6560 -2.5394 -2.4513 -2.3843
 -2.3310 -2.2863 -2.2476 -2.2135 -2.1821 -2.1543 -2.1317 -2.1153 -2.1062 -2.1057
 -4.8025 -4.5897 -4.3954 -4.2105 -4.0392 -3.8843 -3.7448 -3.6180 -3.5030 -3.4015
 -3.3137 -3.2365 -3.1579 -3.0732 -2.9872 -2.7979 -2.6489 -2.5345 -2.4495 -2.3872
 -2.3395 -2.3002 -2.2662 -2.2359 -2.2084 -2.1820 -2.1585 -2.1403 -2.1294 -2.1268
 -2.1322
 -4.7642 -4.5534 -4.3654 -4.1851 -4.0154 -3.8590 -3.7183 -3.5914 -3.4764 -3.3716
 -3.2774 -3.1929 -3.1165 -3.0441 -2.9707 -2.7911 -2.6434 -2.5299 -2.4462 -2.3865
 -2.3436 -2.3100 -2.2814 -2.2560 -2.2327 -2.2091 -2.1868 -2.1684 -2.1558 -2.1504
 -2.1532
 -4.7478 -4.5314 -4.3428 -4.1664 -3.9991 -3.8424 -3.6995 -3.5707 -3.4551 -3.3506
 -3.2558 -3.1695 -3.0902 -3.0168 -2.9476 -2.7829 -2.6377 -2.5245 -2.4409 -2.3821
 -2.3420 -2.3135 -2.2909 -2.2714 -2.2533 -2.2361 -2.2199 -2.2060 -2.1944 -2.1850
 -2.1775
 -4.7570 -4.5268 -4.3328 -4.1586 -3.9935 -3.8377 -3.6925 -3.5604 -3.4421 -3.3361
 -3.2407 -3.1545 -3.0754 -3.0017 -2.9324 -2.7745 -2.6351 -2.5216 -2.4369 -2.3771
 -2.3374 -2.3117 -2.2941 -2.2806 -2.2686 -2.2571 -2.2460 -2.2350 -2.2247 -2.2157
 -2.2078
 -4.7861 -4.5401 -4.3370 -4.1597 -3.9950 -3.8402 -3.6946 -3.5592 -3.4365 -3.3268
 -3.2289 -3.1413 -3.0622 -2.9894 -2.9211 -2.7661 -2.6313 -2.5195 -2.4337 -2.3722
 -2.3313 -2.3059 -2.2911 -2.2825 -2.2766 -2.2715 -2.2665 -2.2610 -2.2552 -2.2496
 -2.2450
 -4.8295 -4.5715 -4.3553 -4.1688 -4.0025 -3.8483 -3.7029 -3.5664 -3.4396 -3.3246
 -3.2222 -3.1312 -3.0501 -2.9769 -2.9096 -2.7584 -2.6268 -2.5169 -2.4308
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.8455 -5.6473 -5.3260 -5.0020 -4.6975 -4.4379 -4.2378 -4.0638 -3.9031 -3.7547
 -3.6155 -3.4856 -3.3657 -3.2556 -3.1547 -2.9374 -2.7557 -2.5984 -2.4660
 -5.3926 -5.2968 -5.1824 -4.9194 -4.6333 -4.3694 -4.1507 -3.9719 -3.8116 -3.6654
 -3.5286 -3.4016 -3.2848 -3.1784 -3.0818 -2.8773 -2.7107 -2.5701 -2.4520 -2.3561
 -5.2106 -4.9775 -4.8442 -4.7738 -4.5846 -4.3362 -4.1058 -3.9144 -3.7528 -3.6083
 -3.4742 -3.3497 -3.2353 -3.1311 -3.0369 -2.8394 -2.6814 -2.5513 -2.4440 -2.3566
 -2.2860
 -5.1265 -4.8637 -4.6461 -4.4848 -4.3934 -4.2861 -4.0896 -3.8881 -3.7172 -3.5722
 -3.4405 -3.3183 -3.2058 -3.1032 -3.0104 -2.8166 -2.6635 -2.5399 -2.4401 -2.3596
 -2.2944 -2.2402
 -5.0789 -4.8131 -4.5773 -4.3739 -4.2054 -4.0774 -3.9892 -3.8686 -3.7038 -3.5504
 -3.4194 -3.2994 -3.1887 -3.0874 -2.9955 -2.8036 -2.6531 -2.5334 -2.4387 -2.3637
 -2.3036 -2.2536 -2.2110 -2.1737
 -5.0564 -4.7898 -4.5484 -4.3335 -4.1439 -3.9800 -3.8425 -3.7332 -3.6449 -3.5345
 -3.4075 -3.2883 -3.1788 -3.0788 -2.9877 -2.7966 -2.6470 -2.5295 -2.4382 -2.3675
 -2.3122 -2.2668 -2.2281 -2.1945 -2.1643 -2.1380 -2.1169 -2.1015 -2.0929 -2.0929
 -5.0561 -4.7872 -4.5415 -4.3207 -4.1245 -3.9517 -3.7984 -3.6619 -3.5447 -3.4499
 -3.3659 -3.2740 -3.1732 -3.0744 -2.9837 -2.7930 -2.6434 -2.5267 -2.4373 -2.3697
 -2.3187 -2.2782 -2.2441 -2.2143 -2.1878 -2.1632 -2.1419 -2.1254 -2.1152 -2.1125
 -2.1189
 -5.0723 -4.8028 -4.5527 -4.3257 -4.1229 -3.9432 -3.7843 -3.6422 -3.5145 -3.4009
 -3.3033 -3.2217 -3.1455 -3.0651 -2.9813 -2.7914 -2.6413 -2.5243 -2.4354 -2.3697
 -2.3219 -2.2861 -2.2571 -2.2322 -2.2097 -2.1894 -2.1698 -2.1529 -2.1410 -2.1361
 -2.1394
 -5.1086 -4.8303 -4.5783 -4.3454 -4.1346 -3.9477 -3.7827 -3.6362 -3.5052 -3.3868
 -3.2808 -3.1879 -3.1070 -3.0344 -2.9643 -2.7890 -2.6384 -2.5206 -2.4316 -2.3665
 -2.3206 -2.2887 -2.2650 -2.2456 -2.2284 -2.2125 -2.1981 -2.1861 -2.1764 -2.1688
 -2.1632
 -5.1698 -4.8800 -4.6197 -4.3844 -4.1668 -3.9705 -3.7970 -3.6440 -3.5085 -3.3872
 -3.2779 -3.1800 -3.0931 -3.0155 -2.9452 -2.7852 -2.6383 -2.5190 -2.4286 -2.3627
 -2.3170 -2.2871 -2.2675 -2.2536 -2.2422 -2.2319 -2.2224 -2.2132 -2.2049 -2.1981
 -2.1941
 -5.2543 -4.9350 -4.6702 -4.4334 -4.2145 -4.0108 -3.8269 -3.6645 -3.5218 -3.3953
 -3.2824 -3.1814 -3.0909 -3.0098 -2.9364 -2.7776 -2.6384 -2.5185 -2.4261 -2.3586
 -2.3118 -2.2820 -2.2648 -2.2552 -2.2494 -2.2451 -2.2415 -2.2376 -2.2337 -2.2301
 -2.2276
 -5.3614 -5.0129 -4.7310 -4.4895 -4.2683 -4.0633 -3.8739 -3.7008 -3.5477 -3.4130
 -3.2941 -3.1886 -3.0944 -3.0102 -2.9343 -2.7722 -2.6362 -2.5190 -2.4246
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.8825 -5.6012 -5.2443 -4.9200 -4.6232 -4.3679 -4.1683 -3.9988 -3.8450 -3.7001
 -3.5653 -3.4396 -3.3233 -3.2165 -3.1186 -2.9082 -2.7356 -2.5880 -2.4603
 -5.4875 -5.4174 -5.1780 -4.8664 -4.5758 -4.3121 -4.0991 -3.9234 -3.7681 -3.6249
