 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F356W
  0.3746  0.3437  0.3119  0.2779  0.2402  0.1971  0.1490  0.0966  0.0405 -0.0181
 -0.0787 -0.1406 -0.2031 -0.2655 -0.3276 -0.4823 -0.6384 -0.7965 -0.9537 -1.1080
 -1.2597 -1.4076 -1.5492 -1.6836 -1.8112 -1.9331 -2.0502 -2.1629 -2.2717 -2.3770
 -2.4812
  0.3069  0.2731  0.2408  0.2091  0.1763  0.1392  0.0976  0.0516  0.0014 -0.0523
 -0.1086 -0.1667 -0.2261 -0.2861 -0.3462 -0.4961 -0.6474 -0.8003 -0.9536 -1.1050
 -1.2542 -1.4010 -1.5436 -1.6801 -1.8097 -1.9330 -2.0508 -2.1638 -2.2726 -2.3777
 -2.4793
  0.2417  0.1996  0.1645  0.1334  0.1035  0.0720  0.0364 -0.0033 -0.0472 -0.0947
 -0.1456 -0.1991 -0.2545 -0.3112 -0.3685 -0.5127 -0.6585 -0.8062 -0.9552
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F356W
  0.8179  0.7943  0.7571  0.7051  0.6447  0.5738  0.4914  0.4055  0.3192  0.2331
  0.1488  0.0663 -0.0144 -0.0937 -0.1717 -0.3616 -0.5449 -0.7213 -0.8897
  0.8190  0.7678  0.7317  0.6854  0.6204  0.5468  0.4660  0.3807  0.2942  0.2075
  0.1223  0.0390 -0.0425 -0.1223 -0.2005 -0.3894 -0.5700 -0.7434 -0.9096 -1.0683
  0.7914  0.7464  0.6967  0.6449  0.5965  0.5266  0.4470  0.3631  0.2772  0.1907
  0.1053  0.0214 -0.0607 -0.1409 -0.2195 -0.4086 -0.5882 -0.7597 -0.9243 -1.0819
 -1.2329
  0.7622  0.7123  0.6605  0.6067  0.5480  0.4934  0.4280  0.3487  0.2646  0.1792
  0.0939  0.0099 -0.0723 -0.1529 -0.2317 -0.4213 -0.6008 -0.7714 -0.9349 -1.0918
 -1.2421 -1.3863
  0.7319  0.6806  0.6259  0.5684  0.5088  0.4470  0.3838  0.3227  0.2506  0.1695
  0.0856  0.0020 -0.0801 -0.1606 -0.2395 -0.4294 -0.6090 -0.7795 -0.9425 -1.0989
 -1.2489 -1.3925 -1.5303 -1.6634
  0.6979  0.6480  0.5936  0.5356  0.4744  0.4107  0.3452  0.2788  0.2134  0.1482
  0.0746 -0.0050 -0.0859 -0.1660 -0.2446 -0.4343 -0.6141 -0.7846 -0.9473 -1.1036
 -1.2536 -1.3972 -1.5346 -1.6667 -1.7944 -1.9183 -2.0385 -2.1553 -2.2688 -2.3786
  0.6579  0.6116  0.5601  0.5039  0.4440  0.3810  0.3151  0.2473  0.1788  0.1108
  0.0441 -0.0242 -0.0961 -0.1716 -0.2485 -0.4372 -0.6168 -0.7872 -0.9499 -1.1062
 -1.2564 -1.4003 -1.5378 -1.6695 -1.7963 -1.9190 -2.0380 -2.1535 -2.2656 -2.3746
 -2.4809
  0.6109  0.5690  0.5222  0.4698  0.4129  0.3523  0.2885  0.2221  0.1537  0.0846
  0.0158 -0.0532 -0.1212 -0.1890 -0.2581 -0.4392 -0.6179 -0.7880 -0.9505 -1.1066
 -1.2572 -1.4018 -1.5398 -1.6718 -1.7983 -1.9202 -2.0381 -2.1524 -2.2633 -2.3712
 -2.4763
  0.5578  0.5191  0.4771  0.4299  0.3774  0.3204  0.2598  0.1962  0.1302  0.0625
 -0.0060 -0.0750 -0.1440 -0.2120 -0.2789 -0.4466 -0.6203 -0.7898 -0.9519 -1.1076
 -1.2582 -1.4038 -1.5430 -1.6757 -1.8027 -1.9245 -2.0421 -2.1559 -2.2660 -2.3729
 -2.4765
  0.5002  0.4641  0.4254  0.3837  0.3369  0.2850  0.2287  0.1690  0.1064  0.0416
 -0.0246 -0.0918 -0.1597 -0.2276 -0.2946 -0.4583 -0.6223 -0.7883 -0.9494 -1.1042
 -1.2542 -1.4000 -1.5405 -1.6747 -1.8026 -1.9249 -2.0426 -2.1558 -2.2653 -2.3713
 -2.4741
  0.4419  0.4035  0.3674  0.3298  0.2886  0.2426  0.1919  0.1370  0.0785  0.0174
 -0.0455 -0.1100 -0.1754 -0.2415 -0.3075 -0.4695 -0.6288 -0.7883 -0.9468 -1.1004
 -1.2491 -1.3943 -1.5354 -1.6712 -1.8007 -1.9242 -2.0426 -2.1562 -2.2656 -2.3714
 -2.4736
  0.3847  0.3429  0.3057  0.2699  0.2324  0.1918  0.1472  0.0981  0.0448 -0.0118
 -0.0709 -0.1320 -0.1943 -0.2576 -0.3214 -0.4800 -0.6361 -0.7911 -0.9454
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F356W
  0.8208  0.7991  0.7615  0.7120  0.6547  0.5846  0.5025  0.4160  0.3287  0.2419
  0.1568  0.0736 -0.0077 -0.0874 -0.1657 -0.3558 -0.5391 -0.7160 -0.8852
  0.8216  0.7818  0.7508  0.6973  0.6313  0.5586  0.4774  0.3915  0.3043  0.2169
  0.1310  0.0470 -0.0352 -0.1156 -0.1943 -0.3842 -0.5653 -0.7389 -0.9055 -1.0646
  0.8050  0.7646  0.7151  0.6770  0.6153  0.5398  0.4591  0.3744  0.2878  0.2007
  0.1145  0.0300 -0.0528 -0.1338 -0.2129 -0.4033 -0.5837 -0.7557 -0.9204 -1.0781
 -1.2293
  0.7775  0.7316  0.6845  0.6325  0.5823  0.5226  0.4449  0.3615  0.2759  0.1897
  0.1036  0.0190 -0.0641 -0.1453 -0.2248 -0.4159 -0.5963 -0.7676 -0.9311 -1.0879
 -1.2383 -1.3826
  0.7511  0.7007  0.6479  0.5935  0.5373  0.4780  0.4199  0.3483  0.2662  0.1813
  0.0961  0.0116 -0.0714 -0.1527 -0.2324 -0.4238 -0.6046 -0.7757 -0.9387 -1.0949
 -1.2448 -1.3885 -1.5264 -1.6596
  0.7232  0.6717  0.6168  0.5592  0.4993  0.4374  0.3741  0.3104  0.2459  0.1715
  0.0897  0.0062 -0.0764 -0.1576 -0.2371 -0.4287 -0.6097 -0.7809 -0.9437 -1.0996
 -1.2492 -1.3927 -1.5302 -1.6625 -1.7903 -1.9143 -2.0351 -2.1524 -2.2660 -2.3759
  0.6907  0.6409  0.5869  0.5292  0.4686  0.4052  0.3397  0.2729  0.2058  0.1395
  0.0723 -0.0022 -0.0812 -0.1612 -0.2403 -0.4315 -0.6125 -0.7838 -0.9466 -1.1023
 -1.2519 -1.3955 -1.5330 -1.6649 -1.7919 -1.9148 -2.0341 -2.1500 -2.2626 -2.3718
 -2.4759
  0.6518  0.6055  0.5546  0.4990  0.4399  0.3776  0.3127  0.2454  0.1766  0.1078
  0.0396 -0.0286 -0.0981 -0.1698 -0.2443 -0.4329 -0.6136 -0.7848 -0.9475 -1.1031
 -1.2527 -1.3967 -1.5346 -1.6667 -1.7934 -1.9156 -2.0339 -2.1486 -2.2600 -2.3682
 -2.4734
  0.6069  0.5637  0.5167  0.4651  0.4089  0.3490  0.2861  0.2207  0.1531  0.0841
  0.0147 -0.0544 -0.1239 -0.1928 -0.2612 -0.4367 -0.6157 -0.7867 -0.9493 -1.1048
 -1.2543 -1.3988 -1.5375 -1.6703 -1.7974 -1.9195 -2.0375 -2.1515 -2.2620 -2.3692
 -2.4733
  0.5569  0.5160  0.4731  0.4263  0.3748  0.3188  0.2592  0.1966  0.1317  0.0648
 -0.0033 -0.0720 -0.1411 -0.2102 -0.2785 -0.4460 -0.6152 -0.7848 -0.9469 -1.1018
 -1.2510 -1.3956 -1.5351 -1.6690 -1.7970 -1.9195 -2.0375 -2.1512 -2.2610 -2.3675
 -2.4707
  0.5042  0.4635  0.4234  0.3808  0.3343  0.2834  0.2282  0.1695  0.1079  0.0441
 -0.0214 -0.0881 -0.1556 -0.2235 -0.2914 -0.4573 -0.6199 -0.7830 -0.9439 -1.0981
 -1.2465 -1.3905 -1.5305 -1.6656 -1.7949 -1.9186 -2.0371 -2.1510 -2.2609 -2.3671
 -2.4696
  0.4517  0.4088  0.3690  0.3293  0.2870  0.2411  0.1912  0.1373  0.0799  0.0197
 -0.0424 -0.1062 -0.1711 -0.2369 -0.3031 -0.4669 -0.6265 -0.7843 -0.9412
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F356W
  0.8203  0.7973  0.7636  0.7184  0.6624  0.5944  0.5135  0.4273  0.3395  0.2519
  0.1662  0.0823  0.0004 -0.0798 -0.1584 -0.3489 -0.5323 -0.7090 -0.8793
  0.8164  0.7975  0.7593  0.7055  0.6411  0.5694  0.4887  0.4029  0.3155  0.2274
  0.1410  0.0564 -0.0264 -0.1075 -0.1867 -0.3775 -0.5593 -0.7333 -0.9003 -1.0601
  0.8171  0.7740  0.7430  0.6950  0.6277  0.5517  0.4709  0.3860  0.2991  0.2115
  0.1249  0.0398 -0.0435 -0.1251 -0.2049 -0.3965 -0.5779 -0.7505 -0.9156 -1.0736
 -1.2250
  0.7900  0.7502  0.7068  0.6614  0.6122  0.5393  0.4578  0.3735  0.2874  0.2008
  0.1142  0.0291 -0.0545 -0.1363 -0.2164 -0.4089 -0.5905 -0.7626 -0.9265 -1.0834
 -1.2338 -1.3783
  0.7651  0.7177  0.6691  0.6196  0.5667  0.5143  0.4454  0.3636  0.2784  0.1928
  0.1069  0.0219 -0.0616 -0.1435 -0.2238 -0.4167 -0.5987 -0.7707 -0.9342 -1.0903
 -1.2401 -1.3838 -1.5219 -1.6552
  0.7416  0.6901  0.6364  0.5811  0.5243  0.4663  0.4065  0.3445  0.2692  0.1860
  0.1014  0.0169 -0.0664 -0.1482 -0.2284 -0.4215 -0.6038 -0.7759 -0.9393 -1.0950
 -1.2443 -1.3877 -1.5253 -1.6577 -1.7859 -1.9104 -2.0312 -2.1488 -2.2629 -2.3727
  0.7158  0.6637  0.6083  0.5505  0.4905  0.4285  0.3651  0.3011  0.2365  0.1697
  0.0943  0.0126 -0.0700 -0.1514 -0.2314 -0.4243 -0.6067 -0.7790 -0.9422 -1.0978
 -1.2469 -1.3902 -1.5276 -1.6596 -1.7868 -1.9100 -2.0298 -2.1462 -2.2591 -2.3685
 -2.4745
  0.6852  0.6349  0.5805  0.5227  0.4622  0.3995  0.3346  0.2680  0.2006  0.1334
  0.0664 -0.0024 -0.0768 -0.1546 -0.2335 -0.4257 -0.6079 -0.7802 -0.9435 -1.0990
 -1.2479 -1.3912 -1.5288 -1.6609 -1.7878 -1.9103 -2.0290 -2.1442 -2.2560 -2.3646
 -2.4699
  0.6490  0.6011  0.5492  0.4936  0.4344  0.3725  0.3083  0.2421  0.1739  0.1050
  0.0361 -0.0321 -0.1012 -0.1714 -0.2430 -0.4283 -0.6101 -0.7823 -0.9456 -1.1011
 -1.2500 -1.3934 -1.5315 -1.6641 -1.7913 -1.9137 -2.0320 -2.1465 -2.2574 -2.3651
 -2.4696
  0.6072  0.5617  0.5135  0.4617  0.4057  0.3462  0.2839  0.2195  0.1530  0.0850
  0.0160 -0.0531 -0.1221 -0.1915 -0.2606 -0.4328 -0.6088 -0.7805 -0.9435 -1.0987
 -1.2474 -1.3907 -1.5292 -1.6626 -1.7905 -1.9133 -2.0315 -2.1455 -2.2559 -2.3628
 -2.4665
  0.5618  0.5175  0.4723  0.4242  0.3725  0.3169  0.2577  0.1959  0.1318  0.0661
 -0.0010 -0.0692 -0.1377 -0.2065 -0.2753 -0.4441 -0.6106 -0.7781 -0.9405 -1.0953
 -1.2435 -1.3866 -1.5252 -1.6593 -1.7883 -1.9119 -2.0307 -2.1449 -2.2552 -2.3618
 -2.4648
  0.5146  0.4695  0.4261  0.3813  0.3335  0.2823  0.2275  0.1693  0.1083  0.0453
 -0.0192 -0.0850 -0.1517 -0.2190 -0.2867 -0.4540 -0.6167 -0.7774 -0.9372
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F356W
  0.8112  0.7937  0.7670  0.7264  0.6729  0.6059  0.5255  0.4397  0.3515  0.2630
  0.1767  0.0922  0.0097 -0.0710 -0.1500 -0.3409 -0.5244 -0.7016 -0.8724
  0.8269  0.8018  0.7635  0.7131  0.6521  0.5814  0.5010  0.4154  0.3276  0.2390
  0.1522  0.0670 -0.0163 -0.0979 -0.1777 -0.3696 -0.5520 -0.7266 -0.8941 -1.0545
  0.8230  0.7896  0.7602  0.7056  0.6384  0.5642  0.4833  0.3984  0.3114  0.2233
  0.1363  0.0509 -0.0329 -0.1150 -0.1953 -0.3883 -0.5707 -0.7441 -0.9098 -1.0682
 -1.2200
  0.8021  0.7684  0.7271  0.6922  0.6287  0.5521  0.4704  0.3859  0.2996  0.2127
  0.1258  0.0403 -0.0436 -0.1260 -0.2066 -0.4004 -0.5832 -0.7563 -0.9209 -1.0781
 -1.2286 -1.3733
  0.7761  0.7339  0.6915  0.6464  0.6023  0.5403  0.4608  0.3764  0.2907  0.2047
  0.1185  0.0331 -0.0508 -0.1331 -0.2138 -0.4081 -0.5914 -0.7644 -0.9286 -1.0850
 -1.2347 -1.3786 -1.5168 -1.6502
  0.7545  0.7052  0.6547  0.6036  0.5523  0.4990  0.4420  0.3673  0.2835  0.1981
  0.1131  0.0281 -0.0556 -0.1378 -0.2185 -0.4129 -0.5965 -0.7697 -0.9337 -1.0897
 -1.2389 -1.3821 -1.5197 -1.6523 -1.7806 -1.9051 -2.0264 -2.1446 -2.2591 -2.3691
  0.7339  0.6809  0.6260  0.5695  0.5119  0.4534  0.3943  0.3339  0.2685  0.1915
  0.1082  0.0243 -0.0590 -0.1410 -0.2215 -0.4157 -0.5995 -0.7728 -0.9368 -1.0926
 -1.2414 -1.3843 -1.5216 -1.6537 -1.7811 -1.9044 -2.0244 -2.1412 -2.2548 -2.3647
 -2.4706
  0.7108  0.6573  0.6009  0.5421  0.4817  0.4199  0.3567  0.2926  0.2281  0.1630
  0.0948  0.0190 -0.0619 -0.1432 -0.2234 -0.4172 -0.6008 -0.7742 -0.9382 -1.0940
 -1.2426 -1.3853 -1.5226 -1.6546 -1.7816 -1.9042 -2.0232 -2.1389 -2.2513 -2.3603
 -2.4659
  0.6829  0.6304  0.5749  0.5163  0.4552  0.3924  0.3280  0.2622  0.1950  0.1276
  0.0605 -0.0069 -0.0767 -0.1509 -0.2275 -0.4197 -0.6031 -0.7766 -0.9407 -1.0965
 -1.2451 -1.3878 -1.5251 -1.6574 -1.7846 -1.9071 -2.0256 -2.1405 -2.2520 -2.3602
