 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.1784  1.1785  1.1741  1.1643  1.1499  1.1016  1.0425  0.9749  0.8991  0.8163
  0.7302  0.6441  0.5594  0.4754  0.3920  0.3085  0.2240  0.1378  0.0504 -0.0352
  1.3888  1.3489  1.3202  1.3003  1.2854  1.2725  1.2603  1.2479  1.2332  1.2139
  1.1945  1.1823  1.1735  1.1628  1.1483  1.0988  1.0387  0.9706  0.8946  0.8120
  0.7254  0.6385  0.5532  0.4694  0.3867  0.3049  0.2232  0.1405  0.0561 -0.0298
 -0.1144
  1.4472  1.4005  1.3630  1.3345  1.3130  1.2955  1.2797  1.2652  1.2512  1.2369
  1.2205  1.2022  1.1840  1.1670  1.1499  1.0989  1.0376  0.9688  0.8929  0.8104
  0.7234  0.6351  0.5485  0.4639  0.3812  0.2997  0.2193  0.1392  0.0583 -0.0243
 -0.1090
  1.5058  1.4552  1.4109  1.3746  1.3455  1.3220  1.3017  1.2831  1.2656  1.2492
  1.2328  1.2157  1.1972  1.1769  1.1559  1.1012  1.0383  0.9687  0.8925  0.8103
  0.7231  0.6335  0.5449  0.4586  0.3747  0.2927  0.2122  0.1322  0.0524 -0.0270
 -0.1060
  1.5613  1.5093  1.4621  1.4198  1.3838  1.3536  1.3278  1.3048  1.2833  1.2629
  1.2434  1.2243  1.2050  1.1846  1.1626  1.1049  1.0419  0.9714  0.8952  0.8133
  0.7266  0.6366  0.5462  0.4577  0.3719  0.2887  0.2075  0.1281  0.0501 -0.0274
 -0.1049
  1.6110  1.5610  1.5128  1.4676  1.4266  1.3904  1.3587  1.3307  1.3050  1.2807
  1.2574  1.2348  1.2127  1.1907  1.1681  1.1081  1.0450  0.9754  0.8990  0.8176
  0.7317  0.6420  0.5507  0.4602  0.3720  0.2867  0.2040  0.1237  0.0453 -0.0317
 -0.1077
  1.6561  1.6079  1.5604  1.5147  1.4715  1.4313  1.3946  1.3614  1.3309  1.3027
  1.2758  1.2496  1.2241  1.1993  1.1747  1.1119  1.0474  0.9788  0.9034
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  J   
