 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.2197  1.2273  1.2319  1.2213  1.1834  1.1706  1.1835  1.1913  1.1928  1.1917
  1.1883  1.1853  1.1814  1.1753  1.1673  1.1355  1.0859  1.0239  0.9538  0.8781
  0.7985  0.7161  0.6315  0.5454  0.4587  0.3717  0.2843  0.1957  0.1053  0.0167
 -0.0693
  1.2421  1.2437  1.2487  1.2508  1.2445  1.2235  1.1981  1.1947  1.1973  1.1948
  1.1895  1.1830  1.1772  1.1706  1.1624  1.1313  1.0828  1.0211  0.9511  0.8757
  0.7964  0.7143  0.6302  0.5447  0.4588  0.3730  0.2871  0.2009  0.1136  0.0250
 -0.0621
  1.2661  1.2652  1.2653  1.2663  1.2649  1.2586  1.2455  1.2262  1.2092  1.2013
  1.1951  1.1860  1.1763  1.1680  1.1591  1.1283  1.0808  1.0192  0.9492  0.8738
  0.7946  0.7125  0.6285  0.5432  0.4574  0.3719  0.2867  0.2017  0.1164  0.0305
 -0.0564
  1.3042  1.2931  1.2863  1.2834  1.2802  1.2748  1.2665  1.2546  1.2395  1.2225
  1.2069  1.1938  1.1813  1.1687  1.1579  1.1267  1.0807  1.0199  0.9499  0.8746
  0.7957  0.7138  0.6298  0.5445  0.4588  0.3732  0.2881  0.2036  0.1194  0.0345
 -0.0509
  1.3500  1.3274  1.3124  1.3042  1.2979  1.2906  1.2813  1.2700  1.2567  1.2417
  1.2255  1.2086  1.1921  1.1761  1.1606  1.1263  1.0816  1.0219  0.9523  0.8772
  0.7984  0.7166  0.6327  0.5472  0.4613  0.3753  0.2898  0.2051  0.1212  0.0377
 -0.0453
  1.4033  1.3681  1.3456  1.3294  1.3186  1.3090  1.2979  1.2850  1.2705  1.2549
  1.2385  1.2212  1.2035  1.1857  1.1672  1.1271  1.0835  1.0252  0.9564
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  J   
  1.1312  1.1479  1.1617  1.1729  1.2013  1.2183  1.2314  1.2433  1.2525  1.2579
  1.2591  1.2580  1.2551  1.2494  1.2408  1.2082  1.1570  1.0962  1.0253
  1.1036  1.1287  1.1485  1.1635  1.1822  1.2005  1.2140  1.2250  1.2353  1.2406
  1.2418  1.2407  1.2374  1.2317  1.2231  1.1882  1.1383  1.0774  1.0073  0.9292
  1.0709  1.1056  1.1338  1.1555  1.1698  1.1882  1.2016  1.2108  1.2204  1.2267
  1.2280  1.2266  1.2230  1.2171  1.2086  1.1739  1.1237  1.0628  0.9932  0.9166
  0.8344
  1.0662  1.0841  1.1186  1.1463  1.1655  1.1790  1.1930  1.2020  1.2073  1.2148
  1.2165  1.2149  1.2111  1.2051  1.1968  1.1630  1.1132  1.0523  0.9830  0.9072
  0.8265  0.7418
  1.1649  1.0980  1.1068  1.1376  1.1615  1.1766  1.1877  1.1960  1.2008  1.2029
  1.2067  1.2051  1.2010  1.1949  1.1866  1.1541  1.1051  1.0444  0.9754  0.9001
  0.8204  0.7371  0.6509  0.5621
  1.1997  1.1964  1.1422  1.1332  1.1576  1.1764  1.1869  1.1934  1.1969  1.1977
  1.1977  1.1969  1.1926  1.1862  1.1780  1.1466  1.0987  1.0385  0.9698  0.8949
  0.8158  0.7335  0.6486  0.5616  0.4733  0.3840  0.2928  0.1999  0.1093  0.0208
  1.2143  1.2234  1.2235  1.1905  1.1608  1.1759  1.1893  1.1954  1.1968  1.1961
  1.1930  1.1902  1.1859  1.1792  1.1707  1.1402  1.0935  1.0339  0.9656  0.8911
  0.8124  0.7307  0.6468  0.5610  0.4742  0.3869  0.2989  0.2093  0.1182  0.0293
 -0.0574
  1.2299  1.2379  1.2445  1.2447  1.2281  1.1960  1.1917  1.1994  1.2012  1.1981
  1.1932  1.1868  1.1810  1.1740  1.1652  1.1350  1.0897  1.0307  0.9626  0.8886
  0.8103  0.7290  0.6456  0.5606  0.4749  0.3889  0.3028  0.2160  0.1277  0.0382
 -0.0493
  1.2472  1.2540  1.2588  1.2618  1.2601  1.2500  1.2291  1.2107  1.2069  1.2047
  1.1980  1.1889  1.1792  1.1707  1.1615  1.1311  1.0867  1.0283  0.9603  0.8864
  0.8082  0.7271  0.6438  0.5592  0.4739  0.3885  0.3032  0.2178  0.1319  0.0450
 -0.0430
  1.2767  1.2751  1.2751  1.2765  1.2754  1.2705  1.2611  1.2467  1.2293  1.2152
  1.2057  1.1957  1.1832  1.1708  1.1598  1.1288  1.0856  1.0282  0.9605  0.8867
  0.8089  0.7281  0.6451  0.5606  0.4755  0.3904  0.3054  0.2208  0.1362  0.0513
 -0.0342
  1.3110  1.3012  1.2954  1.2932  1.2907  1.2854  1.2770  1.2659  1.2521  1.2366
  1.2207  1.2060  1.1920  1.1770  1.1617  1.1278  1.0856  1.0295  0.9623  0.8887
  0.8111  0.7305  0.6477  0.5632  0.4781  0.3928  0.3078  0.2232  0.1391  0.0551
 -0.0288
  1.3502  1.3323  1.3193  1.3135  1.3078  1.3015  1.2923  1.2805  1.2666  1.2514
  1.2353  1.2186  1.2018  1.1854  1.1672  1.1281  1.0867  1.0322  0.9657
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  J   
  1.1607  1.1625  1.1703  1.1835  1.2089  1.2316  1.2482  1.2596  1.2665  1.2697
  1.2697  1.2669  1.2620  1.2551  1.2464  1.2125  1.1618  1.0976  1.0294
  1.1260  1.1486  1.1637  1.1721  1.1907  1.2079  1.2215  1.2324  1.2447  1.2500
  1.2507  1.2485  1.2442  1.2377  1.2287  1.1940  1.1447  1.0834  1.0151  0.9385
  1.0987  1.1284  1.1507  1.1663  1.1783  1.1961  1.2085  1.2184  1.2294  1.2357
  1.2367  1.2346  1.2301  1.2235  1.2146  1.1804  1.1311  1.0714  1.0032  0.9278
  0.8465
  1.0733  1.1046  1.1355  1.1588  1.1728  1.1863  1.2001  1.2090  1.2145  1.2233
  1.2248  1.2227  1.2180  1.2114  1.2026  1.1694  1.1210  1.0616  0.9937  0.9192
  0.8393  0.7553
  1.1252  1.0925  1.1208  1.1496  1.1705  1.1814  1.1935  1.2023  1.2073  1.2105
  1.2144  1.2124  1.2076  1.2008  1.1920  1.1601  1.1129  1.0540  0.9866  0.9127
  0.8338  0.7512  0.6655  0.5770
  1.1959  1.1665  1.1208  1.1420  1.1664  1.1829  1.1907  1.1985  1.2023  1.2034
  1.2045  1.2035  1.1987  1.1916  1.1828  1.1519  1.1061  1.0480  0.9811  0.9077
  0.8295  0.7478  0.6635  0.5769  0.4887  0.3986  0.3065  0.2135  0.1230  0.0338
  1.2119  1.2195  1.2052  1.1565  1.1640  1.1826  1.1942  1.1984  1.2009  1.2008
  1.1979  1.1957  1.1914  1.1841  1.1751  1.1447  1.1004  1.0432  0.9768  0.9039
  0.8263  0.7454  0.6620  0.5767  0.4900  0.4024  0.3137  0.2233  0.1321  0.0432
 -0.0442
  1.2251  1.2347  1.2406  1.2342  1.1991  1.1848  1.1966  1.2035  1.2039  1.2013
  1.1971  1.1909  1.1856  1.1783  1.1690  1.1386  1.0956  1.0394  0.9735  0.9012
  0.8241  0.7437  0.6610  0.5765  0.4910  0.4049  0.3184  0.2311  0.1423  0.0524
 -0.0351
  1.2362  1.2478  1.2549  1.2580  1.2536  1.2341  1.2102  1.2083  1.2106  1.2076
  1.2011  1.1921  1.1826  1.1743  1.1647  1.1338  1.0917  1.0363  0.9708  0.8986
  0.8217  0.7416  0.6592  0.5753  0.4904  0.4052  0.3198  0.2342  0.1480  0.0604
 -0.0283
  1.2578  1.2638  1.2685  1.2720  1.2715  1.2659  1.2533  1.2344  1.2203  1.2147
  1.2083  1.1980  1.1858  1.1735  1.1624  1.1308  1.0895  1.0353  0.9703  0.8984
  0.8219  0.7422  0.6602  0.5766  0.4921  0.4074  0.3227  0.2381  0.1534  0.0681
 -0.0182
  1.2816  1.2827  1.2842  1.2861  1.2857  1.2812  1.2730  1.2612  1.2461  1.2305
  1.2179  1.2068  1.1939  1.1788  1.1636  1.1294  1.0885  1.0357  0.9714  0.8997
  0.8235  0.7441  0.6624  0.5790  0.4947  0.4101  0.3255  0.2412  0.1572  0.0731
 -0.0113
  1.3079  1.3045  1.3020  1.3017  1.3005  1.2961  1.2878  1.2766  1.2629  1.2478
  1.2321  1.2167  1.2023  1.1875  1.1683  1.1296  1.0887  1.0375  0.9741
