 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -5.1393 -5.0664 -5.2828 -5.2058 -4.9895 -4.7071 -4.4044 -4.1934 -4.0055 -3.8159
 -3.6408 -3.4802 -3.3310 -3.1906 -3.0593 -2.7819 -2.5138 -2.2883 -2.1515
 -5.1338 -4.8820 -4.6824 -4.5475 -4.4687 -4.3551 -4.1729 -3.9723 -3.7859 -3.6111
 -3.4473 -3.2957 -3.1561 -3.0277 -2.9089 -2.6476 -2.4330 -2.2677 -2.1478 -2.0595
 -4.9012 -4.6513 -4.4333 -4.2501 -4.1018 -4.0001 -3.9173 -3.7911 -3.6315 -3.4660
 -3.3134 -3.1723 -3.0424 -2.9233 -2.8145 -2.5812 -2.3955 -2.2527 -2.1475 -2.0683
 -2.0062
 -4.7204 -4.4880 -4.2744 -4.0857 -3.9210 -3.7775 -3.6585 -3.5689 -3.4764 -3.3551
 -3.2183 -3.0861 -2.9646 -2.8531 -2.7510 -2.5355 -2.3692 -2.2441 -2.1505 -2.0793
 -2.0221 -1.9746
 -4.5707 -4.3591 -4.1582 -3.9741 -3.8096 -3.6625 -3.5307 -3.4137 -3.3178 -3.2298
 -3.1339 -3.0237 -2.9113 -2.8058 -2.7092 -2.5054 -2.3507 -2.2375 -2.1542 -2.0905
 -2.0384 -1.9944 -1.9564 -1.9237
 -4.4469 -4.2504 -4.0656 -3.8899 -3.7294 -3.5846 -3.4538 -3.3352 -3.2282 -3.1322
 -3.0451 -2.9596 -2.8680 -2.7731 -2.6814 -2.4857 -2.3378 -2.2314 -2.1556 -2.0996
 -2.0534 -2.0137 -1.9789 -1.9479 -1.9191 -1.8942 -1.8749 -1.8629 -1.8594 -1.8649
 -4.3488 -4.1609 -3.9870 -3.8224 -3.6671 -3.5255 -3.3971 -3.2805 -3.1751 -3.0785
 -2.9888 -2.9045 -2.8235 -2.7425 -2.6607 -2.4731 -2.3284 -2.2241 -2.1532 -2.1037
 -2.0645 -2.0304 -2.0000 -1.9724 -1.9470 -1.9219 -1.8998 -1.8839 -1.8768 -1.8798
 -1.8912
 -4.2766 -4.0917 -3.9221 -3.7646 -3.6168 -3.4784 -3.3520 -3.2373 -3.1336 -3.0391
 -2.9518 -2.8694 -2.7902 -2.7140 -2.6396 -2.4654 -2.3226 -2.2182 -2.1479 -2.1020
 -2.0692 -2.0418 -2.0173 -1.9944 -1.9730 -1.9525 -1.9315 -1.9131 -1.9009 -1.8979
 -1.9059
 -4.2300 -4.0435 -3.8732 -3.7134 -3.5718 -3.4383 -3.3139 -3.2000 -3.0972 -3.0040
 -2.9186 -2.8392 -2.7637 -2.6906 -2.6196 -2.4554 -2.3177 -2.2134 -2.1409 -2.0954
 -2.0666 -2.0457 -2.0280 -2.0114 -1.9953 -1.9792 -1.9635 -1.9486 -1.9370 -1.9290
 -1.9242
 -4.2090 -4.0174 -3.8426 -3.6832 -3.5379 -3.4054 -3.2840 -3.1710 -3.0679 -2.9748
 -2.8903 -2.8127 -2.7402 -2.6703 -2.6029 -2.4470 -2.3138 -2.2102 -2.1360 -2.0882
 -2.0596 -2.0425 -2.0310 -2.0214 -2.0118 -2.0017 -1.9910 -1.9800 -1.9693 -1.9600
 -1.9515
 -4.2094 -4.0100 -3.8290 -3.6647 -3.5156 -3.3804 -3.2580 -3.1466 -3.0434 -2.9493
 -2.8644 -2.7874 -2.7165 -2.6501 -2.5868 -2.4383 -2.3090 -2.2066 -2.1319 -2.0815
 -2.0513 -2.0347 -2.0267 -2.0229 -2.0203 -2.0170 -2.0128 -2.0073 -2.0009 -1.9945
 -1.9890
 -4.2144 -4.0062 -3.8194 -3.6513 -3.4996 -3.3624 -3.2377 -3.1242 -3.0208 -2.9267
 -2.8412 -2.7636 -2.6932 -2.6283 -2.5675 -2.4278 -2.3035 -2.2023 -2.1271
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -5.5229 -5.4132 -5.2601 -4.9922 -4.6949 -4.4144 -4.1752 -3.9712 -3.7848 -3.6104
 -3.4482 -3.3000 -3.1651 -3.0416 -2.9279 -2.6842 -2.4664 -2.2807 -2.1462
 -5.1590 -4.9239 -4.7899 -4.7040 -4.5149 -4.2638 -4.0235 -3.8177 -3.6363 -3.4681
 -3.3127 -3.1711 -3.0431 -2.9274 -2.8222 -2.5956 -2.4082 -2.2555 -2.1383 -2.0502
 -4.9616 -4.6978 -4.4827 -4.3213 -4.2291 -4.1180 -3.9232 -3.7161 -3.5349 -3.3735
 -3.2243 -3.0885 -2.9655 -2.8546 -2.7544 -2.5428 -2.3735 -2.2391 -2.1359 -2.0572
 -1.9953
 -4.8307 -4.5691 -4.3397 -4.1383 -3.9726 -3.8515 -3.7631 -3.6387 -3.4704 -3.3115
 -3.1673 -3.0365 -2.9178 -2.8105 -2.7135 -2.5103 -2.3519 -2.2294 -2.1368 -2.0660
 -2.0093 -1.9621
 -4.7380 -4.4846 -4.2547 -4.0522 -3.8746 -3.7161 -3.5811 -3.4732 -3.3820 -3.2656
 -3.1324 -3.0042 -2.8887 -2.7844 -2.6898 -2.4914 -2.3388 -2.2236 -2.1386 -2.0747
 -2.0234 -1.9800 -1.9426 -1.9113
 -4.6818 -4.4272 -4.2003 -3.9955 -3.8147 -3.6541 -3.5080 -3.3758 -3.2624 -3.1711
 -3.0827 -2.9803 -2.8719 -2.7690 -2.6760 -2.4806 -2.3307 -2.2193 -2.1393 -2.0816
 -2.0361 -1.9974 -1.9634 -1.9333 -1.9053 -1.8810 -1.8627 -1.8520 -1.8500 -1.8563
 -4.6423 -4.3904 -4.1665 -3.9609 -3.7768 -3.6142 -3.4688 -3.3361 -3.2147 -3.1069
 -3.0132 -2.9306 -2.8469 -2.7578 -2.6684 -2.4747 -2.3254 -2.2152 -2.1377 -2.0846
