 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F150W2
 -2.0911 -2.1026 -2.1193 -2.1398 -2.1658 -2.2525 -2.3571 -2.4671 -2.5798 -2.6955
 -2.8119 -2.9264 -3.0375 -3.1452 -3.2498 -3.3517 -3.4515 -3.5493 -3.6465 -3.7436
 -3.8382
 -2.1786 -2.1638 -2.1467 -2.1276 -2.1140 -2.1067 -2.1054 -2.1087 -2.1150 -2.1225
 -2.1310 -2.1418 -2.1567 -2.1764 -2.2002 -2.2794 -2.3766 -2.4822 -2.5879 -2.7029
 -2.8151 -2.9302 -3.0412 -3.1487 -3.2528 -3.3537 -3.4522 -3.5491 -3.6446 -3.7387
 -3.8314
 -2.2910 -2.2538 -2.2258 -2.2061 -2.1847 -2.1687 -2.1594 -2.1563 -2.1583 -2.1639
 -2.1715 -2.1812 -2.1936 -2.2101 -2.2311 -2.3046 -2.3958 -2.4974 -2.6035 -2.7120
 -2.8228 -2.9348 -3.0456 -3.1535 -3.2578 -3.3587 -3.4566 -3.5519 -3.6450 -3.7368
 -3.8281
 -2.3898 -2.3494 -2.3184 -2.2956 -2.2676 -2.2447 -2.2269 -2.2155 -2.2104 -2.2109
 -2.2153 -2.2226 -2.2325 -2.2455 -2.2623 -2.3268 -2.4126 -2.5096 -2.6131 -2.7193
 -2.8272 -2.9365 -3.0461 -3.1540 -3.2589 -3.3602 -3.4582 -3.5531 -3.6455 -3.7358
 -3.8260
 -2.4859 -2.4508 -2.4167 -2.3835 -2.3510 -2.3211 -2.2955 -2.2886 -2.2749 -2.2676
 -2.2659 -2.2688 -2.2751 -2.2845 -2.2972 -2.3490 -2.4290 -2.5213 -2.6215 -2.7258
 -2.8317 -2.9386 -3.0461 -3.1531 -3.2582 -3.3603 -3.4590 -3.5543 -3.6466 -3.7364
 -3.8242
 -2.5794 -2.5577 -2.5207 -2.4699 -2.4350 -2.3978 -2.3866 -2.3598 -2.3387 -2.3368
 -2.3269 -2.3227 -2.3235 -2.3283 -2.3358 -2.3712 -2.4450 -2.5325 -2.6287
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
 -1.8741 -1.7828 -1.6507 -1.6105 -1.6951 -1.7817 -1.7721 -1.7150 -1.6913 -1.7188
 -1.7668 -1.8196 -1.8640 -1.9053 -1.9527 -2.0826
 -1.8786 -1.8422 -1.7796 -1.7520 -1.7726 -1.7948 -1.7837 -1.7591 -1.7515 -1.7683
 -1.7996 -1.8405 -1.8843 -1.9297 -1.9782 -2.1062 -2.2396 -2.3745 -2.5063
 -1.8833 -1.8833 -1.8689 -1.8547 -1.8411 -1.8268 -1.8140 -1.8061 -1.8059 -1.8149
 -1.8345 -1.8657 -1.9066 -1.9532 -2.0020 -2.1283 -2.2582 -2.3902 -2.5208 -2.6492
 -2.7755
 -1.8882 -1.9061 -1.9186 -1.9186 -1.9006 -1.8777 -1.8630 -1.8560 -1.8545 -1.8586
 -1.8715 -1.8952 -1.9309 -1.9758 -2.0241 -2.1489 -2.2759 -2.4048 -2.5336 -2.6598
 -2.7828 -2.9030 -3.0206
 -1.8933 -1.9106 -1.9287 -1.9437 -1.9511 -1.9475 -1.9307 -1.9088 -1.8973 -1.8994
 -1.9106 -1.9290 -1.9572 -1.9975 -2.0445 -2.1680 -2.2927 -2.4183 -2.5446 -2.6689
 -2.7900 -2.9079 -3.0228 -3.1351 -3.2454
 -1.9097 -1.9213 -1.9365 -1.9529 -1.9676 -1.9775 -1.9802 -1.9756 -1.9648 -1.9542
 -1.9548 -1.9680 -1.9893 -2.0215 -2.0644 -2.1856 -2.3087 -2.4313 -2.5546 -2.6771
 -2.7968 -2.9131 -3.0262 -3.1365 -3.2444 -3.3503
 -1.9419 -1.9451 -1.9535 -1.9655 -1.9795 -1.9934 -2.0044 -2.0109 -2.0137 -2.0145
 -2.0150 -2.0203 -2.0343 -2.0566 -2.0899 -2.2024 -2.3237 -2.4439 -2.5640 -2.6844
 -2.8029 -2.9183 -3.0302 -3.1390 -3.2451 -3.3488 -3.4507 -3.5516 -3.6517 -3.7487
 -1.9900 -1.9847 -1.9846 -1.9892 -1.9979 -2.0097 -2.0226 -2.0344 -2.0441 -2.0520
 -2.0605 -2.0709 -2.0847 -2.1023 -2.1274 -2.2221 -2.3380 -2.4560 -2.5733 -2.6909
 -2.8081 -2.9229 -3.0343 -3.1422 -3.2471 -3.3493 -3.4493 -3.5475 -3.6449 -3.7420
 -3.8366
 -2.0513 -2.0391 -2.0310 -2.0272 -2.0284 -2.0345 -2.0443 -2.0564 -2.0688 -2.0808
 -2.0926 -2.1062 -2.1233 -2.1434 -2.1664 -2.2482 -2.3536 -2.4678 -2.5825 -2.6972
 -2.8123 -2.9265 -3.0377 -3.1455 -3.2498 -3.3511 -3.4498 -3.5464 -3.6412 -3.7354
 -3.8299
 -2.1213 -2.1046 -2.0908 -2.0798 -2.0731 -2.0716 -2.0755 -2.0838 -2.0953 -2.1083
 -2.1218 -2.1364 -2.1536 -2.1744 -2.1983 -2.2756 -2.3727 -2.4811 -2.5930 -2.7052
 -2.8179 -2.9307 -3.0419 -3.1501 -3.2547 -3.3558 -3.4541 -3.5496 -3.6431 -3.7350
 -3.8265
 -2.1986 -2.1791 -2.1610 -2.1447 -2.1313 -2.1225 -2.1189 -2.1211 -2.1282 -2.1391
