 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  G   
 -1.6630 -1.5992 -1.5290 -1.4649 -1.4087 -1.3685 -1.4094 -1.3775 -1.3346 -1.2736
 -1.1971 -1.1289 -1.0390 -0.9424 -0.8514 -0.6617 -0.5222 -0.4273 -0.3558
 -1.6072 -1.4868 -1.4053 -1.3588 -1.3394 -1.3188 -1.2880 -1.2511 -1.2106 -1.1657
 -1.1089 -1.0367 -0.9540 -0.8711 -0.7937 -0.6307 -0.5082 -0.4210 -0.3602 -0.3170
 -1.5397 -1.4336 -1.3415 -1.2665 -1.2122 -1.1820 -1.1706 -1.1549 -1.1229 -1.0773
 -1.0279 -0.9719 -0.9030 -0.8286 -0.7579 -0.6095 -0.5001 -0.4226 -0.3684 -0.3296
 -0.3008
 -1.4772 -1.3851 -1.2997 -1.2228 -1.1569 -1.1046 -1.0666 -1.0424 -1.0252 -0.9991
 -0.9581 -0.9119 -0.8576 -0.7941 -0.7301 -0.5934 -0.4939 -0.4253 -0.3775 -0.3428
 -0.3167 -0.2964
 -1.3974 -1.3242 -1.2530 -1.1843 -1.1195 -1.0615 -1.0126 -0.9730 -0.9407 -0.9135
 -0.8849 -0.8492 -0.8089 -0.7596 -0.7055 -0.5805 -0.4882 -0.4267 -0.3854 -0.3554
 -0.3325 -0.3145 -0.2999 -0.2872
 -1.3004 -1.2462 -1.1922 -1.1370 -1.0807 -1.0256 -0.9743 -0.9292 -0.8903 -0.8553
 -0.8223 -0.7893 -0.7564 -0.7185 -0.6757 -0.5682 -0.4819 -0.4251 -0.3899 -0.3655
 -0.3469 -0.3320 -0.3199 -0.3098 -0.3002 -0.2925 -0.2885 -0.2897 -0.2971 -0.3114
 -1.1939 -1.1537 -1.1159 -1.0758 -1.0321 -0.9855 -0.9381 -0.8928 -0.8518 -0.8149
 -0.7801 -0.7460 -0.7125 -0.6791 -0.6433 -0.5524 -0.4742 -0.4202 -0.3891 -0.3706
 -0.3575 -0.3470 -0.3385 -0.3312 -0.3247 -0.3180 -0.3129 -0.3118 -0.3162 -0.3276
 -0.3466
 -1.0798 -1.0530 -1.0277 -1.0007 -0.9704 -0.9356 -0.8964 -0.8558 -0.8163 -0.7794
 -0.7453 -0.7126 -0.6802 -0.6482 -0.6152 -0.5346 -0.4647 -0.4131 -0.3836 -0.3693
 -0.3620 -0.3572 -0.3534 -0.3502 -0.3471 -0.3440 -0.3400 -0.3374 -0.3390 -0.3470
 -0.3628
 -0.9670 -0.9499 -0.9328 -0.9157 -0.8965 -0.8730 -0.8445 -0.8120 -0.7775 -0.7432
 -0.7108 -0.6802 -0.6505 -0.6212 -0.5910 -0.5168 -0.4529 -0.4046 -0.3752 -0.3625
 -0.3594 -0.3606 -0.3628 -0.3649 -0.3664 -0.3671 -0.3676 -0.3693 -0.3725 -0.3769
 -0.3825
 -0.8554 -0.8444 -0.8369 -0.8263 -0.8147 -0.8007 -0.7826 -0.7598 -0.7332 -0.7045
 -0.6754 -0.6474 -0.6206 -0.5947 -0.5685 -0.5014 -0.4418 -0.3961 -0.3669 -0.3534
 -0.3516 -0.3567 -0.3645 -0.3727 -0.3800 -0.3859 -0.3908 -0.3947 -0.4026 -0.4064
 -0.4079
 -0.7450 -0.7365 -0.7400 -0.7371 -0.7296 -0.7218 -0.7116 -0.6979 -0.6803 -0.6593
 -0.6360 -0.6120 -0.5885 -0.5658 -0.5435 -0.4862 -0.4307 -0.3874 -0.3587 -0.3443
 -0.3419 -0.3480 -0.3594 -0.3729 -0.3862 -0.3981 -0.4086 -0.4174 -0.4250 -0.4321
 -0.4397
 -0.6359 -0.6262 -0.6421 -0.6491 -0.6450 -0.6408 -0.6358 -0.6288 -0.6190 -0.6062
 -0.5903 -0.5724 -0.5533 -0.5342 -0.5160 -0.4712 -0.4196 -0.3785 -0.3506
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  G   
 -1.7556 -1.6805 -1.6111 -1.5494 -1.4924 -1.4419 -1.4191 -1.3713 -1.3146 -1.2471
 -1.1680 -1.0865 -0.9959 -0.9066 -0.8237 -0.6484 -0.5154 -0.4196 -0.3508
 -1.6537 -1.5550 -1.4910 -1.4332 -1.3780 -1.3300 -1.2881 -1.2481 -1.2047 -1.1540
 -1.0927 -1.0194 -0.9379 -0.8570 -0.7816 -0.6229 -0.5031 -0.4165 -0.3554 -0.3110
 -1.6112 -1.4819 -1.3768 -1.3012 -1.2602 -1.2351 -1.2028 -1.1625 -1.1198 -1.0762
 -1.0276 -0.9698 -0.8999 -0.8255 -0.7547 -0.6064 -0.4963 -0.4177 -0.3628 -0.3235
 -0.2943
 -1.5863 -1.4571 -1.3437 -1.2493 -1.1760 -1.1244 -1.0967 -1.0830 -1.0597 -1.0203
