 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.1877 -1.1372 -1.0984 -1.0599 -1.0201 -0.9791 -0.9358 -0.8910 -0.8470 -0.8051
 -0.7662 -0.7309 -0.6998 -0.6739 -0.6533 -0.6151 -0.5846 -0.5629 -0.5590 -0.5748
 -0.6045 -0.6392 -0.6739 -0.7078 -0.7412 -0.7745 -0.8085 -0.8445 -0.8827 -0.9228
 -0.9645
 -1.1234 -1.0651 -1.0209 -0.9818 -0.9482 -0.9145 -0.8808 -0.8454 -0.8087 -0.7720
 -0.7368 -0.7043 -0.6745 -0.6481 -0.6256 -0.5868 -0.5636 -0.5499 -0.5481 -0.5629
 -0.5931 -0.6312 -0.6709 -0.7096 -0.7468 -0.7829 -0.8185 -0.8539 -0.8898 -0.9271
 -0.9664
 -1.0895 -1.0102 -0.9535 -0.9093 -0.8771 -0.8464 -0.8181 -0.7906 -0.7626 -0.7332
 -0.7035 -0.6752 -0.6489 -0.6250 -0.6038 -0.5645 -0.5425 -0.5334 -0.5351 -0.5497
 -0.5786 -0.6178 -0.6611 -0.7048 -0.7469 -0.7871 -0.8260 -0.8636 -0.9005 -0.9376
 -0.9754
 -1.0846 -0.9725 -0.8961 -0.8442 -0.8079 -0.7793 -0.7541 -0.7304 -0.7084 -0.6866
 -0.6640 -0.6412 -0.6193 -0.5991 -0.5809 -0.5456 -0.5244 -0.5166 -0.5209
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.2873 -2.2063 -2.0323 -1.8486 -1.6710 -1.5196 -1.4073 -1.3121 -1.2231 -1.1386
 -1.0594 -0.9844 -0.9133 -0.8460 -0.7826 -0.6472 -0.5516 -0.4993 -0.4846
 -1.9950 -1.9816 -1.9516 -1.8151 -1.6555 -1.5048 -1.3810 -1.2830 -1.1952 -1.1142
 -1.0389 -0.9678 -0.9005 -0.8369 -0.7773 -0.6518 -0.5657 -0.5189 -0.5050 -0.5120
 -1.8665 -1.7603 -1.7140 -1.7113 -1.6274 -1.4951 -1.3673 -1.2620 -1.1746 -1.0963
 -1.0245 -0.9571 -0.8933 -0.8331 -0.7768 -0.6588 -0.5790 -0.5354 -0.5217 -0.5283
 -0.5460
 -1.7868 -1.6690 -1.5663 -1.4963 -1.4761 -1.4480 -1.3554 -1.2492 -1.1581 -1.0809
 -1.0119 -0.9478 -0.8874 -0.8303 -0.7769 -0.6652 -0.5901 -0.5487 -0.5351 -0.5415
 -0.5588 -0.5820
 -1.7153 -1.6067 -1.5002 -1.4039 -1.3260 -1.2765 -1.2576 -1.2190 -1.1436 -1.0662
 -0.9988 -0.9377 -0.8802 -0.8261 -0.7755 -0.6695 -0.5981 -0.5587 -0.5453 -0.5517
 -0.5695 -0.5926 -0.6195 -0.6498
 -1.6437 -1.5469 -1.4497 -1.3545 -1.2655 -1.1885 -1.1285 -1.0901 -1.0694 -1.0352
 -0.9810 -0.9247 -0.8706 -0.8194 -0.7714 -0.6707 -0.6029 -0.5651 -0.5523 -0.5588
 -0.5777 -0.6019 -0.6290 -0.6589 -0.6913 -0.7272 -0.7679 -0.8143 -0.8655 -0.9170
 -1.5709 -1.4838 -1.3975 -1.3116 -1.2273 -1.1482 -1.0770 -1.0158 -0.9679 -0.9369
 -0.9156 -0.8886 -0.8513 -0.8078 -0.7638 -0.6686 -0.6041 -0.5680 -0.5556 -0.5624
 -0.5826 -0.6089 -0.6375 -0.6677 -0.7000 -0.7339 -0.7708 -0.8120 -0.8588 -0.9108
 -0.9641
 -1.5030 -1.4174 -1.3396 -1.2638 -1.1889 -1.1151 -1.0451 -0.9809 -0.9241 -0.8760
 -0.8385 -0.8121 -0.7917 -0.7697 -0.7423 -0.6625 -0.6016 -0.5673 -0.5552 -0.5621
