 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
  0.5370  0.5391  0.5410  0.5431  0.5453  0.5553  0.5625  0.5586  0.5411  0.5116
  0.4742  0.4337  0.3935  0.3549  0.3182  0.2831  0.2489  0.2153  0.1816  0.1468
  0.1103
  0.8018  0.7634  0.7289  0.6981  0.6679  0.6398  0.6154  0.6090  0.5943  0.5847
  0.5792  0.5762  0.5741  0.5723  0.5709  0.5710  0.5752  0.5702  0.5535  0.5256
  0.4891  0.4472  0.4030  0.3592  0.3173  0.2776  0.2398  0.2034  0.1680  0.1327
  0.0967
  0.9101  0.8729  0.8293  0.7801  0.7450  0.7087  0.6998  0.6729  0.6505  0.6431
  0.6289  0.6186  0.6111  0.6049  0.5992  0.5866  0.5873  0.5810  0.5650
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.0135 -0.0595 -0.1627 -0.1859 -0.0925  0.0057  0.0072 -0.0466 -0.0599 -0.0027
  0.0837  0.1798  0.2637  0.3271  0.3896  0.5150
 -0.0058  0.0157 -0.0048 -0.0018  0.0404  0.0796  0.0803  0.0614  0.0612  0.0926
  0.1425  0.2052  0.2716  0.3324  0.3899  0.5026  0.5674  0.5945  0.6049
  0.0002  0.0654  0.1013  0.1263  0.1426  0.1496  0.1506  0.1512  0.1570  0.1711
  0.1960  0.2335  0.2832  0.3379  0.3898  0.4911  0.5495  0.5726  0.5762  0.5656
  0.5427
  0.0045  0.0896  0.1556  0.1984  0.2141  0.2157  0.2181  0.2228  0.2275  0.2328
  0.2442  0.2647  0.2985  0.3436  0.3893  0.4805  0.5337  0.5538  0.5532  0.5416
  0.5232  0.4997  0.4720
  0.0071  0.0883  0.1581  0.2145  0.2549  0.2779  0.2828  0.2762  0.2727  0.2777
  0.2871  0.2988  0.3175  0.3495  0.3884  0.4708  0.5200  0.5381  0.5359  0.5236
  0.5056  0.4833  0.4575  0.4290  0.3966
  0.0282  0.0971  0.1598  0.2151  0.2613  0.2963  0.3190  0.3304  0.3317  0.3279
