 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
  0.5232  0.4823  0.4375  0.3924  0.3488  0.3072  0.2670  0.2281  0.1900  0.1519
  0.1133
  0.3262  0.3577  0.3762  0.3864  0.3925  0.3984  0.4066  0.4176  0.4312  0.4480
  0.4679  0.4889  0.5091  0.5273  0.5430  0.5724  0.5888  0.5926  0.5851
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.9688 -0.9069 -0.7541 -0.5878 -0.4237 -0.2839 -0.1829 -0.0991 -0.0213  0.0528
  0.1226  0.1891  0.2523  0.3121  0.3681  0.4860  0.5679  0.6125  0.6237
 -0.7093 -0.7072 -0.6875 -0.5651 -0.4182 -0.2781 -0.1646 -0.0770  0.0005  0.0718
  0.1384  0.2015  0.2614  0.3178  0.3703  0.4794  0.5533  0.5930  0.6031  0.5943
 -0.5954 -0.5055 -0.4688 -0.4727 -0.3979 -0.2757 -0.1574 -0.0614  0.0166  0.0859
  0.1496  0.2095  0.2663  0.3196  0.3691  0.4714  0.5400  0.5768  0.5866  0.5776
  0.5589
 -0.5226 -0.4242 -0.3337 -0.2723 -0.2580 -0.2360 -0.1515 -0.0537  0.0292  0.0983
  0.1596  0.2167  0.2705  0.3209  0.3678  0.4645  0.5291  0.5638  0.5733  0.5642
  0.5453  0.5214
 -0.4516 -0.3675 -0.2759 -0.1891 -0.1187 -0.0756 -0.0619 -0.0291  0.0395  0.1101
  0.1704  0.2250  0.2760  0.3239  0.3682  0.4599  0.5211  0.5541  0.5632  0.5539
  0.5341  0.5098  0.4824  0.4526
 -0.3741 -0.3082 -0.2301 -0.1466 -0.0660  0.0044  0.0586  0.0916  0.1077  0.1371
  0.1857  0.2359  0.2841  0.3293  0.3713  0.4582  0.5163  0.5478  0.5564  0.5468
  0.5257  0.4998  0.4718  0.4415  0.4095  0.3747  0.3358  0.2919  0.2435  0.1946
 -0.2896 -0.2396 -0.1786 -0.1083 -0.0337  0.0385  0.1039  0.1598  0.2027  0.2291
  0.2464  0.2688  0.3011  0.3392  0.3778  0.4598  0.5150  0.5450  0.5531  0.5431
  0.5206  0.4924  0.4625  0.4313  0.3986  0.3649  0.3290  0.2891  0.2442  0.1943
  0.1431
 -0.2021 -0.1621 -0.1160 -0.0614  0.0004  0.0658  0.1299  0.1892  0.2415  0.2852
  0.3183  0.3402  0.3563  0.3741  0.3971  0.4651  0.5171  0.5456  0.5535  0.5434
  0.5196  0.4887  0.4558  0.4224  0.3886  0.3538  0.3186  0.2815  0.2407  0.1950
  0.1434
 -0.1173 -0.0802 -0.0434 -0.0021  0.0457  0.0990  0.1554  0.2115  0.2641  0.3115
  0.3524  0.3857  0.4108  0.4290  0.4436  0.4822  0.5238  0.5501  0.5574  0.5474
  0.5230  0.4893  0.4527  0.4159  0.3794  0.3431  0.3063  0.2678  0.2277  0.1860
  0.1430
 -0.0416 -0.0029  0.0323  0.0656  0.1019  0.1426  0.1876  0.2355  0.2835  0.3295
  0.3715  0.4083  0.4390  0.4637  0.4830  0.5144  0.5386  0.5582  0.5646  0.5552
  0.5313  0.4962  0.4559  0.4148  0.3746  0.3354  0.2966  0.2581  0.2193  0.1795
  0.1375
  0.0183  0.0688  0.1054  0.1366  0.1666  0.1978  0.2317  0.2689  0.3085  0.3491
  0.3885  0.4248  0.4568  0.4839  0.5064  0.5434  0.5621  0.5725  0.5749  0.5655
  0.5426  0.5076  0.4649  0.4197  0.3751  0.3319  0.2898  0.2490  0.2088  0.1686
  0.1279
  0.0612  0.1250  0.1699  0.2041  0.2331  0.2599  0.2864  0.3142  0.3440  0.3762
  0.4095  0.4422  0.4728  0.4999  0.5231  0.5638  0.5842  0.5910  0.5886
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.0238 -0.8975 -0.7189 -0.5496 -0.3890 -0.2512 -0.1514 -0.0725 -0.0015  0.0694
  0.1353  0.1977  0.2570  0.3130  0.3659  0.4808  0.5647  0.6144  0.6316
 -0.7875 -0.8020 -0.7007 -0.5422 -0.3891 -0.2478 -0.1386 -0.0546  0.0176  0.0860
  0.1492  0.2087  0.2652  0.3185  0.3688  0.4760  0.5522  0.5965  0.6113  0.6047
 -0.6308 -0.5639 -0.5737 -0.5198 -0.3880 -0.2541 -0.1346 -0.0425  0.0317  0.0987
  0.1594  0.2163  0.2700  0.3207  0.3683  0.4697  0.5408  0.5815  0.5953  0.5889
  0.5705
 -0.5641 -0.4559 -0.3748 -0.3524 -0.3420 -0.2516 -0.1384 -0.0369  0.0427  0.1098
  0.1688  0.2232  0.2743  0.3225  0.3678  0.4640  0.5313  0.5694  0.5825  0.5762
  0.5579  0.5336
 -0.5062 -0.4055 -0.3035 -0.2184 -0.1660 -0.1525 -0.1186 -0.0362  0.0492  0.1195
  0.1785  0.2310  0.2799  0.3257  0.3686  0.4601  0.5241  0.5603  0.5727  0.5665
  0.5477  0.5231  0.4951  0.4645
