 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.5342 -2.8047 -2.4094 -2.3426 -2.6274 -3.0505 -3.5154 -3.3778 -3.2439 -3.1015
 -2.9508 -2.8376 -2.6713 -2.5046 -2.3477 -2.0073 -1.7144 -1.4942 -1.3117
 -4.2064 -3.8688 -3.6240 -3.4627 -3.3578 -3.2617 -3.1592 -3.0544 -2.9500 -2.8441
 -2.7262 -2.5913 -2.4462 -2.3037 -2.1699 -1.8735 -1.6309 -1.4414 -1.2996 -1.1915
 -3.9989 -3.6820 -3.4325 -3.2392 -3.0947 -2.9946 -2.9255 -2.8526 -2.7600 -2.6538
 -2.5470 -2.4352 -2.3103 -2.1824 -2.0619 -1.8004 -1.5870 -1.4186 -1.2910 -1.1928
 -1.1144
 -3.8385 -3.5537 -3.3198 -3.1270 -2.9689 -2.8416 -2.7404 -2.6611 -2.5922 -2.5108
 -2.4118 -2.3101 -2.2034 -2.0904 -1.9808 -1.7434 -1.5534 -1.4031 -1.2880 -1.1984
 -1.1261 -1.0654
 -3.6854 -3.4374 -3.2271 -3.0463 -2.8898 -2.7554 -2.6412 -2.5436 -2.4583 -2.3808
 -2.3012 -2.2126 -2.1197 -2.0199 -1.9206 -1.7017 -1.5281 -1.3921 -1.2878 -1.2061
 -1.1397 -1.0835 -1.0345 -0.9899
 -3.5315 -3.3181 -3.1344 -2.9713 -2.8246 -2.6929 -2.5754 -2.4717 -2.3792 -2.2939
 -2.2127 -2.1321 -2.0514 -1.9654 -1.8764 -1.6723 -1.5096 -1.3834 -1.2876 -1.2133
 -1.1530 -1.1017 -1.0567 -1.0162 -0.9774 -0.9418 -0.9116 -0.8886 -0.8740 -0.8686
 -3.3843 -3.1966 -3.0367 -2.8930 -2.7602 -2.6367 -2.5226 -2.4182 -2.3236 -2.2367
 -2.1546 -2.0750 -1.9973 -1.9201 -1.8412 -1.6528 -1.4969 -1.3762 -1.2857 -1.2175
 -1.1633 -1.1176 -1.0775 -1.0411 -1.0074 -0.9749 -0.9452 -0.9204 -0.9022 -0.8923
 -0.8935
 -3.2464 -3.0793 -2.9369 -2.8094 -2.6913 -2.5792 -2.4720 -2.3713 -2.2781 -2.1915
 -2.1107 -2.0336 -1.9585 -1.8851 -1.8120 -1.6384 -1.4892 -1.3711 -1.2825 -1.2177
 -1.1686 -1.1288 -1.0943 -1.0631 -1.0339 -1.0062 -0.9785 -0.9532 -0.9333 -0.9209
 -0.9176
 -3.1211 -2.9711 -2.8388 -2.7225 -2.6163 -2.5150 -2.4173 -2.3230 -2.2335 -2.1494
 -2.0707 -1.9962 -1.9247 -1.8552 -1.7864 -1.6236 -1.4819 -1.3668 -1.2786 -1.2143
 -1.1680 -1.1332 -1.1047 -1.0795 -1.0560 -1.0332 -1.0113 -0.9916 -0.9742 -0.9589
 -0.9456
 -3.0083 -2.8720 -2.7513 -2.6400 -2.5404 -2.4482 -2.3595 -2.2730 -2.1894 -2.1094
 -2.0336 -1.9622 -1.8941 -1.8286 -1.7645 -1.6112 -1.4761 -1.3641 -1.2764 -1.2112
 -1.1648 -1.1323 -1.1085 -1.0893 -1.0721 -1.0554 -1.0389 -1.0227 -1.0108 -0.9958
 -0.9792
 -2.9081 -2.7820 -2.6744 -2.5661 -2.4679 -2.3795 -2.2973 -2.2183 -2.1413 -2.0668
 -1.9953 -1.9273 -1.8627 -1.8009 -1.7412 -1.5984 -1.4692 -1.3605 -1.2740 -1.2082
 -1.1608 -1.1282 -1.1065 -1.0917 -1.0804 -1.0701 -1.0600 -1.0496 -1.0388 -1.0283
 -1.0189
 -2.8205 -2.7011 -2.6081 -2.5013 -2.4024 -2.3139 -2.2339 -2.1595 -2.0885 -2.0200
 -1.9536 -1.8899 -1.8291 -1.7712 -1.7165 -1.5852 -1.4612 -1.3560 -1.2714
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.0299 -4.3767 -3.8997 -3.5928 -3.4593 -3.4210 -3.4386 -3.2852 -3.1370 -2.9879
 -2.8339 -2.6911 -2.5324 -2.3816 -2.2422 -1.9406 -1.6860 -1.4821 -1.3142
 -4.6643 -4.2502 -3.9514 -3.7005 -3.4845 -3.3042 -3.1528 -3.0208 -2.8980 -2.7765
 -2.6497 -2.5137 -2.3724 -2.2364 -2.1106 -1.8407 -1.6192 -1.4385 -1.2978 -1.1876
 -4.3522 -3.9166 -3.5904 -3.3556 -3.1991 -3.0798 -2.9597 -2.8385 -2.7233 -2.6144
 -2.5062 -2.3919 -2.2668 -2.1405 -2.0227 -1.7736 -1.5755 -1.4148 -1.2882 -1.1894
 -1.1101
 -4.1873 -3.7690 -3.4444 -3.1955 -3.0073 -2.8677 -2.7709 -2.6964 -2.6097 -2.5059
 -2.3999 -2.2966 -2.1886 -2.0736 -1.9636 -1.7270 -1.5442 -1.3989 -1.2842 -1.1938
 -1.1207 -1.0594
 -4.0736 -3.6838 -3.3744 -3.1291 -2.9342 -2.7797 -2.6571 -2.5594 -2.4832 -2.4131
 -2.3264 -2.2288 -2.1287 -2.0250 -1.9212 -1.6959 -1.5227 -1.3881 -1.2830 -1.2003
 -1.1330 -1.0763 -1.0270 -0.9834
 -3.9708 -3.6150 -3.3272 -3.0933 -2.9007 -2.7411 -2.6085 -2.4975 -2.4025 -2.3195
 -2.2449 -2.1672 -2.0815 -1.9879 -1.8915 -1.6755 -1.5083 -1.3803 -1.2823 -1.2064
 -1.1451 -1.0933 -1.0481 -1.0077 -0.9710 -0.9378 -0.9086 -0.8842 -0.8678 -0.8622
 -3.8689 -3.5461 -3.2823 -3.0634 -2.8784 -2.7200 -2.5834 -2.4654 -2.3626 -2.2707
 -2.1862 -2.1070 -2.0311 -1.9521 -1.8670 -1.6619 -1.4985 -1.3741 -1.2805 -1.2099
 -1.1545 -1.1082 -1.0679 -1.0316 -0.9983 -0.9674 -0.9395 -0.9150 -0.8956 -0.8860
 -0.8874
 -3.7701 -3.4769 -3.2350 -3.0314 -2.8561 -2.7025 -2.5665 -2.4454 -2.3379 -2.2417
 -2.1534 -2.0706 -1.9924 -1.9166 -1.8409 -1.6526 -1.4922 -1.3693 -1.2775 -1.2099
 -1.1593 -1.1187 -1.0840 -1.0529 -1.0239 -0.9967 -0.9714 -0.9483 -0.9278 -0.9143
 -0.9113
