 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.5651 -1.5616 -1.7439 -1.7553 -1.6865 -1.5643 -1.4096 -1.3116 -1.2244 -1.1309
 -1.0424 -0.9581 -0.8808 -0.8116 -0.7520 -0.6288 -0.5766 -0.5803 -0.5862
 -1.5710 -1.5052 -1.4519 -1.4264 -1.4304 -1.4099 -1.3426 -1.2574 -1.1735 -1.0920
 -1.0130 -0.9384 -0.8701 -0.8092 -0.7563 -0.6590 -0.6081 -0.5932 -0.5990 -0.6159
 -1.4550 -1.3950 -1.3339 -1.2795 -1.2383 -1.2234 -1.2207 -1.1914 -1.1333 -1.0627
 -0.9929 -0.9255 -0.8633 -0.8077 -0.7595 -0.6709 -0.6242 -0.6117 -0.6191 -0.6363
 -0.6593
 -1.3475 -1.3037 -1.2505 -1.1954 -1.1444 -1.1008 -1.0706 -1.0595 -1.0482 -1.0174
 -0.9684 -0.9123 -0.8570 -0.8066 -0.7625 -0.6809 -0.6373 -0.6266 -0.6356 -0.6535
 -0.6762 -0.7026
 -1.2366 -1.2127 -1.1752 -1.1290 -1.0807 -1.0350 -0.9946 -0.9609 -0.9395 -0.9246
 -0.9075 -0.8793 -0.8419 -0.8008 -0.7617 -0.6871 -0.6462 -0.6370 -0.6477 -0.6674
 -0.6910 -0.7173 -0.7463 -0.7781
 -1.1216 -1.1141 -1.0951 -1.0637 -1.0248 -0.9834 -0.9439 -0.9081 -0.8764 -0.8501
 -0.8307 -0.8152 -0.7972 -0.7749 -0.7496 -0.6878 -0.6498 -0.6416 -0.6541 -0.6772
 -0.7030 -0.7306 -0.7600 -0.7911 -0.8242 -0.8598 -0.8985 -0.9407 -0.9868 -1.0368
 -1.0051 -1.0098 -1.0060 -0.9904 -0.9653 -0.9336 -0.8992 -0.8658 -0.8353 -0.8075
 -0.7827 -0.7621 -0.7458 -0.7315 -0.7167 -0.6787 -0.6475 -0.6388 -0.6538 -0.6810
 -0.7110 -0.7413 -0.7722 -0.8041 -0.8371 -0.8702 -0.9051 -0.9439 -0.9882 -1.0382
 -1.0905
 -0.8901 -0.9033 -0.9097 -0.9070 -0.8958 -0.8771 -0.8524 -0.8248 -0.7977 -0.7724
 -0.7493 -0.7284 -0.7100 -0.6950 -0.6824 -0.6570 -0.6381 -0.6321 -0.6472 -0.6776
 -0.7127 -0.7476 -0.7816 -0.8155 -0.8497 -0.8842 -0.9185 -0.9545 -0.9943 -1.0394
 -1.0909
 -0.7793 -0.7981 -0.8108 -0.8160 -0.8164 -0.8097 -0.7970 -0.7790 -0.7581 -0.7368
 -0.7170 -0.6990 -0.6827 -0.6682 -0.6556 -0.6334 -0.6221 -0.6215 -0.6364 -0.6683
 -0.7077 -0.7480 -0.7869 -0.8244 -0.8611 -0.8972 -0.9334 -0.9700 -1.0087 -1.0498
 -1.0930
 -0.6754 -0.6978 -0.7144 -0.7255 -0.7319 -0.7339 -0.7316 -0.7243 -0.7130 -0.6983
 -0.6829 -0.6686 -0.6556 -0.6438 -0.6332 -0.6136 -0.6050 -0.6079 -0.6236 -0.6546
 -0.6957 -0.7404 -0.7846 -0.8270 -0.8676 -0.9067 -0.9450 -0.9827 -1.0205 -1.0593
 -1.0998
 -0.5802 -0.6029 -0.6212 -0.6356 -0.6464 -0.6539 -0.6585 -0.6602 -0.6583 -0.6526
 -0.6440 -0.6345 -0.6255 -0.6175 -0.6104 -0.5963 -0.5895 -0.5943 -0.6112 -0.6405
 -0.6810 -0.7272 -0.7753 -0.8228 -0.8683 -0.9116 -0.9533 -0.9935 -1.0329 -1.0721
 -1.1119
 -0.4916 -0.5040 -0.5195 -0.5363 -0.5529 -0.5680 -0.5804 -0.5895 -0.5953 -0.5980
 -0.5978 -0.5951 -0.5912 -0.5873 -0.5839 -0.5782 -0.5755 -0.5812 -0.5989
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.8474 -1.8582 -1.8330 -1.7296 -1.5987 -1.4691 -1.3588 -1.2678 -1.1849 -1.1056
 -1.0300 -0.9582 -0.8906 -0.8278 -0.7709 -0.6546 -0.5876 -0.5658 -0.5693
 -1.6785 -1.6153 -1.5975 -1.6036 -1.5434 -1.4377 -1.3299 -1.2381 -1.1582 -1.0835
 -1.0128 -0.9456 -0.8826 -0.8246 -0.7723 -0.6705 -0.6096 -0.5863 -0.5890 -0.6052
 -1.5747 -1.4992 -1.4322 -1.3880 -1.3846 -1.3705 -1.3018 -1.2154 -1.1372 -1.0669
 -1.0008 -0.9382 -0.8794 -0.8253 -0.7767 -0.6827 -0.6266 -0.6044 -0.6078 -0.6242
 -0.6473
 -1.4848 -1.4199 -1.3495 -1.2813 -1.2279 -1.2005 -1.1963 -1.1724 -1.1146 -1.0504
 -0.9893 -0.9312 -0.8764 -0.8258 -0.7804 -0.6929 -0.6404 -0.6191 -0.6226 -0.6397
 -0.6629 -0.6898
 -1.3932 -1.3462 -1.2866 -1.2228 -1.1621 -1.1081 -1.0676 -1.0456 -1.0373 -1.0131
 -0.9704 -0.9205 -0.8706 -0.8238 -0.7813 -0.6994 -0.6502 -0.6297 -0.6335 -0.6518
 -0.6760 -0.7032 -0.7330 -0.7663
 -1.2972 -1.2661 -1.2236 -1.1705 -1.1138 -1.0594 -1.0094 -0.9664 -0.9351 -0.9186
 -0.9065 -0.8857 -0.8539 -0.8159 -0.7778 -0.7015 -0.6553 -0.6357 -0.6399 -0.6600
 -0.6864 -0.7151 -0.7454 -0.7776 -0.8111 -0.8470 -0.8864 -0.9303 -0.9788 -1.0298
 -1.1923 -1.1769 -1.1513 -1.1141 -1.0681 -1.0190 -0.9712 -0.9267 -0.8869 -0.8540
 -0.8300 -0.8147 -0.8012 -0.7837 -0.7611 -0.6986 -0.6557 -0.6370 -0.6413 -0.6632
 -0.6929 -0.7244 -0.7565 -0.7895 -0.8237 -0.8587 -0.8957 -0.9359 -0.9804 -1.0298
 -1.0838
 -1.0855 -1.0795 -1.0687 -1.0466 -1.0155 -0.9768 -0.9352 -0.8941 -0.8555 -0.8203
 -0.7896 -0.7645 -0.7459 -0.7323 -0.7199 -0.6853 -0.6510 -0.6339 -0.6380 -0.6609
 -0.6941 -0.7296 -0.7648 -0.7999 -0.8352 -0.8698 -0.9053 -0.9432 -0.9850 -1.0318
 -1.0842
 -0.9815 -0.9803 -0.9778 -0.9681 -0.9503 -0.9252 -0.8940 -0.8595 -0.8250 -0.7921
 -0.7620 -0.7354 -0.7125 -0.6942 -0.6804 -0.6568 -0.6383 -0.6264 -0.6309 -0.6537
